TM;Category;unknown;Quantity
08-20-2018 12:01 AM;Nu;6.367032006E+17;563
2017-11-17 00:01:00;Eta;6.36465E+017;555
2017-10-09 00:01:00;Pi;636431040600000000;948
2013-02-27 00:01:00;Theta;634975200600000000;979
2013-09-29T00:02:00.0000000;Kappa;635,160,097,200,000,000.00000000;761
2018-08-31 00:02:00;Eta;636712705200000000;111
2018-08-29 00:01:00;Xi;636710976600000000;399
2013-02-27 00:01:00;Gamma;634975200600000000;696
12-20-2014 12:01 AM;Rho;6.355463046E+17;264
2010-08-01 00:02:00;Alpha;634162177200000000;534
2012-02-28T00:01:00.0000000;Nu;634,659,840,600,000,000.00000000;489
2016-11-20 00:01:00;Kappa;6.36152E+017;741
08-22-2011 12:02 AM;Tau;6.344956812E+17;499
2016-05-24 00:01:00;Chi;6.35996E+017;861
04-17-2017 12:01 AM;Gamma;6.362798406E+17;955
2018-08-23 00:01:00;Nu;636705792600000000;429
2017-10-29 00:01:00;Epsilon;6.36448E+017;818
2010-02-05 00:01:00;Rho;6.34009E+017;672
2019-08-22 00:01:00;Lambda;637020288600000000;447
2016-12-18T00:02:00.0000000;Omicron;636,176,161,200,000,000.00000000;921
2019-04-25 00:01:00;Kappa;6.36917E+017;733
08-07-2016 12:02 AM;Tau;6.360612492E+17;104
12-05-2018 12:01 AM;Xi;6.367956486E+17;904
2019-06-01 00:01:00;Zeta;6.36949E+017;470
2012-10-01T00:02:00.0000000;Psi;634,846,465,200,000,000.00000000;28
2011-05-20 00:01:00;Mu;6.34414E+017;952
02-17-2013 12:04 AM;Zeta;6.349665624E+17;733
2018-05-14 00:02:00;Omega;636618529200000000;16
2016-02-19 00:03:00;Mu;6.35914E+017;961
2012-07-05T00:01:00.0000000;Omicron;634,770,432,600,000,000.00000000;313
2016-05-18 00:02:00;Rho;635991265200000000;240
12-28-2017 12:02 AM;Lambda;6.365001612E+17;452
04-29-2019 12:02 AM;Phi;6.369209292E+17;140
02-03-2012 12:02 AM;Delta;6.346382412E+17;381
2012-07-07 00:01:00;Mu;634772160600000000;952
05-29-2016 12:01 AM;Phi;6.360007686E+17;103
2010-10-26T00:02:00.0000000;Mu;634,236,481,200,000,000.00000000;200
2015-12-21 00:01:00;Gamma;635862528600000000;524
10-08-2019 12:01 AM;Sigma;6.370608966E+17;731
05-22-2012 12:01 AM;Xi;6.347324166E+17;511
2018-02-13 00:01:00;Xi;636540768600000000;330
03-11-2012 12:02 AM;Upsilon;6.346702092E+17;144
06-18-2015 12:01 AM;Delta;6.357018246E+17;794
11-06-2010 12:02 AM;Kappa;6.342459852E+17;814
10-22-2015 12:01 AM;Beta;6.358106886E+17;35
09-29-2010 12:01 AM;Tau;6.342131526E+17;654
2019-11-04T00:01:00.0000000;Rho;637,084,224,600,000,000.00000000;968
2016-09-04 00:01:00;Rho;636085440600000000;451
11-21-2017 12:01 AM;Iota;6.364681926E+17;43
2011-01-06 00:01:00;Chi;634298688600000000;212
09-30-2011 12:01 AM;Iota;6.345293766E+17;97
2016-03-01 00:02:00;Pi;635923873200000000;371
03-05-2014 12:02 AM;Delta;6.352957452E+17;352
01-05-2014 12:03 AM;Psi;6.352447698E+17;275
10-04-2015 12:02 AM;Pi;6.357951372E+17;95
2018-08-09T00:01:00.0000000;Gamma;636,693,696,600,000,000.00000000;287
2011-12-24 00:01:00;Eta;6.34603E+017;684
05-09-2016 12:02 AM;Beta;6.359834892E+17;917
2010-03-19 00:02:00;Rho;634045537200000000;566
2014-05-28 00:01:00;Nu;6.35368E+017;409
2014-10-18 00:01:00;Phi;635491872600000000;217
03-31-2011 12:01 AM;Iota;6.343712646E+17;84
2014-09-25 00:01:00;Theta;635472000600000000;546
2014-04-17T00:02:00.0000000;Kappa;635,332,897,200,000,000.00000000;726
2011-04-13 00:01:00;Tau;6.34382E+017;562
08-13-2015 12:01 AM;Epsilon;6.357502086E+17;852
2013-05-09 00:03:00;Xi;635036545800000000;654
03-28-2018 12:02 AM;Nu;6.365779212E+17;461
2016-07-16 00:01:00;Xi;6.36042E+017;587
2013-08-05T00:02:00.0000000;Beta;635,112,577,200,000,000.00000000;351
08-14-2014 12:03 AM;Beta;6.354357138E+17;396
2015-08-15 00:01:00;Pi;635751936600000000;997
01-15-2018 12:03 AM;Zeta;6.365157138E+17;1
08-03-2018 12:02 AM;Iota;6.366885132E+17;685
2012-03-23 00:02:00;Beta;6.34681E+017;301
06-05-2012 12:02 AM;Omicron;6.347445132E+17;468
2018-11-29 00:02:00;Gamma;636790465200000000;822
2016-11-12 00:01:00;Omega;636145056600000000;169
