TM;Category;unknown;Quantity
2017-09-18T00:01:00.0000000;Kappa;636,412,896,600,000,000.00000000;297
11-25-2011 12:01 AM;Iota;6.345777606E+17;276
2013-10-01T00:01:00.0000000;Mu;635,161,824,600,000,000.00000000;481
2014-08-02 00:01:00;Kappa;635425344600000000;776
2010-03-03 00:01:00;Chi;634031712600000000;461
2015-01-11 00:01:00;Rho;635565312600000000;328
04-15-2019 12:01 AM;Mu;6.369088326E+17;727
2015-06-06T00:02:00.0000000;Theta;635,691,457,200,000,000.00000000;419
2018-04-21 00:01:00;Delta;636598656600000000;873
2011-04-05 00:02:00;Rho;634375585200000000;553
02-27-2015 12:01 AM;Tau;6.356059206E+17;700
2018-07-09 00:01:00;Tau;6.36667E+017;465
08-06-2010 12:02 AM;Mu;6.341664972E+17;151
2014-06-08 00:01:00;Omicron;635377824600000000;605
2015-05-27 00:01:00;Lambda;6.35683E+017;520
2015-11-21 00:02:00;Gamma;635836609200000000;722
12-08-2011 12:01 AM;Eta;6.345889926E+17;932
2018-03-14 00:01:00;Pi;636565824600000000;9
02-02-2017 12:01 AM;Rho;6.362159046E+17;40
2018-01-23T00:01:00.0000000;Pi;636,522,624,600,000,000.00000000;706
2018-07-23T00:01:00.0000000;Gamma;636,679,008,600,000,000.00000000;356
11-16-2019 12:01 AM;Iota;6.370945926E+17;278
2010-02-16T00:01:00.0000000;Beta;634,018,752,600,000,000.00000000;570
2011-02-18 00:01:00;Kappa;6.34336E+017;449
2019-10-23 00:02:00;Rho;6.37074E+017;481
2015-08-26 00:01:00;Xi;6.35761E+017;666
2018-11-07T00:01:00.0000000;Psi;636,771,456,600,000,000.00000000;0
2012-02-13 00:01:00;Zeta;634646880600000000;988
2017-12-21 00:02:00;Psi;6.36494E+017;595
09-19-2014 12:01 AM;Omega;6.354668166E+17;995
12-14-2010 12:01 AM;Lambda;6.342788166E+17;531
2011-02-02 00:01:00;Eta;6.34322E+017;138
06-21-2015 12:01 AM;Tau;6.357044166E+17;402
10-30-2013 12:01 AM;Sigma;6.351868806E+17;538
01-18-2012 12:01 AM;Alpha;6.346244166E+17;845
07-09-2015 12:01 AM;Theta;6.357199686E+17;928
2010-12-18 00:02:00;Omicron;634282273200000000;237
2016-01-13 00:01:00;Chi;635882400600000000;956
2018-04-08 00:02:00;Nu;636587425200000000;978
2018-06-15T00:01:00.0000000;Lambda;636,646,176,600,000,000.00000000;404
04-05-2015 12:01 AM;Theta;6.356378886E+17;845
2016-06-19 00:01:00;Theta;636018912600000000;69
2017-12-23 00:01:00;Omega;6.36496E+017;709
2014-03-29T00:02:00.0000000;Lambda;635,316,481,200,000,000.00000000;711
2012-04-28 00:01:00;Theta;6.34712E+017;619
2019-04-16 00:02:00;Phi;636909697200000000;138
2012-01-21 00:01:00;Nu;634627008600000000;751
09-11-2017 12:02 AM;Gamma;6.364068492E+17;733
2012-05-31 00:01:00;Kappa;634740192600000000;258
11-07-2010 12:02 AM;Lambda;6.342468492E+17;611
2019-06-28 00:01:00;Lambda;636972768600000000;345
2013-06-29 00:01:00;Kappa;635080608600000000;465
07-05-2010 12:02 AM;Theta;6.341388492E+17;734
2018-07-06 00:02:00;Kappa;636664321200000000;905
2011-12-03 00:01:00;Omega;634584672600000000;680
2014-07-01 00:01:00;Rho;635397696600000000;230
10-02-2010 12:01 AM;Mu;6.342157446E+17;910
2012-04-02 00:01:00;Epsilon;634689216600000000;255
2015-05-27 00:01:00;Pi;6.35683E+017;186
01-27-2015 12:01 AM;Lambda;6.355791366E+17;517
08-03-2011 12:01 AM;Psi;6.344792646E+17;417
2011-04-13 00:01:00;Delta;6.34382E+017;340
2011-03-01 00:01:00;Upsilon;634345344600000000;475
2011-07-06T00:03:00.0000000;Eta;634,455,073,800,000,000.00000000;813
2010-08-02 00:01:00;Lambda;634163040600000000;695
12-29-2011 12:01 AM;Nu;6.346071366E+17;469
2012-03-23 00:01:00;Nu;6.34681E+017;582
2016-08-03 00:02:00;Psi;6.36058E+017;707
11-07-2016 12:02 AM;Kappa;6.361407372E+17;915
