TM;Category;unknown;Quantity
2016-11-19 00:01:00;Psi;6.36151E+017;773
09-03-2013 12:01 AM;Upsilon;6.351376326E+17;173
12-20-2019 12:01 AM;Zeta;6.371239686E+17;764
2019-09-10 00:01:00;Psi;637036704600000000;455
2014-07-05 00:01:00;Lambda;6.35401E+017;352
2011-06-02T00:01:00.0000000;Phi;634,425,696,600,000,000.00000000;787
2015-12-13 00:01:00;Nu;6.35856E+017;680
04-07-2015 12:01 AM;Zeta;6.356396166E+17;39
2016-06-09 00:01:00;Omega;6.36010E+017;3
2013-07-02T00:01:00.0000000;Lambda;635,083,200,600,000,000.00000000;876
2013-03-18 00:02:00;Iota;634991617200000000;111
11-01-2012 12:01 AM;Upsilon;6.348732486E+17;518
2017-04-27T00:01:00.0000000;Kappa;636,288,480,600,000,000.00000000;223
03-29-2011 12:02 AM;Omega;6.343695372E+17;368
2012-01-07 00:01:00;Eta;634614912600000000;174
03-12-2012 12:01 AM;Alpha;6.346710726E+17;690
2016-10-24 00:01:00;Phi;636128640600000000;563
2013-12-28T00:01:00.0000000;Chi;635,237,856,600,000,000.00000000;193
2013-03-16 00:02:00;Nu;634989889200000000;115
2018-05-28T00:01:00.0000000;Xi;636,630,624,600,000,000.00000000;29
10-20-2015 12:01 AM;Iota;6.358089606E+17;815
2019-07-17 00:02:00;Upsilon;636989185200000000;920
2017-10-31 00:01:00;Tau;6.36450E+017;776
2010-12-17 00:01:00;Eta;634281408600000000;501
2016-03-30 00:01:00;Nu;6.35949E+017;273
05-03-2019 12:01 AM;Xi;6.369243846E+17;529
2018-09-17 00:01:00;Xi;636727392600000000;327
2015-05-03T00:01:00.0000000;Lambda;635,662,080,600,000,000.00000000;259
01-19-2016 12:02 AM;Rho;6.358875852E+17;354
12-04-2018 12:02 AM;Tau;6.367947852E+17;741
2019-09-16 00:01:00;Chi;637041888600000000;672
2014-05-25 00:01:00;Zeta;635365728600000000;933
12-21-2014 12:01 AM;Eta;6.355471686E+17;623
2011-11-17 00:03:00;Beta;6.34571E+017;219
2013-12-07 00:01:00;Upsilon;635219712600000000;577
12-13-2011 12:01 AM;Pi;6.345933126E+17;911
04-04-2016 12:01 AM;Epsilon;6.359532486E+17;55
01-08-2015 12:01 AM;Xi;6.355627206E+17;557
2017-05-31T00:02:00.0000000;Sigma;636,317,857,200,000,000.00000000;298
2016-09-08 00:01:00;Pi;6.36089E+017;411
2012-08-26T00:02:00.0000000;Mu;634,815,361,200,000,000.00000000;987
2013-08-03 00:02:00;Mu;635110849200000000;342
2012-05-13 00:01:00;Chi;634724640600000000;726
2017-02-13T00:01:00.0000000;Rho;636,225,408,600,000,000.00000000;166
2010-05-13 00:01:00;Lambda;634093056600000000;13
08-14-2015 12:01 AM;Theta;6.357510726E+17;273
2010-09-10 00:01:00;Phi;6.34197E+017;825
02-26-2016 12:03 AM;Epsilon;6.359204178E+17;335
2019-12-13 00:01:00;Beta;637117920600000000;141
05-05-2017 12:01 AM;Zeta;6.362953926E+17;659
2019-01-19T00:01:00.0000000;Pi;636,834,528,600,000,000.00000000;295
2016-10-08T00:01:00.0000000;Xi;636,114,816,600,000,000.00000000;578
2014-08-24 00:01:00;Tau;635444352600000000;159
2012-10-25 00:02:00;Epsilon;6.34867E+017;709
2013-08-23 00:01:00;Phi;635128128600000000;269
2010-03-01 00:02:00;Omega;634029985200000000;259
02-27-2010 12:01 AM;Iota;6.340282566E+17;564
2010-10-16 00:01:00;Mu;6.34228E+017;163
2014-07-19 00:03:00;Nu;635413249800000000;481
2011-12-22 00:01:00;Phi;634601088600000000;953
2011-01-07T00:02:00.0000000;Delta;634,299,553,200,000,000.00000000;192
2017-05-18 00:01:00;Gamma;636306624600000000;861
2014-02-11 00:01:00;Omega;6.35277E+017;398
2016-08-22 00:01:00;Pi;6.36074E+017;248
2016-10-29 00:02:00;Beta;636132961200000000;285
2014-10-17 00:02:00;Eta;635491009200000000;476
2017-10-22T00:02:00.0000000;Lambda;636,442,273,200,000,000.00000000;711
2016-02-16T00:01:00.0000000;Beta;635,911,776,600,000,000.00000000;905
11-15-2013 12:01 AM;Beta;6.352007046E+17;256
2019-12-29T00:02:00.0000000;Psi;637,131,745,200,000,000.00000000;30
01-15-2018 12:01 AM;Chi;6.365157126E+17;907
2017-01-25T00:02:00.0000000;Phi;636,208,993,200,000,000.00000000;753
2017-09-21 00:01:00;Pi;636415488600000000;653
11-18-2011 12:03 AM;Sigma;6.345717138E+17;795
02-19-2011 12:03 AM;Rho;6.343367058E+17;277
2017-02-15 00:03:00;Zeta;6.36227E+017;336
2015-04-10 00:01:00;Omega;635642208600000000;852
2012-04-11 00:02:00;Lambda;6.34697E+017;844
2017-04-04 00:01:00;Eta;636268608600000000;611
09-30-2011 12:01 AM;Delta;6.345293766E+17;859
2016-08-18 00:01:00;Upsilon;636070752600000000;919
2018-10-17 00:02:00;Beta;636753313200000000;869
07-27-2015 12:01 AM;Rho;6.357355206E+17;225
12-05-2018 12:02 AM;Theta;6.367956492E+17;381
2015-02-25 00:01:00;Epsilon;6.35604E+017;545
2013-10-17T00:01:00.0000000;Psi;635,175,648,600,000,000.00000000;419
2013-06-10 00:01:00;Nu;635064192600000000;518
10-19-2010 12:02 AM;Lambda;6.342304332E+17;980
02-02-2017 12:04 AM;Psi;6.362159064E+17;293
2015-04-10 00:02:00;Omega;635642209200000000;250
08-29-2010 12:01 AM;Gamma;6.341863686E+17;6
2015-10-28 00:01:00;Zeta;635815872600000000;719
08-26-2016 12:02 AM;Chi;6.360776652E+17;773
2018-08-14 00:02:00;Iota;6.36698E+017;734
2011-01-13 00:02:00;Pi;6.34305E+017;664
2015-01-31T00:01:00.0000000;Beta;635,582,592,600,000,000.00000000;420
09-17-2014 12:01 AM;Psi;6.354650886E+17;620
2015-04-15T00:01:00.0000000;Eta;635,646,528,600,000,000.00000000;97
02-24-2016 12:02 AM;Xi;6.359186892E+17;306
09-07-2017 12:03 AM;Chi;6.364033938E+17;234
12-05-2013 12:01 AM;Delta;6.352179846E+17;199
2019-07-03 00:02:00;Omega;636977089200000000;27
04-01-2010 12:01 AM;Omega;6.340567686E+17;445
2011-10-24T00:02:00.0000000;Upsilon;634,550,113,200,000,000.00000000;99
2018-06-17T00:01:00.0000000;Mu;636,647,904,600,000,000.00000000;632
2015-03-13 00:02:00;Upsilon;6.35618E+017;588
12-03-2019 12:01 AM;Mu;6.371092806E+17;769
03-29-2012 12:03 AM;Pi;6.346857618E+17;298
2019-06-12T00:02:00.0000000;Chi;636,958,945,200,000,000.00000000;947
2010-07-25 00:02:00;Omicron;634156129200000000;497
2016-03-01 00:02:00;Psi;635923873200000000;727
03-08-2019 12:03 AM;Omicron;6.368760018E+17;967
2015-01-30T00:02:00.0000000;Tau;635,581,729,200,000,000.00000000;58
06-13-2010 12:02 AM;Tau;6.341198412E+17;443
09-05-2019 12:01 AM;Alpha;6.370323846E+17;754
11-20-2012 12:02 AM;Psi;6.348896652E+17;719
01-13-2017 12:03 AM;Psi;6.361986258E+17;47
10-27-2019 12:02 AM;Mu;6.370773132E+17;652
12-30-2015 12:04 AM;Alpha;6.358703064E+17;767
03-15-2016 12:02 AM;Theta;6.359359692E+17;447
2015-02-15 00:02:00;Beta;635595553200000000;55
2013-01-05 00:02:00;Lambda;6.34929E+017;121
2015-11-14 00:02:00;Alpha;635830561200000000;544
2016-02-16T00:02:00.0000000;Beta;635,911,777,200,000,000.00000000;98
2019-11-01 00:01:00;Kappa;637081632600000000;705
2013-09-25 00:03:00;Omega;635156641800000000;324
10-22-2015 12:01 AM;Phi;6.358106886E+17;44
2010-01-24 00:03:00;Phi;633998881800000000;487
09-13-2015 12:02 AM;Tau;6.357769932E+17;666
02-26-2015 12:04 AM;Iota;6.356050584E+17;634
2013-12-18 00:01:00;Theta;6.35229E+017;147
2012-06-20 00:02:00;Xi;6.34757E+017;873
2019-08-11 00:03:00;Phi;6.37011E+017;616
09-26-2011 12:03 AM;Beta;6.345259218E+17;775
02-07-2016 12:02 AM;Pi;6.359040012E+17;903
2010-10-23 00:03:00;Kappa;634233889800000000;888
2019-10-18 00:03:00;Xi;637069537800000000;481
08-24-2011 12:01 AM;Pi;6.344974086E+17;311
2014-04-16T00:02:00.0000000;Chi;635,332,033,200,000,000.00000000;508
02-10-2010 12:01 AM;Xi;6.340135686E+17;600
06-26-2012 12:01 AM;Alpha;6.347626566E+17;198
10-12-2019 12:02 AM;Beta;6.370643532E+17;577
2012-10-07 00:02:00;Delta;6.34852E+017;690
11-04-2010 12:02 AM;Tau;6.342442572E+17;91
2017-02-12T00:02:00.0000000;Sigma;636,224,545,200,000,000.00000000;93
03-12-2017 12:04 AM;Iota;6.362487384E+17;352
2010-04-07 00:02:00;Chi;634061953200000000;266
2015-04-29 00:02:00;Nu;635658625200000000;47
05-16-2019 12:01 AM;Omega;6.369356166E+17;662
2010-06-06T00:01:00.0000000;Delta;634,113,792,600,000,000.00000000;253
01-07-2015 12:01 AM;Phi;6.355618566E+17;267
02-05-2017 12:02 AM;Xi;6.362184972E+17;733
2011-01-09 00:03:00;Sigma;634301281800000000;88
2015-01-01 00:02:00;Gamma;6.35557E+017;548
2017-08-17 00:03:00;Zeta;6.36385E+017;450
2017-06-14 00:03:00;Eta;636329953800000000;744
2015-08-22 00:01:00;Nu;635757984600000000;238
