TM;Category;unknown;Quantity
03-10-2019 12:01 AM;Omicron;6.368777286E+17;265
10-24-2015 12:01 AM;Tau;6.358124166E+17;969
2013-05-04 00:01:00;Chi;635032224600000000;287
12-09-2011 12:01 AM;Upsilon;6.345898566E+17;860
2019-12-15 00:01:00;Phi;637119648600000000;924
2018-07-11 00:01:00;Theta;6.36669E+017;722
2015-06-05 00:01:00;Psi;635690592600000000;810
02-23-2012 12:01 AM;Upsilon;6.346555206E+17;482
2012-09-20 00:01:00;Mu;6.34837E+017;42
2018-01-04T00:01:00.0000000;Lambda;636,506,208,600,000,000.00000000;595
2011-02-16 00:01:00;Kappa;634334112600000000;855
11-09-2015 12:01 AM;Upsilon;6.358262406E+17;203
03-07-2014 12:01 AM;Theta;6.352974726E+17;723
09-23-2012 12:01 AM;Zeta;6.348395526E+17;352
04-03-2010 12:01 AM;Psi;6.340584966E+17;439
2015-12-27 00:01:00;Pi;635867712600000000;87
02-15-2014 12:01 AM;Eta;6.352801926E+17;528
2018-12-30 00:01:00;Omicron;636817248600000000;649
08-27-2015 12:01 AM;Chi;6.357623046E+17;779
2012-10-10 00:01:00;Tau;6.34854E+017;934
02-25-2010 12:01 AM;Tau;6.340265286E+17;400
2019-01-16 00:01:00;Chi;636831936600000000;249
08-30-2015 12:02 AM;Nu;6.357648972E+17;360
2013-02-12 00:01:00;Sigma;6.34962E+017;552
07-12-2012 12:01 AM;Sigma;6.347764806E+17;479
2013-01-08 00:01:00;Eta;6.34932E+017;493
07-27-2014 12:01 AM;Nu;6.354201606E+17;806
2011-01-07T00:01:00.0000000;Sigma;634,299,552,600,000,000.00000000;690
09-14-2016 12:01 AM;Psi;6.360940806E+17;352
08-06-2010 12:01 AM;Nu;6.341664966E+17;421
2019-10-06 00:01:00;Delta;6.37059E+017;19
11-07-2016 12:01 AM;Sigma;6.361407366E+17;345
2015-12-03 00:01:00;Psi;635846976600000000;227
2015-12-06T00:01:00.0000000;Iota;635,849,568,600,000,000.00000000;861
