TM;Category;unknown;Quantity
2016-10-11 00:01:00;Psi;636117408600000000;549
05-30-2015 12:01 AM;Omega;6.356854086E+17;289
11-04-2017 12:01 AM;Epsilon;6.364535046E+17;385
02-07-2016 12:01 AM;Iota;6.359040006E+17;516
2013-06-02 00:01:00;Gamma;6.35057E+017;594
01-10-2013 12:01 AM;Chi;6.349337286E+17;828
2019-06-20 00:01:00;Sigma;6.36966E+017;531
2011-06-22 00:01:00;Theta;634442976600000000;239
2011-12-22 00:01:00;Alpha;634601088600000000;533
07-13-2012 12:01 AM;Iota;6.347773446E+17;664
12-14-2016 12:01 AM;Delta;6.361727046E+17;849
09-07-2012 12:01 AM;Zeta;6.348257286E+17;732
10-16-2012 12:01 AM;Beta;6.348594246E+17;293
2016-07-09T00:02:00.0000000;Omega;636,036,193,200,000,000.00000000;705
10-03-2010 12:02 AM;Sigma;6.342166092E+17;406
2010-03-12 00:01:00;Rho;6.34039E+017;393
2012-01-22T00:01:00.0000000;Kappa;634,627,872,600,000,000.00000000;301
03-28-2012 12:02 AM;Mu;6.346848972E+17;359
2015-04-18 00:01:00;Tau;635649120600000000;403
08-25-2011 12:01 AM;Chi;6.344982726E+17;712
2015-06-03 00:01:00;Theta;635688864600000000;515
2012-12-18 00:01:00;Iota;634913856600000000;3
2019-07-19T00:01:00.0000000;Omega;636,990,912,600,000,000.00000000;361
10-10-2013 12:02 AM;Chi;6.351696012E+17;268
2016-11-28 00:01:00;Mu;636158880600000000;868
2018-12-17 00:02:00;Pi;636806017200000000;142
09-25-2013 12:01 AM;Sigma;6.351566406E+17;276
2012-07-11 00:01:00;Phi;6.34776E+017;867
02-21-2012 12:02 AM;Alpha;6.346537932E+17;495
2017-06-06 00:02:00;Theta;6.36323E+017;554
2016-07-14 00:01:00;Xi;636040512600000000;737
2015-10-13 00:02:00;Sigma;635802913200000000;896
2013-08-26 00:02:00;Phi;635130721200000000;895
09-09-2017 12:01 AM;Eta;6.364051206E+17;671
04-10-2014 12:02 AM;Alpha;6.353268492E+17;672
05-02-2019 12:01 AM;Omega;6.369235206E+17;74
2018-01-25 00:01:00;Kappa;636524352600000000;560
2017-02-12T00:02:00.0000000;Kappa;636,224,545,200,000,000.00000000;940
2014-07-15 00:01:00;Upsilon;635409792600000000;217
05-01-2019 12:02 AM;Sigma;6.369226572E+17;607
2015-10-11T00:01:00.0000000;Eta;635,801,184,600,000,000.00000000;137
2014-09-15 00:01:00;Gamma;6.35463E+017;514
2011-01-26T00:01:00.0000000;Omicron;634,315,968,600,000,000.00000000;495
2019-04-26 00:02:00;Upsilon;6.36918E+017;177
2016-10-28 00:01:00;Omega;636132096600000000;257
11-24-2011 12:02 AM;Chi;6.345768972E+17;352
06-25-2018 12:01 AM;Omega;6.366548166E+17;294
01-01-2016 12:01 AM;Kappa;6.358720326E+17;336
12-24-2018 12:01 AM;Nu;6.368120646E+17;75
2014-05-12 00:01:00;Omicron;6.35354E+017;90
2014-04-12 00:02:00;Xi;635328577200000000;215
07-29-2019 12:01 AM;Zeta;6.369995526E+17;748
05-17-2014 12:01 AM;Iota;6.353588166E+17;631
2013-01-01T00:02:00.0000000;Beta;634,925,953,200,000,000.00000000;643
2017-09-06 00:02:00;Psi;6.36403E+017;476
2014-10-21 00:02:00;Kappa;6.35494E+017;189
2018-08-29 00:02:00;Alpha;636710977200000000;857
2010-08-12 00:01:00;Epsilon;634171680600000000;654
2016-06-20T00:02:00.0000000;Delta;636,019,777,200,000,000.00000000;956
02-10-2015 12:03 AM;Lambda;6.355912338E+17;445
2012-02-15 00:01:00;Lambda;6.34649E+017;82
2016-11-13T00:02:00.0000000;Beta;636,145,921,200,000,000.00000000;349
2012-02-29 00:03:00;Alpha;634660705800000000;726
2018-10-18 00:01:00;Omicron;636754176600000000;624
2013-01-04 00:03:00;Pi;634928545800000000;798
2011-07-29 00:02:00;Upsilon;634474945200000000;823
2011-07-06 00:01:00;Omicron;634455072600000000;355
2018-09-19 00:03:00;Psi;6.36729E+017;897
2019-03-13T00:02:00.0000000;Alpha;636,880,321,200,000,000.00000000;2
2018-10-18 00:01:00;Phi;636754176600000000;830
10-19-2016 12:03 AM;Psi;6.361243218E+17;747
2015-05-24 00:01:00;Upsilon;635680224600000000;228
2017-10-20 00:01:00;Tau;636440544600000000;711
2015-05-03 00:02:00;Phi;635662081200000000;450
10-29-2018 12:03 AM;Sigma;6.367636818E+17;698
06-24-2012 12:02 AM;Rho;6.347609292E+17;342
2011-07-27 00:02:00;Pi;634473217200000000;850
2014-09-26T00:02:00.0000000;Chi;635,472,865,200,000,000.00000000;714
2016-06-26 00:02:00;Kappa;6.36025E+017;473
2015-07-31T00:02:00.0000000;Eta;635,738,977,200,000,000.00000000;591
06-10-2011 12:02 AM;Iota;6.344326092E+17;510
