TM;Category;unknown;Quantity
2016-11-14T00:01:00.0000000;Omicron;636,146,784,600,000,000.00000000;157
05-15-2014 12:01 AM;Nu;6.353570886E+17;954
2010-09-18 00:02:00;Beta;634203649200000000;51
01-03-2016 12:01 AM;Phi;6.358737606E+17;635
2011-07-08T00:01:00.0000000;Gamma;634,456,800,600,000,000.00000000;554
2016-02-18 00:01:00;Upsilon;635913504600000000;93
02-04-2012 12:01 AM;Omega;6.346391046E+17;726
2014-09-25 00:01:00;Kappa;635472000600000000;7
08-03-2012 12:01 AM;Theta;6.347954886E+17;58
2010-06-25 00:01:00;Omega;634130208600000000;562
2017-01-07T00:01:00.0000000;Delta;636,193,440,600,000,000.00000000;839
2012-01-01 00:02:00;Chi;634609729200000000;530
2017-07-14 00:01:00;Gamma;6.36356E+017;972
09-23-2013 12:01 AM;Omicron;6.351549126E+17;402
2014-05-08 00:01:00;Pi;635351040600000000;171
03-21-2014 12:01 AM;Upsilon;6.353095686E+17;47
2018-07-21T00:01:00.0000000;Alpha;636,677,280,600,000,000.00000000;295
2016-02-11 00:02:00;Theta;635907457200000000;706
2016-11-13T00:01:00.0000000;Delta;636,145,920,600,000,000.00000000;515
2014-12-29 00:02:00;Omicron;635554081200000000;686
10-15-2017 12:02 AM;Xi;6.364362252E+17;969
2019-05-04 00:01:00;Xi;636925248600000000;554
2014-08-27 00:01:00;Tau;6.35447E+017;880
04-11-2014 12:02 AM;Phi;6.353277132E+17;277
12-05-2012 12:02 AM;Chi;6.349026252E+17;769
01-08-2014 12:01 AM;Theta;6.352473606E+17;459
09-09-2011 12:01 AM;Tau;6.345112326E+17;23
2019-03-22 00:01:00;Pi;6.36888E+017;10
2018-12-02 00:02:00;Upsilon;6.36793E+017;749
2017-07-29 00:01:00;Phi;636368832600000000;409
2011-12-04 00:02:00;Nu;6.34586E+017;103
2010-11-14T00:01:00.0000000;Delta;634,252,896,600,000,000.00000000;968
02-25-2017 12:01 AM;Eta;6.362357766E+17;583
05-02-2018 12:01 AM;Chi;6.366081606E+17;462
01-01-2016 12:01 AM;Eta;6.358720326E+17;801
12-01-2014 12:01 AM;Iota;6.355298886E+17;25
2018-10-27 00:01:00;Lambda;6.36762E+017;100
2017-10-09 00:02:00;Chi;636431041200000000;417
05-30-2015 12:01 AM;Delta;6.356854086E+17;143
2018-05-07 00:01:00;Kappa;636612480600000000;928
2012-04-02 00:01:00;Gamma;634689216600000000;943
2010-07-26 00:01:00;Epsilon;634156992600000000;24
2015-09-08 00:02:00;Alpha;635772673200000000;722
05-21-2019 12:01 AM;Mu;6.369399366E+17;232
2017-10-03 00:01:00;Kappa;636425856600000000;26
2010-05-23 00:01:00;Eta;6.34102E+017;777
2018-09-14T00:01:00.0000000;Delta;636,724,800,600,000,000.00000000;211
10-02-2010 12:02 AM;Epsilon;6.342157452E+17;322
2012-08-15 00:01:00;Kappa;6.34806E+017;284
2019-09-15 00:02:00;Beta;637041025200000000;102
12-24-2017 12:02 AM;Xi;6.364967052E+17;582
12-20-2013 12:02 AM;Omicron;6.352309452E+17;31
2019-05-09 00:02:00;Lambda;636929569200000000;275
09-09-2018 12:01 AM;Zeta;6.367204806E+17;508
2017-06-21 00:01:00;Delta;636336000600000000;839
2014-08-03T00:01:00.0000000;Eta;635,426,208,600,000,000.00000000;544
04-27-2015 12:01 AM;Upsilon;6.356568966E+17;577
06-26-2018 12:02 AM;Psi;6.366556812E+17;629
2010-01-08 00:01:00;Mu;633985056600000000;942
07-26-2015 12:01 AM;Nu;6.357346566E+17;318
2010-05-16T00:01:00.0000000;Pi;634,095,648,600,000,000.00000000;80
05-18-2013 12:02 AM;Sigma;6.350443212E+17;856
2019-10-22 00:02:00;Kappa;6.37073E+017;738
01-30-2018 12:01 AM;Delta;6.365286726E+17;239
2017-10-06T00:02:00.0000000;Psi;636,428,449,200,000,000.00000000;794
2010-09-03T00:02:00.0000000;Delta;634,190,689,200,000,000.00000000;417
2014-04-12 00:02:00;Pi;635328577200000000;608
2015-11-04 00:01:00;Nu;6.35822E+017;722
2016-10-23 00:01:00;Psi;636127776600000000;439
12-12-2011 12:01 AM;Gamma;6.345924486E+17;465
2013-08-12 00:01:00;Kappa;6.35119E+017;560
2012-05-11T00:01:00.0000000;Lambda;634,722,912,600,000,000.00000000;955
07-30-2012 12:02 AM;Rho;6.347920332E+17;741
2010-09-16 00:02:00;Tau;634201921200000000;102
2014-06-25 00:02:00;Kappa;635392513200000000;40
11-10-2014 12:01 AM;Phi;6.355117446E+17;488
2011-06-16 00:02:00;Chi;634437793200000000;272
2010-10-09T00:01:00.0000000;Beta;634,221,792,600,000,000.00000000;204
2016-09-16 00:02:00;Omicron;636095809200000000;384
