TM;Category;unknown;Quantity
2014-10-29 00:01:00;Mu;635501376600000000;935
2011-07-29 00:01:00;Tau;634474944600000000;793
08-16-2019 12:01 AM;Beta;6.370151046E+17;808
01-13-2018 12:01 AM;Rho;6.365139846E+17;703
2012-03-20 00:01:00;Nu;634677984600000000;986
2012-06-03 00:01:00;Psi;6.34743E+017;764
2011-05-16 00:02:00;Upsilon;634411009200000000;882
05-27-2016 12:01 AM;Upsilon;6.359990406E+17;328
10-21-2015 12:01 AM;Omicron;6.358098246E+17;126
2010-06-07 00:02:00;Omicron;634114657200000000;767
11-02-2018 12:01 AM;Rho;6.367671366E+17;655
2012-04-28 00:01:00;Psi;6.34712E+017;312
2014-11-26 00:01:00;Pi;6.35526E+017;960
2018-03-25 00:01:00;Upsilon;6.36575E+017;224
2018-01-10 00:01:00;Theta;6.36511E+017;160
2018-02-11 00:01:00;Omicron;636539040600000000;304
2011-09-03 00:01:00;Omicron;634506048600000000;913
2012-05-14 00:01:00;Nu;634725504600000000;45
2011-07-30 00:02:00;Tau;6.34476E+017;127
2019-12-30T00:01:00.0000000;Nu;637,132,608,600,000,000.00000000;93
2015-08-23 00:01:00;Sigma;635758848600000000;850
05-22-2017 12:01 AM;Kappa;6.363100806E+17;306
2013-11-06T00:01:00.0000000;Iota;635,192,928,600,000,000.00000000;571
2017-06-25 00:01:00;Psi;6.36339E+017;266
2011-11-13T00:01:00.0000000;Zeta;634,567,392,600,000,000.00000000;633
2015-07-03 00:01:00;Chi;6.35715E+017;790
2010-11-22 00:01:00;Epsilon;6.34260E+017;207
2017-04-27 00:02:00;Sigma;636288481200000000;155
03-31-2017 12:01 AM;Tau;6.362651526E+17;286
2015-06-24 00:01:00;Rho;635707008600000000;135
10-16-2011 12:01 AM;Psi;6.345432006E+17;280
2010-11-20 00:01:00;Lambda;6.34258E+017;88
06-18-2015 12:01 AM;Psi;6.357018246E+17;453
2019-08-07T00:01:00.0000000;Theta;637,007,328,600,000,000.00000000;353
08-25-2010 12:01 AM;Beta;6.341829126E+17;869
2019-08-03 00:02:00;Lambda;637003873200000000;96
2018-05-12 00:02:00;Zeta;636616801200000000;582
12-01-2019 12:02 AM;Upsilon;6.371075532E+17;320
2016-10-08T00:02:00.0000000;Chi;636,114,817,200,000,000.00000000;514
2015-05-19T00:02:00.0000000;Chi;635,675,905,200,000,000.00000000;956
2017-06-16 00:01:00;Gamma;636331680600000000;473
04-03-2015 12:02 AM;Pi;6.356361612E+17;944
2011-12-03 00:01:00;Eta;634584672600000000;121
2013-06-10 00:01:00;Mu;635064192600000000;22
2014-02-08 00:02:00;Eta;6.35274E+017;87
09-11-2010 12:01 AM;Sigma;6.341976006E+17;139
2017-12-21 00:02:00;Epsilon;6.36494E+017;529
02-08-2010 12:01 AM;Kappa;6.340118406E+17;433
2013-01-26 00:01:00;Rho;6.34948E+017;823
2015-11-18T00:01:00.0000000;Psi;635,834,016,600,000,000.00000000;613
10-31-2018 12:01 AM;Sigma;6.367654086E+17;691
01-16-2018 12:01 AM;Upsilon;6.365165766E+17;850
05-12-2010 12:02 AM;Nu;6.340921932E+17;943
2010-06-22T00:02:00.0000000;Chi;634,127,617,200,000,000.00000000;754
08-07-2016 12:01 AM;Phi;6.360612486E+17;819
2011-01-15 00:01:00;Theta;6.34306E+017;138
03-07-2012 12:02 AM;Pi;6.346667532E+17;204
2012-05-14 00:01:00;Sigma;634725504600000000;570
2013-04-21 00:02:00;Nu;635020993200000000;22
2012-02-13 00:02:00;Eta;634646881200000000;55
2012-03-04 00:02:00;Omicron;6.34664E+017;911
2011-05-02 00:02:00;Alpha;6.34399E+017;602
09-30-2011 12:01 AM;Zeta;6.345293766E+17;0
2016-05-02 00:01:00;Epsilon;635977440600000000;779
11-25-2010 12:02 AM;Rho;6.342624012E+17;557
2018-10-07 00:01:00;Mu;636744672600000000;445
2013-01-04 00:02:00;Alpha;634928545200000000;216
2012-03-19 00:02:00;Psi;634677121200000000;906
2014-10-19 00:01:00;Pi;635492736600000000;480
2016-03-01 00:01:00;Omega;635923872600000000;199
2019-03-12T00:03:00.0000000;Tau;636,879,457,800,000,000.00000000;573
03-03-2014 12:02 AM;Lambda;6.352940172E+17;203
2019-07-04 00:01:00;Xi;636977952600000000;830
07-17-2017 12:02 AM;Omega;6.363584652E+17;756
2011-05-19 00:02:00;Epsilon;6.34414E+017;863
2011-05-31T00:02:00.0000000;Xi;634,423,969,200,000,000.00000000;423
07-26-2015 12:02 AM;Zeta;6.357346572E+17;170
2018-09-01 00:02:00;Epsilon;6.36714E+017;84
2010-08-03 00:01:00;Delta;6.34164E+017;229
08-24-2010 12:01 AM;Xi;6.341820486E+17;400
2012-02-15 00:01:00;Kappa;6.34649E+017;263
2015-04-16 00:01:00;Gamma;635647392600000000;867
08-04-2011 12:01 AM;Mu;6.344801286E+17;686
09-13-2010 12:02 AM;Omicron;6.341993292E+17;228
2010-10-11 00:02:00;Lambda;634223521200000000;642
03-25-2013 12:02 AM;Eta;6.349976652E+17;57
2018-02-08T00:01:00.0000000;Omicron;636,536,448,600,000,000.00000000;269
04-16-2011 12:02 AM;Nu;6.343850892E+17;658
06-13-2016 12:01 AM;Chi;6.360137286E+17;987
2010-05-02 00:02:00;Epsilon;634083553200000000;802
2018-11-21 00:03:00;Psi;636783553800000000;141
11-24-2016 12:03 AM;Alpha;6.361554258E+17;22
2013-04-04 00:01:00;Theta;635006304600000000;164
2018-04-10 00:02:00;Mu;6.36589E+017;943
2019-12-16 00:02:00;Lambda;6.37121E+017;370
2018-07-03T00:02:00.0000000;Iota;636,661,729,200,000,000.00000000;104
2014-03-14 00:01:00;Kappa;635303520600000000;240
02-07-2010 12:02 AM;Kappa;6.340109772E+17;394
2016-10-14 00:01:00;Rho;6.36120E+017;873
09-20-2014 12:02 AM;Gamma;6.354676812E+17;968
2019-04-16 00:01:00;Kappa;636909696600000000;828
02-18-2019 12:02 AM;Rho;6.368604492E+17;762
2017-05-30 00:01:00;Lambda;636316992600000000;700
2014-01-19 00:03:00;Delta;635256865800000000;850
07-17-2011 12:02 AM;Beta;6.344645772E+17;644
06-24-2018 12:01 AM;Delta;6.366539526E+17;922
2016-08-11 00:02:00;Mu;636064705200000000;862
2018-08-07 00:02:00;Chi;636691969200000000;62
2018-06-16 00:03:00;Omega;636647041800000000;514
06-22-2014 12:01 AM;Rho;6.353899206E+17;992
12-03-2018 12:02 AM;Eta;6.367939212E+17;634
2012-01-25 00:01:00;Gamma;634630464600000000;549
07-14-2012 12:02 AM;Rho;6.347782092E+17;109
09-01-2019 12:02 AM;Nu;6.370289292E+17;735
04-20-2016 12:01 AM;Sigma;6.359670726E+17;556
2016-11-14T00:02:00.0000000;Beta;636,146,785,200,000,000.00000000;773
2016-02-19 00:01:00;Lambda;635914368600000000;771
2014-07-12 00:02:00;Phi;635407201200000000;933
2013-06-09 00:03:00;Delta;635063329800000000;451
2011-01-07T00:02:00.0000000;Rho;634,299,553,200,000,000.00000000;617
2019-10-15T00:03:00.0000000;Omicron;637,066,945,800,000,000.00000000;682
2016-10-02 00:05:00;Epsilon;636109635000000000;662
2013-02-22 00:02:00;Psi;634970881200000000;882
2010-08-19 00:03:00;Lambda;6.34178E+017;164
11-20-2017 12:02 AM;Eta;6.364673292E+17;489
2014-06-14 00:01:00;Lambda;635383008600000000;211
2016-04-05 00:02:00;Theta;635954113200000000;116
2013-12-27 00:02:00;Psi;635236993200000000;224
