TM;Category;unknown;Quantity
06-15-2011 12:01 AM;Mu;6.344369286E+17;536
07-19-2017 12:01 AM;Pi;6.363601926E+17;197
2016-05-23 00:01:00;Xi;6.35996E+017;461
2016-08-02 00:01:00;Rho;6.36057E+017;390
07-03-2016 12:01 AM;Zeta;6.360310086E+17;586
2015-01-15T00:01:00.0000000;Gamma;635,568,768,600,000,000.00000000;592
2012-08-29 00:01:00;Sigma;634817952600000000;902
08-17-2019 12:01 AM;Eta;6.370159686E+17;252
2019-01-01T00:02:00.0000000;Tau;636,818,977,200,000,000.00000000;159
07-12-2012 12:01 AM;Tau;6.347764806E+17;185
12-29-2010 12:02 AM;Lambda;6.342917772E+17;162
07-10-2019 12:02 AM;Pi;6.369831372E+17;862
06-26-2019 12:01 AM;Zeta;6.369710406E+17;797
2016-11-18 00:01:00;Chi;636150240600000000;420
06-05-2019 12:01 AM;Phi;6.369528966E+17;194
2019-08-06T00:01:00.0000000;Pi;637,006,464,600,000,000.00000000;215
09-07-2019 12:01 AM;Upsilon;6.370341126E+17;791
2014-01-13 00:01:00;Epsilon;635251680600000000;942
2016-09-08 00:02:00;Omega;6.36089E+017;172
2019-07-04 00:01:00;Alpha;636977952600000000;821
2019-05-13 00:01:00;Lambda;6.36933E+017;149
2013-05-24 00:01:00;Pi;635049504600000000;538
2015-02-04 00:02:00;Omicron;635586049200000000;49
2017-01-24T00:02:00.0000000;Gamma;636,208,129,200,000,000.00000000;490
2011-06-06 00:01:00;Iota;634429152600000000;120
01-28-2013 12:01 AM;Gamma;6.349492806E+17;251
02-14-2019 12:01 AM;Kappa;6.368569926E+17;97
2013-10-04 00:03:00;Lambda;6.35164E+017;926
2018-07-05T00:01:00.0000000;Omicron;636,663,456,600,000,000.00000000;263
12-21-2018 12:02 AM;Xi;6.368094732E+17;570
2018-08-15 00:01:00;Psi;6.36699E+017;464
2011-07-26T00:01:00.0000000;Omicron;634,472,352,600,000,000.00000000;960
2011-09-22 00:01:00;Pi;634522464600000000;93
11-16-2018 12:01 AM;Iota;6.367792326E+17;906
2015-07-12 00:01:00;Gamma;635722560600000000;453
2012-02-26 00:01:00;Chi;634658112600000000;732
11-07-2016 12:02 AM;Upsilon;6.361407372E+17;233
01-24-2010 12:01 AM;Phi;6.339988806E+17;232
07-03-2011 12:01 AM;Mu;6.344524806E+17;52
2012-08-26T00:01:00.0000000;Sigma;634,815,360,600,000,000.00000000;365
2015-06-27T00:01:00.0000000;Epsilon;635,709,600,600,000,000.00000000;209
2015-01-10 00:01:00;Theta;635564448600000000;545
2017-01-30 00:01:00;Delta;6.36213E+017;850
2017-06-17 00:01:00;Sigma;636332544600000000;132
2015-07-16 00:01:00;Epsilon;635726016600000000;570
2017-03-16 00:01:00;Kappa;636252192600000000;23
12-16-2014 12:01 AM;Nu;6.355428486E+17;154
2010-07-31 00:02:00;Alpha;634161313200000000;851
2011-07-25T00:02:00.0000000;Alpha;634,471,489,200,000,000.00000000;354
10-10-2019 12:01 AM;Theta;6.370626246E+17;284
04-25-2015 12:01 AM;Chi;6.356551686E+17;128
2011-07-06 00:01:00;Theta;634455072600000000;582
2011-02-28 00:02:00;Gamma;634344481200000000;737
2019-02-10 00:02:00;Pi;636853537200000000;402
2015-07-12 00:01:00;Omega;635722560600000000;708
2019-08-29 00:01:00;Chi;637026336600000000;487
2015-07-11 00:01:00;Zeta;635721696600000000;296
06-26-2017 12:02 AM;Epsilon;6.363403212E+17;741
2017-02-28T00:02:00.0000000;Iota;636,238,369,200,000,000.00000000;464
2012-12-17 00:01:00;Lambda;634912992600000000;721
2011-09-18T00:01:00.0000000;Omicron;634,519,008,600,000,000.00000000;87
2012-06-16T00:02:00.0000000;Tau;634,754,017,200,000,000.00000000;803
2018-08-23 00:01:00;Chi;636705792600000000;110
2017-01-23 00:01:00;Beta;636207264600000000;442
2014-12-23 00:02:00;Epsilon;635548897200000000;125
01-09-2019 12:03 AM;Omega;6.368258898E+17;513
02-10-2015 12:03 AM;Mu;6.355912338E+17;675
2012-10-02T00:02:00.0000000;Omicron;634,847,329,200,000,000.00000000;848
2012-12-31T00:01:00.0000000;Rho;634,925,088,600,000,000.00000000;278
2011-12-05 00:01:00;Xi;6.34586E+017;686
