TM;Category;unknown;Quantity
02-25-2010 12:01 AM;Chi;6.340265286E+17;128
2012-03-21 00:01:00;Nu;634678848600000000;271
2015-08-04 00:01:00;Alpha;635742432600000000;765
08-29-2015 12:01 AM;Rho;6.357640326E+17;634
2010-01-12T00:01:00.0000000;Beta;633,988,512,600,000,000.00000000;658
01-05-2016 12:01 AM;Delta;6.358754886E+17;404
2013-03-18 00:01:00;Theta;634991616600000000;230
04-29-2013 12:01 AM;Chi;6.350279046E+17;283
2018-07-21T00:01:00.0000000;Kappa;636,677,280,600,000,000.00000000;4
2011-12-18T00:01:00.0000000;Sigma;634,597,632,600,000,000.00000000;447
2012-09-13 00:01:00;Nu;634830912600000000;128
2012-01-25 00:01:00;Omega;634630464600000000;112
2013-10-23 00:01:00;Gamma;6.35181E+017;475
02-18-2012 12:01 AM;Gamma;6.346512006E+17;96
2014-09-15 00:01:00;Lambda;6.35463E+017;902
2013-11-12 00:01:00;Upsilon;6.35198E+017;971
09-03-2013 12:02 AM;Omicron;6.351376332E+17;655
2015-08-19T00:01:00.0000000;Omicron;635,755,392,600,000,000.00000000;346
2019-08-30 00:01:00;Upsilon;6.37027E+017;720
2016-06-09 00:02:00;Iota;6.36010E+017;836
2011-05-21 00:01:00;Eta;6.34415E+017;617
2018-10-19 00:01:00;Xi;636755040600000000;953
2012-09-19 00:02:00;Tau;6.34836E+017;110
2011-01-05 00:01:00;Epsilon;634297824600000000;377
11-01-2018 12:01 AM;Pi;6.367662726E+17;822
2015-09-24 00:03:00;Lambda;635786497800000000;92
2017-02-14 00:01:00;Lambda;636226272600000000;967
10-11-2013 12:01 AM;Lambda;6.351704646E+17;230
2013-05-31 00:01:00;Mu;6.35056E+017;31
11-24-2011 12:02 AM;Kappa;6.345768972E+17;771
04-12-2013 12:01 AM;Mu;6.350132166E+17;509
04-08-2014 12:01 AM;Sigma;6.353251206E+17;550
09-09-2017 12:02 AM;Pi;6.364051212E+17;419
07-09-2019 12:01 AM;Delta;6.369822726E+17;649
05-07-2011 12:01 AM;Iota;6.344032326E+17;202
2015-08-16 00:02:00;Lambda;635752801200000000;111
2015-08-25 00:02:00;Tau;6.35761E+017;438
2018-06-21 00:02:00;Theta;6.36651E+017;31
2018-06-01 00:01:00;Mu;636634080600000000;305
2017-07-30 00:01:00;Alpha;6.36370E+017;399
01-19-2010 12:01 AM;Sigma;6.339945606E+17;732
2013-07-25 00:02:00;Omega;6.35103E+017;694
2019-04-24 00:01:00;Zeta;636916608600000000;937
2016-10-15 00:02:00;Omega;6.36121E+017;314
06-03-2014 12:02 AM;Epsilon;6.353735052E+17;965
2011-07-15 00:01:00;Omicron;6.34463E+017;183
11-05-2011 12:01 AM;Phi;6.345604806E+17;190
2013-02-20 00:01:00;Sigma;634969152600000000;650
2010-11-01 00:01:00;Theta;6.34242E+017;344
06-18-2014 12:01 AM;Rho;6.353864646E+17;346
2018-07-27 00:01:00;Xi;6.36682E+017;85
2012-10-28 00:01:00;Upsilon;6.34870E+017;135
2016-06-21T00:02:00.0000000;Kappa;636,020,641,200,000,000.00000000;250
2018-02-24 00:01:00;Tau;636550272600000000;274
2012-08-28T00:01:00.0000000;Delta;634,817,088,600,000,000.00000000;801
2017-04-28 00:01:00;Psi;636289344600000000;169
2011-05-11 00:01:00;Alpha;634406688600000000;657
11-12-2013 12:03 AM;Iota;6.351981138E+17;528
05-19-2012 12:02 AM;Chi;6.347298252E+17;340
2011-10-29 00:02:00;Xi;6.34554E+017;801
12-31-2010 12:01 AM;Kappa;6.342935046E+17;612
2016-10-24 00:02:00;Lambda;636128641200000000;728
2012-05-07 00:03:00;Psi;634719457800000000;626
12-08-2018 12:02 AM;Beta;6.367982412E+17;940
03-13-2011 12:01 AM;Alpha;6.343557126E+17;592
01-09-2015 12:01 AM;Beta;6.355635846E+17;837
2014-05-23T00:02:00.0000000;Eta;635,364,001,200,000,000.00000000;536
2014-04-17 00:03:00;Zeta;635332897800000000;202
06-03-2019 12:01 AM;Gamma;6.369511686E+17;143
08-04-2017 12:01 AM;Tau;6.363740166E+17;22
07-18-2016 12:01 AM;Zeta;6.360439686E+17;998
2011-05-18 00:01:00;Psi;634412736600000000;488
2015-10-15 00:01:00;Omicron;635804640600000000;710
2019-11-29 00:03:00;Nu;6.37106E+017;949
2012-01-20 00:02:00;Alpha;634626145200000000;447
2011-05-22 00:01:00;Kappa;6.34416E+017;257
01-21-2011 12:01 AM;Chi;6.343116486E+17;666
2016-03-02 00:02:00;Omega;635924737200000000;665
2014-07-30 00:02:00;Omega;635422753200000000;349
07-10-2013 12:01 AM;Lambda;6.350901126E+17;462
2011-04-14 00:01:00;Kappa;6.34383E+017;748
