TM;Category;unknown;Quantity
2012-11-26T00:01:00.0000000;Delta;634,894,848,600,000,000.00000000;222
10-25-2014 12:01 AM;Epsilon;6.354979206E+17;24
2018-05-13 00:01:00;Mu;636617664600000000;219
2016-09-21T00:01:00.0000000;Nu;636,100,128,600,000,000.00000000;718
2016-10-05 00:01:00;Gamma;636112224600000000;208
11-10-2015 12:01 AM;Nu;6.358271046E+17;140
2015-09-20 00:01:00;Tau;635783040600000000;781
2010-08-01 00:01:00;Psi;634162176600000000;634
03-24-2013 12:01 AM;Delta;6.349968006E+17;597
2019-06-12T00:01:00.0000000;Pi;636,958,944,600,000,000.00000000;438
2015-01-30 00:01:00;Nu;635581728600000000;457
2010-11-19 00:01:00;Psi;634257216600000000;208
2016-07-28T00:01:00.0000000;Chi;636,052,608,600,000,000.00000000;171
2010-07-26 00:01:00;Mu;634156992600000000;579
2013-02-08 00:01:00;Lambda;634958784600000000;797
02-21-2017 12:01 AM;Epsilon;6.362323206E+17;280
2015-09-29 00:01:00;Eta;6.35791E+017;487
2012-02-09T00:01:00.0000000;Omicron;634,643,424,600,000,000.00000000;367
2010-02-18 00:01:00;Zeta;634020480600000000;115
2010-04-11T00:01:00.0000000;Xi;634,065,408,600,000,000.00000000;556
2013-05-07T00:01:00.0000000;Theta;635,034,816,600,000,000.00000000;913
02-18-2018 12:02 AM;Alpha;6.365450892E+17;285
2017-10-09 00:01:00;Chi;636431040600000000;162
2016-05-02 00:02:00;Kappa;635977441200000000;667
2017-07-04 00:02:00;Zeta;636347233200000000;521
07-14-2018 12:02 AM;Delta;6.366712332E+17;435
2015-06-26T00:01:00.0000000;Upsilon;635,708,736,600,000,000.00000000;656
2011-09-16 00:01:00;Xi;634517280600000000;212
2018-12-19 00:01:00;Upsilon;6.36808E+017;821
03-06-2014 12:02 AM;Lambda;6.352966092E+17;277
2011-12-16 00:01:00;Omicron;634595904600000000;519
02-19-2017 12:02 AM;Epsilon;6.362305932E+17;38
2019-02-09 00:01:00;Mu;636852672600000000;421
2012-05-31 00:01:00;Sigma;634740192600000000;825
09-10-2011 12:01 AM;Tau;6.345120966E+17;208
2011-05-19 00:01:00;Epsilon;634413600600000000;567
2015-10-12T00:01:00.0000000;Theta;635,802,048,600,000,000.00000000;45
07-11-2012 12:02 AM;Delta;6.347756172E+17;652
2019-07-15 00:01:00;Alpha;636987456600000000;941
2013-03-03 00:01:00;Beta;6.34979E+017;371
05-28-2015 12:01 AM;Alpha;6.356836806E+17;674
2019-05-25T00:01:00.0000000;Pi;636,943,392,600,000,000.00000000;309
2018-08-14 00:01:00;Gamma;6.36698E+017;490
2016-12-19T00:01:00.0000000;Nu;636,177,024,600,000,000.00000000;784
2019-01-26 00:01:00;Omicron;6.36841E+017;171
2016-01-27 00:01:00;Chi;635894496600000000;385
07-17-2012 12:01 AM;Tau;6.347808006E+17;188
2018-09-04 00:01:00;Mu;6.36716E+017;740
2019-08-02 00:03:00;Upsilon;637003009800000000;725
2012-12-11 00:02:00;Xi;634907809200000000;92
2010-09-18 00:02:00;Pi;634203649200000000;173
03-12-2010 12:03 AM;Lambda;6.340394898E+17;149
2014-08-09 00:02:00;Gamma;6.35431E+017;248
2011-04-27T00:01:00.0000000;Omicron;634,394,592,600,000,000.00000000;889
2012-05-31 00:02:00;Sigma;634740193200000000;382
01-13-2019 12:01 AM;Theta;6.368293446E+17;144
2014-12-14 00:01:00;Alpha;6.35541E+017;201
2018-01-11 00:01:00;Eta;6.36512E+017;769
2019-07-19T00:02:00.0000000;Phi;636,990,913,200,000,000.00000000;375
2017-04-05 00:01:00;Kappa;636269472600000000;300
2018-04-09 00:02:00;Zeta;6.36588E+017;551
2011-06-03T00:01:00.0000000;Sigma;634,426,560,600,000,000.00000000;901
2019-05-26T00:01:00.0000000;Omega;636,944,256,600,000,000.00000000;558
2014-08-19 00:01:00;Rho;635440032600000000;520
2014-03-28T00:02:00.0000000;Kappa;635,315,617,200,000,000.00000000;110
08-24-2010 12:01 AM;Lambda;6.341820486E+17;985
04-24-2015 12:02 AM;Eta;6.356543052E+17;974
2010-03-22T00:02:00.0000000;Iota;634,048,129,200,000,000.00000000;922
2018-08-13 00:01:00;Omega;636697152600000000;853
04-03-2011 12:01 AM;Phi;6.343738566E+17;17
01-13-2013 12:02 AM;Tau;6.349363212E+17;768
2010-03-23T00:04:00.0000000;Omicron;634,048,994,400,000,000.00000000;487
2016-10-07T00:01:00.0000000;Sigma;636,113,952,600,000,000.00000000;805
11-06-2016 12:01 AM;Iota;6.361398726E+17;402
08-26-2015 12:02 AM;Theta;6.357614412E+17;878
2016-07-12 00:01:00;Gamma;636038784600000000;962
2013-08-30 00:02:00;Rho;6.35134E+017;715
2017-01-08 00:02:00;Sigma;636194305200000000;556
11-04-2011 12:02 AM;Chi;6.345596172E+17;390
08-27-2016 12:01 AM;Omega;6.360785286E+17;218
02-01-2013 12:01 AM;Chi;6.349527366E+17;249
2016-09-02 00:03:00;Kappa;636083713800000000;356
2011-04-22 00:03:00;Lambda;634390273800000000;419
2014-09-09T00:02:00.0000000;Xi;635,458,177,200,000,000.00000000;295
2019-07-15 00:01:00;Iota;636987456600000000;135
2011-07-08T00:02:00.0000000;Pi;634,456,801,200,000,000.00000000;699
2010-12-03 00:03:00;Tau;634269313800000000;329
2013-10-14 00:01:00;Beta;635173056600000000;517
2010-12-25 00:02:00;Sigma;6.34288E+017;173
2010-06-07 00:03:00;Xi;634114657800000000;609
2017-03-01T00:03:00.0000000;Lambda;636,239,233,800,000,000.00000000;646
2014-04-15T00:02:00.0000000;Upsilon;635,331,169,200,000,000.00000000;515
01-15-2011 12:02 AM;Nu;6.343064652E+17;582
05-22-2011 12:02 AM;Beta;6.344161932E+17;657
2015-07-18 00:01:00;Delta;635727744600000000;579
2014-10-31T00:02:00.0000000;Zeta;635,503,105,200,000,000.00000000;221
2013-10-17T00:01:00.0000000;Delta;635,175,648,600,000,000.00000000;543
07-27-2013 12:01 AM;Kappa;6.351048006E+17;226
2014-01-30 00:02:00;Chi;635266369200000000;271
02-14-2013 12:01 AM;Beta;6.349639686E+17;20
03-30-2017 12:01 AM;Kappa;6.362642886E+17;754
2010-03-22T00:02:00.0000000;Omega;634,048,129,200,000,000.00000000;998
2013-07-15 00:02:00;Mu;635094433200000000;721
2011-04-25 00:01:00;Chi;634392864600000000;924
2013-06-27 00:01:00;Tau;635078880600000000;66
10-03-2016 12:02 AM;Chi;6.361104972E+17;527
03-29-2018 12:01 AM;Tau;6.365787846E+17;811
2013-06-29T00:02:00.0000000;Gamma;635,080,609,200,000,000.00000000;379
2011-02-11 00:01:00;Zeta;634329792600000000;519
2018-10-16 00:02:00;Alpha;636752449200000000;954
2015-07-30T00:03:00.0000000;Alpha;635,738,113,800,000,000.00000000;842
02-02-2017 12:01 AM;Omega;6.362159046E+17;165
12-27-2017 12:02 AM;Eta;6.364992972E+17;692
2018-06-02 00:03:00;Upsilon;6.36635E+017;935
05-13-2015 12:02 AM;Alpha;6.356707212E+17;977
06-07-2018 12:01 AM;Mu;6.366392646E+17;239
08-04-2017 12:01 AM;Mu;6.363740166E+17;726
2014-08-18 00:02:00;Chi;635439169200000000;284
2019-12-28T00:02:00.0000000;Upsilon;637,130,881,200,000,000.00000000;665
2014-08-07 00:02:00;Epsilon;635429665200000000;321
2019-12-31 00:02:00;Psi;637133473200000000;435
07-12-2014 12:01 AM;Zeta;6.354072006E+17;294
2012-06-18 00:02:00;Delta;634755745200000000;872
04-06-2015 12:01 AM;Psi;6.356387526E+17;895
2011-04-09T00:01:00.0000000;Pi;634,379,040,600,000,000.00000000;809
2015-06-27 00:02:00;Psi;635709601200000000;336
2015-01-31T00:02:00.0000000;Iota;635,582,593,200,000,000.00000000;538
04-13-2012 12:01 AM;Alpha;6.346987206E+17;766
09-14-2015 12:03 AM;Psi;6.357778578E+17;704
2010-04-29T00:02:00.0000000;Omega;634,080,961,200,000,000.00000000;308
2016-03-01 00:01:00;Iota;635923872600000000;866
2010-06-09 00:02:00;Lambda;6.34116E+017;4
02-17-2019 12:01 AM;Sigma;6.368595846E+17;623
2010-05-18T00:02:00.0000000;Kappa;634,097,377,200,000,000.00000000;49
2011-07-11 00:02:00;Omega;634459393200000000;214
06-15-2015 12:02 AM;Psi;6.356992332E+17;297
2017-10-12 00:02:00;Alpha;6.36434E+017;457
2016-09-16 00:03:00;Kappa;636095809800000000;882
2012-09-30 00:02:00;Alpha;634845601200000000;320
2013-06-30T00:02:00.0000000;Tau;635,081,473,200,000,000.00000000;562
07-14-2011 12:03 AM;Chi;6.344619858E+17;606
2014-08-09 00:02:00;Delta;6.35431E+017;50
10-17-2011 12:02 AM;Rho;6.345440652E+17;839
12-07-2012 12:01 AM;Alpha;6.349043526E+17;438
2019-08-26 00:02:00;Pi;637023745200000000;449
2011-07-31 00:02:00;Nu;6.34477E+017;32
2010-12-21 00:03:00;Xi;634284865800000000;563
2011-01-08T00:01:00.0000000;Omicron;634,300,416,600,000,000.00000000;738
2019-11-01 00:02:00;Omicron;637081633200000000;909
04-14-2012 12:03 AM;Pi;6.346995858E+17;345
2013-09-16 00:02:00;Tau;6.35149E+017;653
