TM;Category;unknown;Quantity
2010-03-02 00:01:00;Omicron;634030848600000000;467
2010-03-02 00:01:00;Theta;634030848600000000;650
07-16-2017 12:01 AM;Rho;6.363576006E+17;698
2018-02-11 00:01:00;Chi;636539040600000000;596
2019-04-04 00:01:00;Kappa;636899328600000000;274
2015-03-05 00:01:00;Epsilon;635611104600000000;626
2016-06-27 00:01:00;Epsilon;6.36026E+017;384
2019-01-19T00:01:00.0000000;Psi;636,834,528,600,000,000.00000000;186
02-22-2011 12:01 AM;Alpha;6.343392966E+17;584
01-01-2011 12:01 AM;Theta;6.342943686E+17;718
02-01-2012 12:01 AM;Zeta;6.346365126E+17;813
2018-11-10 00:01:00;Pi;636774048600000000;600
2013-06-18 00:02:00;Theta;6.35071E+017;292
2019-05-26T00:01:00.0000000;Pi;636,944,256,600,000,000.00000000;211
01-09-2013 12:01 AM;Eta;6.349328646E+17;302
2010-08-04 00:01:00;Kappa;6.34165E+017;226
11-20-2011 12:01 AM;Upsilon;6.345734406E+17;644
2017-06-02 00:02:00;Tau;636319585200000000;905
01-29-2014 12:01 AM;Nu;6.352655046E+17;717
2011-11-28 00:01:00;Alpha;634580352600000000;511
06-25-2013 12:01 AM;Psi;6.350771526E+17;640
2010-12-02T00:02:00.0000000;Phi;634,268,449,200,000,000.00000000;164
07-11-2014 12:01 AM;Lambda;6.354063366E+17;890
2016-10-13 00:01:00;Iota;6.36119E+017;831
2017-04-28 00:01:00;Iota;636289344600000000;387
2013-11-25 00:01:00;Nu;635209344600000000;936
2018-01-27 00:01:00;Delta;6.36526E+017;758
2014-12-15 00:01:00;Phi;6.35542E+017;889
06-12-2016 12:01 AM;Epsilon;6.360128646E+17;940
2014-01-16T00:02:00.0000000;Phi;635,254,273,200,000,000.00000000;514
08-13-2014 12:01 AM;Chi;6.354348486E+17;583
01-02-2010 12:02 AM;Omicron;6.339798732E+17;165
10-10-2014 12:01 AM;Omicron;6.354849606E+17;164
02-26-2010 12:01 AM;Chi;6.340273926E+17;399
2011-03-19 00:01:00;Iota;634360896600000000;428
2016-07-08 00:01:00;Omicron;636035328600000000;491
2014-08-27 00:01:00;Theta;6.35447E+017;424
2015-09-02 00:01:00;Kappa;635767488600000000;193
2018-08-06 00:01:00;Delta;636691104600000000;586
06-15-2010 12:02 AM;Rho;6.341215692E+17;272
2012-04-01 00:02:00;Zeta;634688353200000000;541
2010-10-09T00:01:00.0000000;Nu;634,221,792,600,000,000.00000000;799
2012-03-16T00:01:00.0000000;Sigma;634,674,528,600,000,000.00000000;621
2018-10-07 00:02:00;Kappa;6.36745E+017;734
2013-10-22 00:01:00;Xi;635179968600000000;502
2017-05-17 00:02:00;Alpha;636305761200000000;763
2015-11-06 00:02:00;Tau;6.35824E+017;243
2019-07-21 00:01:00;Zeta;636992640600000000;1
05-01-2019 12:02 AM;Tau;6.369226572E+17;257
2010-05-25 00:01:00;Psi;6.34103E+017;174
2017-08-31T00:01:00.0000000;Lambda;636,397,344,600,000,000.00000000;473
2011-10-31 00:01:00;Beta;6.34556E+017;329
03-06-2019 12:02 AM;Rho;6.368742732E+17;417
2013-11-26 00:01:00;Lambda;635210208600000000;821
2017-07-05T00:02:00.0000000;Nu;636,348,097,200,000,000.00000000;69
2010-03-24T00:01:00.0000000;Epsilon;634,049,856,600,000,000.00000000;921
2012-02-07 00:01:00;Kappa;634641696600000000;460
04-18-2011 12:01 AM;Mu;6.343868166E+17;999
2012-01-06 00:02:00;Xi;634614049200000000;959
2014-12-24 00:01:00;Delta;635549760600000000;825
2011-12-05 00:02:00;Alpha;6.34586E+017;707
09-29-2016 12:01 AM;Chi;6.361070406E+17;606
11-14-2019 12:01 AM;Alpha;6.370928646E+17;222
2014-08-08 00:01:00;Omicron;635430528600000000;450
05-19-2013 12:01 AM;Lambda;6.350451846E+17;530
06-18-2014 12:01 AM;Chi;6.353864646E+17;550
09-15-2016 12:01 AM;Alpha;6.360949446E+17;72
2012-11-15 00:01:00;Epsilon;6.34885E+017;771
08-01-2011 12:03 AM;Xi;6.344775378E+17;72
09-06-2013 12:01 AM;Omega;6.351402246E+17;922
2013-02-27 00:01:00;Chi;634975200600000000;259
2019-10-20 00:01:00;Omicron;637071264600000000;534
2019-10-03 00:02:00;Phi;637056577200000000;343
2018-01-06 00:02:00;Lambda;636507937200000000;305
11-02-2011 12:01 AM;Alpha;6.345578886E+17;946
2014-12-11 00:01:00;Xi;635538528600000000;729
2019-12-18 00:01:00;Alpha;6.37122E+017;830
12-22-2018 12:02 AM;Phi;6.368103372E+17;287
08-06-2016 12:01 AM;Beta;6.360603846E+17;636
2013-12-16 00:02:00;Beta;6.35227E+017;473
08-15-2014 12:02 AM;Theta;6.354365772E+17;660
2016-09-01T00:01:00.0000000;Beta;636,082,848,600,000,000.00000000;254
12-06-2017 12:02 AM;Omega;6.364811532E+17;992
2011-03-05 00:03:00;Gamma;634348801800000000;78
12-31-2015 12:02 AM;Omega;6.358711692E+17;373
2011-01-22 00:01:00;Pi;634312512600000000;411
2019-01-02 00:02:00;Eta;636819841200000000;842
02-18-2019 12:02 AM;Alpha;6.368604492E+17;620
12-11-2010 12:01 AM;Beta;6.342762246E+17;523
2016-06-04T00:02:00.0000000;Iota;636,005,953,200,000,000.00000000;124
2013-04-03 00:02:00;Pi;635005441200000000;35
09-24-2019 12:01 AM;Zeta;6.370488006E+17;243
2018-12-18 00:02:00;Gamma;6.36807E+017;202
2011-03-08 00:01:00;Omicron;6.34351E+017;621
09-20-2019 12:04 AM;Kappa;6.370453464E+17;690
2013-03-18 00:01:00;Beta;634991616600000000;17
2010-08-15T00:02:00.0000000;Zeta;634,174,273,200,000,000.00000000;855
2016-07-31 00:02:00;Zeta;636055201200000000;386
10-22-2015 12:02 AM;Alpha;6.358106892E+17;160
2017-09-05 00:02:00;Lambda;6.36402E+017;131
2011-07-23 00:01:00;Chi;634469760600000000;710
07-24-2015 12:02 AM;Omega;6.357329292E+17;274
2015-12-10 00:02:00;Tau;6.35853E+017;330
08-14-2014 12:01 AM;Mu;6.354357126E+17;162
07-04-2010 12:02 AM;Tau;6.341379852E+17;567
12-06-2017 12:02 AM;Alpha;6.364811532E+17;489
04-24-2010 12:02 AM;Zeta;6.340766412E+17;728
03-07-2012 12:02 AM;Omicron;6.346667532E+17;22
2016-11-01 00:02:00;Pi;6.36136E+017;922
02-18-2012 12:02 AM;Upsilon;6.346512012E+17;197
2011-03-22 00:02:00;Beta;634363489200000000;147
11-25-2010 12:01 AM;Sigma;6.342624006E+17;21
2012-10-06 00:02:00;Iota;634850785200000000;75
2019-02-24T00:02:00.0000000;Chi;636,865,633,200,000,000.00000000;944
2012-06-19 00:02:00;Omega;634756609200000000;475
2019-07-25 00:02:00;Delta;6.36996E+017;810
2019-06-19 00:02:00;Chi;6.36965E+017;339
2015-01-20 00:02:00;Gamma;6.35573E+017;460
2019-11-08 00:04:00;Pi;6.37088E+017;177
2016-05-20 00:02:00;Rho;635992993200000000;1
2011-10-02 00:02:00;Delta;634531105200000000;134
2010-11-17 00:02:00;Iota;634255489200000000;991
2017-06-24 00:02:00;Beta;6.36339E+017;642
2018-10-18T00:03:00.0000000;Tau;636,754,177,800,000,000.00000000;453
2016-12-27 00:01:00;Alpha;6.36184E+017;954
06-23-2019 12:03 AM;Psi;6.369684498E+17;782
2015-03-09T00:01:00.0000000;Kappa;635,614,560,600,000,000.00000000;845
2019-08-22 00:02:00;Nu;637020289200000000;955
2012-07-02 00:01:00;Xi;634767840600000000;876
2012-08-25T00:03:00.0000000;Sigma;634,814,497,800,000,000.00000000;721
2014-08-25 00:01:00;Pi;635445216600000000;47
2018-09-28 00:02:00;Delta;636736897200000000;441
11-30-2019 12:02 AM;Tau;6.371066892E+17;986
2014-04-05 00:01:00;Iota;6.35323E+017;629
2012-10-18 00:02:00;Beta;634861153200000000;147
09-23-2018 12:02 AM;Omicron;6.367325772E+17;71
10-19-2011 12:02 AM;Omicron;6.345457932E+17;896
2019-09-26 00:02:00;Epsilon;637050529200000000;17
2015-11-24 00:02:00;Upsilon;6.35839E+017;233
2013-03-02 00:02:00;Psi;6.34978E+017;949
12-03-2018 12:02 AM;Tau;6.367939212E+17;700
08-21-2012 12:01 AM;Upsilon;6.348110406E+17;72
06-17-2014 12:03 AM;Gamma;6.353856018E+17;137
2016-08-18 00:02:00;Beta;636070753200000000;777
2013-10-02 00:04:00;Nu;6.35163E+017;304
10-10-2019 12:03 AM;Zeta;6.370626258E+17;237
2011-10-24T00:03:00.0000000;Lambda;634,550,113,800,000,000.00000000;994
2017-11-26T00:03:00.0000000;Eta;636,472,513,800,000,000.00000000;344
09-06-2019 12:02 AM;Rho;6.370332492E+17;571
2019-03-31T00:02:00.0000000;Nu;636,895,873,200,000,000.00000000;264
2017-09-01 00:01:00;Kappa;636398208600000000;78
2018-03-03 00:03:00;Chi;6.36556E+017;979
05-22-2012 12:03 AM;Gamma;6.347324178E+17;545
2014-09-09 00:03:00;Sigma;635458177800000000;274
2013-11-09 00:03:00;Psi;6.35196E+017;508
2011-02-09 00:01:00;Theta;634328064600000000;453
2015-11-03 00:03:00;Psi;6.35821E+017;57
11-19-2011 12:03 AM;Nu;6.345725778E+17;278
2019-10-19T00:01:00.0000000;Tau;637,070,400,600,000,000.00000000;891
2014-05-26 00:02:00;Zeta;635366593200000000;490
2019-09-17 00:03:00;Psi;6.37043E+017;41
2012-01-10 00:04:00;Omega;6.34618E+017;79
2015-05-18T00:04:00.0000000;Gamma;635,675,042,400,000,000.00000000;496
09-24-2018 12:03 AM;Zeta;6.367334418E+17;353
2011-08-15 00:03:00;Xi;634489633800000000;34
12-12-2011 12:02 AM;Sigma;6.345924492E+17;34
2018-09-21 00:01:00;Delta;6.36731E+017;294
2012-11-03 00:03:00;Gamma;634874977800000000;235
03-02-2015 12:02 AM;Upsilon;6.356085132E+17;336
02-02-2018 12:01 AM;Omicron;6.365312646E+17;868
2012-11-08 00:03:00;Rho;634879297800000000;823
03-11-2017 12:03 AM;Tau;6.362478738E+17;239
09-23-2013 12:03 AM;Psi;6.351549138E+17;489
11-30-2014 12:03 AM;Phi;6.355290258E+17;353
01-14-2012 12:04 AM;Kappa;6.346209624E+17;269
2010-02-15T00:01:00.0000000;Upsilon;634,017,888,600,000,000.00000000;854
2012-12-28 00:01:00;Zeta;634922496600000000;768
2010-06-26 00:02:00;Zeta;634131073200000000;2
2012-08-05 00:01:00;Mu;634797216600000000;731
2012-06-13 00:02:00;Upsilon;634751425200000000;145
01-30-2013 12:02 AM;Delta;6.349510092E+17;785
12-09-2011 12:02 AM;Zeta;6.345898572E+17;532
2017-01-11 00:02:00;Chi;6.36197E+017;382
02-14-2019 12:02 AM;Mu;6.368569932E+17;561
2018-11-12 00:02:00;Delta;6.36776E+017;604
