TM;Category;unknown;Quantity
03-10-2019 12:01 AM;Alpha;6.368777286E+17;711
10-27-2019 12:02 AM;Rho;6.370773132E+17;376
2016-02-12 00:01:00;Zeta;635908320600000000;395
2017-06-24 00:01:00;Rho;6.36339E+017;514
2012-06-18 00:02:00;Theta;634755745200000000;28
2011-07-24 00:01:00;Gamma;634470624600000000;775
05-22-2012 12:01 AM;Nu;6.347324166E+17;692
05-31-2014 12:01 AM;Tau;6.353709126E+17;732
2019-03-16 00:02:00;Xi;636882913200000000;662
07-24-2010 12:01 AM;Mu;6.341552646E+17;271
01-23-2015 12:01 AM;Iota;6.355756806E+17;661
11-28-2014 12:01 AM;Pi;6.355272966E+17;907
2013-03-14T00:01:00.0000000;Zeta;634,988,160,600,000,000.00000000;599
12-31-2010 12:01 AM;Zeta;6.342935046E+17;664
2016-04-28T00:01:00.0000000;Upsilon;635,973,984,600,000,000.00000000;139
2018-02-16 00:01:00;Omicron;6.36543E+017;505
2017-08-14 00:01:00;Gamma;636382656600000000;291
2019-07-26 00:01:00;Epsilon;6.36997E+017;426
2019-04-19T00:01:00.0000000;Rho;636,912,288,600,000,000.00000000;575
2019-12-26 00:01:00;Epsilon;637129152600000000;133
2010-03-30 00:01:00;Psi;6.34055E+017;509
2013-12-13 00:01:00;Eta;635224896600000000;639
07-25-2015 12:01 AM;Gamma;6.357337926E+17;388
2010-08-22 00:01:00;Theta;6.34180E+017;264
12-05-2019 12:02 AM;Rho;6.371110092E+17;731
2017-05-31T00:02:00.0000000;Rho;636,317,857,200,000,000.00000000;308
2012-03-25 00:01:00;Zeta;6.34682E+017;230
2017-09-03 00:01:00;Tau;636399936600000000;717
2018-11-28 00:01:00;Lambda;636789600600000000;148
12-27-2017 12:02 AM;Gamma;6.364992972E+17;383
07-26-2015 12:01 AM;Rho;6.357346566E+17;776
2012-05-14 00:01:00;Upsilon;634725504600000000;24
05-11-2015 12:01 AM;Omicron;6.356689926E+17;453
2012-09-16T00:01:00.0000000;Phi;634,833,504,600,000,000.00000000;502
2016-03-28 00:01:00;Nu;6.35947E+017;555
11-09-2015 12:01 AM;Rho;6.358262406E+17;728
06-13-2016 12:02 AM;Lambda;6.360137292E+17;677
11-05-2016 12:01 AM;Omega;6.361390086E+17;259
2018-12-16 00:02:00;Lambda;636805153200000000;949
11-11-2014 12:01 AM;Upsilon;6.355126086E+17;77
2014-08-28 00:02:00;Omega;6.35448E+017;121
05-02-2018 12:01 AM;Xi;6.366081606E+17;144
04-17-2011 12:01 AM;Zeta;6.343859526E+17;25
2018-09-15T00:02:00.0000000;Iota;636,725,665,200,000,000.00000000;771
2010-03-11 00:02:00;Iota;6.34039E+017;627
2011-12-16 00:01:00;Pi;634595904600000000;144
12-13-2016 12:01 AM;Alpha;6.361718406E+17;663
2011-07-08T00:01:00.0000000;Kappa;634,456,800,600,000,000.00000000;784
2011-07-27T00:01:00.0000000;Upsilon;634,473,216,600,000,000.00000000;691
01-31-2018 12:01 AM;Omega;6.365295366E+17;365
2019-01-03 00:01:00;Epsilon;636820704600000000;946
2015-11-05 00:02:00;Nu;6.35823E+017;659
09-06-2012 12:02 AM;Xi;6.348248652E+17;35
2012-11-10 00:01:00;Tau;634881024600000000;542
2011-02-17 00:02:00;Phi;6.34335E+017;302
2010-01-12 00:02:00;Pi;633988513200000000;447
07-25-2015 12:01 AM;Chi;6.357337926E+17;912
07-04-2015 12:02 AM;Zeta;6.357156492E+17;7
2015-03-24 00:02:00;Alpha;635627521200000000;612
2011-03-25 00:02:00;Omega;634366081200000000;665
10-31-2018 12:02 AM;Nu;6.367654092E+17;65
2016-09-21T00:01:00.0000000;Epsilon;636,100,128,600,000,000.00000000;710
2015-04-16 00:01:00;Beta;635647392600000000;227
2015-02-06 00:03:00;Iota;6.35588E+017;633
2012-01-19 00:02:00;Psi;634625281200000000;621
2011-06-25 00:03:00;Pi;6.34446E+017;610
03-05-2019 12:03 AM;Gamma;6.368734098E+17;96
2015-09-04 00:01:00;Kappa;635769216600000000;652
2012-12-03 00:01:00;Omicron;6.34901E+017;410
2011-08-16 00:01:00;Delta;634490496600000000;34
2018-07-21T00:02:00.0000000;Omicron;636,677,281,200,000,000.00000000;177
2012-03-03 00:01:00;Alpha;634663296600000000;952
2010-02-22 00:02:00;Psi;6.34024E+017;229
04-29-2019 12:02 AM;Rho;6.369209292E+17;61
2017-05-11 00:01:00;Epsilon;636300576600000000;558
2018-09-19 00:01:00;Alpha;636729120600000000;24
2017-07-07T00:01:00.0000000;Omega;636,349,824,600,000,000.00000000;587
2015-09-21 00:02:00;Kappa;635783905200000000;2
2012-01-05T00:02:00.0000000;Lambda;634,613,185,200,000,000.00000000;484
2017-11-14 00:01:00;Beta;636462144600000000;61
04-02-2016 12:01 AM;Iota;6.359515206E+17;332
06-07-2019 12:01 AM;Phi;6.369546246E+17;266
2013-11-10 00:02:00;Psi;6.35196E+017;685
2016-06-21T00:01:00.0000000;Iota;636,020,640,600,000,000.00000000;403
2017-09-20 00:03:00;Phi;636414625800000000;739
2016-11-14T00:02:00.0000000;Eta;636,146,785,200,000,000.00000000;57
2014-03-13 00:02:00;Gamma;635302657200000000;916
2010-05-13 00:02:00;Phi;634093057200000000;464
12-29-2011 12:02 AM;Delta;6.346071372E+17;58
07-02-2010 12:02 AM;Psi;6.341362572E+17;407
2011-06-19T00:03:00.0000000;Rho;634,440,385,800,000,000.00000000;214
2018-02-14 00:02:00;Kappa;6.36542E+017;62
2012-11-02 00:03:00;Psi;634874113800000000;829
2016-12-25 00:03:00;Eta;6.36182E+017;932
2019-03-17 00:01:00;Alpha;636883776600000000;586
2013-07-23 00:02:00;Mu;635101345200000000;882
07-14-2013 12:01 AM;Zeta;6.350935686E+17;244
2015-04-13T00:02:00.0000000;Phi;635,644,801,200,000,000.00000000;381
2011-12-20 00:02:00;Chi;634599361200000000;776
09-17-2014 12:02 AM;Phi;6.354650892E+17;470
2011-11-08 00:02:00;Delta;634563073200000000;149
2014-10-14T00:03:00.0000000;Chi;635,488,417,800,000,000.00000000;933
07-28-2013 12:04 AM;Omega;6.351056664E+17;959
2015-11-30 00:03:00;Omicron;635844385800000000;568
2013-04-22 00:02:00;Lambda;635021857200000000;930
10-18-2010 12:02 AM;Phi;6.342295692E+17;77
2013-02-28 00:03:00;Pi;6.34976E+017;643
2010-03-02 00:01:00;Pi;634030848600000000;200
2017-10-13 00:01:00;Phi;6.36434E+017;283
2018-02-26T00:03:00.0000000;Chi;636,552,001,800,000,000.00000000;656
2010-06-04T00:01:00.0000000;Nu;634,112,064,600,000,000.00000000;820
2017-09-18T00:02:00.0000000;Theta;636,412,897,200,000,000.00000000;268
09-25-2012 12:01 AM;Beta;6.348412806E+17;542
09-15-2016 12:01 AM;Omega;6.360949446E+17;105
02-24-2010 12:02 AM;Pi;6.340256652E+17;499
12-17-2015 12:03 AM;Kappa;6.358590738E+17;326
2018-05-22 00:04:00;Psi;636625442400000000;824
04-14-2012 12:02 AM;Iota;6.346995852E+17;364
02-22-2010 12:04 AM;Alpha;6.340239384E+17;745
2019-08-24T00:02:00.0000000;Phi;637,022,017,200,000,000.00000000;864
01-28-2013 12:02 AM;Rho;6.349492812E+17;311
2016-05-17T00:02:00.0000000;Lambda;635,990,401,200,000,000.00000000;617
02-16-2014 12:02 AM;Pi;6.352810572E+17;651
04-20-2011 12:01 AM;Mu;6.343885446E+17;641
2012-09-12 00:02:00;Theta;634830049200000000;856
06-02-2015 12:02 AM;Zeta;6.356880012E+17;787
2019-02-26 00:02:00;Nu;636867361200000000;611
12-20-2014 12:02 AM;Lambda;6.355463052E+17;846
2010-06-06 00:03:00;Iota;634113793800000000;170
09-05-2012 12:02 AM;Phi;6.348240012E+17;328
2012-11-08 00:03:00;Kappa;634879297800000000;310
2010-02-18 00:02:00;Psi;634020481200000000;155
2019-02-03 00:01:00;Psi;636847488600000000;619
2013-11-19 00:02:00;Theta;635204161200000000;31
2010-01-10T00:02:00.0000000;Phi;633,986,785,200,000,000.00000000;944
10-28-2013 12:02 AM;Omega;6.351851532E+17;412
2014-02-22T00:02:00.0000000;Phi;635,286,241,200,000,000.00000000;944
12-19-2015 12:01 AM;Kappa;6.358608006E+17;723
2013-07-25 00:03:00;Epsilon;6.35103E+017;724
10-11-2012 12:01 AM;Mu;6.348551046E+17;183
12-11-2017 12:02 AM;Alpha;6.364854732E+17;751
04-10-2014 12:02 AM;Gamma;6.353268492E+17;508
2019-10-22 00:01:00;Xi;637072992600000000;380
2016-07-13 00:02:00;Iota;636039649200000000;729
12-02-2018 12:03 AM;Chi;6.367930578E+17;908
2010-05-17T00:01:00.0000000;Theta;634,096,512,600,000,000.00000000;674
2013-04-09 00:01:00;Omicron;6.35011E+017;430
01-02-2017 12:01 AM;Omega;6.361891206E+17;860
11-02-2010 12:04 AM;Delta;6.342425304E+17;399
11-03-2010 12:04 AM;Epsilon;6.342433944E+17;219
2013-06-18 00:03:00;Phi;6.35071E+017;683
01-28-2019 12:01 AM;Beta;6.368423046E+17;975
2017-12-18 00:02:00;Gamma;636491521200000000;121
2011-07-12 00:03:00;Xi;6.34460E+017;492
07-19-2010 12:03 AM;Xi;6.341509458E+17;10
11-20-2017 12:03 AM;Epsilon;6.364673298E+17;453
2017-12-20 00:03:00;Nu;6.36493E+017;41
08-08-2010 12:03 AM;Delta;6.341682258E+17;969
2014-11-02T00:02:00.0000000;Chi;635,504,833,200,000,000.00000000;909
12-21-2018 12:03 AM;Pi;6.368094738E+17;180
2013-04-16 00:02:00;Theta;635016673200000000;53
2016-10-31 00:02:00;Lambda;6.36135E+017;367
2010-01-11T00:02:00.0000000;Sigma;633,987,649,200,000,000.00000000;357
07-11-2012 12:04 AM;Eta;6.347756184E+17;866
2013-08-27 00:04:00;Mu;6.35132E+017;993
2012-03-30 00:04:00;Gamma;634686626400000000;331
05-03-2018 12:02 AM;Iota;6.366090252E+17;684
2010-10-23 00:02:00;Upsilon;634233889200000000;465
2014-05-20T00:04:00.0000000;Nu;635,361,410,400,000,000.00000000;648
07-16-2017 12:05 AM;Epsilon;6.36357603E+17;528
2018-01-09 00:04:00;Delta;6.36511E+017;41
2019-12-08 00:02:00;Chi;637113601200000000;469
06-23-2014 12:01 AM;Theta;6.353907846E+17;665
2017-11-26T00:03:00.0000000;Mu;636,472,513,800,000,000.00000000;639
08-28-2015 12:03 AM;Alpha;6.357631698E+17;331
2014-03-05 00:04:00;Omicron;635295746400000000;912
07-11-2018 12:03 AM;Omega;6.366686418E+17;501
2017-04-11 00:02:00;Xi;636274657200000000;956
05-21-2019 12:01 AM;Omega;6.369399366E+17;43
2011-02-11T00:02:00.0000000;Upsilon;634,329,793,200,000,000.00000000;736
2014-12-29 00:03:00;Tau;635554081800000000;660
07-26-2013 12:03 AM;Iota;6.351039378E+17;714
12-11-2016 12:02 AM;Zeta;6.361701132E+17;90
2012-05-05 00:04:00;Pi;634717730400000000;273
06-19-2015 12:02 AM;Tau;6.357026892E+17;523
01-23-2015 12:03 AM;Mu;6.355756818E+17;884
2018-11-13 00:02:00;Iota;6.36777E+017;267
2014-07-17 00:03:00;Omega;635411521800000000;63
2017-01-31 00:02:00;Upsilon;6.36214E+017;550
2013-12-12 00:02:00;Phi;635224033200000000;223
09-19-2013 12:03 AM;Delta;6.351514578E+17;83
2016-05-11 00:03:00;Omega;635985217800000000;358
08-13-2015 12:02 AM;Alpha;6.357502092E+17;614
2017-04-06T00:02:00.0000000;Pi;636,270,337,200,000,000.00000000;49
2016-08-11 00:01:00;Xi;636064704600000000;390
04-18-2011 12:03 AM;Xi;6.343868178E+17;958
2019-12-14 00:01:00;Epsilon;637118784600000000;641
03-17-2016 12:02 AM;Gamma;6.359376972E+17;876
09-27-2017 12:04 AM;Phi;6.364206744E+17;858
01-18-2011 12:02 AM;Mu;6.343090572E+17;955
2012-04-06 00:02:00;Pi;634692673200000000;941
2013-07-03 00:01:00;Kappa;635084064600000000;880
2014-03-08 00:03:00;Phi;635298337800000000;116
2017-03-04 00:02:00;Delta;636241825200000000;310
2010-01-30 00:02:00;Omega;634004065200000000;963
2012-02-11 00:03:00;Nu;634645153800000000;350
2013-12-17 00:03:00;Chi;6.35228E+017;870
2018-12-13T00:02:00.0000000;Sigma;636,802,561,200,000,000.00000000;202
2018-04-26 00:02:00;Omega;636602977200000000;370
2019-01-23 00:02:00;Iota;636837985200000000;788
02-24-2011 12:02 AM;Beta;6.343410252E+17;289
2010-03-02 00:03:00;Pi;634030849800000000;861
2011-02-12T00:03:00.0000000;Eta;634,330,657,800,000,000.00000000;9
2011-08-11T00:03:00.0000000;Zeta;634,486,177,800,000,000.00000000;571
2013-09-06 00:04:00;Delta;635140226400000000;249
04-30-2019 12:03 AM;Rho;6.369217938E+17;517
2014-10-15 00:03:00;Chi;635489281800000000;439
2010-01-08T00:03:00.0000000;Delta;633,985,057,800,000,000.00000000;289
2019-05-30 00:03:00;Eta;6.36948E+017;754
2012-06-13T00:03:00.0000000;Nu;634,751,425,800,000,000.00000000;886
2019-01-18T00:02:00.0000000;Alpha;636,833,665,200,000,000.00000000;867
03-09-2017 12:04 AM;Nu;6.362461464E+17;8
2017-03-04 00:04:00;Pi;636241826400000000;834
08-08-2010 12:04 AM;Nu;6.341682264E+17;729
2011-04-04 00:02:00;Upsilon;634374721200000000;895
2016-06-05 00:03:00;Zeta;636006817800000000;987
06-11-2016 12:03 AM;Omicron;6.360120018E+17;733
09-22-2012 12:03 AM;Chi;6.348386898E+17;25
2016-02-16T00:02:00.0000000;Upsilon;635,911,777,200,000,000.00000000;194
05-26-2011 12:03 AM;Tau;6.344196498E+17;64
