TM;Category;unknown;Quantity
2011-03-18 00:01:00;Beta;634360032600000000;22
11-13-2019 12:01 AM;Tau;6.370920006E+17;512
2012-04-23T00:01:00.0000000;Gamma;634,707,360,600,000,000.00000000;887
2012-03-21 00:01:00;Upsilon;634678848600000000;285
2015-11-05 00:02:00;Alpha;6.35823E+017;619
2014-01-19 00:01:00;Rho;635256864600000000;160
2015-12-21 00:01:00;Zeta;635862528600000000;10
2017-02-17 00:01:00;Sigma;6.36229E+017;435
08-05-2011 12:01 AM;Phi;6.344809926E+17;848
04-09-2015 12:01 AM;Gamma;6.356413446E+17;958
2012-10-02T00:01:00.0000000;Sigma;634,847,328,600,000,000.00000000;204
11-02-2011 12:01 AM;Theta;6.345578886E+17;746
2016-01-08 00:01:00;Sigma;635878080600000000;510
04-10-2014 12:01 AM;Xi;6.353268486E+17;445
2012-07-19 00:01:00;Kappa;634782528600000000;203
2019-01-07 00:01:00;Nu;6.36824E+017;999
2011-04-14 00:01:00;Iota;6.34383E+017;568
2013-04-06 00:01:00;Omega;635008032600000000;356
2010-06-10 00:01:00;Beta;6.34117E+017;476
2011-06-01T00:01:00.0000000;Kappa;634,424,832,600,000,000.00000000;457
2017-04-11 00:01:00;Iota;636274656600000000;923
2014-04-18T00:01:00.0000000;Kappa;635,333,760,600,000,000.00000000;970
2015-10-28 00:01:00;Eta;635815872600000000;555
07-20-2016 12:01 AM;Upsilon;6.360456966E+17;154
2011-08-11 00:01:00;Xi;634486176600000000;411
03-26-2012 12:01 AM;Sigma;6.346831686E+17;103
2017-09-21 00:01:00;Alpha;636415488600000000;550
2012-01-01 00:01:00;Lambda;634609728600000000;937
2013-07-23 00:01:00;Delta;635101344600000000;736
2013-03-29 00:01:00;Omega;635001120600000000;347
08-19-2013 12:01 AM;Omega;6.351246726E+17;376
2014-10-01 00:01:00;Iota;635477184600000000;642
2019-08-09 00:01:00;Psi;637009056600000000;400
2010-09-18 00:02:00;Xi;634203649200000000;873
2017-03-19T00:02:00.0000000;Beta;636,254,785,200,000,000.00000000;338
2015-10-09 00:02:00;Omega;635799457200000000;952
2012-06-14 00:01:00;Mu;634752288600000000;635
2016-02-02 00:01:00;Iota;635899680600000000;270
2013-01-16 00:03:00;Upsilon;634938913800000000;776
2016-02-21 00:01:00;Chi;6.35916E+017;305
2012-07-10 00:01:00;Omega;6.34775E+017;517
01-03-2010 12:02 AM;Upsilon;6.339807372E+17;619
05-21-2018 12:01 AM;Delta;6.366245766E+17;568
2019-04-24 00:01:00;Phi;636916608600000000;401
2013-09-16 00:01:00;Omega;635148864600000000;961
01-13-2013 12:02 AM;Beta;6.349363212E+17;558
01-22-2010 12:01 AM;Chi;6.339971526E+17;754
2016-08-29 00:01:00;Pi;636080256600000000;326
2019-04-21 00:02:00;Beta;636914017200000000;277
2011-10-14 00:01:00;Xi;6.34541E+017;123
2011-07-09T00:01:00.0000000;Theta;634,457,664,600,000,000.00000000;914
2012-07-06 00:03:00;Rho;634771297800000000;522
03-29-2011 12:01 AM;Alpha;6.343695366E+17;29
2011-11-14 00:02:00;Beta;634568257200000000;435
04-06-2015 12:02 AM;Lambda;6.356387532E+17;466
2017-08-25 00:03:00;Eta;636392161800000000;913
2015-08-16T00:03:00.0000000;Pi;635,752,801,800,000,000.00000000;642
05-29-2015 12:02 AM;Chi;6.356845452E+17;597
2012-05-15 00:01:00;Iota;634726368600000000;215
2016-01-27 00:01:00;Alpha;635894496600000000;937
2019-04-15 00:02:00;Sigma;636908833200000000;169
2019-03-11 00:01:00;Lambda;636878592600000000;120
01-01-2011 12:03 AM;Gamma;6.342943698E+17;84
11-20-2012 12:01 AM;Xi;6.348896646E+17;471
2017-12-15 00:01:00;Chi;636488928600000000;137
12-21-2014 12:02 AM;Tau;6.355471692E+17;156
2017-04-11 00:02:00;Epsilon;636274657200000000;318
2016-12-18T00:02:00.0000000;Lambda;636,176,161,200,000,000.00000000;339
2013-08-08 00:02:00;Alpha;635115169200000000;80
2013-01-08 00:01:00;Xi;6.34932E+017;703
09-20-2019 12:03 AM;Kappa;6.370453458E+17;185
2014-01-22 00:02:00;Delta;6.35259E+017;995
11-23-2017 12:01 AM;Eta;6.364699206E+17;456
08-23-2010 12:02 AM;Eta;6.341811852E+17;701
08-20-2012 12:02 AM;Nu;6.348101772E+17;130
07-26-2019 12:03 AM;Tau;6.369969618E+17;777
2018-10-08 00:02:00;Epsilon;6.36746E+017;561
2014-06-15 00:02:00;Xi;6.35384E+017;910
2014-11-17 00:01:00;Tau;635517792600000000;131
2018-01-27 00:02:00;Nu;6.36526E+017;595
2017-12-18 00:02:00;Rho;636491521200000000;483
2018-04-06T00:01:00.0000000;Eta;636,585,696,600,000,000.00000000;956
05-06-2016 12:02 AM;Iota;6.359808972E+17;454
2010-02-01 00:01:00;Kappa;634005792600000000;860
2013-04-25 00:02:00;Psi;6.35024E+017;128
02-24-2010 12:02 AM;Delta;6.340256652E+17;929
2012-02-10T00:02:00.0000000;Rho;634,644,289,200,000,000.00000000;948
2014-03-09T00:03:00.0000000;Sigma;635,299,201,800,000,000.00000000;7
2018-02-09T00:03:00.0000000;Theta;636,537,313,800,000,000.00000000;867
11-07-2015 12:01 AM;Alpha;6.358245126E+17;509
2014-10-04 00:01:00;Eta;6.35480E+017;279
2018-03-01 00:02:00;Alpha;636554593200000000;825
2016-11-30T00:03:00.0000000;Kappa;636,160,609,800,000,000.00000000;11
2016-11-26 00:03:00;Beta;636157153800000000;875
2013-03-30 00:02:00;Pi;635001985200000000;828
2019-01-19T00:01:00.0000000;Phi;636,834,528,600,000,000.00000000;806
2010-07-17 00:02:00;Alpha;6.34149E+017;25
2010-12-06 00:02:00;Chi;634271905200000000;293
2019-05-09 00:03:00;Lambda;636929569800000000;932
03-27-2012 12:03 AM;Kappa;6.346840338E+17;586
04-10-2019 12:01 AM;Delta;6.369045126E+17;381
2016-09-23 00:02:00;Alpha;636101857200000000;916
12-10-2016 12:02 AM;Mu;6.361692492E+17;738
10-27-2013 12:01 AM;Sigma;6.351842886E+17;307
2015-09-06T00:02:00.0000000;Chi;635,770,945,200,000,000.00000000;683
2016-05-01 00:02:00;Alpha;635976577200000000;876
06-06-2013 12:02 AM;Pi;6.350607372E+17;418
10-15-2018 12:02 AM;Nu;6.367515852E+17;656
12-27-2011 12:02 AM;Omega;6.346054092E+17;695
2017-05-31T00:02:00.0000000;Delta;636,317,857,200,000,000.00000000;782
2019-08-01 00:03:00;Epsilon;637002145800000000;585
2019-08-12 00:02:00;Upsilon;6.37012E+017;372
2011-10-07T00:02:00.0000000;Xi;634,535,425,200,000,000.00000000;70
2013-02-21 00:03:00;Pi;634970017800000000;298
2015-05-22 00:02:00;Xi;635678497200000000;848
12-13-2011 12:01 AM;Zeta;6.345933126E+17;880
2015-03-25T00:02:00.0000000;Mu;635,628,385,200,000,000.00000000;965
01-29-2018 12:02 AM;Iota;6.365278092E+17;19
2017-10-20 00:03:00;Delta;636440545800000000;887
2015-02-15 00:03:00;Sigma;635595553800000000;511
10-17-2017 12:01 AM;Theta;6.364379526E+17;635
11-30-2019 12:03 AM;Upsilon;6.371066898E+17;874
02-02-2011 12:02 AM;Omicron;6.343220172E+17;660
11-18-2017 12:04 AM;Chi;6.364656024E+17;382
2017-03-07 00:02:00;Iota;6.36244E+017;552
08-23-2017 12:01 AM;Nu;6.363904326E+17;962
09-02-2019 12:01 AM;Upsilon;6.370297926E+17;368
2013-07-19T00:01:00.0000000;Phi;635,097,888,600,000,000.00000000;782
2012-04-18 00:02:00;Kappa;634703041200000000;108
2010-11-13T00:02:00.0000000;Beta;634,252,033,200,000,000.00000000;985
2015-01-20 00:01:00;Delta;6.35573E+017;866
2010-02-23 00:01:00;Omega;6.34025E+017;32
11-07-2010 12:01 AM;Gamma;6.342468486E+17;457
04-11-2012 12:03 AM;Psi;6.346969938E+17;674
2011-11-07 00:02:00;Omicron;634562209200000000;597
2015-06-27 00:03:00;Theta;635709601800000000;961
09-07-2012 12:01 AM;Psi;6.348257286E+17;906
10-28-2018 12:02 AM;Zeta;6.367628172E+17;919
2019-01-19T00:02:00.0000000;Eta;636,834,529,200,000,000.00000000;815
2014-06-25 00:01:00;Beta;635392512600000000;677
2019-05-10 00:01:00;Tau;636930432600000000;374
2015-10-28T00:02:00.0000000;Mu;635,815,873,200,000,000.00000000;168
2018-08-27T00:03:00.0000000;Delta;636,709,249,800,000,000.00000000;763
2010-09-16 00:02:00;Chi;634201921200000000;492
2012-03-16T00:02:00.0000000;Rho;634,674,529,200,000,000.00000000;448
2019-10-23 00:01:00;Omega;6.37074E+017;939
05-20-2017 12:04 AM;Chi;6.363083544E+17;742
2012-10-05 00:03:00;Eta;634849921800000000;71
02-04-2018 12:01 AM;Theta;6.365329926E+17;369
11-15-2012 12:02 AM;Mu;6.348853452E+17;725
04-17-2017 12:02 AM;Mu;6.362798412E+17;632
2017-11-29 00:03:00;Lambda;636475105800000000;723
10-13-2011 12:03 AM;Pi;6.345406098E+17;662
06-22-2014 12:01 AM;Pi;6.353899206E+17;687
2012-11-10 00:02:00;Kappa;634881025200000000;326
2014-10-03 00:02:00;Iota;6.35479E+017;427
2016-03-19 00:02:00;Iota;635939425200000000;468
04-04-2016 12:02 AM;Chi;6.359532492E+17;106
