TM;Category;unknown;Quantity
04-21-2010 12:01 AM;Gamma;6.340740486E+17;846
2019-05-31 00:01:00;Psi;6.36949E+017;830
2010-10-29 00:01:00;Delta;634239072600000000;669
04-18-2017 12:02 AM;Psi;6.362807052E+17;982
2017-02-12T00:01:00.0000000;Iota;636,224,544,600,000,000.00000000;985
2012-10-05 00:01:00;Xi;634849920600000000;34
11-01-2017 12:01 AM;Pi;6.364509126E+17;365
2015-09-23T00:01:00.0000000;Sigma;635,785,632,600,000,000.00000000;67
07-19-2010 12:01 AM;Pi;6.341509446E+17;919
2010-03-05T00:01:00.0000000;Theta;634,033,440,600,000,000.00000000;92
2010-10-31 00:01:00;Zeta;634240800600000000;480
2018-04-24T00:01:00.0000000;Iota;636,601,248,600,000,000.00000000;12
2015-07-02 00:01:00;Upsilon;6.35714E+017;466
02-07-2017 12:01 AM;Psi;6.362202246E+17;827
11-10-2014 12:02 AM;Rho;6.355117452E+17;733
2018-09-02 00:02:00;Upsilon;6.36714E+017;263
06-10-2011 12:01 AM;Beta;6.344326086E+17;862
09-17-2014 12:02 AM;Omega;6.354650892E+17;442
2017-01-29 00:01:00;Tau;636212448600000000;607
2014-05-24T00:01:00.0000000;Epsilon;635,364,864,600,000,000.00000000;528
2016-03-10 00:01:00;Tau;6.35932E+017;858
2010-04-13 00:01:00;Beta;634067136600000000;950
04-03-2016 12:01 AM;Omicron;6.359523846E+17;856
2017-08-10 00:01:00;Tau;636379200600000000;261
2012-06-14T00:03:00.0000000;Omega;634,752,289,800,000,000.00000000;90
2019-01-22 00:01:00;Theta;636837120600000000;978
2012-11-15 00:01:00;Rho;6.34885E+017;242
01-02-2010 12:01 AM;Omicron;6.339798726E+17;892
2014-10-31T00:03:00.0000000;Pi;635,503,105,800,000,000.00000000;444
03-17-2016 12:02 AM;Upsilon;6.359376972E+17;920
10-21-2016 12:01 AM;Delta;6.361260486E+17;526
01-11-2019 12:01 AM;Omega;6.368276166E+17;415
2015-09-22T00:02:00.0000000;Zeta;635,784,769,200,000,000.00000000;943
2012-09-16 00:02:00;Eta;634833505200000000;584
2018-04-09 00:02:00;Theta;6.36588E+017;708
2016-04-11T00:01:00.0000000;Rho;635,959,296,600,000,000.00000000;478
2017-10-02 00:01:00;Delta;636424992600000000;421
2016-11-14T00:01:00.0000000;Theta;636,146,784,600,000,000.00000000;78
10-17-2017 12:01 AM;Zeta;6.364379526E+17;841
2012-08-08T00:01:00.0000000;Epsilon;634,799,808,600,000,000.00000000;44
04-21-2017 12:01 AM;Rho;6.362832966E+17;685
11-07-2011 12:01 AM;Rho;6.345622086E+17;412
2010-09-06 00:01:00;Rho;634193280600000000;644
08-16-2014 12:01 AM;Omega;6.354374406E+17;749
2018-06-23 00:01:00;Eta;6.36653E+017;148
05-23-2012 12:01 AM;Theta;6.347332806E+17;948
2012-07-25 00:02:00;Epsilon;634787713200000000;853
11-09-2015 12:02 AM;Nu;6.358262412E+17;580
03-08-2019 12:01 AM;Kappa;6.368760006E+17;619
2012-06-20 00:01:00;Rho;634757472600000000;786
2019-05-30 00:02:00;Mu;6.36948E+017;772
11-08-2015 12:01 AM;Chi;6.358253766E+17;935
2012-06-20 00:01:00;Pi;634757472600000000;610
2013-11-10 00:01:00;Nu;6.35196E+017;390
2013-06-27 00:01:00;Eta;635078880600000000;661
2013-11-25 00:01:00;Mu;635209344600000000;102
12-07-2017 12:02 AM;Eta;6.364820172E+17;839
2015-06-24 00:01:00;Delta;635707008600000000;733
03-12-2017 12:02 AM;Rho;6.362487372E+17;20
2017-05-01 00:02:00;Mu;6.36292E+017;772
2016-04-12 00:02:00;Zeta;635960161200000000;226
2011-09-01T00:01:00.0000000;Rho;634,504,320,600,000,000.00000000;914
2016-11-14T00:01:00.0000000;Chi;636,146,784,600,000,000.00000000;370
09-21-2014 12:01 AM;Psi;6.354685446E+17;635
2017-06-04 00:01:00;Zeta;636321312600000000;72
2018-12-19 00:01:00;Eta;6.36808E+017;988
2011-01-13 00:01:00;Chi;6.34305E+017;12
2017-09-03 00:01:00;Gamma;636399936600000000;245
07-19-2016 12:02 AM;Alpha;6.360448332E+17;738
2019-01-06 00:01:00;Psi;6.36823E+017;919
2012-04-22T00:02:00.0000000;Pi;634,706,497,200,000,000.00000000;262
08-23-2011 12:01 AM;Gamma;6.344965446E+17;288
2017-09-22 00:02:00;Kappa;6.36416E+017;131
2014-07-23 00:01:00;Beta;6.35417E+017;614
2011-01-31 00:01:00;Gamma;6.34320E+017;853
2019-01-04 00:02:00;Rho;636821569200000000;249
2013-07-23 00:01:00;Upsilon;635101344600000000;819
2011-12-20 00:02:00;Sigma;634599361200000000;36
12-28-2017 12:01 AM;Iota;6.365001606E+17;7
02-14-2014 12:01 AM;Eta;6.352793286E+17;787
2018-05-07 00:01:00;Zeta;636612480600000000;511
2013-05-13 00:02:00;Upsilon;6.35040E+017;643
2015-02-25 00:01:00;Upsilon;6.35604E+017;835
2019-06-19 00:03:00;Zeta;6.36965E+017;141
05-08-2017 12:02 AM;Delta;6.362979852E+17;470
2011-01-07T00:02:00.0000000;Phi;634,299,553,200,000,000.00000000;486
2015-07-14T00:02:00.0000000;Beta;635,724,289,200,000,000.00000000;332
2016-09-25 00:01:00;Theta;6.36104E+017;548
2013-09-17 00:01:00;Pi;6.35150E+017;397
04-20-2017 12:01 AM;Eta;6.362824326E+17;379
12-22-2017 12:04 AM;Delta;6.364949784E+17;425
03-02-2015 12:03 AM;Xi;6.356085138E+17;425
2019-12-17 00:01:00;Omega;6.37121E+017;604
04-09-2013 12:03 AM;Tau;6.350106258E+17;146
2015-06-04 00:02:00;Mu;635689729200000000;176
2012-10-23 00:03:00;Theta;634865473800000000;58
2018-12-17 00:02:00;Omicron;636806017200000000;106
2013-10-02 00:01:00;Zeta;635162688600000000;102
03-21-2015 12:02 AM;Theta;6.356249292E+17;309
2014-11-02T00:03:00.0000000;Zeta;635,504,833,800,000,000.00000000;299
2010-09-10 00:01:00;Omega;6.34197E+017;326
2011-06-18 00:01:00;Alpha;634439520600000000;886
2017-07-10 00:02:00;Omicron;636352417200000000;2
2014-10-16 00:03:00;Sigma;635490145800000000;947
06-29-2011 12:02 AM;Epsilon;6.344490252E+17;520
2012-01-05T00:02:00.0000000;Xi;634,613,185,200,000,000.00000000;525
12-18-2015 12:02 AM;Delta;6.358599372E+17;260
2019-04-18T00:03:00.0000000;Upsilon;636,911,425,800,000,000.00000000;639
06-14-2010 12:02 AM;Iota;6.341207052E+17;563
2018-12-10 00:02:00;Chi;636799969200000000;344
10-16-2011 12:02 AM;Lambda;6.345432012E+17;678
06-10-2017 12:01 AM;Omicron;6.363264966E+17;342
2013-09-12T00:02:00.0000000;Theta;635,145,409,200,000,000.00000000;336
10-06-2014 12:02 AM;Gamma;6.354815052E+17;338
03-17-2015 12:03 AM;Gamma;6.356214738E+17;128
2012-08-11 00:01:00;Phi;634802400600000000;351
07-20-2016 12:03 AM;Theta;6.360456978E+17;617
2010-06-30 00:01:00;Upsilon;6.34135E+017;442
2015-08-02 00:02:00;Kappa;635740705200000000;75
2011-02-11T00:02:00.0000000;Phi;634,329,793,200,000,000.00000000;891
09-24-2017 12:04 AM;Nu;6.364180824E+17;629
2017-08-17 00:03:00;Upsilon;6.36385E+017;808
2017-07-28 00:02:00;Kappa;636367969200000000;142
2015-06-11 00:02:00;Omicron;635695777200000000;778
2014-12-09T00:02:00.0000000;Iota;635,536,801,200,000,000.00000000;628
2011-05-02 00:03:00;Xi;6.34399E+017;797
09-10-2011 12:02 AM;Chi;6.345120972E+17;448
2014-04-03 00:01:00;Mu;635320800600000000;332
03-22-2013 12:02 AM;Delta;6.349950732E+17;46
09-28-2011 12:02 AM;Zeta;6.345276492E+17;288
2018-02-14 00:02:00;Epsilon;6.36542E+017;856
07-08-2014 12:02 AM;Eta;6.354037452E+17;338
2013-05-24T00:03:00.0000000;Lambda;635,049,505,800,000,000.00000000;398
01-14-2018 12:01 AM;Phi;6.365148486E+17;460
07-17-2012 12:01 AM;Zeta;6.347808006E+17;112
2011-09-22 00:02:00;Mu;634522465200000000;197
2014-07-20 00:02:00;Lambda;635414113200000000;885
2018-01-27 00:01:00;Lambda;6.36526E+017;829
06-24-2018 12:02 AM;Xi;6.366539532E+17;816
2012-12-15 00:03:00;Upsilon;634911265800000000;78
04-24-2015 12:02 AM;Alpha;6.356543052E+17;355
2019-04-01T00:02:00.0000000;Omega;636,896,737,200,000,000.00000000;798
10-17-2017 12:03 AM;Nu;6.364379538E+17;889
2015-01-18 00:02:00;Nu;6.35571E+017;705
11-02-2017 12:03 AM;Chi;6.364517778E+17;347
2016-09-20T00:03:00.0000000;Theta;636,099,265,800,000,000.00000000;691
2017-07-13 00:02:00;Delta;6.36355E+017;962
2012-09-17 00:02:00;Pi;634834369200000000;36
2019-05-25T00:02:00.0000000;Xi;636,943,393,200,000,000.00000000;130
2011-05-20 00:03:00;Beta;6.34414E+017;974
02-07-2017 12:01 AM;Eta;6.362202246E+17;926
10-07-2019 12:02 AM;Upsilon;6.370600332E+17;312
2017-07-06 00:04:00;Sigma;636348962400000000;57
09-23-2018 12:03 AM;Rho;6.367325778E+17;242
2011-03-08 00:02:00;Mu;6.34351E+017;44
07-28-2013 12:02 AM;Eta;6.351056652E+17;308
