TM;Category;unknown;Quantity
12-22-2018 12:01 AM;Alpha;6.368103366E+17;304
06-21-2014 12:01 AM;Epsilon;6.353890566E+17;493
2012-08-08T00:01:00.0000000;Xi;634,799,808,600,000,000.00000000;496
01-05-2016 12:01 AM;Chi;6.358754886E+17;478
2010-11-18 00:01:00;Epsilon;634256352600000000;747
2014-05-28 00:01:00;Chi;6.35368E+017;428
2010-07-08 00:01:00;Nu;634141440600000000;254
07-10-2019 12:01 AM;Pi;6.369831366E+17;666
2018-11-23 00:01:00;Beta;636785280600000000;914
2011-02-28 00:01:00;Chi;634344480600000000;491
2018-11-29 00:01:00;Phi;636790464600000000;843
01-08-2015 12:01 AM;Tau;6.355627206E+17;27
2018-07-20 00:01:00;Rho;636676416600000000;485
09-09-2017 12:01 AM;Beta;6.364051206E+17;186
03-30-2011 12:01 AM;Epsilon;6.343704006E+17;123
01-24-2015 12:01 AM;Omicron;6.355765446E+17;513
2014-10-31 00:01:00;Zeta;635503104600000000;971
2010-07-07 00:01:00;Rho;634140576600000000;36
10-26-2014 12:01 AM;Kappa;6.354987846E+17;107
09-23-2012 12:01 AM;Alpha;6.348395526E+17;191
2011-11-10 00:01:00;Tau;634564800600000000;820
01-13-2018 12:01 AM;Iota;6.365139846E+17;814
08-05-2017 12:01 AM;Omicron;6.363748806E+17;529
11-01-2017 12:01 AM;Epsilon;6.364509126E+17;364
07-17-2010 12:03 AM;Mu;6.341492178E+17;177
2014-10-04 00:01:00;Tau;6.35480E+017;898
10-23-2014 12:02 AM;Delta;6.354961932E+17;172
2013-12-29T00:01:00.0000000;Chi;635,238,720,600,000,000.00000000;368
2016-10-05 00:01:00;Xi;636112224600000000;42
09-22-2019 12:01 AM;Gamma;6.370470726E+17;297
2013-12-26 00:02:00;Upsilon;635236129200000000;340
02-18-2013 12:01 AM;Tau;6.349674246E+17;919
2016-06-07 00:01:00;Epsilon;636008544600000000;656
2012-10-03T00:01:00.0000000;Upsilon;634,848,192,600,000,000.00000000;489
12-14-2015 12:01 AM;Epsilon;6.358564806E+17;439
05-02-2013 12:02 AM;Tau;6.350304972E+17;674
04-07-2014 12:01 AM;Alpha;6.353242566E+17;639
2015-06-14 00:02:00;Kappa;6.35698E+017;738
2019-02-02 00:01:00;Nu;636846624600000000;998
08-14-2014 12:01 AM;Pi;6.354357126E+17;956
2016-10-13 00:02:00;Pi;6.36119E+017;58
08-02-2017 12:03 AM;Xi;6.363722898E+17;495
2016-07-26 00:01:00;Phi;636050880600000000;49
2011-05-17 00:02:00;Omega;634411873200000000;455
09-08-2011 12:01 AM;Upsilon;6.345103686E+17;346
10-14-2012 12:01 AM;Chi;6.348576966E+17;124
12-12-2010 12:01 AM;Mu;6.342770886E+17;374
2010-01-31 00:01:00;Epsilon;634004928600000000;866
05-31-2015 12:02 AM;Gamma;6.356862732E+17;621
04-23-2015 12:01 AM;Sigma;6.356534406E+17;166
01-28-2014 12:01 AM;Eta;6.352646406E+17;666
2014-10-29 00:01:00;Chi;635501376600000000;801
2017-04-22 00:02:00;Phi;636284161200000000;945
2019-06-10T00:03:00.0000000;Epsilon;636,957,217,800,000,000.00000000;503
10-12-2012 12:02 AM;Delta;6.348559692E+17;843
2019-11-26 00:01:00;Omega;637103232600000000;29
2016-05-17T00:01:00.0000000;Xi;635,990,400,600,000,000.00000000;623
2019-10-16 00:01:00;Theta;637067808600000000;16
03-29-2012 12:01 AM;Gamma;6.346857606E+17;175
2014-04-19 00:01:00;Pi;635334624600000000;350
07-24-2015 12:02 AM;Nu;6.357329292E+17;475
2018-10-24 00:01:00;Chi;636759360600000000;907
12-01-2013 12:02 AM;Omega;6.352145292E+17;765
2012-10-06 00:02:00;Beta;634850785200000000;530
07-21-2011 12:01 AM;Chi;6.344680326E+17;309
09-25-2012 12:02 AM;Chi;6.348412812E+17;685
05-23-2011 12:01 AM;Upsilon;6.344170566E+17;685
08-06-2011 12:01 AM;Alpha;6.344818566E+17;205
2019-09-26 00:02:00;Gamma;637050529200000000;294
2012-11-25T00:01:00.0000000;Pi;634,893,984,600,000,000.00000000;295
2012-03-05 00:02:00;Xi;6.34665E+017;576
2018-12-01 00:02:00;Pi;6.36792E+017;116
2017-08-15 00:02:00;Epsilon;636383521200000000;590
2019-12-10T00:01:00.0000000;Psi;637,115,328,600,000,000.00000000;628
02-13-2014 12:02 AM;Upsilon;6.352784652E+17;585
07-08-2015 12:01 AM;Beta;6.357191046E+17;199
03-30-2011 12:01 AM;Rho;6.343704006E+17;624
2017-05-14T00:01:00.0000000;Omega;636,303,168,600,000,000.00000000;439
2010-09-22T00:01:00.0000000;Phi;634,207,104,600,000,000.00000000;455
2017-12-14T00:03:00.0000000;Rho;636,488,065,800,000,000.00000000;568
2019-02-22 00:01:00;Tau;636863904600000000;789
01-23-2015 12:01 AM;Mu;6.355756806E+17;202
2015-02-17 00:01:00;Gamma;635597280600000000;455
2019-02-05T00:01:00.0000000;Phi;636,849,216,600,000,000.00000000;719
2016-04-08T00:03:00.0000000;Kappa;635,956,705,800,000,000.00000000;163
2010-06-09 00:01:00;Delta;634116384600000000;659
2015-03-31 00:02:00;Xi;6.35634E+017;104
2012-08-04 00:02:00;Nu;634796353200000000;235
2019-05-03 00:03:00;Xi;636924385800000000;0
2018-09-16T00:01:00.0000000;Eta;636,726,528,600,000,000.00000000;83
12-15-2010 12:01 AM;Alpha;6.342796806E+17;660
2015-06-05 00:01:00;Sigma;635690592600000000;847
2015-04-30 00:01:00;Xi;635659488600000000;794
2011-10-10 00:02:00;Sigma;634538017200000000;330
2014-08-05 00:02:00;Lambda;635427937200000000;212
2019-03-01 00:02:00;Tau;6.36870E+017;8
2012-04-21T00:02:00.0000000;Gamma;634,705,633,200,000,000.00000000;690
2019-06-14 00:02:00;Lambda;636960673200000000;314
2018-04-02 00:02:00;Zeta;636582241200000000;739
2014-06-06 00:02:00;Gamma;635376097200000000;217
2018-06-22 00:02:00;Phi;6.36652E+017;240
2015-12-07T00:01:00.0000000;Rho;635,850,432,600,000,000.00000000;252
2017-09-20 00:01:00;Xi;636414624600000000;147
2019-12-11T00:03:00.0000000;Lambda;637,116,193,800,000,000.00000000;653
05-12-2014 12:02 AM;Mu;6.353544972E+17;756
2014-03-13 00:02:00;Chi;635302657200000000;969
2013-01-14 00:02:00;Epsilon;634937185200000000;354
2018-06-16T00:02:00.0000000;Sigma;636,647,041,200,000,000.00000000;848
11-14-2014 12:02 AM;Mu;6.355152012E+17;280
12-07-2018 12:03 AM;Nu;6.367973778E+17;261
04-30-2019 12:01 AM;Pi;6.369217926E+17;683
2015-01-28 00:03:00;Phi;635580001800000000;55
2015-08-17T00:03:00.0000000;Gamma;635,753,665,800,000,000.00000000;84
2015-05-06 00:02:00;Nu;6.35665E+017;920
2018-01-02 00:01:00;Epsilon;636504480600000000;709
12-09-2010 12:03 AM;Theta;6.342744978E+17;930
2014-09-08T00:01:00.0000000;Lambda;635,457,312,600,000,000.00000000;646
2019-11-19 00:01:00;Beta;637097184600000000;719
03-06-2013 12:01 AM;Lambda;6.349812486E+17;289
2017-04-24 00:01:00;Lambda;636285888600000000;566
05-20-2012 12:01 AM;Omega;6.347306886E+17;168
07-12-2013 12:03 AM;Zeta;6.350918418E+17;767
2016-07-31 00:03:00;Omega;6.36055E+017;500
06-09-2017 12:02 AM;Phi;6.363256332E+17;653
2014-12-24 00:02:00;Zeta;635549761200000000;840
04-27-2013 12:02 AM;Mu;6.350261772E+17;679
2013-04-05 00:02:00;Upsilon;635007169200000000;501
2016-05-13 00:01:00;Alpha;635986944600000000;507
2010-07-26 00:02:00;Chi;634156993200000000;638
12-20-2012 12:03 AM;Sigma;6.349155858E+17;442
2015-09-30 00:02:00;Delta;6.35792E+017;374
2014-01-05 00:02:00;Sigma;6.35245E+017;409
01-07-2015 12:02 AM;Upsilon;6.355618572E+17;538
2015-04-01 00:02:00;Eta;6.35634E+017;458
2018-02-11 00:02:00;Omega;636539041200000000;550
2015-06-10 00:01:00;Theta;635694912600000000;127
2012-08-14 00:04:00;Tau;6.34805E+017;518
2013-11-23T00:02:00.0000000;Upsilon;635,207,617,200,000,000.00000000;167
2017-11-12 00:02:00;Nu;636460417200000000;997
2013-10-02 00:02:00;Mu;635162689200000000;214
09-23-2018 12:01 AM;Gamma;6.367325766E+17;844
03-03-2015 12:02 AM;Theta;6.356093772E+17;385
2014-01-21 00:02:00;Omega;6.35259E+017;842
2011-07-10 00:02:00;Rho;634458529200000000;851
2019-06-10 00:02:00;Gamma;636957217200000000;837
11-20-2011 12:04 AM;Tau;6.345734424E+17;773
2016-05-03 00:03:00;Delta;6.35978E+017;128
12-04-2013 12:02 AM;Pi;6.352171212E+17;196
04-18-2017 12:02 AM;Alpha;6.362807052E+17;672
03-22-2014 12:03 AM;Lambda;6.353104338E+17;394
07-13-2019 12:03 AM;Chi;6.369857298E+17;376
2013-05-03 00:04:00;Omega;635031362400000000;775
11-23-2016 12:03 AM;Mu;6.361545618E+17;861
2018-04-08 00:02:00;Tau;636587425200000000;852
08-21-2018 12:03 AM;Delta;6.367040658E+17;833
2011-12-15T00:03:00.0000000;Alpha;634,595,041,800,000,000.00000000;921
04-06-2014 12:03 AM;Tau;6.353233938E+17;551
11-04-2011 12:02 AM;Upsilon;6.345596172E+17;187
2015-06-22 00:01:00;Pi;635705280600000000;362
2013-05-11 00:04:00;Kappa;6.35038E+017;994
