TM;Category;unknown;Quantity
2010-04-15 00:01:00;Omega;634068864600000000;658
02-04-2011 12:01 AM;Nu;6.343237446E+17;937
02-16-2014 12:01 AM;Psi;6.352810566E+17;951
02-26-2010 12:01 AM;Beta;6.340273926E+17;938
2014-07-19 00:01:00;Rho;635413248600000000;499
2010-10-26T00:01:00.0000000;Pi;634,236,480,600,000,000.00000000;194
2019-06-11 00:01:00;Psi;636958080600000000;933
2012-07-24 00:01:00;Sigma;634786848600000000;706
03-18-2010 12:01 AM;Mu;6.340446726E+17;820
2017-02-09 00:01:00;Chi;636221952600000000;381
07-12-2013 12:01 AM;Eta;6.350918406E+17;713
12-14-2016 12:02 AM;Theta;6.361727052E+17;787
2018-07-21T00:01:00.0000000;Omega;636,677,280,600,000,000.00000000;395
05-08-2016 12:01 AM;Rho;6.359826246E+17;300
06-09-2011 12:02 AM;Kappa;6.344317452E+17;856
01-26-2015 12:02 AM;Iota;6.355782732E+17;115
09-11-2017 12:01 AM;Phi;6.364068486E+17;365
2016-06-08 00:01:00;Nu;636009408600000000;804
2018-08-07 00:01:00;Omega;636691968600000000;866
2015-06-25T00:01:00.0000000;Nu;635,707,872,600,000,000.00000000;589
11-05-2011 12:01 AM;Iota;6.345604806E+17;32
2011-04-28T00:01:00.0000000;Iota;634,395,456,600,000,000.00000000;334
08-10-2016 12:01 AM;Kappa;6.360638406E+17;630
2012-11-08T00:01:00.0000000;Eta;634,879,296,600,000,000.00000000;745
2018-12-30T00:02:00.0000000;Beta;636,817,249,200,000,000.00000000;978
11-18-2018 12:01 AM;Xi;6.367809606E+17;587
03-27-2013 12:01 AM;Mu;6.349993926E+17;145
02-22-2018 12:01 AM;Kappa;6.365485446E+17;280
2018-10-19 00:01:00;Kappa;636755040600000000;70
05-03-2018 12:01 AM;Zeta;6.366090246E+17;439
2014-06-28T00:01:00.0000000;Omega;635,395,104,600,000,000.00000000;539
2014-10-12 00:01:00;Zeta;635486688600000000;361
05-19-2013 12:02 AM;Beta;6.350451852E+17;12
01-24-2015 12:02 AM;Nu;6.355765452E+17;450
2015-02-18T00:01:00.0000000;Zeta;635,598,144,600,000,000.00000000;655
08-14-2015 12:01 AM;Nu;6.357510726E+17;820
2018-05-12T00:01:00.0000000;Upsilon;636,616,800,600,000,000.00000000;463
2015-09-26 00:01:00;Phi;635788224600000000;345
2012-02-24 00:01:00;Theta;634656384600000000;14
2019-08-08 00:02:00;Rho;637008193200000000;889
2016-08-02 00:01:00;Epsilon;6.36057E+017;3
2011-12-20 00:02:00;Beta;634599361200000000;927
2011-06-18 00:01:00;Omicron;634439520600000000;113
2018-02-07 00:01:00;Lambda;636535584600000000;45
2016-05-16T00:01:00.0000000;Nu;635,989,536,600,000,000.00000000;933
2010-03-01 00:02:00;Sigma;634029985200000000;506
10-12-2013 12:02 AM;Kappa;6.351713292E+17;276
2017-11-14 00:01:00;Tau;636462144600000000;193
12-15-2015 12:02 AM;Gamma;6.358573452E+17;358
2012-11-05 00:01:00;Epsilon;634876704600000000;908
2017-06-03 00:02:00;Zeta;636320449200000000;904
06-15-2010 12:02 AM;Pi;6.341215692E+17;378
2018-10-10 00:01:00;Gamma;6.36747E+017;244
02-04-2017 12:01 AM;Theta;6.362176326E+17;651
11-06-2011 12:02 AM;Chi;6.345613452E+17;140
09-29-2016 12:02 AM;Xi;6.361070412E+17;943
2011-05-31 00:01:00;Beta;634423968600000000;555
2011-01-05T00:03:00.0000000;Xi;634,297,825,800,000,000.00000000;703
06-13-2011 12:02 AM;Epsilon;6.344352012E+17;305
2013-01-02 00:03:00;Omicron;634926817800000000;352
2018-03-18T00:01:00.0000000;Theta;636,569,280,600,000,000.00000000;367
2010-12-22 00:02:00;Xi;634285729200000000;209
2014-10-13T00:02:00.0000000;Pi;635,487,553,200,000,000.00000000;520
