TM;Category;unknown;Quantity
06-30-2016 12:02 AM;Eta;6.360284172E+17;492
11-20-2011 12:01 AM;Delta;6.345734406E+17;632
2017-07-05 00:01:00;Chi;636348096600000000;374
2014-03-16 00:01:00;Chi;635305248600000000;459
04-24-2015 12:01 AM;Omicron;6.356543046E+17;541
04-19-2010 12:01 AM;Phi;6.340723206E+17;326
2019-11-12 00:01:00;Psi;6.37091E+017;161
2014-09-12 00:01:00;Gamma;635460768600000000;134
2012-09-21 00:01:00;Delta;6.34838E+017;343
2017-07-06T00:01:00.0000000;Sigma;636,348,960,600,000,000.00000000;1
2018-03-25 00:01:00;Mu;6.36575E+017;774
05-25-2017 12:01 AM;Mu;6.363126726E+17;62
2010-02-19 00:01:00;Tau;634021344600000000;240
09-15-2010 12:01 AM;Sigma;6.342010566E+17;245
2015-05-19T00:01:00.0000000;Theta;635,675,904,600,000,000.00000000;299
02-02-2018 12:01 AM;Sigma;6.365312646E+17;861
2010-05-24 00:01:00;Alpha;6.34103E+017;685
11-23-2016 12:01 AM;Upsilon;6.361545606E+17;993
2015-03-25T00:02:00.0000000;Eta;635,628,385,200,000,000.00000000;704
2018-06-18 00:03:00;Tau;636648769800000000;24
06-28-2011 12:01 AM;Sigma;6.344481606E+17;370
2018-12-11 00:01:00;Rho;636800832600000000;116
07-01-2017 12:01 AM;Gamma;6.363446406E+17;317
2010-09-01 00:01:00;Epsilon;634188960600000000;177
2018-05-30T00:01:00.0000000;Psi;636,632,352,600,000,000.00000000;671
2012-04-08 00:01:00;Phi;634694400600000000;721
2010-01-31 00:01:00;Theta;634004928600000000;748
10-31-2019 12:01 AM;Nu;6.370807686E+17;532
11-05-2016 12:01 AM;Psi;6.361390086E+17;633
2016-10-13 00:02:00;Delta;6.36119E+017;104
2017-04-27T00:01:00.0000000;Psi;636,288,480,600,000,000.00000000;782
2018-10-08 00:02:00;Upsilon;6.36746E+017;180
02-27-2016 12:01 AM;Gamma;6.359212806E+17;672
11-24-2016 12:01 AM;Phi;6.361554246E+17;979
2010-11-02 00:01:00;Phi;6.34243E+017;818
2010-03-20 00:01:00;Sigma;634046400600000000;602
2011-09-24 00:02:00;Beta;6.34524E+017;759
06-09-2017 12:01 AM;Rho;6.363256326E+17;121
2013-11-29 00:01:00;Iota;6.35213E+017;722
2010-01-17 00:01:00;Xi;6.33993E+017;103
