TM;Category;unknown;Quantity
2012-01-06T00:01:00.0000000;Gamma;634,614,048,600,000,000.00000000;899
2013-12-18 00:01:00;Omicron;6.35229E+017;966
2017-11-09 00:01:00;Phi;636457824600000000;802
2015-04-01 00:01:00;Delta;6.35634E+017;778
2016-05-14 00:01:00;Xi;635987808600000000;375
2019-11-25 00:01:00;Upsilon;637102368600000000;412
2019-02-26T00:01:00.0000000;Beta;636,867,360,600,000,000.00000000;645
2018-11-12 00:01:00;Omega;636775776600000000;957
11-15-2013 12:01 AM;Kappa;6.352007046E+17;486
2015-12-04 00:01:00;Kappa;635847840600000000;800
2014-10-21 00:01:00;Delta;6.35494E+017;64
09-11-2011 12:01 AM;Eta;6.345129606E+17;809
07-30-2018 12:01 AM;Omicron;6.366850566E+17;339
02-06-2010 12:02 AM;Kappa;6.340101132E+17;663
12-31-2010 12:01 AM;Beta;6.342935046E+17;399
2017-07-11 00:02:00;Rho;6.36353E+017;544
2014-12-25T00:01:00.0000000;Alpha;635,550,624,600,000,000.00000000;307
08-23-2011 12:01 AM;Alpha;6.344965446E+17;594
02-03-2017 12:01 AM;Zeta;6.362167686E+17;632
2012-07-01 00:02:00;Xi;634766977200000000;115
05-15-2014 12:01 AM;Zeta;6.353570886E+17;67
02-10-2015 12:02 AM;Lambda;6.355912332E+17;918
12-24-2018 12:03 AM;Eta;6.368120658E+17;597
01-31-2013 12:01 AM;Delta;6.349518726E+17;940
06-18-2015 12:01 AM;Tau;6.357018246E+17;9
12-10-2017 12:01 AM;Eta;6.364846086E+17;515
2010-03-13 00:01:00;Alpha;6.34040E+017;381
12-28-2016 12:02 AM;Alpha;6.361848012E+17;524
2013-05-25T00:01:00.0000000;Epsilon;635,050,368,600,000,000.00000000;224
2018-01-18 00:02:00;Beta;636518305200000000;835
2011-09-05 00:02:00;Chi;6.34508E+017;220
05-20-2013 12:02 AM;Mu;6.350460492E+17;228
2017-03-06 00:01:00;Tau;636243552600000000;334
09-10-2016 12:02 AM;Epsilon;6.360906252E+17;941
2018-08-23 00:01:00;Epsilon;636705792600000000;264
2018-02-28T00:01:00.0000000;Chi;636,553,728,600,000,000.00000000;846
08-15-2014 12:01 AM;Beta;6.354365766E+17;300
06-08-2018 12:02 AM;Upsilon;6.366401292E+17;515
2017-12-18T00:01:00.0000000;Omega;636,491,520,600,000,000.00000000;56
2018-04-10 00:02:00;Xi;6.36589E+017;278
2019-01-22 00:03:00;Sigma;636837121800000000;627
2016-12-22 00:01:00;Upsilon;636179616600000000;865
05-30-2015 12:02 AM;Iota;6.356854092E+17;567
2017-10-18 00:03:00;Omicron;636438817800000000;604
03-30-2018 12:01 AM;Epsilon;6.365796486E+17;793
2019-05-06 00:01:00;Rho;636926976600000000;70
2011-05-29 00:01:00;Iota;634422240600000000;426
2013-08-22 00:01:00;Zeta;635127264600000000;477
11-04-2010 12:02 AM;Chi;6.342442572E+17;346
2016-10-14 00:03:00;Kappa;6.36120E+017;39
04-01-2011 12:01 AM;Beta;6.343721286E+17;85
2012-12-02 00:01:00;Nu;6.34900E+017;928
03-08-2012 12:01 AM;Gamma;6.346676166E+17;69
11-16-2013 12:01 AM;Theta;6.352015686E+17;123
2018-10-06 00:02:00;Phi;636743809200000000;75
11-17-2019 12:01 AM;Gamma;6.370954566E+17;284
2010-03-21 00:01:00;Tau;634047264600000000;449
