TM;Category;unknown;Quantity
2012-01-23T00:01:00.0000000;Omega;634,628,736,600,000,000.00000000;270
2011-02-19 00:01:00;Nu;6.34337E+017;251
2013-11-07 00:01:00;Beta;635193792600000000;733
2012-03-01 00:01:00;Upsilon;634661568600000000;83
07-10-2013 12:01 AM;Chi;6.350901126E+17;538
2018-05-17 00:01:00;Zeta;6.36621E+017;841
2019-06-28 00:01:00;Eta;636972768600000000;567
2012-10-01 00:01:00;Xi;634846464600000000;894
2016-03-24T00:01:00.0000000;Chi;635,943,744,600,000,000.00000000;946
11-18-2019 12:01 AM;Lambda;6.370963206E+17;209
07-06-2015 12:01 AM;Alpha;6.357173766E+17;186
2017-07-08T00:01:00.0000000;Omicron;636,350,688,600,000,000.00000000;826
2012-12-11 00:01:00;Beta;634907808600000000;175
10-02-2016 12:01 AM;Lambda;6.361096326E+17;808
04-01-2016 12:01 AM;Psi;6.359506566E+17;459
07-07-2015 12:01 AM;Chi;6.357182406E+17;948
07-14-2012 12:01 AM;Delta;6.347782086E+17;799
07-04-2010 12:01 AM;Zeta;6.341379846E+17;370
07-08-2015 12:01 AM;Psi;6.357191046E+17;729
2010-03-23T00:01:00.0000000;Theta;634,048,992,600,000,000.00000000;33
2012-03-25 00:01:00;Mu;6.34682E+017;297
01-21-2010 12:03 AM;Upsilon;6.339962898E+17;517
2019-11-29 00:01:00;Xi;6.37106E+017;383
06-23-2013 12:01 AM;Chi;6.350754246E+17;634
2015-12-03 00:01:00;Omega;635846976600000000;651
2017-11-15 00:01:00;Rho;636463008600000000;9
11-06-2011 12:01 AM;Iota;6.345613446E+17;350
2013-04-20T00:01:00.0000000;Mu;635,020,128,600,000,000.00000000;694
2018-12-01 00:01:00;Mu;6.36792E+017;643
2017-11-28T00:02:00.0000000;Nu;636,474,241,200,000,000.00000000;954
2013-02-10 00:01:00;Delta;634960512600000000;589
2018-10-07 00:01:00;Epsilon;636744672600000000;844
09-12-2016 12:02 AM;Sigma;6.360923532E+17;476
2012-01-12 00:01:00;Nu;6.34619E+017;702
2013-02-22 00:01:00;Zeta;634970880600000000;535
2016-04-26 00:02:00;Tau;635972257200000000;319
2012-08-07 00:01:00;Eta;634798944600000000;629
2013-12-10T00:01:00.0000000;Chi;635,222,304,600,000,000.00000000;860
08-19-2013 12:02 AM;Omega;6.351246732E+17;164
2015-01-11 00:01:00;Theta;635565312600000000;94
2018-06-13 00:01:00;Phi;636644448600000000;335
2010-04-12 00:02:00;Iota;634066273200000000;974
2019-06-19 00:01:00;Tau;6.36965E+017;692
2010-07-15 00:01:00;Gamma;634147488600000000;857
10-09-2019 12:01 AM;Omega;6.370617606E+17;565
2012-10-28 00:01:00;Lambda;6.34870E+017;425
2015-08-16 00:01:00;Eta;635752800600000000;278
05-17-2013 12:02 AM;Eta;6.350434572E+17;768
11-25-2010 12:01 AM;Tau;6.342624006E+17;824
10-28-2012 12:02 AM;Tau;6.348697932E+17;282
2015-09-06T00:01:00.0000000;Beta;635,770,944,600,000,000.00000000;94
12-30-2011 12:01 AM;Zeta;6.346080006E+17;974
2019-07-22 00:01:00;Lambda;636993504600000000;723
02-19-2013 12:02 AM;Xi;6.349682892E+17;653
06-04-2013 12:03 AM;Psi;6.350590098E+17;179
2015-08-19T00:02:00.0000000;Epsilon;635,755,393,200,000,000.00000000;724
09-28-2011 12:01 AM;Delta;6.345276486E+17;179
2013-09-07 00:02:00;Epsilon;635141089200000000;16
2013-07-25 00:01:00;Alpha;6.35103E+017;619
2019-03-03 00:01:00;Lambda;6.36872E+017;570
2019-02-09 00:02:00;Omega;636852673200000000;786
2014-03-01 00:01:00;Zeta;6.35292E+017;678
12-11-2011 12:02 AM;Delta;6.345915852E+17;519
2012-11-22 00:01:00;Zeta;634891392600000000;927
2012-04-20 00:01:00;Sigma;634704768600000000;784
2014-02-22T00:02:00.0000000;Omicron;635,286,241,200,000,000.00000000;982
09-21-2012 12:03 AM;Nu;6.348378258E+17;124
2016-02-02 00:01:00;Upsilon;635899680600000000;931
2012-10-01T00:02:00.0000000;Epsilon;634,846,465,200,000,000.00000000;564
2015-08-04 00:02:00;Iota;635742433200000000;331
2019-06-30T00:03:00.0000000;Eta;636,974,497,800,000,000.00000000;107
2018-10-02T00:02:00.0000000;Omega;636,740,353,200,000,000.00000000;322
02-06-2010 12:01 AM;Pi;6.340101126E+17;342
09-14-2010 12:01 AM;Mu;6.342001926E+17;514
2019-06-08 00:02:00;Tau;636955489200000000;62
07-06-2015 12:03 AM;Zeta;6.357173778E+17;384
2013-05-28 00:01:00;Pi;635052960600000000;166
01-15-2011 12:02 AM;Upsilon;6.343064652E+17;696
11-01-2012 12:02 AM;Delta;6.348732492E+17;14
08-16-2013 12:02 AM;Alpha;6.351220812E+17;532
03-10-2013 12:01 AM;Omega;6.349847046E+17;630
2010-09-01 00:01:00;Phi;634188960600000000;184
2017-08-11T00:03:00.0000000;Pi;636,380,065,800,000,000.00000000;640
04-20-2011 12:01 AM;Beta;6.343885446E+17;604
2010-07-16 00:02:00;Rho;6.34148E+017;592
2016-10-09T00:01:00.0000000;Gamma;636,115,680,600,000,000.00000000;555
11-05-2017 12:01 AM;Eta;6.364543686E+17;154
03-24-2019 12:02 AM;Alpha;6.368898252E+17;22
2012-08-28T00:02:00.0000000;Beta;634,817,089,200,000,000.00000000;313
2011-09-19T00:02:00.0000000;Chi;634,519,873,200,000,000.00000000;623
2014-01-02 00:01:00;Rho;635242176600000000;959
2013-06-28 00:02:00;Kappa;635079745200000000;599
02-14-2014 12:03 AM;Omega;6.352793298E+17;107
2018-11-27 00:03:00;Beta;636788737800000000;610
11-19-2018 12:02 AM;Phi;6.367818252E+17;2
2013-05-29 00:02:00;Gamma;635053825200000000;39
01-19-2017 12:02 AM;Phi;6.362038092E+17;38
12-26-2012 12:01 AM;Tau;6.349207686E+17;267
01-04-2015 12:02 AM;Omicron;6.355592652E+17;842
2019-04-02T00:01:00.0000000;Pi;636,897,600,600,000,000.00000000;849
2013-09-10 00:01:00;Xi;635143680600000000;616
2013-07-23 00:02:00;Lambda;635101345200000000;876
2016-01-08 00:01:00;Zeta;635878080600000000;325
02-07-2015 12:03 AM;Epsilon;6.355886418E+17;622
11-07-2016 12:02 AM;Mu;6.361407372E+17;613
