TM;Category;unknown;Quantity
2011-07-05 00:01:00;Phi;634454208600000000;220
2017-05-03 00:01:00;Nu;6.36294E+017;183
2019-11-12 00:01:00;Delta;6.37091E+017;342
2011-12-25 00:01:00;Eta;6.34604E+017;799
2014-10-04 00:01:00;Phi;6.35480E+017;765
2018-02-23 00:01:00;Upsilon;636549408600000000;438
06-22-2014 12:01 AM;Beta;6.353899206E+17;868
2010-06-27 00:01:00;Pi;634131936600000000;235
2011-07-06 00:01:00;Xi;634455072600000000;876
2013-04-20T00:01:00.0000000;Lambda;635,020,128,600,000,000.00000000;177
09-10-2016 12:01 AM;Delta;6.360906246E+17;718
2012-07-25 00:01:00;Mu;634787712600000000;807
08-01-2012 12:02 AM;Kappa;6.347937612E+17;109
06-02-2015 12:01 AM;Epsilon;6.356880006E+17;377
2014-04-20 00:01:00;Upsilon;635335488600000000;241
05-31-2014 12:01 AM;Epsilon;6.353709126E+17;339
05-31-2015 12:01 AM;Pi;6.356862726E+17;284
2013-06-14 00:02:00;Zeta;635067649200000000;670
2012-07-27 00:01:00;Pi;6.34789E+017;266
2011-04-06 00:02:00;Mu;634376449200000000;191
11-02-2012 12:01 AM;Xi;6.348741126E+17;501
2010-06-07 00:01:00;Sigma;634114656600000000;563
2018-04-19 00:01:00;Lambda;636596928600000000;212
2013-04-08 00:02:00;Kappa;6.35010E+017;740
2016-08-19 00:02:00;Omicron;6.36072E+017;627
02-07-2016 12:01 AM;Gamma;6.359040006E+17;830
04-04-2010 12:01 AM;Lambda;6.340593606E+17;995
09-15-2010 12:01 AM;Mu;6.342010566E+17;921
2018-10-02T00:01:00.0000000;Upsilon;636,740,352,600,000,000.00000000;771
2013-09-28T00:02:00.0000000;Kappa;635,159,233,200,000,000.00000000;682
2015-02-05 00:01:00;Zeta;635586912600000000;115
2013-10-05 00:02:00;Upsilon;6.35165E+017;192
2011-10-23 00:01:00;Zeta;634549248600000000;771
2019-04-20T00:02:00.0000000;Mu;636,913,153,200,000,000.00000000;685
2010-03-05T00:01:00.0000000;Upsilon;634,033,440,600,000,000.00000000;902
2018-04-11 00:02:00;Pi;6.36590E+017;644
07-12-2019 12:01 AM;Zeta;6.369848646E+17;239
2015-01-10 00:03:00;Xi;635564449800000000;856
2014-05-03 00:01:00;Lambda;635346720600000000;907
2010-07-07 00:01:00;Upsilon;634140576600000000;229
03-19-2010 12:01 AM;Zeta;6.340455366E+17;578
2013-11-19 00:01:00;Eta;635204160600000000;287
2012-12-18 00:03:00;Theta;6.34914E+017;104
2017-03-03T00:01:00.0000000;Iota;636,240,960,600,000,000.00000000;421
2010-06-05T00:02:00.0000000;Iota;634,112,929,200,000,000.00000000;286
2011-10-11 00:02:00;Delta;6.34539E+017;941
06-09-2017 12:01 AM;Nu;6.363256326E+17;674
07-25-2015 12:02 AM;Lambda;6.357337932E+17;151
2012-03-17T00:01:00.0000000;Tau;634,675,392,600,000,000.00000000;236
11-10-2015 12:02 AM;Xi;6.358271052E+17;552
11-03-2018 12:01 AM;Tau;6.367680006E+17;872
2012-04-19 00:02:00;Beta;634703905200000000;469
2018-12-16 00:02:00;Pi;636805153200000000;986
2016-05-03 00:02:00;Gamma;6.35978E+017;3
2015-10-16 00:01:00;Psi;635805504600000000;344
2011-10-05T00:02:00.0000000;Omicron;634,533,697,200,000,000.00000000;354
2018-11-03 00:04:00;Omega;636768002400000000;419
04-01-2010 12:03 AM;Zeta;6.340567698E+17;445
2017-03-08 00:02:00;Omicron;6.36245E+017;861
09-05-2013 12:02 AM;Beta;6.351393612E+17;975
2016-03-20 00:02:00;Epsilon;635940289200000000;220
2011-06-20T00:02:00.0000000;Rho;634,441,249,200,000,000.00000000;390
02-16-2013 12:01 AM;Eta;6.349656966E+17;81
06-06-2012 12:02 AM;Kappa;6.347453772E+17;642
05-05-2017 12:02 AM;Zeta;6.362953932E+17;465
06-28-2016 12:03 AM;Gamma;6.360266898E+17;646
2016-11-13T00:02:00.0000000;Xi;636,145,921,200,000,000.00000000;842
2018-07-27 00:02:00;Tau;6.36682E+017;14
11-01-2012 12:01 AM;Gamma;6.348732486E+17;343
2017-03-17 00:01:00;Sigma;636253056600000000;589
2010-12-07 00:02:00;Nu;6.34273E+017;609
10-16-2016 12:02 AM;Eta;6.361217292E+17;236
2015-09-06T00:02:00.0000000;Phi;635,770,945,200,000,000.00000000;802
2017-08-18 00:02:00;Omega;6.36386E+017;731
2010-04-10T00:01:00.0000000;Mu;634,064,544,600,000,000.00000000;781
08-18-2013 12:01 AM;Gamma;6.351238086E+17;48
02-03-2018 12:01 AM;Kappa;6.365321286E+17;225
2010-03-10 00:03:00;Psi;6.34038E+017;435
2016-11-16 00:02:00;Eta;636148513200000000;570
11-14-2014 12:01 AM;Eta;6.355152006E+17;794
2017-06-07 00:02:00;Lambda;6.36324E+017;867
2011-03-08 00:01:00;Eta;6.34351E+017;356
07-29-2019 12:02 AM;Tau;6.369995532E+17;9
2011-09-20 00:01:00;Phi;634520736600000000;213
06-27-2012 12:01 AM;Alpha;6.347635206E+17;502
2015-06-10 00:01:00;Nu;635694912600000000;583
2019-12-31 00:02:00;Lambda;637133473200000000;810
2017-04-21 00:02:00;Gamma;636283297200000000;31
04-09-2019 12:02 AM;Upsilon;6.369036492E+17;813
2013-05-07 00:04:00;Psi;635034818400000000;452
2015-01-28 00:02:00;Theta;635580001200000000;888
2017-10-03 00:01:00;Eta;636425856600000000;574
05-26-2016 12:02 AM;Sigma;6.359981772E+17;32
03-29-2017 12:04 AM;Kappa;6.362634264E+17;804
2013-03-14T00:02:00.0000000;Omega;634,988,161,200,000,000.00000000;861
2015-01-17 00:04:00;Nu;6.35570E+017;590
2013-05-23 00:02:00;Nu;635048641200000000;867
2011-03-05 00:02:00;Upsilon;634348801200000000;3
2018-01-23 00:02:00;Omega;636522625200000000;949
05-17-2012 12:03 AM;Tau;6.347280978E+17;100
2014-08-28 00:01:00;Gamma;6.35448E+017;728
2013-03-19 00:02:00;Tau;6.34992E+017;734
2019-09-12T00:02:00.0000000;Sigma;637,038,433,200,000,000.00000000;333
2014-02-06 00:02:00;Upsilon;635272417200000000;849
2012-04-02 00:01:00;Omicron;634689216600000000;845
2014-04-03 00:03:00;Eta;6.35321E+017;715
2017-03-20T00:01:00.0000000;Beta;636,255,648,600,000,000.00000000;81
2018-01-07 00:01:00;Epsilon;636508800600000000;921
04-17-2012 12:01 AM;Psi;6.347021766E+17;388
2010-02-12 00:02:00;Delta;634015297200000000;236
2016-02-23 00:01:00;Theta;6.35918E+017;659
2016-11-14T00:01:00.0000000;Tau;636,146,784,600,000,000.00000000;566
2012-01-23T00:02:00.0000000;Upsilon;634,628,737,200,000,000.00000000;811
2011-12-19 00:02:00;Rho;634598497200000000;730
06-25-2012 12:02 AM;Epsilon;6.347617932E+17;295
