TM;Category;unknown;Quantity
06-22-2014 12:01 AM;Theta;6.353899206E+17;379
03-16-2010 12:01 AM;Kappa;6.340429446E+17;783
01-13-2012 12:01 AM;Omega;6.346200966E+17;900
2018-07-20 00:01:00;Epsilon;636676416600000000;526
2019-01-18T00:01:00.0000000;Zeta;636,833,664,600,000,000.00000000;56
10-16-2017 12:01 AM;Lambda;6.364370886E+17;270
2013-01-16 00:01:00;Theta;634938912600000000;143
03-24-2013 12:01 AM;Epsilon;6.349968006E+17;130
2019-09-17 00:01:00;Eta;6.37043E+017;858
2015-09-07T00:01:00.0000000;Zeta;635,771,808,600,000,000.00000000;818
2019-04-03T00:01:00.0000000;Gamma;636,898,464,600,000,000.00000000;56
07-15-2017 12:01 AM;Upsilon;6.363567366E+17;580
2010-04-15 00:01:00;Nu;634068864600000000;977
2018-05-07 00:01:00;Tau;636612480600000000;722
2011-03-02T00:01:00.0000000;Eta;634,346,208,600,000,000.00000000;797
2015-12-04 00:01:00;Upsilon;635847840600000000;457
11-25-2010 12:01 AM;Lambda;6.342624006E+17;482
04-01-2016 12:01 AM;Lambda;6.359506566E+17;628
04-03-2016 12:01 AM;Chi;6.359523846E+17;186
01-17-2011 12:02 AM;Iota;6.343081932E+17;188
2011-03-07 00:03:00;Delta;6.34351E+017;70
2016-11-14T00:01:00.0000000;Xi;636,146,784,600,000,000.00000000;359
06-04-2013 12:01 AM;Chi;6.350590086E+17;415
01-03-2010 12:01 AM;Epsilon;6.339807366E+17;94
2016-08-21 00:01:00;Psi;6.36073E+017;35
09-07-2013 12:01 AM;Kappa;6.351410886E+17;902
2013-04-04 00:01:00;Alpha;635006304600000000;673
2011-01-28 00:01:00;Zeta;634317696600000000;801
04-20-2016 12:02 AM;Iota;6.359670732E+17;42
2010-07-15 00:02:00;Kappa;6.34147E+017;855
2010-09-25 00:02:00;Rho;6.34210E+017;64
05-20-2013 12:01 AM;Omega;6.350460486E+17;929
2017-03-18 00:01:00;Phi;636253920600000000;477
02-11-2015 12:02 AM;Omicron;6.355920972E+17;114
2010-08-30 00:01:00;Theta;634187232600000000;167
2019-10-04 00:02:00;Omicron;6.37057E+017;484
2011-12-02 00:01:00;Pi;634583808600000000;493
2018-06-15T00:01:00.0000000;Omicron;636,646,176,600,000,000.00000000;25
2013-07-03 00:01:00;Tau;635084064600000000;981
2016-04-24 00:01:00;Gamma;635970528600000000;255
2017-01-12 00:02:00;Zeta;6.36198E+017;258
2015-05-01T00:02:00.0000000;Alpha;635,660,353,200,000,000.00000000;951
2012-06-29 00:02:00;Psi;634765249200000000;841
08-08-2016 12:01 AM;Delta;6.360621126E+17;893
2011-07-22 00:01:00;Omega;634468896600000000;704
2016-11-19 00:01:00;Nu;6.36151E+017;78
09-16-2015 12:01 AM;Eta;6.357795846E+17;40
04-04-2016 12:03 AM;Eta;6.359532498E+17;84
2018-03-17T00:02:00.0000000;Delta;636,568,417,200,000,000.00000000;379
2010-05-17T00:01:00.0000000;Zeta;634,096,512,600,000,000.00000000;517
2015-01-31T00:01:00.0000000;Upsilon;635,582,592,600,000,000.00000000;793
02-09-2010 12:01 AM;Omicron;6.340127046E+17;921
2016-06-09 00:02:00;Gamma;6.36010E+017;120
2012-06-19 00:01:00;Pi;634756608600000000;484
2012-10-08 00:02:00;Iota;6.34853E+017;695
2015-01-14T00:01:00.0000000;Upsilon;635,567,904,600,000,000.00000000;714
08-12-2014 12:01 AM;Theta;6.354339846E+17;518
04-21-2010 12:01 AM;Beta;6.340740486E+17;522
2015-01-31T00:01:00.0000000;Nu;635,582,592,600,000,000.00000000;327
2014-10-10 00:02:00;Lambda;635484961200000000;596
2016-12-02 00:03:00;Xi;636162337800000000;539
05-06-2017 12:02 AM;Zeta;6.362962572E+17;983
2019-01-03 00:02:00;Nu;636820705200000000;493
2011-04-29 00:01:00;Epsilon;634396320600000000;940
2014-10-04 00:01:00;Kappa;6.35480E+017;269
09-10-2016 12:02 AM;Gamma;6.360906252E+17;487
09-01-2014 12:02 AM;Delta;6.354512652E+17;212
2013-04-16 00:01:00;Eta;635016672600000000;309
10-20-2016 12:02 AM;Delta;6.361251852E+17;103
2016-01-18 00:01:00;Tau;6.35887E+017;819
2011-09-19T00:01:00.0000000;Omega;634,519,872,600,000,000.00000000;196
2014-01-30 00:02:00;Delta;635266369200000000;833
2017-05-13T00:01:00.0000000;Alpha;636,302,304,600,000,000.00000000;22
2014-05-28 00:01:00;Xi;6.35368E+017;740
2014-10-11 00:02:00;Eta;635485825200000000;521
2019-09-30T00:02:00.0000000;Psi;637,053,985,200,000,000.00000000;193
2011-08-17 00:01:00;Pi;634491360600000000;647
2016-10-31 00:01:00;Alpha;636134688600000000;169
2010-10-13 00:02:00;Nu;634225249200000000;896
2016-09-20T00:02:00.0000000;Alpha;636,099,265,200,000,000.00000000;159
2010-06-10 00:01:00;Zeta;6.34117E+017;337
2013-11-29 00:02:00;Gamma;6.35213E+017;965
02-22-2017 12:02 AM;Eta;6.362331852E+17;840
2011-12-05 00:03:00;Zeta;6.34586E+017;564
2011-07-10 00:01:00;Iota;634458528600000000;567
01-23-2016 12:01 AM;Psi;6.358910406E+17;12
2019-08-25T00:02:00.0000000;Eta;637,022,881,200,000,000.00000000;286
11-21-2011 12:01 AM;Kappa;6.345743046E+17;556
2011-10-25T00:01:00.0000000;Kappa;634,550,976,600,000,000.00000000;940
2018-08-12 00:03:00;Nu;636696289800000000;132
2016-06-23T00:01:00.0000000;Mu;636,022,368,600,000,000.00000000;957
2010-12-01 00:01:00;Eta;634267584600000000;834
2010-02-02 00:02:00;Zeta;6.34007E+017;958
2012-01-11 00:02:00;Zeta;6.34618E+017;255
2019-10-13 00:02:00;Epsilon;637065217200000000;804
2015-12-26 00:01:00;Mu;635866848600000000;238
04-13-2019 12:02 AM;Beta;6.369071052E+17;91
2015-09-09 00:02:00;Pi;635773537200000000;936
2017-02-10T00:02:00.0000000;Eta;636,222,817,200,000,000.00000000;633
2014-02-10 00:01:00;Psi;6.35276E+017;144
2017-05-30T00:02:00.0000000;Sigma;636,316,993,200,000,000.00000000;837
2015-08-18T00:02:00.0000000;Alpha;635,754,529,200,000,000.00000000;464
2013-01-25 00:03:00;Chi;6.34947E+017;77
2016-03-18 00:03:00;Omicron;635938561800000000;586
02-19-2012 12:02 AM;Upsilon;6.346520652E+17;440
05-16-2013 12:02 AM;Omicron;6.350425932E+17;943
2017-01-10 00:01:00;Xi;636196032600000000;529
2011-02-14T00:01:00.0000000;Nu;634,332,384,600,000,000.00000000;128
2018-02-05 00:03:00;Eta;636533857800000000;421
2010-09-17 00:02:00;Xi;634202785200000000;532
2017-02-15 00:01:00;Eta;636227136600000000;38
2013-07-03 00:03:00;Omicron;635084065800000000;30
2018-12-17 00:02:00;Iota;636806017200000000;534
08-19-2012 12:02 AM;Eta;6.348093132E+17;121
2014-08-21T00:01:00.0000000;Rho;635,441,760,600,000,000.00000000;228
2018-10-07 00:02:00;Pi;6.36745E+017;895
10-19-2010 12:03 AM;Tau;6.342304338E+17;247
2011-05-16T00:01:00.0000000;Beta;634,411,008,600,000,000.00000000;214
2011-11-26 00:02:00;Lambda;634578625200000000;841
2010-11-30 00:01:00;Sigma;634266720600000000;314
05-01-2013 12:03 AM;Delta;6.350296338E+17;433
01-15-2018 12:02 AM;Epsilon;6.365157132E+17;401
2014-04-03 00:01:00;Omega;635320800600000000;100
2018-08-29 00:01:00;Omega;636710976600000000;340
2013-02-27 00:02:00;Omicron;634975201200000000;449
2019-01-26 00:02:00;Sigma;6.36841E+017;758
01-31-2012 12:04 AM;Gamma;6.346356504E+17;404
2013-06-28 00:01:00;Lambda;635079744600000000;100
2016-11-27 00:03:00;Nu;636158017800000000;628
08-18-2012 12:01 AM;Theta;6.348084486E+17;921
2014-05-09 00:03:00;Pi;6.35352E+017;46
2018-09-14T00:02:00.0000000;Chi;636,724,801,200,000,000.00000000;559
03-08-2012 12:02 AM;Gamma;6.346676172E+17;304
2019-02-22 00:02:00;Beta;636863905200000000;966
2013-05-08T00:02:00.0000000;Delta;635,035,681,200,000,000.00000000;352
01-09-2014 12:01 AM;Gamma;6.352482246E+17;85
2014-01-18 00:01:00;Iota;635256000600000000;139
2011-11-29 00:05:00;Chi;634581219000000000;462
07-31-2017 12:03 AM;Chi;6.363705618E+17;211
2013-05-28 00:02:00;Epsilon;635052961200000000;744
2016-03-02T00:03:00.0000000;Sigma;635,924,737,800,000,000.00000000;731
2012-08-26T00:02:00.0000000;Zeta;634,815,361,200,000,000.00000000;465
2015-07-10 00:01:00;Nu;635720832600000000;438
2015-04-20 00:03:00;Xi;6.35651E+017;583
11-16-2018 12:03 AM;Alpha;6.367792338E+17;178
12-25-2012 12:02 AM;Psi;6.349199052E+17;331
2018-08-29 00:02:00;Epsilon;636710977200000000;374
09-30-2016 12:03 AM;Kappa;6.361079058E+17;343
2012-05-10 00:04:00;Kappa;634722050400000000;750
04-21-2017 12:01 AM;Alpha;6.362832966E+17;382
04-08-2014 12:03 AM;Beta;6.353251218E+17;318
03-10-2017 12:02 AM;Delta;6.362470092E+17;701
2012-06-23 00:01:00;Alpha;6.34760E+017;104
