TM;Category;unknown;Quantity
11-02-2018 12:01 AM;Upsilon;6.367671366E+17;439
2015-12-05T00:01:00.0000000;Delta;635,848,704,600,000,000.00000000;173
2013-02-10 00:01:00;Beta;634960512600000000;224
04-26-2014 12:01 AM;Psi;6.353406726E+17;203
2017-04-29 00:01:00;Omega;636290208600000000;857
11-18-2013 12:01 AM;Sigma;6.352032966E+17;974
09-18-2014 12:01 AM;Iota;6.354659526E+17;749
05-26-2016 12:01 AM;Tau;6.359981766E+17;86
2013-06-16 00:01:00;Psi;635069376600000000;939
2015-08-17 00:01:00;Psi;635753664600000000;967
2015-07-12 00:01:00;Omicron;635722560600000000;374
2013-09-30T00:02:00.0000000;Lambda;635,160,961,200,000,000.00000000;456
2013-05-28 00:01:00;Eta;635052960600000000;868
2016-07-25 00:02:00;Upsilon;636050017200000000;46
11-20-2017 12:01 AM;Lambda;6.364673286E+17;298
03-31-2011 12:01 AM;Beta;6.343712646E+17;770
01-20-2011 12:01 AM;Beta;6.343107846E+17;982
2010-09-17 00:01:00;Alpha;634202784600000000;397
2016-02-18 00:01:00;Nu;635913504600000000;555
06-03-2013 12:01 AM;Pi;6.350581446E+17;187
2019-03-03 00:01:00;Omega;6.36872E+017;729
2012-04-11 00:01:00;Tau;6.34697E+017;769
2012-03-20 00:01:00;Sigma;634677984600000000;491
2010-04-14 00:02:00;Upsilon;634068001200000000;152
2012-01-23T00:02:00.0000000;Omega;634,628,737,200,000,000.00000000;374
2015-11-18T00:02:00.0000000;Phi;635,834,017,200,000,000.00000000;524
2010-11-01 00:02:00;Psi;6.34242E+017;590
2011-04-13 00:01:00;Alpha;6.34382E+017;965
2013-12-12T00:01:00.0000000;Xi;635,224,032,600,000,000.00000000;88
2011-11-13T00:01:00.0000000;Pi;634,567,392,600,000,000.00000000;655
2017-01-24T00:01:00.0000000;Upsilon;636,208,128,600,000,000.00000000;447
09-10-2017 12:01 AM;Beta;6.364059846E+17;755
2015-08-08 00:01:00;Psi;6.35746E+017;507
2017-11-30 00:02:00;Tau;636475969200000000;185
2016-07-17 00:01:00;Omega;6.36043E+017;344
2010-03-01 00:02:00;Chi;634029985200000000;623
2019-05-06 00:01:00;Lambda;636926976600000000;313
2012-11-07T00:02:00.0000000;Omega;634,878,433,200,000,000.00000000;364
09-12-2010 12:01 AM;Delta;6.341984646E+17;974
05-08-2017 12:01 AM;Upsilon;6.362979846E+17;485
10-31-2012 12:02 AM;Omicron;6.348723852E+17;697
04-06-2015 12:01 AM;Tau;6.356387526E+17;253
06-21-2013 12:01 AM;Xi;6.350736966E+17;781
2011-05-16T00:01:00.0000000;Gamma;634,411,008,600,000,000.00000000;499
2014-12-15 00:01:00;Beta;6.35542E+017;132
10-16-2018 12:01 AM;Omega;6.367524486E+17;246
04-02-2011 12:01 AM;Iota;6.343729926E+17;549
