TM;Category;unknown;Quantity
2012-10-21T00:01:00.0000000;Mu;634,863,744,600,000,000.00000000;552
2014-12-11 00:01:00;Omicron;635538528600000000;799
2015-09-02 00:01:00;Nu;635767488600000000;526
04-24-2010 12:01 AM;Zeta;6.340766406E+17;905
2012-04-19 00:01:00;Upsilon;634703904600000000;349
2016-09-03T00:01:00.0000000;Iota;636,084,576,600,000,000.00000000;202
2011-09-18T00:01:00.0000000;Chi;634,519,008,600,000,000.00000000;519
2013-02-05T00:01:00.0000000;Theta;634,956,192,600,000,000.00000000;532
2010-02-22 00:01:00;Delta;6.34024E+017;899
2013-08-21 00:01:00;Upsilon;635126400600000000;455
2013-08-13 00:02:00;Omega;6.35119E+017;841
2015-01-20 00:01:00;Nu;6.35573E+017;216
05-10-2010 12:01 AM;Delta;6.340904646E+17;897
2017-11-27 00:01:00;Chi;636473376600000000;422
2013-08-12 00:01:00;Sigma;6.35119E+017;936
2016-03-19 00:02:00;Lambda;635939425200000000;49
2011-02-13T00:02:00.0000000;Phi;634,331,521,200,000,000.00000000;543
08-23-2016 12:02 AM;Rho;6.360750732E+17;548
2019-01-25 00:01:00;Phi;6.36840E+017;940
10-31-2017 12:02 AM;Omicron;6.364500492E+17;87
2013-02-07T00:01:00.0000000;Lambda;634,957,920,600,000,000.00000000;377
2011-05-17 00:01:00;Omega;634411872600000000;44
05-05-2017 12:01 AM;Iota;6.362953926E+17;31
2014-09-14 00:02:00;Lambda;6.35462E+017;601
2018-02-05 00:01:00;Mu;636533856600000000;17
09-27-2011 12:01 AM;Chi;6.345267846E+17;753
2014-08-27 00:01:00;Alpha;6.35447E+017;699
2010-12-02T00:01:00.0000000;Kappa;634,268,448,600,000,000.00000000;666
09-27-2011 12:01 AM;Kappa;6.345267846E+17;990
2012-04-09 00:01:00;Alpha;634695264600000000;972
2017-12-31 00:01:00;Alpha;636502752600000000;193
2010-05-21 00:01:00;Phi;634099968600000000;418
2017-07-03 00:01:00;Sigma;636346368600000000;630
11-21-2017 12:01 AM;Chi;6.364681926E+17;86
2011-05-02 00:02:00;Pi;6.34399E+017;445
07-13-2013 12:01 AM;Zeta;6.350927046E+17;646
2010-09-26 00:01:00;Mu;6.34211E+017;314
03-07-2019 12:02 AM;Tau;6.368751372E+17;697
04-25-2015 12:01 AM;Iota;6.356551686E+17;250
2012-11-24 00:01:00;Mu;634893120600000000;644
2019-03-02 00:01:00;Alpha;6.36871E+017;116
2011-12-13 00:02:00;Alpha;634593313200000000;914
2012-10-02T00:01:00.0000000;Pi;634,847,328,600,000,000.00000000;531
2015-09-23T00:02:00.0000000;Rho;635,785,633,200,000,000.00000000;722
2015-06-05 00:02:00;Gamma;635690593200000000;843
2018-04-06T00:01:00.0000000;Rho;636,585,696,600,000,000.00000000;348
2011-12-14 00:01:00;Psi;634594176600000000;107
2014-10-19 00:01:00;Zeta;635492736600000000;76
2012-04-10 00:02:00;Sigma;6.34696E+017;515
2019-05-05 00:01:00;Iota;636926112600000000;731
2019-01-25 00:02:00;Sigma;6.36840E+017;780
2018-01-09 00:02:00;Eta;6.36511E+017;599
2017-08-08 00:02:00;Pi;636377473200000000;742
2014-09-14 00:01:00;Alpha;6.35462E+017;867
10-29-2018 12:02 AM;Tau;6.367636812E+17;309
2019-11-21 00:01:00;Pi;637098912600000000;741
2015-05-15 00:02:00;Alpha;635672449200000000;97
2013-03-31T00:02:00.0000000;Tau;635,002,849,200,000,000.00000000;414
2013-06-09 00:01:00;Beta;635063328600000000;27
2016-02-15T00:03:00.0000000;Pi;635,910,913,800,000,000.00000000;544
2014-10-29 00:02:00;Chi;635501377200000000;952
2013-07-06 00:01:00;Beta;6.35087E+017;67
03-06-2013 12:02 AM;Xi;6.349812492E+17;195
2015-09-28 00:01:00;Iota;635789952600000000;624
2017-09-03 00:01:00;Pi;636399936600000000;133
2019-05-26T00:01:00.0000000;Alpha;636,944,256,600,000,000.00000000;39
2019-05-06 00:01:00;Alpha;636926976600000000;531
2018-07-07 00:02:00;Beta;636665185200000000;132
2016-12-08 00:01:00;Zeta;6.36168E+017;809
2019-06-18 00:02:00;Beta;6.36964E+017;467
2011-10-30 00:01:00;Beta;6.34555E+017;767
2015-04-16 00:01:00;Delta;635647392600000000;301
09-10-2017 12:02 AM;Kappa;6.364059852E+17;842
2010-12-20T00:02:00.0000000;Gamma;634,284,001,200,000,000.00000000;549
2012-12-01 00:02:00;Xi;6.34899E+017;985
05-05-2017 12:01 AM;Rho;6.362953926E+17;874
2016-09-23 00:03:00;Iota;636101857800000000;709
08-19-2018 12:02 AM;Nu;6.367023372E+17;453
2017-12-05 00:02:00;Upsilon;6.36480E+017;364
2016-02-01 00:02:00;Zeta;635898817200000000;86
2016-03-11 00:02:00;Tau;6.35933E+017;660
01-31-2019 12:02 AM;Alpha;6.368448972E+17;548
2010-05-24 00:01:00;Gamma;6.34103E+017;321
01-08-2015 12:01 AM;Epsilon;6.355627206E+17;179
2019-04-01T00:02:00.0000000;Iota;636,896,737,200,000,000.00000000;405
2018-06-19 00:02:00;Nu;636649633200000000;662
02-10-2015 12:02 AM;Phi;6.355912332E+17;959
2013-09-30T00:02:00.0000000;Beta;635,160,961,200,000,000.00000000;147
02-12-2015 12:01 AM;Beta;6.355929606E+17;613
06-25-2018 12:02 AM;Tau;6.366548172E+17;834
02-05-2012 12:01 AM;Mu;6.346399686E+17;252
07-20-2016 12:03 AM;Kappa;6.360456978E+17;526
2014-12-28 00:02:00;Tau;635553217200000000;53
2017-06-21 00:02:00;Nu;636336001200000000;205
2012-07-24 00:01:00;Eta;634786848600000000;155
2012-05-24 00:02:00;Upsilon;634734145200000000;731
2018-09-17 00:03:00;Beta;636727393800000000;596
2013-10-05 00:01:00;Omicron;6.35165E+017;454
2013-01-21 00:02:00;Sigma;634943233200000000;455
2018-01-17 00:03:00;Mu;636517441800000000;437
2018-07-19 00:01:00;Phi;636675552600000000;820
02-28-2010 12:01 AM;Phi;6.340291206E+17;411
2015-07-29T00:03:00.0000000;Beta;635,737,249,800,000,000.00000000;454
2014-09-14 00:03:00;Xi;6.35462E+017;57
2010-07-28T00:02:00.0000000;Alpha;634,158,721,200,000,000.00000000;549
2016-07-17 00:01:00;Alpha;6.36043E+017;15
09-22-2012 12:02 AM;Tau;6.348386892E+17;185
12-18-2015 12:02 AM;Mu;6.358599372E+17;496
05-05-2018 12:01 AM;Phi;6.366107526E+17;806
2016-12-01T00:02:00.0000000;Lambda;636,161,473,200,000,000.00000000;506
2014-08-03T00:02:00.0000000;Omicron;635,426,209,200,000,000.00000000;685
2018-04-08 00:01:00;Tau;636587424600000000;963
2019-07-23 00:01:00;Mu;636994368600000000;562
2013-03-14T00:01:00.0000000;Eta;634,988,160,600,000,000.00000000;931
2017-07-09 00:02:00;Zeta;636351553200000000;649
10-19-2010 12:02 AM;Xi;6.342304332E+17;270
2011-07-09 00:02:00;Psi;634457665200000000;449
2016-08-12 00:02:00;Phi;636065569200000000;923
