TM;Category;unknown;Quantity
07-01-2011 12:01 AM;Theta;6.344507526E+17;399
2019-12-09 00:01:00;Eta;637114464600000000;751
2016-06-01 00:01:00;Gamma;636003360600000000;837
08-07-2016 12:02 AM;Beta;6.360612492E+17;759
10-24-2014 12:01 AM;Nu;6.354970566E+17;561
04-08-2014 12:01 AM;Upsilon;6.353251206E+17;686
2010-06-08 00:01:00;Omicron;634115520600000000;117
02-28-2016 12:01 AM;Omega;6.359221446E+17;415
05-09-2017 12:01 AM;Tau;6.362988486E+17;370
2016-06-11 00:01:00;Epsilon;6.36012E+017;45
2010-05-20 00:01:00;Xi;634099104600000000;975
2019-08-24T00:01:00.0000000;Delta;637,022,016,600,000,000.00000000;410
2019-02-05T00:01:00.0000000;Rho;636,849,216,600,000,000.00000000;652
05-25-2011 12:02 AM;Epsilon;6.344187852E+17;661
2015-09-22 00:01:00;Epsilon;635784768600000000;202
12-15-2015 12:01 AM;Chi;6.358573446E+17;675
2015-09-29 00:01:00;Beta;6.35791E+017;406
08-07-2017 12:01 AM;Kappa;6.363766086E+17;319
2015-12-01 00:02:00;Alpha;635845249200000000;990
2010-08-18 00:01:00;Nu;634176864600000000;493
2014-10-31T00:03:00.0000000;Psi;635,503,105,800,000,000.00000000;24
03-08-2013 12:02 AM;Gamma;6.349829772E+17;367
2011-01-24 00:01:00;Eta;634314240600000000;41
2010-10-24 00:01:00;Omega;634234752600000000;317
2014-11-09 00:01:00;Eta;6.35511E+017;330
2013-03-18 00:01:00;Gamma;634991616600000000;100
2019-08-29 00:01:00;Epsilon;637026336600000000;315
2018-07-18 00:01:00;Lambda;636674688600000000;894
2016-10-05 00:02:00;Upsilon;636112225200000000;931
07-18-2016 12:01 AM;Lambda;6.360439686E+17;645
02-05-2012 12:01 AM;Theta;6.346399686E+17;176
2017-01-24T00:01:00.0000000;Alpha;636,208,128,600,000,000.00000000;710
2018-07-05 00:02:00;Lambda;636663457200000000;850
08-15-2019 12:03 AM;Lambda;6.370142418E+17;210
2012-02-09T00:01:00.0000000;Alpha;634,643,424,600,000,000.00000000;539
2010-05-03 00:01:00;Beta;634084416600000000;536
2018-03-02 00:01:00;Gamma;636555456600000000;527
2018-06-14T00:03:00.0000000;Alpha;636,645,313,800,000,000.00000000;259
2011-02-12T00:01:00.0000000;Rho;634,330,656,600,000,000.00000000;976
2019-02-20 00:02:00;Theta;636862177200000000;124
02-04-2017 12:01 AM;Zeta;6.362176326E+17;651
02-05-2011 12:01 AM;Omega;6.343246086E+17;402
2015-07-11 00:01:00;Alpha;635721696600000000;539
08-28-2010 12:01 AM;Rho;6.341855046E+17;41
2018-09-19 00:01:00;Beta;636729120600000000;767
2014-03-19 00:01:00;Epsilon;6.35308E+017;400
2018-05-30T00:01:00.0000000;Lambda;636,632,352,600,000,000.00000000;378
2012-04-30 00:01:00;Alpha;6.34713E+017;632
2019-07-18T00:01:00.0000000;Phi;636,990,048,600,000,000.00000000;859
02-19-2018 12:01 AM;Alpha;6.365459526E+17;986
10-20-2010 12:01 AM;Phi;6.342312966E+17;201
06-06-2013 12:01 AM;Epsilon;6.350607366E+17;745
2012-03-18T00:01:00.0000000;Gamma;634,676,256,600,000,000.00000000;988
2016-10-06 00:02:00;Sigma;636113089200000000;468
2019-10-01T00:01:00.0000000;Gamma;637,054,848,600,000,000.00000000;657
2012-06-22 00:02:00;Alpha;6.34759E+017;209
2016-03-04T00:02:00.0000000;Zeta;635,926,465,200,000,000.00000000;885
12-20-2014 12:01 AM;Mu;6.355463046E+17;739
03-14-2016 12:02 AM;Zeta;6.359351052E+17;664
2015-08-07 00:02:00;Chi;6.35745E+017;914
2014-06-10T00:01:00.0000000;Omicron;635,379,552,600,000,000.00000000;738
2012-07-24 00:01:00;Gamma;634786848600000000;134
05-01-2013 12:01 AM;Eta;6.350296326E+17;827
2010-04-15 00:01:00;Iota;634068864600000000;130
11-14-2019 12:01 AM;Upsilon;6.370928646E+17;182
2013-04-17 00:01:00;Iota;635017536600000000;810
2011-01-21 00:03:00;Epsilon;634311649800000000;811
2019-08-11 00:01:00;Phi;637010784600000000;266
2011-04-25T00:03:00.0000000;Epsilon;634,392,865,800,000,000.00000000;515
2014-11-01T00:01:00.0000000;Omicron;635,503,968,600,000,000.00000000;905
2017-10-08 00:02:00;Tau;636430177200000000;146
2014-01-31 00:02:00;Tau;635267233200000000;64
2016-06-01 00:01:00;Delta;636003360600000000;776
11-29-2014 12:02 AM;Kappa;6.355281612E+17;242
2012-12-15T00:01:00.0000000;Iota;634,911,264,600,000,000.00000000;104
2016-01-07 00:01:00;Iota;635877216600000000;515
2017-07-02 00:02:00;Lambda;636345505200000000;104
2017-01-02 00:02:00;Pi;636189121200000000;377
04-17-2017 12:01 AM;Lambda;6.362798406E+17;780
2011-11-17 00:01:00;Upsilon;6.34571E+017;97
2014-11-25 00:02:00;Omicron;6.35525E+017;414
2010-01-10T00:01:00.0000000;Pi;633,986,784,600,000,000.00000000;573
2015-11-14 00:02:00;Kappa;635830561200000000;526
03-11-2011 12:01 AM;Beta;6.343539846E+17;551
2010-01-12 00:02:00;Mu;633988513200000000;685
01-01-2017 12:02 AM;Omega;6.361882572E+17;970
2017-09-16T00:01:00.0000000;Iota;636,411,168,600,000,000.00000000;334
2016-06-02T00:02:00.0000000;Nu;636,004,225,200,000,000.00000000;340
2012-04-23T00:02:00.0000000;Zeta;634,707,361,200,000,000.00000000;776
2013-11-04T00:02:00.0000000;Omicron;635,191,201,200,000,000.00000000;452
2019-06-18 00:03:00;Mu;6.36964E+017;242
2015-04-01 00:02:00;Beta;6.35634E+017;219
02-28-2016 12:01 AM;Theta;6.359221446E+17;242
2014-09-24 00:02:00;Pi;635471137200000000;944
12-29-2016 12:03 AM;Sigma;6.361856658E+17;521
2016-03-21T00:03:00.0000000;Mu;635,941,153,800,000,000.00000000;311
08-29-2015 12:01 AM;Tau;6.357640326E+17;431
2013-06-09 00:01:00;Epsilon;635063328600000000;42
