TM;Category;unknown;Quantity
05-26-2011 12:01 AM;Mu;6.344196486E+17;134
2010-11-16T00:01:00.0000000;Nu;634,254,624,600,000,000.00000000;21
2019-01-07 00:01:00;Pi;6.36824E+017;833
11-19-2012 12:01 AM;Tau;6.348888006E+17;780
05-16-2014 12:01 AM;Lambda;6.353579526E+17;53
2011-01-27T00:01:00.0000000;Omicron;634,316,832,600,000,000.00000000;859
2011-03-04T00:01:00.0000000;Omicron;634,347,936,600,000,000.00000000;252
07-29-2019 12:01 AM;Sigma;6.369995526E+17;410
05-18-2012 12:02 AM;Omicron;6.347289612E+17;719
2019-12-16 00:01:00;Zeta;6.37121E+017;637
2011-02-28 00:01:00;Lambda;634344480600000000;182
2015-06-11 00:01:00;Lambda;635695776600000000;230
2015-07-18 00:01:00;Gamma;635727744600000000;114
04-23-2015 12:01 AM;Gamma;6.356534406E+17;21
2019-08-12 00:01:00;Mu;6.37012E+017;349
07-31-2013 12:01 AM;Chi;6.351082566E+17;175
2017-08-17 00:01:00;Beta;6.36385E+017;781
03-17-2010 12:01 AM;Beta;6.340438086E+17;326
06-04-2014 12:01 AM;Pi;6.353743686E+17;266
02-07-2016 12:01 AM;Sigma;6.359040006E+17;715
10-15-2011 12:01 AM;Gamma;6.345423366E+17;696
2016-01-30 00:02:00;Tau;635897089200000000;661
2018-03-05 00:01:00;Epsilon;6.36558E+017;392
2012-06-14T00:02:00.0000000;Nu;634,752,289,200,000,000.00000000;818
2016-06-05T00:01:00.0000000;Tau;636,006,816,600,000,000.00000000;940
2012-04-23T00:01:00.0000000;Zeta;634,707,360,600,000,000.00000000;485
2010-08-13 00:01:00;Mu;634172544600000000;619
2011-01-06T00:03:00.0000000;Rho;634,298,689,800,000,000.00000000;142
09-26-2017 12:01 AM;Tau;6.364198086E+17;792
05-30-2014 12:02 AM;Kappa;6.353700492E+17;597
2018-08-29 00:02:00;Iota;636710977200000000;544
2018-01-06 00:01:00;Lambda;636507936600000000;932
2016-05-16T00:01:00.0000000;Eta;635,989,536,600,000,000.00000000;861
01-01-2017 12:02 AM;Kappa;6.361882572E+17;44
2013-06-30T00:01:00.0000000;Kappa;635,081,472,600,000,000.00000000;339
2018-12-31T00:01:00.0000000;Kappa;636,818,112,600,000,000.00000000;305
2015-10-19 00:01:00;Epsilon;6.35808E+017;901
2016-07-31 00:02:00;Upsilon;636055201200000000;893
2010-06-23T00:01:00.0000000;Mu;634,128,480,600,000,000.00000000;671
01-07-2014 12:01 AM;Alpha;6.352464966E+17;999
2011-12-23 00:02:00;Sigma;6.34602E+017;303
09-15-2010 12:01 AM;Psi;6.342010566E+17;342
2012-05-15 00:01:00;Eta;634726368600000000;205
2011-09-25 00:01:00;Epsilon;6.34525E+017;444
2019-01-04 00:02:00;Xi;636821569200000000;575
2013-07-19T00:02:00.0000000;Omega;635,097,889,200,000,000.00000000;283
2019-08-02 00:01:00;Pi;637003008600000000;552
2015-02-07 00:01:00;Alpha;6.35589E+017;377
2017-03-05 00:01:00;Eta;636242688600000000;699
02-22-2012 12:01 AM;Kappa;6.346546566E+17;881
02-28-2016 12:02 AM;Nu;6.359221452E+17;417
01-14-2013 12:01 AM;Kappa;6.349371846E+17;737
07-31-2012 12:02 AM;Omicron;6.347928972E+17;500
07-18-2011 12:02 AM;Theta;6.344654412E+17;799
2018-02-06 00:02:00;Omicron;636534721200000000;880
2016-10-09T00:02:00.0000000;Kappa;636,115,681,200,000,000.00000000;175
2019-02-26 00:03:00;Eta;636867361800000000;71
2013-09-14 00:01:00;Lambda;635147136600000000;89
2018-06-22 00:02:00;Alpha;6.36652E+017;317
2017-04-24T00:02:00.0000000;Chi;636,285,889,200,000,000.00000000;285
10-21-2015 12:02 AM;Mu;6.358098252E+17;723
2014-08-20 00:01:00;Delta;635440896600000000;510
12-18-2015 12:01 AM;Eta;6.358599366E+17;138
03-14-2010 12:01 AM;Pi;6.340412166E+17;593
2015-06-24 00:01:00;Omicron;635707008600000000;33
09-12-2010 12:01 AM;Psi;6.341984646E+17;634
05-24-2010 12:03 AM;Mu;6.341025618E+17;527
2010-10-11 00:01:00;Alpha;634223520600000000;163
2011-09-01T00:01:00.0000000;Tau;634,504,320,600,000,000.00000000;885
01-16-2012 12:01 AM;Omicron;6.346226886E+17;702
2011-11-16 00:01:00;Epsilon;634569984600000000;462
2014-09-27T00:02:00.0000000;Rho;635,473,729,200,000,000.00000000;381
