TM;Category;unknown;Quantity
2010-06-21 00:01:00;Mu;634126752600000000;922
2018-01-22T00:01:00.0000000;Gamma;636,521,760,600,000,000.00000000;46
2011-03-02T00:01:00.0000000;Sigma;634,346,208,600,000,000.00000000;757
01-10-2019 12:02 AM;Gamma;6.368267532E+17;839
2010-07-10T00:01:00.0000000;Delta;634,143,168,600,000,000.00000000;877
2011-04-24 00:01:00;Upsilon;634392000600000000;434
2018-11-24 00:01:00;Rho;636786144600000000;553
2011-05-02 00:01:00;Xi;6.34399E+017;265
2018-12-16 00:01:00;Omicron;636805152600000000;9
04-05-2010 12:01 AM;Epsilon;6.340602246E+17;185
10-03-2010 12:01 AM;Nu;6.342166086E+17;393
2019-04-06 00:02:00;Chi;6.36901E+017;235
04-15-2018 12:01 AM;Chi;6.365934726E+17;775
2018-02-27T00:01:00.0000000;Iota;636,552,864,600,000,000.00000000;80
2019-09-01 00:01:00;Upsilon;6.37029E+017;45
2017-03-02T00:01:00.0000000;Xi;636,240,096,600,000,000.00000000;951
2016-07-06 00:01:00;Xi;636033600600000000;868
01-17-2012 12:01 AM;Phi;6.346235526E+17;491
2017-05-09 00:02:00;Lambda;636298849200000000;53
2014-05-20 00:01:00;Gamma;635361408600000000;115
2010-11-15T00:01:00.0000000;Rho;634,253,760,600,000,000.00000000;173
2018-02-25 00:02:00;Delta;636551137200000000;550
2013-04-21T00:01:00.0000000;Mu;635,020,992,600,000,000.00000000;891
01-25-2014 12:01 AM;Epsilon;6.352620486E+17;885
2011-03-21T00:02:00.0000000;Beta;634,362,625,200,000,000.00000000;837
2013-05-26T00:02:00.0000000;Nu;635,051,233,200,000,000.00000000;558
02-20-2019 12:01 AM;Tau;6.368621766E+17;739
2014-07-31 00:01:00;Chi;635423616600000000;563
11-05-2011 12:02 AM;Iota;6.345604812E+17;633
2016-07-12 00:01:00;Nu;636038784600000000;708
2018-10-24 00:01:00;Pi;636759360600000000;597
01-03-2010 12:01 AM;Psi;6.339807366E+17;309
2015-06-28 00:01:00;Phi;635710464600000000;778
2014-03-10T00:02:00.0000000;Phi;635,300,065,200,000,000.00000000;689
2017-07-05T00:02:00.0000000;Omega;636,348,097,200,000,000.00000000;226
06-11-2012 12:01 AM;Nu;6.347496966E+17;110
03-13-2017 12:01 AM;Nu;6.362496006E+17;147
2016-09-25 00:01:00;Gamma;6.36104E+017;234
11-30-2019 12:02 AM;Theta;6.371066892E+17;722
2015-09-10 00:02:00;Theta;6.35774E+017;196
2016-01-17 00:01:00;Xi;6.35886E+017;413
11-24-2010 12:01 AM;Rho;6.342615366E+17;935
04-08-2014 12:01 AM;Tau;6.353251206E+17;411
01-03-2010 12:02 AM;Tau;6.339807372E+17;941
07-18-2017 12:02 AM;Xi;6.363593292E+17;624
04-23-2010 12:01 AM;Nu;6.340757766E+17;510
01-22-2010 12:01 AM;Omicron;6.339971526E+17;317
2011-01-11 00:01:00;Gamma;634303008600000000;942
08-16-2013 12:02 AM;Psi;6.351220812E+17;532
01-27-2013 12:01 AM;Lambda;6.349484166E+17;168
2015-06-13 00:01:00;Upsilon;6.35698E+017;828
2017-05-13T00:03:00.0000000;Theta;636,302,305,800,000,000.00000000;341
2014-02-03T00:01:00.0000000;Omega;635,269,824,600,000,000.00000000;171
2016-03-04T00:02:00.0000000;Mu;635,926,465,200,000,000.00000000;142
2015-07-21 00:01:00;Tau;6.35730E+017;684
2013-08-04 00:01:00;Theta;635111712600000000;941
2012-09-14T00:01:00.0000000;Beta;634,831,776,600,000,000.00000000;727
2018-11-27T00:01:00.0000000;Nu;636,788,736,600,000,000.00000000;758
2018-05-16 00:02:00;Theta;6.36620E+017;479
2010-04-30T00:01:00.0000000;Omicron;634,081,824,600,000,000.00000000;370
2013-09-19 00:01:00;Alpha;6.35151E+017;412
2019-05-08T00:02:00.0000000;Psi;636,928,705,200,000,000.00000000;764
2012-04-01 00:01:00;Theta;634688352600000000;108
2017-10-04T00:04:00.0000000;Phi;636,426,722,400,000,000.00000000;287
2013-08-07T00:01:00.0000000;Upsilon;635,114,304,600,000,000.00000000;923
2010-07-15 00:02:00;Tau;6.34147E+017;71
2011-04-08T00:02:00.0000000;Sigma;634,378,177,200,000,000.00000000;91
2018-11-09 00:03:00;Omega;636773185800000000;217
2013-09-11T00:01:00.0000000;Theta;635,144,544,600,000,000.00000000;762
2011-06-03 00:03:00;Nu;634426561800000000;495
2014-08-21T00:01:00.0000000;Omega;635,441,760,600,000,000.00000000;317
2014-08-08 00:03:00;Alpha;6.35431E+017;785
06-06-2018 12:02 AM;Upsilon;6.366384012E+17;973
01-31-2012 12:02 AM;Pi;6.346356492E+17;312
08-16-2014 12:01 AM;Upsilon;6.354374406E+17;499
01-21-2010 12:01 AM;Zeta;6.339962886E+17;582
2019-08-26T00:01:00.0000000;Phi;637,023,744,600,000,000.00000000;946
01-02-2010 12:01 AM;Xi;6.339798726E+17;400
01-29-2014 12:02 AM;Delta;6.352655052E+17;630
04-23-2016 12:01 AM;Eta;6.359696646E+17;310
09-22-2013 12:01 AM;Psi;6.351540486E+17;127
2018-05-25 00:02:00;Delta;636628033200000000;428
06-30-2011 12:02 AM;Tau;6.344498892E+17;612
2019-04-19T00:01:00.0000000;Iota;636,912,288,600,000,000.00000000;315
2014-07-03 00:02:00;Mu;6.35399E+017;917
2012-09-14T00:02:00.0000000;Epsilon;634,831,777,200,000,000.00000000;59
2013-11-02 00:01:00;Beta;635189472600000000;861
2017-10-07 00:02:00;Nu;636429313200000000;731
2011-09-23 00:02:00;Nu;6.34523E+017;437
2018-01-26 00:02:00;Beta;6.36525E+017;322
2017-11-28T00:03:00.0000000;Tau;636,474,241,800,000,000.00000000;145
07-10-2014 12:02 AM;Kappa;6.354054732E+17;450
11-16-2012 12:03 AM;Sigma;6.348862098E+17;933
2018-06-30 00:01:00;Nu;636659136600000000;726
2013-06-27 00:01:00;Psi;635078880600000000;310
07-15-2012 12:01 AM;Psi;6.347790726E+17;834
08-20-2011 12:03 AM;Kappa;6.344939538E+17;34
2017-01-06T00:02:00.0000000;Iota;636,192,577,200,000,000.00000000;492
2013-05-23 00:02:00;Beta;635048641200000000;838
2011-07-06T00:02:00.0000000;Omicron;634,455,073,200,000,000.00000000;213
08-07-2016 12:02 AM;Omicron;6.360612492E+17;327
2013-09-25 00:03:00;Rho;635156641800000000;602
2019-10-07 00:01:00;Xi;6.37060E+017;884
2017-06-14 00:03:00;Iota;636329953800000000;662
2013-08-11 00:03:00;Rho;6.35118E+017;998
2018-06-21 00:03:00;Pi;6.36651E+017;687
2013-02-28 00:01:00;Mu;634976064600000000;687
2018-01-07 00:01:00;Omega;636508800600000000;635
01-25-2014 12:01 AM;Pi;6.352620486E+17;239
2016-10-07T00:01:00.0000000;Rho;636,113,952,600,000,000.00000000;4
05-16-2014 12:03 AM;Alpha;6.353579538E+17;105
08-23-2010 12:02 AM;Psi;6.341811852E+17;432
2010-10-16 00:01:00;Omicron;6.34228E+017;824
05-28-2016 12:01 AM;Psi;6.359999046E+17;63
2015-08-24 00:01:00;Tau;6.35760E+017;132
2010-06-03 00:01:00;Eta;634111200600000000;585
2014-12-04 00:02:00;Beta;635532481200000000;653
2017-03-20T00:01:00.0000000;Tau;636,255,648,600,000,000.00000000;121
08-05-2010 12:02 AM;Sigma;6.341656332E+17;987
2015-03-11 00:02:00;Rho;635616289200000000;817
11-06-2010 12:02 AM;Upsilon;6.342459852E+17;890
12-19-2014 12:02 AM;Phi;6.355454412E+17;373
2012-02-24 00:02:00;Delta;634656385200000000;852
2017-06-06 00:02:00;Alpha;6.36323E+017;687
07-26-2014 12:02 AM;Tau;6.354192972E+17;815
03-09-2019 12:02 AM;Xi;6.368768652E+17;633
10-29-2018 12:02 AM;Phi;6.367636812E+17;895
2019-12-06 00:02:00;Mu;637111873200000000;343
2015-06-08T00:02:00.0000000;Lambda;635,693,185,200,000,000.00000000;348
2010-09-23 00:02:00;Tau;634207969200000000;870
2011-11-12 00:04:00;Phi;634566530400000000;856
2013-12-07 00:02:00;Mu;635219713200000000;543
05-06-2018 12:01 AM;Omicron;6.366116166E+17;366
2012-11-12 00:01:00;Iota;634882752600000000;672
09-13-2015 12:02 AM;Mu;6.357769932E+17;192
2019-01-06 00:02:00;Xi;6.36823E+017;177
2012-08-30 00:02:00;Zeta;634818817200000000;780
2013-09-08 00:03:00;Omega;635141953800000000;76
2016-11-16 00:03:00;Xi;636148513800000000;305
2016-02-12 00:02:00;Rho;635908321200000000;458
2019-09-17 00:03:00;Lambda;6.37043E+017;84
03-06-2012 12:04 AM;Alpha;6.346658904E+17;954
01-14-2017 12:02 AM;Tau;6.361994892E+17;672
2012-12-13T00:03:00.0000000;Epsilon;634,909,537,800,000,000.00000000;632
