TM;Category;unknown;Quantity
2014-07-02 00:01:00;Zeta;635398560600000000;673
2011-08-30T00:01:00.0000000;Phi;634,502,592,600,000,000.00000000;351
2010-08-22 00:01:00;Omicron;6.34180E+017;933
12-08-2018 12:01 AM;Pi;6.367982406E+17;527
2014-07-13 00:01:00;Xi;635408064600000000;335
2019-11-10 00:01:00;Iota;6.37089E+017;950
03-03-2014 12:01 AM;Omega;6.352940166E+17;566
10-14-2017 12:01 AM;Gamma;6.364353606E+17;481
2011-12-22 00:01:00;Chi;634601088600000000;842
07-28-2014 12:01 AM;Epsilon;6.354210246E+17;74
2019-06-13T00:01:00.0000000;Iota;636,959,808,600,000,000.00000000;141
2013-12-29T00:01:00.0000000;Gamma;635,238,720,600,000,000.00000000;201
2012-09-03 00:01:00;Gamma;6.34822E+017;337
05-03-2012 12:02 AM;Rho;6.347160012E+17;861
2018-02-13 00:01:00;Tau;636540768600000000;347
2014-09-27T00:01:00.0000000;Beta;635,473,728,600,000,000.00000000;521
05-10-2015 12:01 AM;Epsilon;6.356681286E+17;224
2013-10-05 00:01:00;Phi;6.35165E+017;866
11-12-2013 12:02 AM;Iota;6.351981132E+17;945
08-06-2010 12:01 AM;Lambda;6.341664966E+17;245
2012-11-28 00:01:00;Xi;634896576600000000;294
2019-11-20 00:01:00;Upsilon;637098048600000000;636
10-06-2015 12:01 AM;Tau;6.357968646E+17;766
2017-10-01 00:02:00;Psi;636424129200000000;484
2019-01-22 00:02:00;Theta;636837121200000000;862
2013-05-15 00:01:00;Iota;6.35042E+017;789
2015-09-02 00:01:00;Mu;635767488600000000;53
2016-01-14 00:02:00;Upsilon;635883265200000000;95
2016-01-17 00:02:00;Kappa;6.35886E+017;349
2013-11-22T00:01:00.0000000;Chi;635,206,752,600,000,000.00000000;361
2011-08-16 00:01:00;Theta;634490496600000000;859
2012-08-24 00:01:00;Delta;634813632600000000;174
2014-04-02 00:02:00;Delta;635319937200000000;600
2017-04-10 00:01:00;Delta;636273792600000000;654
2017-03-16 00:01:00;Alpha;636252192600000000;203
2013-05-29 00:02:00;Delta;635053825200000000;93
2010-03-24 00:03:00;Phi;634049857800000000;597
2011-05-14T00:01:00.0000000;Alpha;634,409,280,600,000,000.00000000;305
12-25-2017 12:01 AM;Chi;6.364975686E+17;521
2012-01-01 00:01:00;Beta;634609728600000000;616
09-10-2017 12:02 AM;Nu;6.364059852E+17;626
2010-03-23T00:02:00.0000000;Epsilon;634,048,993,200,000,000.00000000;708
2010-12-21T00:01:00.0000000;Lambda;634,284,864,600,000,000.00000000;811
2012-06-21 00:01:00;Epsilon;6.34758E+017;215
2011-08-27 00:01:00;Zeta;634500000600000000;244
2012-04-24 00:02:00;Omicron;634708225200000000;842
03-12-2012 12:01 AM;Nu;6.346710726E+17;909
