TM;Category;unknown;Quantity
08-06-2017 12:01 AM;Eta;6.363757446E+17;10
06-29-2017 12:01 AM;Nu;6.363429126E+17;102
2016-05-17T00:01:00.0000000;Omicron;635,990,400,600,000,000.00000000;621
08-21-2017 12:02 AM;Tau;6.363887052E+17;450
2016-06-04T00:01:00.0000000;Delta;636,005,952,600,000,000.00000000;551
2012-08-14 00:01:00;Beta;6.34805E+017;284
01-24-2015 12:01 AM;Epsilon;6.355765446E+17;703
02-01-2013 12:01 AM;Phi;6.349527366E+17;565
2016-11-28 00:01:00;Theta;636158880600000000;462
2016-06-29 00:01:00;Xi;6.36028E+017;701
2010-02-01 00:01:00;Delta;634005792600000000;32
2013-03-21 00:01:00;Sigma;6.34994E+017;111
2018-02-05 00:01:00;Alpha;636533856600000000;185
03-17-2015 12:01 AM;Rho;6.356214726E+17;260
10-03-2016 12:01 AM;Zeta;6.361104966E+17;383
2015-07-30 00:01:00;Omicron;635738112600000000;264
2019-06-20 00:01:00;Alpha;6.36966E+017;82
2010-12-22T00:01:00.0000000;Epsilon;634,285,728,600,000,000.00000000;904
11-16-2012 12:01 AM;Sigma;6.348862086E+17;564
2017-08-26 00:01:00;Rho;636393024600000000;191
02-03-2017 12:01 AM;Tau;6.362167686E+17;159
02-03-2012 12:01 AM;Epsilon;6.346382406E+17;961
2015-06-15 00:01:00;Delta;6.35699E+017;519
2013-07-15 00:02:00;Lambda;635094433200000000;851
2019-09-29T00:01:00.0000000;Theta;637,053,120,600,000,000.00000000;640
2019-04-17 00:01:00;Eta;636910560600000000;984
2010-06-06T00:01:00.0000000;Pi;634,113,792,600,000,000.00000000;389
03-13-2011 12:01 AM;Gamma;6.343557126E+17;792
2019-10-04 00:02:00;Beta;6.37057E+017;862
2017-12-14 00:01:00;Kappa;636488064600000000;63
01-30-2014 12:01 AM;Iota;6.352663686E+17;385
03-22-2015 12:01 AM;Phi;6.356257926E+17;353
2012-10-24 00:01:00;Chi;634866336600000000;782
2016-12-22 00:01:00;Omicron;636179616600000000;252
