TM;Category;unknown;Quantity
2013-06-12T00:01:00.0000000;Pi;635,065,920,600,000,000.00000000;536
2013-04-05 00:01:00;Gamma;635007168600000000;218
2019-08-24T00:01:00.0000000;Beta;637,022,016,600,000,000.00000000;33
04-02-2016 12:01 AM;Rho;6.359515206E+17;579
04-18-2012 12:01 AM;Delta;6.347030406E+17;291
2019-12-18 00:01:00;Delta;6.37122E+017;603
2019-08-13 00:01:00;Psi;6.37013E+017;787
09-22-2019 12:01 AM;Tau;6.370470726E+17;609
2017-04-03 00:01:00;Psi;636267744600000000;716
07-12-2013 12:01 AM;Chi;6.350918406E+17;763
2011-09-07 00:01:00;Tau;6.34510E+017;357
2019-02-25T00:01:00.0000000;Epsilon;636,866,496,600,000,000.00000000;624
12-02-2019 12:01 AM;Upsilon;6.371084166E+17;482
12-08-2018 12:01 AM;Upsilon;6.367982406E+17;233
2017-09-16T00:01:00.0000000;Epsilon;636,411,168,600,000,000.00000000;558
03-27-2018 12:01 AM;Kappa;6.365770566E+17;424
04-13-2012 12:01 AM;Gamma;6.346987206E+17;531
10-29-2013 12:01 AM;Chi;6.351860166E+17;370
2012-08-24 00:01:00;Mu;634813632600000000;860
2016-06-21T00:01:00.0000000;Pi;636,020,640,600,000,000.00000000;417
2010-03-11 00:02:00;Epsilon;6.34039E+017;628
05-26-2010 12:02 AM;Upsilon;6.341042892E+17;253
2019-04-18 00:01:00;Delta;636911424600000000;678
2012-02-15 00:01:00;Sigma;6.34649E+017;224
08-15-2013 12:01 AM;Epsilon;6.351212166E+17;940
2013-08-06T00:01:00.0000000;Mu;635,113,440,600,000,000.00000000;789
2016-03-05T00:01:00.0000000;Upsilon;635,927,328,600,000,000.00000000;295
01-03-2010 12:01 AM;Rho;6.339807366E+17;465
2017-11-29T00:01:00.0000000;Omega;636,475,104,600,000,000.00000000;617
2010-03-22 00:01:00;Chi;634048128600000000;679
2015-06-28 00:02:00;Theta;635710465200000000;947
2015-08-02T00:01:00.0000000;Upsilon;635,740,704,600,000,000.00000000;349
2013-07-04 00:01:00;Pi;635084928600000000;721
2012-01-29 00:01:00;Phi;6.34634E+017;670
2013-09-14 00:01:00;Tau;635147136600000000;863
08-19-2012 12:01 AM;Sigma;6.348093126E+17;829
2018-01-09 00:02:00;Delta;6.36511E+017;155
03-28-2012 12:02 AM;Phi;6.346848972E+17;323
09-30-2011 12:02 AM;Chi;6.345293772E+17;617
2013-11-29 00:01:00;Nu;6.35213E+017;911
2018-11-07T00:02:00.0000000;Delta;636,771,457,200,000,000.00000000;736
01-29-2014 12:01 AM;Rho;6.352655046E+17;229
2012-04-09 00:01:00;Sigma;634695264600000000;810
2014-01-13 00:01:00;Omicron;635251680600000000;393
02-03-2011 12:01 AM;Omega;6.343228806E+17;126
2013-04-07 00:01:00;Rho;6.35009E+017;930
2018-08-12 00:02:00;Theta;636696289200000000;33
2013-04-07 00:01:00;Theta;6.35009E+017;340
07-02-2011 12:02 AM;Iota;6.344516172E+17;625
