TM;Category;unknown;Quantity
2012-10-09 00:01:00;Sigma;6.34853E+017;373
2011-04-14 00:01:00;Zeta;6.34383E+017;285
2013-09-18 00:01:00;Nu;6.35151E+017;435
01-11-2013 12:01 AM;Tau;6.349345926E+17;894
06-11-2017 12:01 AM;Pi;6.363273606E+17;111
06-09-2018 12:01 AM;Kappa;6.366409926E+17;268
02-24-2017 12:01 AM;Lambda;6.362349126E+17;835
2015-06-05 00:01:00;Eta;635690592600000000;691
2011-09-01T00:01:00.0000000;Nu;634,504,320,600,000,000.00000000;640
2010-02-02 00:02:00;Pi;6.34007E+017;588
08-17-2019 12:01 AM;Epsilon;6.370159686E+17;400
2011-04-15 00:01:00;Beta;6.34384E+017;603
07-09-2019 12:01 AM;Psi;6.369822726E+17;635
2014-11-09 00:01:00;Phi;6.35511E+017;514
08-17-2018 12:01 AM;Delta;6.367006086E+17;173
2010-11-17 00:01:00;Delta;634255488600000000;97
2011-08-12T00:01:00.0000000;Alpha;634,487,040,600,000,000.00000000;10
2012-04-27 00:01:00;Epsilon;634710816600000000;75
2015-05-22 00:01:00;Alpha;635678496600000000;771
2010-05-22 00:01:00;Nu;634100832600000000;386
2019-04-06 00:01:00;Eta;636901056600000000;563
2010-03-28 00:01:00;Chi;634053312600000000;305
2012-12-13T00:01:00.0000000;Phi;634,909,536,600,000,000.00000000;813
05-14-2015 12:01 AM;Kappa;6.356715846E+17;899
2011-10-02 00:01:00;Nu;634531104600000000;636
2012-08-30 00:01:00;Rho;634818816600000000;114
03-15-2010 12:01 AM;Omicron;6.340420806E+17;930
2016-01-25 00:01:00;Pi;635892768600000000;350
01-17-2018 12:01 AM;Sigma;6.365174406E+17;621
08-19-2019 12:02 AM;Tau;6.370176972E+17;27
11-10-2015 12:01 AM;Gamma;6.358271046E+17;976
2018-07-25 00:01:00;Beta;636680736600000000;613
09-30-2011 12:01 AM;Pi;6.345293766E+17;868
04-18-2011 12:01 AM;Zeta;6.343868166E+17;588
2011-12-04 00:01:00;Epsilon;634585536600000000;78
05-27-2016 12:02 AM;Upsilon;6.359990412E+17;253
2019-03-03 00:01:00;Rho;6.36872E+017;809
07-09-2019 12:01 AM;Tau;6.369822726E+17;108
02-16-2013 12:03 AM;Upsilon;6.349656978E+17;903
2011-05-01 00:01:00;Zeta;634398048600000000;218
2019-07-17 00:02:00;Alpha;636989185200000000;164
07-16-2018 12:01 AM;Tau;6.366729606E+17;125
2013-07-02 00:02:00;Delta;635083201200000000;815
05-18-2019 12:01 AM;Psi;6.369373446E+17;430
2017-02-16 00:03:00;Delta;6.36228E+017;599
2010-09-18 00:01:00;Upsilon;634203648600000000;656
2019-09-13T00:01:00.0000000;Eta;637,039,296,600,000,000.00000000;21
10-16-2012 12:01 AM;Rho;6.348594246E+17;903
01-10-2014 12:02 AM;Mu;6.352490892E+17;522
06-21-2015 12:01 AM;Phi;6.357044166E+17;135
09-07-2011 12:02 AM;Lambda;6.345095052E+17;375
02-25-2010 12:02 AM;Tau;6.340265292E+17;824
2019-09-28 00:01:00;Psi;637052256600000000;770
06-15-2010 12:01 AM;Sigma;6.341215686E+17;840
06-10-2017 12:03 AM;Omega;6.363264978E+17;716
2013-07-06 00:01:00;Theta;6.35087E+017;107
2011-04-12 00:01:00;Eta;634381632600000000;321
2018-08-05 00:01:00;Phi;636690240600000000;146
04-11-2014 12:02 AM;Epsilon;6.353277132E+17;700
03-24-2019 12:02 AM;Nu;6.368898252E+17;171
2013-08-31 00:01:00;Xi;6.35135E+017;19
2015-11-24 00:01:00;Iota;6.35839E+017;518
03-09-2017 12:02 AM;Zeta;6.362461452E+17;800
2019-12-29T00:01:00.0000000;Iota;637,131,744,600,000,000.00000000;98
2019-01-14 00:02:00;Omicron;636830209200000000;444
2016-11-28 00:01:00;Phi;636158880600000000;795
2013-01-14 00:02:00;Delta;634937185200000000;500
2011-11-17 00:01:00;Zeta;6.34571E+017;963
05-31-2015 12:01 AM;Chi;6.356862726E+17;306
11-24-2011 12:02 AM;Psi;6.345768972E+17;428
04-02-2017 12:01 AM;Xi;6.362668806E+17;593
2011-04-14 00:01:00;Pi;6.34383E+017;400
2018-10-01T00:02:00.0000000;Tau;636,739,489,200,000,000.00000000;614
2013-10-21 00:01:00;Zeta;635179104600000000;349
2017-06-22 00:03:00;Eta;6.36337E+017;985
2018-03-24 00:02:00;Xi;6.36574E+017;498
2015-09-02 00:01:00;Epsilon;635767488600000000;164
07-31-2012 12:01 AM;Alpha;6.347928966E+17;68
06-09-2012 12:02 AM;Pi;6.347479692E+17;589
2018-07-23 00:02:00;Pi;636679009200000000;691
2014-08-22T00:02:00.0000000;Pi;635,442,625,200,000,000.00000000;769
2011-05-15T00:01:00.0000000;Omega;634,410,144,600,000,000.00000000;790
2011-07-22 00:02:00;Upsilon;634468897200000000;460
10-15-2012 12:02 AM;Sigma;6.348585612E+17;218
2015-10-11T00:01:00.0000000;Sigma;635,801,184,600,000,000.00000000;60
2017-12-20 00:02:00;Epsilon;636493249200000000;819
06-24-2012 12:02 AM;Eta;6.347609292E+17;577
2018-07-28 00:02:00;Iota;6.36683E+017;32
2011-02-20 00:01:00;Alpha;6.34338E+017;76
2015-03-05 00:03:00;Kappa;635611105800000000;987
2012-08-08T00:03:00.0000000;Omega;634,799,809,800,000,000.00000000;912
12-19-2014 12:02 AM;Omicron;6.355454412E+17;401
2019-07-06 00:02:00;Gamma;6.36980E+017;441
09-11-2016 12:02 AM;Tau;6.360914892E+17;498
2017-04-30 00:02:00;Omega;6.36291E+017;957
2019-10-24 00:01:00;Tau;6.37075E+017;666
04-11-2019 12:01 AM;Sigma;6.369053766E+17;336
2010-01-27T00:03:00.0000000;Omicron;634,001,473,800,000,000.00000000;403
10-18-2016 12:02 AM;Omega;6.361234572E+17;439
2014-11-26 00:01:00;Rho;6.35526E+017;367
2015-12-05T00:03:00.0000000;Omicron;635,848,705,800,000,000.00000000;471
2010-10-25 00:01:00;Mu;634235616600000000;580
2016-08-30 00:01:00;Upsilon;636081120600000000;662
2013-03-28 00:02:00;Omega;635000257200000000;961
2014-08-03T00:02:00.0000000;Theta;635,426,209,200,000,000.00000000;109
2019-03-14T00:02:00.0000000;Lambda;636,881,185,200,000,000.00000000;455
12-07-2017 12:02 AM;Mu;6.364820172E+17;161
2019-08-25T00:01:00.0000000;Delta;637,022,880,600,000,000.00000000;877
02-19-2018 12:02 AM;Rho;6.365459532E+17;681
07-04-2016 12:02 AM;Omicron;6.360318732E+17;841
2018-10-28 00:01:00;Omega;6.36763E+017;988
09-28-2017 12:02 AM;Pi;6.364215372E+17;298
2010-11-28 00:02:00;Theta;634264993200000000;334
06-22-2019 12:02 AM;Nu;6.369675852E+17;850
2010-08-21 00:01:00;Rho;6.34179E+017;18
2019-02-12 00:02:00;Gamma;6.36855E+017;345
2015-08-06 00:01:00;Delta;6.35744E+017;955
11-03-2018 12:01 AM;Chi;6.367680006E+17;363
2018-11-14 00:02:00;Mu;6.36778E+017;42
2018-01-20T00:04:00.0000000;Zeta;636,520,034,400,000,000.00000000;342
2010-12-27 00:01:00;Nu;6.34290E+017;998
06-19-2015 12:01 AM;Psi;6.357026886E+17;159
2014-03-30T00:02:00.0000000;Epsilon;635,317,345,200,000,000.00000000;875
2013-05-10 00:02:00;Mu;635037409200000000;818
2010-02-12 00:01:00;Zeta;634015296600000000;162
03-06-2012 12:03 AM;Mu;6.346658898E+17;733
2013-09-08 00:01:00;Eta;635141952600000000;681
2017-10-24 00:03:00;Phi;636444001800000000;626
2016-06-03T00:02:00.0000000;Zeta;636,005,089,200,000,000.00000000;500
2017-12-16T00:03:00.0000000;Omega;636,489,793,800,000,000.00000000;318
2012-09-11 00:01:00;Omega;634829184600000000;606
01-26-2019 12:03 AM;Omega;6.368405778E+17;667
2019-01-16 00:03:00;Xi;636831937800000000;911
2010-11-04 00:01:00;Beta;6.34244E+017;529
2019-08-11 00:02:00;Phi;6.37011E+017;197
2015-11-16T00:03:00.0000000;Zeta;635,832,289,800,000,000.00000000;555
12-18-2014 12:02 AM;Rho;6.355445772E+17;896
2019-10-21 00:02:00;Theta;637072129200000000;346
2013-01-26 00:01:00;Delta;6.34948E+017;970
2016-05-21 00:02:00;Iota;6.35994E+017;59
06-23-2013 12:01 AM;Psi;6.350754246E+17;216
07-09-2013 12:03 AM;Gamma;6.350892498E+17;969
2016-02-13T00:04:00.0000000;Xi;635,909,186,400,000,000.00000000;166
10-30-2018 12:02 AM;Kappa;6.367645452E+17;238
2010-01-29T00:01:00.0000000;Psi;634,003,200,600,000,000.00000000;437
01-17-2017 12:02 AM;Rho;6.362020812E+17;518
2018-08-06 00:02:00;Mu;636691105200000000;533
2015-01-16 00:03:00;Xi;635569633800000000;297
07-13-2017 12:04 AM;Zeta;6.363550104E+17;177
2012-07-03T00:01:00.0000000;Tau;634,768,704,600,000,000.00000000;191
2017-03-16 00:01:00;Upsilon;636252192600000000;352
2011-03-17 00:02:00;Theta;634359169200000000;724
2017-11-07 00:02:00;Eta;636456097200000000;809
11-19-2012 12:01 AM;Epsilon;6.348888006E+17;857
2017-02-07 00:02:00;Chi;636220225200000000;324
05-14-2013 12:03 AM;Gamma;6.350408658E+17;197
2019-04-15 00:02:00;Gamma;636908833200000000;278
10-18-2010 12:01 AM;Mu;6.342295686E+17;531
2013-06-10T00:03:00.0000000;Iota;635,064,193,800,000,000.00000000;355
2016-08-19 00:03:00;Gamma;6.36072E+017;625
