TM;Category;unknown;Quantity
2017-04-07T00:01:00.0000000;Tau;636,271,200,600,000,000.00000000;994
2014-11-21T00:01:00.0000000;Nu;635,521,248,600,000,000.00000000;464
2018-07-18 00:01:00;Gamma;636674688600000000;117
2016-09-21T00:01:00.0000000;Chi;636,100,128,600,000,000.00000000;926
04-30-2014 12:01 AM;Nu;6.353441286E+17;484
2018-11-08T00:01:00.0000000;Gamma;636,772,320,600,000,000.00000000;348
2016-10-11 00:01:00;Nu;636117408600000000;213
2017-03-21T00:01:00.0000000;Theta;636,256,512,600,000,000.00000000;987
2015-05-18 00:01:00;Omicron;635675040600000000;917
2010-11-29 00:01:00;Nu;634265856600000000;651
2016-08-28 00:02:00;Omega;636079393200000000;135
06-30-2017 12:01 AM;Tau;6.363437766E+17;382
2016-02-03 00:01:00;Lambda;6.35901E+017;368
2013-08-24T00:01:00.0000000;Omicron;635,128,992,600,000,000.00000000;1
2014-04-24 00:01:00;Kappa;6.35339E+017;957
12-16-2010 12:01 AM;Beta;6.342805446E+17;911
2014-08-07 00:01:00;Xi;635429664600000000;934
08-31-2015 12:01 AM;Omicron;6.357657606E+17;638
2014-07-30 00:03:00;Gamma;635422753800000000;208
2010-04-09 00:01:00;Iota;634063680600000000;817
2019-10-03 00:02:00;Mu;637056577200000000;852
2010-07-15 00:02:00;Upsilon;6.34147E+017;604
2013-08-02 00:01:00;Theta;635109984600000000;39
01-11-2013 12:02 AM;Kappa;6.349345932E+17;613
01-09-2014 12:01 AM;Zeta;6.352482246E+17;349
04-09-2014 12:01 AM;Delta;6.353259846E+17;507
2016-08-18 00:01:00;Phi;636070752600000000;491
04-12-2013 12:01 AM;Delta;6.350132166E+17;663
07-12-2019 12:01 AM;Eta;6.369848646E+17;484
2011-06-18 00:01:00;Rho;634439520600000000;402
2019-12-17 00:02:00;Rho;6.37121E+017;568
09-12-2016 12:02 AM;Zeta;6.360923532E+17;208
07-20-2017 12:01 AM;Sigma;6.363610566E+17;104
2010-06-04T00:01:00.0000000;Chi;634,112,064,600,000,000.00000000;433
09-15-2010 12:02 AM;Nu;6.342010572E+17;765
2018-12-17 00:01:00;Omicron;636806016600000000;315
2010-03-04 00:01:00;Tau;634032576600000000;29
2015-06-21 00:03:00;Iota;635704417800000000;7
05-15-2014 12:02 AM;Eta;6.353570892E+17;598
2016-08-16 00:02:00;Sigma;636069025200000000;61
2012-05-12T00:01:00.0000000;Beta;634,723,776,600,000,000.00000000;628
03-31-2011 12:02 AM;Psi;6.343712652E+17;951
2017-02-26 00:01:00;Alpha;636236640600000000;621
2018-10-02T00:03:00.0000000;Theta;636,740,353,800,000,000.00000000;234
2018-02-27T00:01:00.0000000;Epsilon;636,552,864,600,000,000.00000000;95
2011-08-20 00:01:00;Xi;6.34494E+017;226
