TM;Category;unknown;Quantity
2015-12-25T00:01:00.0000000;Beta;635,865,984,600,000,000.00000000;265
11-04-2016 12:01 AM;Psi;6.361381446E+17;755
2015-06-27T00:01:00.0000000;Iota;635,709,600,600,000,000.00000000;707
01-02-2010 12:01 AM;Tau;6.339798726E+17;756
10-14-2012 12:01 AM;Theta;6.348576966E+17;422
12-01-2014 12:02 AM;Alpha;6.355298892E+17;47
04-21-2011 12:01 AM;Beta;6.343894086E+17;764
11-05-2010 12:02 AM;Nu;6.342451212E+17;309
2017-04-27T00:01:00.0000000;Sigma;636,288,480,600,000,000.00000000;946
2012-03-21 00:01:00;Epsilon;634678848600000000;785
03-12-2011 12:01 AM;Theta;6.343548486E+17;891
2010-04-17 00:01:00;Delta;6.34071E+017;128
2017-05-15T00:01:00.0000000;Kappa;636,304,032,600,000,000.00000000;758
2013-05-13 00:01:00;Kappa;6.35040E+017;340
06-11-2018 12:01 AM;Zeta;6.366427206E+17;47
01-17-2012 12:01 AM;Chi;6.346235526E+17;530
2012-07-24 00:01:00;Xi;634786848600000000;853
10-27-2014 12:01 AM;Iota;6.354996486E+17;674
05-17-2014 12:01 AM;Rho;6.353588166E+17;606
05-18-2013 12:01 AM;Sigma;6.350443206E+17;66
11-30-2014 12:01 AM;Omega;6.355290246E+17;349
2013-01-21 00:01:00;Psi;634943232600000000;288
2016-10-31 00:01:00;Nu;636134688600000000;101
2018-07-24 00:01:00;Lambda;636679872600000000;990
04-15-2013 12:01 AM;Kappa;6.350158086E+17;564
2014-02-20 00:01:00;Upsilon;635284512600000000;9
2013-06-13T00:01:00.0000000;Epsilon;635,066,784,600,000,000.00000000;414
2014-11-07 00:01:00;Zeta;6.35509E+017;26
02-28-2016 12:01 AM;Zeta;6.359221446E+17;953
02-15-2019 12:02 AM;Nu;6.368578572E+17;409
2015-02-05 00:01:00;Pi;635586912600000000;416
2015-03-23 00:01:00;Xi;635626656600000000;98
04-18-2017 12:02 AM;Lambda;6.362807052E+17;511
2012-02-08 00:01:00;Psi;634642560600000000;50
05-12-2010 12:01 AM;Omicron;6.340921926E+17;367
2015-10-09 00:01:00;Rho;635799456600000000;542
12-24-2019 12:02 AM;Beta;6.371274252E+17;615
04-11-2019 12:01 AM;Tau;6.369053766E+17;157
2017-06-21 00:03:00;Theta;636336001800000000;172
2015-03-25T00:02:00.0000000;Gamma;635,628,385,200,000,000.00000000;440
2013-10-24 00:02:00;Alpha;6.35182E+017;793
2017-08-15 00:01:00;Alpha;636383520600000000;178
2014-11-21T00:01:00.0000000;Alpha;635,521,248,600,000,000.00000000;64
2012-10-25 00:02:00;Phi;6.34867E+017;910
2011-02-10 00:01:00;Sigma;634328928600000000;777
02-01-2019 12:02 AM;Beta;6.368457612E+17;244
2019-07-23 00:01:00;Chi;636994368600000000;879
2012-11-15 00:01:00;Delta;6.34885E+017;817
2011-09-23 00:01:00;Chi;6.34523E+017;710
07-13-2019 12:02 AM;Theta;6.369857292E+17;306
2018-01-08 00:01:00;Eta;636509664600000000;118
10-20-2016 12:01 AM;Rho;6.361251846E+17;96
09-08-2011 12:02 AM;Beta;6.345103692E+17;232
2010-05-13 00:01:00;Xi;634093056600000000;41
2013-06-09 00:01:00;Gamma;635063328600000000;710
2018-04-02T00:03:00.0000000;Delta;636,582,241,800,000,000.00000000;769
2010-03-21 00:02:00;Lambda;634047265200000000;211
12-01-2019 12:01 AM;Theta;6.371075526E+17;113
2010-03-25T00:01:00.0000000;Beta;634,050,720,600,000,000.00000000;388
2016-03-28 00:01:00;Beta;6.35947E+017;778
08-26-2010 12:02 AM;Iota;6.341837772E+17;518
08-20-2017 12:01 AM;Chi;6.363878406E+17;748
08-09-2010 12:01 AM;Beta;6.341690886E+17;729
2015-04-30T00:03:00.0000000;Eta;635,659,489,800,000,000.00000000;565
11-03-2011 12:01 AM;Pi;6.345587526E+17;827
2019-03-02 00:01:00;Eta;6.36871E+017;554
2014-12-22 00:01:00;Nu;635548032600000000;372
08-24-2011 12:02 AM;Iota;6.344974092E+17;916
2010-09-03T00:01:00.0000000;Rho;634,190,688,600,000,000.00000000;928
2019-04-19T00:02:00.0000000;Nu;636,912,289,200,000,000.00000000;418
04-05-2016 12:01 AM;Omega;6.359541126E+17;201
02-02-2017 12:02 AM;Psi;6.362159052E+17;69
2018-01-24 00:02:00;Rho;636523489200000000;25
04-08-2014 12:02 AM;Omicron;6.353251212E+17;817
2012-08-13 00:02:00;Alpha;634804129200000000;621
2018-10-03T00:01:00.0000000;Upsilon;636,741,216,600,000,000.00000000;438
2017-03-23 00:01:00;Sigma;636258240600000000;569
2012-03-15 00:01:00;Theta;634673664600000000;73
2019-10-01 00:02:00;Iota;637054849200000000;90
2015-05-26 00:01:00;Alpha;6.35682E+017;832
2011-11-09 00:02:00;Epsilon;634563937200000000;673
2019-08-13 00:02:00;Tau;6.37013E+017;861
2013-04-19T00:02:00.0000000;Epsilon;635,019,265,200,000,000.00000000;986
04-03-2010 12:02 AM;Xi;6.340584972E+17;776
07-12-2012 12:01 AM;Omicron;6.347764806E+17;41
2016-10-24 00:01:00;Omega;636128640600000000;682
2010-12-08 00:03:00;Gamma;6.34274E+017;8
10-01-2010 12:02 AM;Epsilon;6.342148812E+17;739
2010-07-08T00:03:00.0000000;Xi;634,141,441,800,000,000.00000000;229
08-20-2011 12:03 AM;Omicron;6.344939538E+17;7
12-28-2011 12:02 AM;Zeta;6.346062732E+17;514
2015-06-09 00:01:00;Rho;635694048600000000;622
2017-10-05T00:03:00.0000000;Upsilon;636,427,585,800,000,000.00000000;653
2012-10-20T00:01:00.0000000;Chi;634,862,880,600,000,000.00000000;753
2016-01-15 00:02:00;Zeta;6.35884E+017;726
2016-12-06 00:03:00;Tau;6.36166E+017;875
06-25-2012 12:01 AM;Iota;6.347617926E+17;507
2013-07-18T00:02:00.0000000;Omicron;635,097,025,200,000,000.00000000;381
03-03-2014 12:01 AM;Upsilon;6.352940166E+17;63
2014-12-10 00:03:00;Lambda;635537665800000000;702
2014-05-11 00:02:00;Lambda;6.35354E+017;582
11-03-2016 12:03 AM;Theta;6.361372818E+17;379
06-11-2017 12:03 AM;Pi;6.363273618E+17;614
2018-02-08T00:02:00.0000000;Xi;636,536,449,200,000,000.00000000;712
2019-06-01 00:02:00;Delta;6.36949E+017;677
2014-01-15T00:01:00.0000000;Upsilon;635,253,408,600,000,000.00000000;682
09-18-2014 12:02 AM;Beta;6.354659532E+17;587
2012-10-07 00:03:00;Psi;6.34852E+017;455
2017-09-05 00:02:00;Tau;6.36402E+017;231
2012-10-10 00:01:00;Theta;6.34854E+017;180
01-20-2016 12:03 AM;Omega;6.358884498E+17;208
2017-08-28 00:01:00;Omicron;636394752600000000;909
05-11-2010 12:01 AM;Kappa;6.340913286E+17;386
2015-08-04 00:02:00;Beta;635742433200000000;84
2010-07-30 00:02:00;Omega;634160449200000000;447
06-18-2010 12:01 AM;Eta;6.341241606E+17;968
2015-05-25 00:02:00;Omicron;6.35681E+017;298
11-25-2016 12:01 AM;Sigma;6.361562886E+17;829
2018-09-28 00:03:00;Rho;636736897800000000;101
2012-02-12 00:01:00;Pi;634646016600000000;887
2018-12-14 00:03:00;Kappa;636803425800000000;469
10-24-2015 12:02 AM;Mu;6.358124172E+17;283
11-26-2016 12:01 AM;Nu;6.361571526E+17;966
2012-11-21 00:02:00;Epsilon;634890529200000000;153
05-02-2018 12:01 AM;Theta;6.366081606E+17;365
12-19-2013 12:02 AM;Xi;6.352300812E+17;81
2010-06-08 00:04:00;Omicron;6.34116E+017;985
02-14-2019 12:02 AM;Alpha;6.368569932E+17;35
2010-06-25 00:02:00;Sigma;634130209200000000;831
2016-10-06T00:03:00.0000000;Gamma;636,113,089,800,000,000.00000000;402
