TM;Category;unknown;Quantity
11-04-2011 12:01 AM;Gamma;6.345596166E+17;835
10-02-2010 12:01 AM;Sigma;6.342157446E+17;152
2016-03-21 00:01:00;Beta;635941152600000000;189
2018-07-01 00:01:00;Rho;636660000600000000;178
06-03-2019 12:01 AM;Pi;6.369511686E+17;478
2015-04-28 00:01:00;Theta;635657760600000000;839
2017-01-03 00:01:00;Rho;636189984600000000;294
2011-10-12 00:01:00;Mu;6.34540E+017;785
2011-03-02T00:01:00.0000000;Gamma;634,346,208,600,000,000.00000000;842
2015-03-12 00:01:00;Zeta;635617152600000000;241
10-04-2015 12:01 AM;Alpha;6.357951366E+17;205
03-16-2011 12:01 AM;Kappa;6.343583046E+17;651
08-09-2016 12:01 AM;Omega;6.360629766E+17;11
01-31-2019 12:01 AM;Kappa;6.368448966E+17;586
06-11-2017 12:02 AM;Gamma;6.363273612E+17;334
2018-09-16T00:01:00.0000000;Delta;636,726,528,600,000,000.00000000;751
09-24-2018 12:01 AM;Zeta;6.367334406E+17;595
2012-01-22T00:02:00.0000000;Zeta;634,627,873,200,000,000.00000000;274
2017-07-29 00:01:00;Epsilon;636368832600000000;736
2019-10-02 00:01:00;Epsilon;637055712600000000;714
2012-01-28 00:01:00;Psi;6.34633E+017;811
01-27-2014 12:01 AM;Epsilon;6.352637766E+17;182
2014-11-04 00:02:00;Zeta;635506561200000000;232
2018-07-04T00:02:00.0000000;Zeta;636,662,593,200,000,000.00000000;450
08-21-2012 12:01 AM;Chi;6.348110406E+17;23
2010-05-01 00:01:00;Rho;634082688600000000;904
2016-01-07 00:01:00;Tau;635877216600000000;777
2019-12-09 00:01:00;Zeta;637114464600000000;394
2014-02-28 00:01:00;Tau;6.35291E+017;450
2011-12-18T00:01:00.0000000;Lambda;634,597,632,600,000,000.00000000;760
07-10-2013 12:01 AM;Rho;6.350901126E+17;822
05-03-2013 12:01 AM;Kappa;6.350313606E+17;537
2014-02-07 00:01:00;Nu;635273280600000000;147
2010-07-16 00:01:00;Kappa;6.34148E+017;32
2017-08-14 00:01:00;Delta;636382656600000000;465
2013-07-17 00:01:00;Tau;635096160600000000;67
2018-12-28 00:02:00;Zeta;636815521200000000;226
12-27-2018 12:01 AM;Eta;6.368146566E+17;459
2012-03-06 00:02:00;Zeta;6.34666E+017;996
2011-09-17T00:02:00.0000000;Upsilon;634,518,145,200,000,000.00000000;688
2011-12-03 00:02:00;Xi;634584673200000000;642
11-17-2012 12:01 AM;Mu;6.348870726E+17;694
09-10-2012 12:01 AM;Omega;6.348283206E+17;502
09-12-2010 12:01 AM;Phi;6.341984646E+17;546
08-18-2013 12:02 AM;Theta;6.351238092E+17;130
2012-12-19 00:01:00;Omicron;6.34915E+017;347
03-06-2014 12:01 AM;Epsilon;6.352966086E+17;379
2013-08-12 00:01:00;Theta;6.35119E+017;649
2019-06-11 00:01:00;Tau;636958080600000000;338
2011-10-08 00:02:00;Rho;634536289200000000;24
2018-06-19 00:01:00;Lambda;636649632600000000;598
2017-04-27 00:02:00;Delta;636288481200000000;683
2014-08-10 00:01:00;Chi;6.35432E+017;720
2010-05-23 00:01:00;Xi;6.34102E+017;779
2018-10-18 00:02:00;Tau;636754177200000000;231
2010-11-13T00:02:00.0000000;Alpha;634,252,033,200,000,000.00000000;218
2010-04-28T00:01:00.0000000;Gamma;634,080,096,600,000,000.00000000;109
2012-07-06 00:02:00;Pi;634771297200000000;695
2014-06-15 00:01:00;Rho;6.35384E+017;831
2013-11-29 00:02:00;Phi;6.35213E+017;263
2019-01-18T00:02:00.0000000;Iota;636,833,665,200,000,000.00000000;553
2011-01-26T00:02:00.0000000;Alpha;634,315,969,200,000,000.00000000;688
2017-10-30 00:01:00;Mu;6.36449E+017;416
2019-03-14T00:03:00.0000000;Xi;636,881,185,800,000,000.00000000;198
2019-06-01 00:02:00;Theta;6.36949E+017;492
