TM;Category;unknown;Quantity
01-06-2010 12:01 AM;Sigma;6.339833286E+17;408
2010-03-30 00:01:00;Theta;6.34055E+017;14
05-02-2018 12:01 AM;Iota;6.366081606E+17;306
2019-07-01T00:01:00.0000000;Chi;636,975,360,600,000,000.00000000;992
2017-07-31 00:01:00;Gamma;6.36371E+017;404
01-12-2018 12:01 AM;Sigma;6.365131206E+17;640
2018-05-29T00:02:00.0000000;Pi;636,631,489,200,000,000.00000000;110
05-28-2011 12:01 AM;Kappa;6.344213766E+17;229
07-15-2012 12:01 AM;Omega;6.347790726E+17;132
2013-10-14 00:01:00;Psi;635173056600000000;426
02-20-2018 12:01 AM;Iota;6.365468166E+17;970
2014-04-20 00:01:00;Nu;635335488600000000;475
2019-07-05 00:01:00;Kappa;636978816600000000;648
2019-06-30T00:01:00.0000000;Tau;636,974,496,600,000,000.00000000;417
10-03-2016 12:01 AM;Epsilon;6.361104966E+17;816
11-27-2010 12:01 AM;Chi;6.342641286E+17;959
2013-09-27 00:01:00;Epsilon;635158368600000000;233
2015-05-01T00:02:00.0000000;Theta;635,660,353,200,000,000.00000000;137
12-09-2018 12:01 AM;Psi;6.367991046E+17;85
2010-10-30 00:01:00;Tau;634239936600000000;613
2010-06-01 00:01:00;Tau;634109472600000000;819
2018-01-24 00:01:00;Phi;636523488600000000;783
2012-06-16T00:01:00.0000000;Iota;634,754,016,600,000,000.00000000;999
2017-12-23 00:02:00;Nu;6.36496E+017;905
03-17-2016 12:01 AM;Omega;6.359376966E+17;745
10-04-2015 12:01 AM;Phi;6.357951366E+17;446
07-06-2010 12:01 AM;Kappa;6.341397126E+17;375
2014-01-16T00:01:00.0000000;Rho;635,254,272,600,000,000.00000000;929
2016-11-19 00:01:00;Eta;6.36151E+017;379
2019-08-24T00:02:00.0000000;Zeta;637,022,017,200,000,000.00000000;311
05-15-2013 12:02 AM;Eta;6.350417292E+17;582
2011-10-03 00:01:00;Iota;634531968600000000;878
03-08-2013 12:02 AM;Tau;6.349829772E+17;761
2011-03-05 00:01:00;Omega;634348800600000000;768
03-31-2012 12:01 AM;Iota;6.346874886E+17;291
2017-12-21 00:02:00;Lambda;6.36494E+017;289
2015-09-26 00:02:00;Theta;635788225200000000;171
09-09-2018 12:02 AM;Iota;6.367204812E+17;956
2017-11-28T00:03:00.0000000;Upsilon;636,474,241,800,000,000.00000000;472
2011-09-19T00:01:00.0000000;Upsilon;634,519,872,600,000,000.00000000;25
04-30-2013 12:02 AM;Theta;6.350287692E+17;817
2018-01-21T00:01:00.0000000;Mu;636,520,896,600,000,000.00000000;175
2017-07-08 00:03:00;Rho;636350689800000000;639
03-08-2018 12:02 AM;Theta;6.365606412E+17;74
08-06-2010 12:02 AM;Iota;6.341664972E+17;509
2018-03-20 00:01:00;Kappa;636571008600000000;540
2014-02-21T00:02:00.0000000;Zeta;635,285,377,200,000,000.00000000;603
2014-05-02 00:01:00;Psi;635345856600000000;996
2016-02-19 00:01:00;Beta;635914368600000000;825
2017-08-15 00:01:00;Sigma;636383520600000000;419
2015-06-12 00:02:00;Omicron;6.35697E+017;414
2017-04-12 00:03:00;Upsilon;6.36276E+017;461
2019-12-16 00:02:00;Eta;6.37121E+017;372
2016-08-02 00:01:00;Psi;6.36057E+017;906
2014-09-29 00:01:00;Chi;635475456600000000;692
2012-03-14 00:01:00;Xi;634672800600000000;776
2013-04-22 00:02:00;Alpha;635021857200000000;841
2018-09-13T00:03:00.0000000;Iota;636,723,937,800,000,000.00000000;839
2016-06-18 00:01:00;Theta;636018048600000000;426
2015-02-26 00:01:00;Epsilon;6.35605E+017;539
2014-03-28 00:01:00;Omicron;635315616600000000;193
2018-04-19 00:01:00;Beta;636596928600000000;921
2018-07-22T00:01:00.0000000;Alpha;636,678,144,600,000,000.00000000;779
09-14-2010 12:02 AM;Tau;6.342001932E+17;413
2010-09-27 00:02:00;Lambda;6.34211E+017;236
2013-04-05 00:01:00;Lambda;635007168600000000;526
2013-01-18T00:02:00.0000000;Zeta;634,940,641,200,000,000.00000000;831
2017-06-18T00:01:00.0000000;Rho;636,333,408,600,000,000.00000000;427
2012-04-02 00:02:00;Zeta;634689217200000000;19
02-16-2013 12:02 AM;Xi;6.349656972E+17;418
2011-04-27 00:03:00;Kappa;634394593800000000;899
2015-01-12 00:01:00;Kappa;635566176600000000;879
2016-05-31 00:03:00;Iota;636002497800000000;574
2016-08-30 00:02:00;Gamma;636081121200000000;676
2019-03-19 00:01:00;Epsilon;636885504600000000;354
2018-06-14T00:03:00.0000000;Sigma;636,645,313,800,000,000.00000000;942
2019-04-04 00:01:00;Phi;636899328600000000;227
2017-02-15 00:01:00;Mu;636227136600000000;186
2017-07-03 00:02:00;Zeta;636346369200000000;245
03-29-2017 12:02 AM;Omega;6.362634252E+17;651
2013-09-27 00:01:00;Rho;635158368600000000;497
10-27-2019 12:02 AM;Nu;6.370773132E+17;909
2012-03-04 00:02:00;Gamma;6.34664E+017;831
2018-01-09 00:02:00;Nu;6.36511E+017;887
2019-03-03 00:02:00;Sigma;6.36872E+017;427
05-29-2010 12:01 AM;Phi;6.341068806E+17;62
06-11-2018 12:01 AM;Pi;6.366427206E+17;516
2018-12-30T00:02:00.0000000;Kappa;636,817,249,200,000,000.00000000;158
2019-04-22 00:02:00;Nu;636914881200000000;485
2012-09-01 00:01:00;Phi;6.34821E+017;17
2010-05-23 00:01:00;Gamma;6.34102E+017;190
02-24-2011 12:01 AM;Alpha;6.343410246E+17;163
2013-01-23 00:03:00;Pi;6.34945E+017;267
11-11-2014 12:03 AM;Zeta;6.355126098E+17;893
12-22-2018 12:02 AM;Zeta;6.368103372E+17;806
01-06-2016 12:01 AM;Omicron;6.358763526E+17;379
2012-08-30 00:02:00;Omega;634818817200000000;2
06-25-2012 12:02 AM;Zeta;6.347617932E+17;28
2017-04-08T00:01:00.0000000;Kappa;636,272,064,600,000,000.00000000;905
06-01-2019 12:03 AM;Zeta;6.369494418E+17;972
2011-06-20 00:03:00;Delta;634441249800000000;806
2013-10-07 00:01:00;Eta;6.35167E+017;87
2012-09-11 00:02:00;Omicron;634829185200000000;915
2013-10-17T00:02:00.0000000;Beta;635,175,649,200,000,000.00000000;658
06-22-2019 12:03 AM;Iota;6.369675858E+17;851
07-17-2011 12:01 AM;Theta;6.344645766E+17;159
2018-08-04 00:02:00;Chi;636689377200000000;176
2017-10-31 00:01:00;Theta;6.36450E+017;69
2011-07-31 00:02:00;Sigma;6.34477E+017;749
2019-11-30 00:01:00;Mu;6.37107E+017;344
2014-10-20 00:01:00;Lambda;6.35494E+017;775
12-22-2018 12:01 AM;Eta;6.368103366E+17;431
2019-11-02 00:02:00;Rho;637082497200000000;60
2012-08-31 00:02:00;Lambda;634819681200000000;652
2013-03-28 00:02:00;Gamma;635000257200000000;365
2016-10-10 00:01:00;Upsilon;636116544600000000;439
06-24-2012 12:03 AM;Nu;6.347609298E+17;720
06-21-2013 12:01 AM;Beta;6.350736966E+17;640
02-25-2015 12:03 AM;Xi;6.356041938E+17;264
2019-09-28T00:02:00.0000000;Mu;637,052,257,200,000,000.00000000;578
2011-11-26 00:01:00;Gamma;634578624600000000;813
2016-06-21T00:02:00.0000000;Delta;636,020,641,200,000,000.00000000;598
2011-11-17 00:02:00;Pi;6.34571E+017;903
2013-01-04 00:01:00;Mu;634928544600000000;614
08-04-2011 12:03 AM;Beta;6.344801298E+17;944
2016-07-11 00:03:00;Upsilon;636037921800000000;392
2015-07-13T00:03:00.0000000;Pi;635,723,425,800,000,000.00000000;615
2011-01-02 00:03:00;Sigma;634295233800000000;272
07-19-2017 12:01 AM;Delta;6.363601926E+17;526
10-25-2014 12:02 AM;Lambda;6.354979212E+17;338
03-07-2013 12:03 AM;Epsilon;6.349821138E+17;244
