TM;Category;unknown;Quantity
2019-05-31 00:01:00;Sigma;6.36949E+017;692
2019-11-06T00:01:00.0000000;Phi;637,085,952,600,000,000.00000000;813
2015-11-03 00:01:00;Beta;635821056600000000;766
2014-10-12 00:01:00;Omicron;635486688600000000;316
03-02-2015 12:01 AM;Alpha;6.356085126E+17;88
02-16-2013 12:02 AM;Upsilon;6.349656972E+17;308
10-11-2013 12:01 AM;Nu;6.351704646E+17;585
2013-09-14 00:01:00;Chi;635147136600000000;309
2017-03-07 00:01:00;Tau;6.36244E+017;436
2013-08-09 00:01:00;Iota;635116032600000000;89
2019-06-11 00:01:00;Iota;636958080600000000;591
06-11-2011 12:01 AM;Xi;6.344334726E+17;628
12-02-2014 12:01 AM;Mu;6.355307526E+17;998
2016-12-09 00:01:00;Lambda;6.36168E+017;211
2012-02-14 00:01:00;Xi;634647744600000000;659
2016-09-07 00:01:00;Epsilon;6.36088E+017;208
2018-01-02 00:01:00;Sigma;636504480600000000;434
2015-03-28T00:01:00.0000000;Lambda;635,630,976,600,000,000.00000000;130
2014-07-23 00:01:00;Zeta;6.35417E+017;363
07-14-2019 12:01 AM;Tau;6.369865926E+17;733
07-19-2017 12:01 AM;Tau;6.363601926E+17;969
2017-08-19 00:01:00;Zeta;6.36387E+017;782
10-30-2013 12:01 AM;Eta;6.351868806E+17;531
2011-08-14 00:02:00;Omega;634488769200000000;881
2013-03-04 00:01:00;Upsilon;6.34980E+017;709
2010-02-12 00:01:00;Mu;634015296600000000;717
04-02-2010 12:01 AM;Mu;6.340576326E+17;754
2018-09-03 00:01:00;Omicron;6.36715E+017;774
11-13-2019 12:01 AM;Rho;6.370920006E+17;783
2012-06-05 00:01:00;Eta;6.34745E+017;31
06-26-2019 12:01 AM;Pi;6.369710406E+17;820
06-26-2013 12:01 AM;Eta;6.350780166E+17;326
2018-10-07 00:02:00;Omega;6.36745E+017;552
2013-02-26T00:01:00.0000000;Kappa;634,974,336,600,000,000.00000000;240
2012-01-21 00:01:00;Phi;634627008600000000;810
11-22-2010 12:03 AM;Xi;6.342598098E+17;858
2013-07-04 00:02:00;Kappa;635084929200000000;112
03-31-2016 12:03 AM;Epsilon;6.359497938E+17;564
2013-05-22 00:02:00;Phi;635047777200000000;706
2013-01-20T00:01:00.0000000;Omicron;634,942,368,600,000,000.00000000;984
2019-04-07 00:01:00;Gamma;6.36902E+017;284
2013-12-30T00:01:00.0000000;Theta;635,239,584,600,000,000.00000000;995
01-20-2017 12:01 AM;Upsilon;6.362046726E+17;608
03-20-2014 12:01 AM;Omega;6.353087046E+17;678
2012-10-23 00:02:00;Tau;634865473200000000;476
2012-05-30T00:01:00.0000000;Upsilon;634,739,328,600,000,000.00000000;962
2017-03-27 00:02:00;Lambda;6.36262E+017;956
2013-10-15 00:02:00;Alpha;635173921200000000;658
2015-04-12 00:01:00;Iota;635643936600000000;232
12-30-2017 12:01 AM;Tau;6.365018886E+17;497
2010-06-26 00:02:00;Sigma;634131073200000000;778
2019-12-15 00:02:00;Theta;6.37120E+017;112
10-12-2019 12:01 AM;Beta;6.370643526E+17;370
2013-08-04T00:03:00.0000000;Omega;635,111,713,800,000,000.00000000;862
2013-01-03 00:01:00;Xi;634927680600000000;976
01-24-2016 12:01 AM;Pi;6.358919046E+17;682
01-29-2014 12:01 AM;Mu;6.352655046E+17;428
2018-06-12 00:01:00;Rho;636643584600000000;217
