TM;Category;unknown;Quantity
08-03-2018 12:01 AM;Epsilon;6.366885126E+17;247
04-28-2014 12:01 AM;Psi;6.353424006E+17;566
10-15-2011 12:01 AM;Iota;6.345423366E+17;671
05-09-2017 12:01 AM;Upsilon;6.362988486E+17;56
2010-11-12 00:01:00;Omega;634251168600000000;797
2016-12-01T00:01:00.0000000;Upsilon;636,161,472,600,000,000.00000000;941
03-10-2013 12:01 AM;Phi;6.349847046E+17;811
07-31-2018 12:01 AM;Alpha;6.366859206E+17;453
2011-05-19 00:01:00;Xi;634413600600000000;637
2015-06-11 00:01:00;Alpha;635695776600000000;590
2018-07-29 00:01:00;Omega;6.36684E+017;647
2012-04-06 00:02:00;Phi;634692673200000000;360
04-13-2013 12:01 AM;Epsilon;6.350140806E+17;410
2017-11-29T00:01:00.0000000;Phi;636,475,104,600,000,000.00000000;499
10-16-2012 12:01 AM;Chi;6.348594246E+17;594
2017-11-09 00:01:00;Nu;636457824600000000;522
2014-06-26 00:01:00;Mu;635393376600000000;876
09-07-2012 12:01 AM;Alpha;6.348257286E+17;467
2014-05-09 00:01:00;Lambda;635351904600000000;141
2010-09-17 00:01:00;Beta;634202784600000000;112
07-18-2017 12:01 AM;Mu;6.363593286E+17;986
2017-08-31T00:01:00.0000000;Pi;636,397,344,600,000,000.00000000;951
2013-04-21 00:02:00;Phi;635020993200000000;323
2013-02-13 00:01:00;Upsilon;6.34963E+017;641
2019-07-08 00:01:00;Sigma;6.36981E+017;46
11-07-2016 12:01 AM;Upsilon;6.361407366E+17;487
2010-12-05 00:01:00;Kappa;634271040600000000;624
2012-07-26 00:02:00;Nu;6.34789E+017;184
2017-08-15 00:02:00;Psi;636383521200000000;663
12-20-2014 12:02 AM;Beta;6.355463052E+17;416
04-23-2015 12:01 AM;Omega;6.356534406E+17;503
04-22-2016 12:01 AM;Eta;6.359688006E+17;376
10-31-2018 12:03 AM;Delta;6.367654098E+17;474
04-10-2014 12:01 AM;Upsilon;6.353268486E+17;668
2016-03-08 00:01:00;Pi;635929920600000000;82
2019-08-13 00:01:00;Upsilon;6.37013E+017;978
2012-10-04 00:02:00;Pi;634849057200000000;99
2016-06-27 00:01:00;Xi;6.36026E+017;265
12-19-2013 12:01 AM;Gamma;6.352300806E+17;88
2016-12-24 00:02:00;Sigma;6.36181E+017;702
2019-11-12 00:01:00;Tau;6.37091E+017;676
2011-09-15 00:01:00;Zeta;634516416600000000;306
04-26-2015 12:01 AM;Kappa;6.356560326E+17;952
2017-08-11T00:02:00.0000000;Sigma;636,380,065,200,000,000.00000000;222
2011-06-04 00:02:00;Beta;634427425200000000;345
2016-12-01T00:01:00.0000000;Alpha;636,161,472,600,000,000.00000000;79
02-03-2012 12:01 AM;Lambda;6.346382406E+17;438
2012-11-13 00:02:00;Psi;6.34884E+017;200
02-26-2011 12:01 AM;Mu;6.343427526E+17;220
2010-07-18 00:01:00;Omega;6.34150E+017;561
08-01-2018 12:02 AM;Beta;6.366867852E+17;770
2016-12-07 00:01:00;Pi;6.36167E+017;116
04-16-2018 12:01 AM;Phi;6.365943366E+17;337
2012-12-29 00:01:00;Iota;634923360600000000;622
2018-07-11 00:01:00;Epsilon;6.36669E+017;135
2018-02-28T00:01:00.0000000;Beta;636,553,728,600,000,000.00000000;933
2013-11-04T00:01:00.0000000;Sigma;635,191,200,600,000,000.00000000;164
2014-04-21 00:02:00;Psi;6.35336E+017;300
2018-03-13 00:02:00;Chi;636564961200000000;207
2018-06-16T00:01:00.0000000;Tau;636,647,040,600,000,000.00000000;842
03-11-2012 12:01 AM;Iota;6.346702086E+17;663
2014-01-31 00:02:00;Lambda;635267233200000000;515
12-16-2014 12:02 AM;Tau;6.355428492E+17;940
11-07-2016 12:02 AM;Xi;6.361407372E+17;761
2011-03-20T00:01:00.0000000;Psi;634,361,760,600,000,000.00000000;279
04-18-2017 12:03 AM;Lambda;6.362807058E+17;660
2014-10-21 00:01:00;Mu;6.35494E+017;423
2018-12-29 00:01:00;Iota;636816384600000000;493
2014-02-02 00:01:00;Psi;635268960600000000;931
05-12-2014 12:03 AM;Nu;6.353544978E+17;95
2013-12-17 00:01:00;Alpha;6.35228E+017;782
11-16-2012 12:01 AM;Tau;6.348862086E+17;239
2016-10-27T00:01:00.0000000;Omega;636,131,232,600,000,000.00000000;209
2018-09-11 00:02:00;Chi;636722209200000000;288
2015-12-25T00:01:00.0000000;Zeta;635,865,984,600,000,000.00000000;286
11-01-2017 12:01 AM;Lambda;6.364509126E+17;767
2010-02-01 00:02:00;Nu;634005793200000000;259
2012-10-03T00:01:00.0000000;Iota;634,848,192,600,000,000.00000000;433
2013-11-19 00:01:00;Iota;635204160600000000;651
2016-04-27T00:02:00.0000000;Delta;635,973,121,200,000,000.00000000;594
2016-12-20T00:01:00.0000000;Eta;636,177,888,600,000,000.00000000;666
05-06-2011 12:02 AM;Kappa;6.344023692E+17;876
2014-04-21 00:02:00;Lambda;6.35336E+017;509
2013-10-21 00:01:00;Lambda;635179104600000000;231
2013-02-11 00:01:00;Chi;6.34961E+017;316
01-02-2017 12:01 AM;Epsilon;6.361891206E+17;457
2011-07-23 00:01:00;Eta;634469760600000000;193
2014-04-01 00:02:00;Gamma;635319073200000000;630
2010-01-28T00:03:00.0000000;Theta;634,002,337,800,000,000.00000000;524
2010-10-09T00:02:00.0000000;Psi;634,221,793,200,000,000.00000000;207
2019-08-29 00:01:00;Gamma;637026336600000000;528
08-18-2012 12:01 AM;Chi;6.348084486E+17;12
05-25-2017 12:02 AM;Chi;6.363126732E+17;101
2017-10-23T00:01:00.0000000;Gamma;636,443,136,600,000,000.00000000;195
2019-11-18 00:02:00;Psi;637096321200000000;328
03-24-2019 12:02 AM;Theta;6.368898252E+17;568
2018-10-17 00:02:00;Alpha;636753313200000000;703
2015-08-19T00:02:00.0000000;Chi;635,755,393,200,000,000.00000000;795
03-03-2014 12:02 AM;Zeta;6.352940172E+17;952
2019-10-23 00:03:00;Upsilon;6.37074E+017;765
2010-07-27 00:01:00;Lambda;634157856600000000;633
2011-11-30T00:01:00.0000000;Tau;634,582,080,600,000,000.00000000;866
2011-09-14 00:01:00;Lambda;634515552600000000;126
2010-05-14 00:01:00;Xi;634093920600000000;350
02-08-2011 12:01 AM;Pi;6.343272006E+17;750
2015-12-26 00:01:00;Pi;635866848600000000;262
2017-09-22 00:02:00;Phi;6.36416E+017;956
2019-03-19 00:02:00;Sigma;6.36886E+017;72
01-09-2014 12:01 AM;Mu;6.352482246E+17;455
2013-03-11 00:01:00;Psi;634985568600000000;506
2012-10-24 00:02:00;Xi;634866337200000000;581
2012-08-09T00:02:00.0000000;Nu;634,800,673,200,000,000.00000000;776
