TM;Category;unknown;Quantity
2015-12-28 00:01:00;Kappa;635868576600000000;935
2014-04-14 00:01:00;Phi;635330304600000000;757
09-04-2019 12:01 AM;Tau;6.370315206E+17;445
05-11-2016 12:01 AM;Omega;6.359852166E+17;580
2013-02-04 00:01:00;Pi;634955328600000000;629
06-24-2013 12:01 AM;Eta;6.350762886E+17;807
2015-01-21 00:01:00;Beta;6.35574E+017;538
12-03-2014 12:01 AM;Iota;6.355316166E+17;433
2012-10-06 00:01:00;Rho;634850784600000000;958
2019-09-16 00:01:00;Zeta;637041888600000000;493
2017-02-15 00:01:00;Chi;636227136600000000;395
12-14-2015 12:01 AM;Gamma;6.358564806E+17;650
2013-08-21 00:01:00;Rho;635126400600000000;435
2019-03-13 00:01:00;Sigma;636880320600000000;3
2011-05-28 00:02:00;Mu;634421377200000000;222
2011-11-28 00:01:00;Iota;634580352600000000;658
2019-04-01T00:02:00.0000000;Rho;636,896,737,200,000,000.00000000;589
2015-11-01 00:01:00;Upsilon;635819328600000000;955
2015-10-27 00:01:00;Mu;635815008600000000;470
2019-11-28 00:01:00;Alpha;6.37105E+017;542
11-14-2019 12:01 AM;Zeta;6.370928646E+17;299
2013-06-27 00:01:00;Pi;635078880600000000;456
2011-05-21 00:02:00;Omicron;6.34415E+017;153
2010-03-04 00:01:00;Kappa;634032576600000000;164
03-05-2014 12:01 AM;Delta;6.352957446E+17;453
2015-06-24 00:01:00;Alpha;635707008600000000;599
12-12-2010 12:01 AM;Kappa;6.342770886E+17;633
2017-04-30 00:01:00;Chi;636291072600000000;36
2018-10-21T00:01:00.0000000;Phi;636,756,768,600,000,000.00000000;139
2017-10-08 00:01:00;Psi;636430176600000000;546
2014-06-17 00:01:00;Zeta;6.35386E+017;800
2019-11-26 00:02:00;Alpha;637103233200000000;856
2012-11-25T00:01:00.0000000;Upsilon;634,893,984,600,000,000.00000000;284
05-07-2011 12:02 AM;Gamma;6.344032332E+17;38
03-29-2018 12:01 AM;Pi;6.365787846E+17;72
2013-03-12T00:03:00.0000000;Nu;634,986,433,800,000,000.00000000;792
2012-06-23 00:01:00;Pi;6.34760E+017;865
2015-03-09T00:01:00.0000000;Phi;635,614,560,600,000,000.00000000;368
07-21-2016 12:01 AM;Psi;6.360465606E+17;859
2015-09-29 00:01:00;Omega;6.35791E+017;867
05-04-2017 12:01 AM;Theta;6.362945286E+17;927
2018-06-05 00:01:00;Chi;6.36638E+017;872
2015-12-09 00:01:00;Sigma;635852160600000000;504
06-25-2012 12:02 AM;Pi;6.347617932E+17;327
2013-05-30 00:01:00;Delta;635054688600000000;444
2013-02-04 00:01:00;Mu;634955328600000000;11
2016-01-09 00:01:00;Tau;635878944600000000;847
2012-01-01 00:01:00;Rho;634609728600000000;783
09-09-2012 12:01 AM;Gamma;6.348274566E+17;665
2012-04-03T00:02:00.0000000;Iota;634,690,081,200,000,000.00000000;733
10-26-2019 12:01 AM;Nu;6.370764486E+17;725
2012-12-12T00:02:00.0000000;Phi;634,908,673,200,000,000.00000000;729
2015-06-29 00:01:00;Upsilon;635711328600000000;756
2019-05-10 00:01:00;Nu;636930432600000000;526
03-30-2018 12:01 AM;Omicron;6.365796486E+17;561
2014-03-09 00:01:00;Delta;635299200600000000;129
2014-04-17T00:02:00.0000000;Omicron;635,332,897,200,000,000.00000000;643
07-12-2018 12:01 AM;Gamma;6.366695046E+17;707
2019-10-03 00:01:00;Phi;637056576600000000;473
02-13-2015 12:01 AM;Omega;6.355938246E+17;112
2018-09-11 00:01:00;Eta;636722208600000000;704
2019-12-08 00:01:00;Rho;637113600600000000;969
04-20-2010 12:02 AM;Zeta;6.340731852E+17;209
2014-09-07 00:01:00;Tau;635456448600000000;297
08-19-2018 12:01 AM;Eta;6.367023366E+17;591
2014-04-03 00:02:00;Psi;6.35321E+017;610
2015-12-31 00:01:00;Omicron;6.35871E+017;172
2018-08-05 00:02:00;Rho;636690241200000000;983
2011-03-09 00:03:00;Epsilon;6.34352E+017;760
06-09-2017 12:03 AM;Eta;6.363256338E+17;615
2019-04-26 00:02:00;Iota;6.36918E+017;452
2010-07-16 00:03:00;Epsilon;6.34148E+017;748
2012-08-05 00:01:00;Zeta;634797216600000000;603
2014-08-23T00:01:00.0000000;Nu;635,443,488,600,000,000.00000000;621
09-10-2017 12:02 AM;Epsilon;6.364059852E+17;123
04-30-2019 12:02 AM;Mu;6.369217932E+17;927
2010-12-04 00:02:00;Upsilon;634270177200000000;187
02-10-2010 12:01 AM;Lambda;6.340135686E+17;366
2013-12-28T00:01:00.0000000;Rho;635,237,856,600,000,000.00000000;349
09-04-2013 12:03 AM;Kappa;6.351384978E+17;644
09-03-2013 12:01 AM;Lambda;6.351376326E+17;451
2012-10-26 00:01:00;Epsilon;6.34868E+017;811
2018-07-08 00:02:00;Mu;6.36666E+017;348
2017-12-18 00:02:00;Chi;636491521200000000;994
10-28-2018 12:02 AM;Tau;6.367628172E+17;935
2015-06-10 00:01:00;Upsilon;635694912600000000;437
2010-12-26 00:01:00;Theta;6.34289E+017;437
10-29-2019 12:02 AM;Mu;6.370790412E+17;36
2014-08-03T00:02:00.0000000;Epsilon;635,426,209,200,000,000.00000000;694
2018-01-04 00:03:00;Sigma;636506209800000000;872
