TM;Category;unknown;Quantity
12-06-2013 12:01 AM;Iota;6.352188486E+17;15
2012-05-26 00:01:00;Alpha;634735872600000000;3
03-14-2011 12:01 AM;Mu;6.343565766E+17;226
2012-11-22 00:01:00;Delta;634891392600000000;23
03-21-2015 12:01 AM;Phi;6.356249286E+17;930
2018-01-27 00:01:00;Epsilon;6.36526E+017;335
2016-12-08 00:01:00;Chi;6.36168E+017;767
2011-08-14T00:01:00.0000000;Omega;634,488,768,600,000,000.00000000;294
2019-10-04 00:01:00;Phi;637057440600000000;683
2015-11-24 00:01:00;Sigma;6.35839E+017;769
2017-10-30 00:01:00;Alpha;6.36449E+017;289
2014-10-20 00:01:00;Phi;6.35494E+017;898
07-09-2014 12:01 AM;Theta;6.354046086E+17;964
12-24-2012 12:01 AM;Nu;6.349190406E+17;135
2014-05-03 00:01:00;Kappa;635346720600000000;348
2016-03-30 00:01:00;Alpha;6.35949E+017;205
2010-04-11T00:01:00.0000000;Rho;634,065,408,600,000,000.00000000;423
12-07-2017 12:01 AM;Omega;6.364820166E+17;919
12-31-2016 12:01 AM;Beta;6.361873926E+17;219
2015-08-04 00:01:00;Xi;635742432600000000;848
2016-10-28 00:01:00;Lambda;636132096600000000;867
06-02-2015 12:01 AM;Eta;6.356880006E+17;532
2019-02-26 00:02:00;Sigma;636867361200000000;674
2018-01-24 00:02:00;Tau;636523489200000000;948
2018-03-14 00:01:00;Nu;636565824600000000;751
04-15-2012 12:03 AM;Chi;6.347004498E+17;536
2015-07-03 00:01:00;Tau;6.35715E+017;410
2014-06-16 00:01:00;Omega;6.35385E+017;707
2014-05-24T00:01:00.0000000;Eta;635,364,864,600,000,000.00000000;495
2016-06-24 00:02:00;Zeta;636023233200000000;411
2013-09-16 00:01:00;Upsilon;635148864600000000;271
2017-03-07 00:02:00;Pi;6.36244E+017;160
2018-10-23 00:02:00;Gamma;636758497200000000;871
2013-11-28 00:01:00;Delta;6.35212E+017;668
03-10-2012 12:03 AM;Omega;6.346693458E+17;550
07-10-2014 12:02 AM;Sigma;6.354054732E+17;856
2014-02-20T00:02:00.0000000;Delta;635,284,513,200,000,000.00000000;659
01-07-2015 12:01 AM;Omicron;6.355618566E+17;388
08-18-2018 12:01 AM;Rho;6.367014726E+17;676
2010-03-21 00:01:00;Alpha;634047264600000000;410
2014-04-05 00:02:00;Kappa;6.35323E+017;189
2015-11-24 00:01:00;Delta;6.35839E+017;279
2012-12-30 00:01:00;Pi;634924224600000000;522
12-19-2013 12:01 AM;Lambda;6.352300806E+17;325
2018-11-11 00:01:00;Omega;636774912600000000;441
12-20-2014 12:02 AM;Omicron;6.355463052E+17;796
2011-09-21 00:01:00;Rho;634521600600000000;333
2018-11-06T00:02:00.0000000;Chi;636,770,593,200,000,000.00000000;274
2015-12-03 00:01:00;Omicron;635846976600000000;132
2014-12-29 00:01:00;Phi;635554080600000000;524
2017-04-30 00:02:00;Chi;6.36291E+017;956
2012-06-30 00:01:00;Nu;634766112600000000;601
2011-08-01 00:01:00;Delta;6.34478E+017;94
2018-03-18T00:01:00.0000000;Sigma;636,569,280,600,000,000.00000000;290
2011-12-05 00:01:00;Phi;6.34586E+017;126
08-26-2011 12:01 AM;Iota;6.344991366E+17;961
2015-04-30 00:01:00;Nu;635659488600000000;307
06-28-2017 12:01 AM;Tau;6.363420486E+17;471
11-20-2012 12:02 AM;Phi;6.348896652E+17;619
2016-09-01T00:01:00.0000000;Rho;636,082,848,600,000,000.00000000;830
2019-07-24 00:02:00;Theta;6.36995E+017;289
2010-01-10T00:02:00.0000000;Beta;633,986,785,200,000,000.00000000;797
2014-08-06 00:01:00;Nu;635428800600000000;724
2010-09-19 00:01:00;Phi;634204512600000000;427
2016-09-09 00:01:00;Rho;6.36090E+017;828
08-12-2014 12:01 AM;Xi;6.354339846E+17;36
2019-03-30T00:03:00.0000000;Xi;636,895,009,800,000,000.00000000;29
2018-04-09 00:01:00;Rho;636588288600000000;559
2015-09-23T00:01:00.0000000;Kappa;635,785,632,600,000,000.00000000;979
2012-05-27 00:01:00;Xi;634736736600000000;901
2018-07-29 00:01:00;Pi;6.36684E+017;269
2019-12-29T00:01:00.0000000;Mu;637,131,744,600,000,000.00000000;785
2017-03-16 00:01:00;Xi;636252192600000000;853
2010-09-18 00:02:00;Kappa;634203649200000000;700
2011-04-24 00:01:00;Omicron;634392000600000000;363
11-20-2011 12:02 AM;Upsilon;6.345734412E+17;429
2013-06-09 00:02:00;Eta;635063329200000000;535
08-27-2010 12:02 AM;Lambda;6.341846412E+17;785
2016-07-24 00:02:00;Sigma;636049153200000000;143
2011-10-08 00:02:00;Phi;634536289200000000;7
2018-01-26 00:02:00;Pi;6.36525E+017;368
2015-11-15 00:01:00;Theta;635831424600000000;457
12-03-2019 12:03 AM;Chi;6.371092818E+17;11
2012-07-09 00:02:00;Iota;6.34774E+017;30
2010-05-31 00:03:00;Chi;634108609800000000;527
2017-05-01 00:02:00;Chi;6.36292E+017;587
03-17-2015 12:03 AM;Chi;6.356214738E+17;360
01-09-2014 12:03 AM;Eta;6.352482258E+17;73
2010-09-21T00:02:00.0000000;Kappa;634,206,241,200,000,000.00000000;632
2017-10-30 00:02:00;Eta;6.36449E+017;592
2016-05-20 00:02:00;Delta;635992993200000000;359
12-25-2018 12:02 AM;Psi;6.368129292E+17;543
2018-06-30 00:01:00;Xi;636659136600000000;525
12-08-2017 12:02 AM;Iota;6.364828812E+17;140
2019-09-19 00:01:00;Xi;6.37044E+017;851
2017-05-31T00:01:00.0000000;Iota;636,317,856,600,000,000.00000000;938
10-24-2015 12:03 AM;Gamma;6.358124178E+17;578
2010-06-12 00:01:00;Theta;6.34119E+017;871
2013-11-20 00:01:00;Omega;635205024600000000;998
2013-10-24 00:01:00;Epsilon;6.35182E+017;370
04-02-2010 12:03 AM;Xi;6.340576338E+17;937
2016-04-10T00:01:00.0000000;Beta;635,958,432,600,000,000.00000000;656
2012-01-03T00:02:00.0000000;Xi;634,611,457,200,000,000.00000000;290
2012-08-24 00:01:00;Pi;634813632600000000;343
10-31-2019 12:01 AM;Mu;6.370807686E+17;893
06-22-2012 12:03 AM;Epsilon;6.347592018E+17;613
2011-03-08 00:03:00;Delta;6.34351E+017;578
2019-07-08 00:02:00;Nu;6.36981E+017;646
2019-06-28 00:03:00;Upsilon;636972769800000000;863
2011-10-24T00:02:00.0000000;Nu;634,550,113,200,000,000.00000000;81
03-02-2015 12:02 AM;Omega;6.356085132E+17;85
2011-02-10 00:02:00;Kappa;634328929200000000;922
2012-03-13 00:01:00;Xi;634671936600000000;702
2011-12-14 00:01:00;Mu;634594176600000000;471
01-09-2019 12:02 AM;Iota;6.368258892E+17;49
05-02-2018 12:02 AM;Mu;6.366081612E+17;244
2011-04-30 00:02:00;Theta;634397185200000000;930
06-05-2018 12:02 AM;Alpha;6.366375372E+17;929
2014-07-15T00:02:00.0000000;Iota;635,409,793,200,000,000.00000000;585
2016-06-25 00:03:00;Nu;6.36024E+017;579
11-25-2010 12:01 AM;Omicron;6.342624006E+17;207
10-11-2013 12:02 AM;Chi;6.351704652E+17;715
2011-07-06T00:03:00.0000000;Rho;634,455,073,800,000,000.00000000;459
2017-10-28 00:02:00;Nu;6.36447E+017;811
2016-01-29 00:04:00;Theta;635896226400000000;486
2012-08-05 00:03:00;Sigma;634797217800000000;519
2018-12-27 00:02:00;Sigma;636814657200000000;714
2019-08-28 00:02:00;Kappa;637025473200000000;841
2012-05-25 00:03:00;Zeta;634735009800000000;76
11-16-2013 12:02 AM;Nu;6.352015692E+17;148
07-13-2019 12:03 AM;Iota;6.369857298E+17;426
05-27-2011 12:01 AM;Alpha;6.344205126E+17;488
2018-07-24 00:02:00;Mu;636679873200000000;318
2019-01-22 00:01:00;Zeta;636837120600000000;919
2013-08-25T00:02:00.0000000;Rho;635,129,857,200,000,000.00000000;713
03-18-2014 12:03 AM;Upsilon;6.353069778E+17;954
07-02-2015 12:04 AM;Theta;6.357139224E+17;986
2017-07-27 00:01:00;Xi;636367104600000000;339
06-02-2014 12:02 AM;Phi;6.353726412E+17;645
2018-08-28T00:01:00.0000000;Epsilon;636,710,112,600,000,000.00000000;372
2018-12-27 00:03:00;Zeta;636814657800000000;413
2017-02-18 00:02:00;Iota;6.36230E+017;634
2019-04-25 00:02:00;Upsilon;6.36917E+017;676
2011-01-04 00:01:00;Beta;634296960600000000;658
07-11-2013 12:01 AM;Chi;6.350909766E+17;769
2017-03-06 00:03:00;Omega;6.36244E+017;390
09-26-2011 12:01 AM;Epsilon;6.345259206E+17;973
06-26-2012 12:02 AM;Mu;6.347626572E+17;38
05-30-2014 12:02 AM;Chi;6.353700492E+17;238
2019-09-09 00:01:00;Upsilon;637035840600000000;824
04-28-2014 12:02 AM;Iota;6.353424012E+17;542
2012-08-25 00:02:00;Lambda;634814497200000000;337
2017-07-27 00:03:00;Chi;636367105800000000;935
2017-08-17 00:02:00;Omega;6.36385E+017;223
12-28-2016 12:03 AM;Epsilon;6.361848018E+17;863
06-27-2018 12:01 AM;Kappa;6.366565446E+17;111
11-12-2014 12:01 AM;Theta;6.355134726E+17;797
2018-02-24T00:04:00.0000000;Eta;636,550,274,400,000,000.00000000;60
03-07-2018 12:03 AM;Upsilon;6.365597778E+17;742
2014-01-02 00:02:00;Tau;635242177200000000;838
