TM;Category;unknown;Quantity
2014-04-01 00:01:00;Pi;635319072600000000;628
2010-11-11 00:01:00;Beta;634250304600000000;909
12-11-2016 12:01 AM;Tau;6.361701126E+17;402
07-19-2017 12:01 AM;Mu;6.363601926E+17;521
2014-02-08 00:01:00;Iota;635274144600000000;964
2013-02-08 00:01:00;Omega;634958784600000000;208
2011-10-07T00:01:00.0000000;Omega;634,535,424,600,000,000.00000000;466
08-19-2019 12:01 AM;Nu;6.370176966E+17;138
2010-04-28T00:01:00.0000000;Pi;634,080,096,600,000,000.00000000;76
2018-01-18 00:01:00;Chi;636518304600000000;820
02-12-2014 12:01 AM;Omicron;6.352776006E+17;732
2012-01-23T00:02:00.0000000;Epsilon;634,628,737,200,000,000.00000000;568
2018-06-02 00:01:00;Rho;636634944600000000;810
2019-08-04 00:02:00;Chi;637004737200000000;609
2013-09-10 00:01:00;Phi;635143680600000000;919
10-18-2010 12:01 AM;Sigma;6.342295686E+17;826
2013-01-14 00:02:00;Eta;634937185200000000;586
2012-06-04 00:01:00;Phi;6.34744E+017;388
02-19-2019 12:01 AM;Omicron;6.368613126E+17;320
10-24-2015 12:01 AM;Eta;6.358124166E+17;779
2017-01-22 00:01:00;Nu;636206400600000000;44
2019-08-26T00:01:00.0000000;Iota;637,023,744,600,000,000.00000000;569
03-31-2017 12:01 AM;Upsilon;6.362651526E+17;740
2019-09-18 00:02:00;Epsilon;6.37044E+017;790
2019-03-04 00:01:00;Upsilon;6.36873E+017;479
09-29-2011 12:01 AM;Omega;6.345285126E+17;456
2013-04-21T00:01:00.0000000;Theta;635,020,992,600,000,000.00000000;750
2011-02-08 00:02:00;Phi;634327201200000000;957
2016-05-23 00:01:00;Epsilon;6.35996E+017;667
2016-07-06 00:02:00;Delta;636033601200000000;378
2016-01-26 00:02:00;Psi;635893633200000000;223
2015-08-05 00:01:00;Omega;635743296600000000;533
2012-12-31T00:01:00.0000000;Nu;634,925,088,600,000,000.00000000;531
11-04-2017 12:01 AM;Zeta;6.364535046E+17;639
2011-07-23 00:02:00;Sigma;634469761200000000;449
2017-02-16 00:01:00;Kappa;636228000600000000;202
2012-04-05T00:01:00.0000000;Omicron;634,691,808,600,000,000.00000000;903
2018-02-15 00:01:00;Phi;6.36542E+017;685
2016-07-24 00:01:00;Zeta;636049152600000000;973
