TM;Category;unknown;Quantity
2017-12-20 00:01:00;Theta;636493248600000000;40
2016-07-25 00:01:00;Zeta;636050016600000000;208
2010-03-20 00:01:00;Psi;634046400600000000;394
05-14-2014 12:01 AM;Nu;6.353562246E+17;304
2017-09-24 00:01:00;Eta;6.36418E+017;441
2013-05-10 00:01:00;Kappa;635037408600000000;314
2010-10-23 00:01:00;Delta;634233888600000000;60
08-27-2015 12:01 AM;Omicron;6.357623046E+17;862
2019-10-02 00:01:00;Iota;637055712600000000;296
07-12-2014 12:01 AM;Delta;6.354072006E+17;381
2019-09-28 00:01:00;Epsilon;637052256600000000;554
2012-09-17 00:02:00;Lambda;634834369200000000;442
11-06-2010 12:01 AM;Alpha;6.342459846E+17;417
2011-11-09 00:01:00;Omicron;634563936600000000;535
2017-10-12 00:01:00;Delta;6.36434E+017;245
2017-10-30 00:01:00;Pi;6.36449E+017;438
2016-03-26 00:02:00;Mu;635945473200000000;362
2017-12-31 00:01:00;Rho;636502752600000000;324
2018-10-07 00:01:00;Zeta;636744672600000000;986
04-04-2016 12:01 AM;Lambda;6.359532486E+17;757
2013-12-25 00:01:00;Eta;635235264600000000;118
07-12-2012 12:03 AM;Sigma;6.347764818E+17;413
09-29-2011 12:01 AM;Omicron;6.345285126E+17;91
2017-03-04 00:01:00;Rho;636241824600000000;62
03-17-2010 12:02 AM;Kappa;6.340438092E+17;915
2011-04-04 00:01:00;Psi;634374720600000000;47
06-17-2016 12:01 AM;Upsilon;6.360171846E+17;434
2010-02-22 00:01:00;Theta;6.34024E+017;206
2017-01-12 00:01:00;Sigma;6.36198E+017;389
09-06-2013 12:01 AM;Pi;6.351402246E+17;845
2016-06-25 00:01:00;Pi;636024096600000000;259
2012-01-24T00:01:00.0000000;Epsilon;634,629,600,600,000,000.00000000;909
2015-04-14 00:03:00;Mu;635645665800000000;3
12-14-2010 12:01 AM;Epsilon;6.342788166E+17;497
2013-09-08 00:01:00;Pi;635141952600000000;107
08-10-2010 12:02 AM;Phi;6.341699532E+17;918
2019-07-06 00:01:00;Pi;6.36980E+017;225
2011-10-27 00:01:00;Omicron;634552704600000000;899
2013-04-05 00:01:00;Eta;635007168600000000;887
2010-10-16 00:01:00;Beta;6.34228E+017;703
2017-11-12 00:02:00;Zeta;636460417200000000;227
2016-02-21 00:02:00;Kappa;6.35916E+017;8
02-14-2013 12:01 AM;Pi;6.349639686E+17;859
2013-01-26 00:01:00;Psi;6.34948E+017;170
05-06-2017 12:02 AM;Chi;6.362962572E+17;865
2017-06-07 00:01:00;Rho;6.36324E+017;809
10-19-2017 12:01 AM;Phi;6.364396806E+17;481
2014-09-26T00:01:00.0000000;Lambda;635,472,864,600,000,000.00000000;713
2012-06-19 00:01:00;Rho;634756608600000000;57
2015-01-29 00:01:00;Iota;635580864600000000;189
09-28-2012 12:01 AM;Epsilon;6.348438726E+17;380
2019-04-03 00:03:00;Xi;636898465800000000;617
2019-12-26 00:01:00;Rho;637129152600000000;322
04-22-2015 12:02 AM;Lambda;6.356525772E+17;256
2019-09-15 00:02:00;Tau;637041025200000000;533
02-21-2011 12:01 AM;Gamma;6.343384326E+17;682
2010-07-05 00:03:00;Delta;634138849800000000;103
08-04-2018 12:01 AM;Tau;6.366893766E+17;737
09-15-2015 12:01 AM;Omicron;6.357787206E+17;825
2019-08-03 00:02:00;Gamma;637003873200000000;659
07-13-2013 12:02 AM;Pi;6.350927052E+17;359
2019-11-28 00:01:00;Nu;6.37105E+017;187
09-10-2016 12:01 AM;Beta;6.360906246E+17;494
09-24-2012 12:02 AM;Pi;6.348404172E+17;509
05-29-2015 12:01 AM;Psi;6.356845446E+17;309
