TM;Category;unknown;Quantity
2017-08-30T00:01:00.0000000;Delta;636,396,480,600,000,000.00000000;373
2012-03-22 00:01:00;Nu;634679712600000000;282
2018-08-08T00:01:00.0000000;Pi;636,692,832,600,000,000.00000000;773
05-18-2012 12:02 AM;Mu;6.347289612E+17;925
2016-06-08 00:01:00;Omicron;636009408600000000;846
2010-07-29T00:01:00.0000000;Rho;634,159,584,600,000,000.00000000;239
2017-03-09 00:01:00;Psi;6.36246E+017;188
07-05-2015 12:01 AM;Mu;6.357165126E+17;615
2015-07-13T00:01:00.0000000;Rho;635,723,424,600,000,000.00000000;814
2018-02-26T00:01:00.0000000;Xi;636,552,000,600,000,000.00000000;884
01-03-2010 12:01 AM;Gamma;6.339807366E+17;357
2017-02-09 00:01:00;Pi;636221952600000000;874
2018-04-19 00:01:00;Delta;636596928600000000;343
04-19-2010 12:01 AM;Rho;6.340723206E+17;844
11-22-2017 12:01 AM;Nu;6.364690566E+17;665
03-08-2018 12:01 AM;Pi;6.365606406E+17;398
2012-09-20 00:01:00;Tau;6.34837E+017;853
2011-06-08 00:01:00;Pi;6.34431E+017;901
2011-08-20 00:01:00;Epsilon;6.34494E+017;596
2017-01-09 00:01:00;Epsilon;636195168600000000;471
10-17-2010 12:01 AM;Phi;6.342287046E+17;700
2016-06-07 00:02:00;Tau;636008545200000000;170
2015-09-10 00:01:00;Pi;635774400600000000;1
2014-05-21 00:01:00;Beta;635362272600000000;559
11-25-2010 12:01 AM;Nu;6.342624006E+17;74
2017-01-21 00:01:00;Tau;636205536600000000;551
07-17-2017 12:02 AM;Theta;6.363584652E+17;164
03-11-2012 12:02 AM;Tau;6.346702092E+17;167
04-15-2012 12:02 AM;Chi;6.347004492E+17;200
2016-02-18 00:01:00;Sigma;635913504600000000;869
2012-05-30T00:01:00.0000000;Rho;634,739,328,600,000,000.00000000;471
2015-07-17 00:01:00;Tau;635726880600000000;468
05-25-2011 12:02 AM;Phi;6.344187852E+17;106
2010-01-25 00:01:00;Epsilon;633999744600000000;153
2017-09-23 00:01:00;Rho;6.36417E+017;982
2018-12-16 00:01:00;Iota;636805152600000000;680
2016-11-13T00:01:00.0000000;Beta;636,145,920,600,000,000.00000000;755
2018-08-31 00:02:00;Nu;636712705200000000;38
2011-09-24 00:01:00;Chi;6.34524E+017;12
2018-08-08T00:02:00.0000000;Iota;636,692,833,200,000,000.00000000;88
2014-04-21 00:01:00;Chi;635336352600000000;336
2013-01-01T00:01:00.0000000;Upsilon;634,925,952,600,000,000.00000000;327
2017-04-28 00:01:00;Zeta;636289344600000000;513
09-19-2013 12:02 AM;Chi;6.351514572E+17;142
10-13-2019 12:01 AM;Epsilon;6.370652166E+17;435
12-11-2017 12:01 AM;Mu;6.364854726E+17;248
2018-09-04 00:01:00;Omicron;6.36716E+017;843
2011-04-12 00:01:00;Nu;634381632600000000;682
2012-01-24T00:01:00.0000000;Omicron;634,629,600,600,000,000.00000000;633
07-16-2011 12:02 AM;Beta;6.344637132E+17;796
2010-05-23 00:02:00;Kappa;6.34102E+017;984
07-24-2010 12:01 AM;Beta;6.341552646E+17;293
12-30-2016 12:01 AM;Theta;6.361865286E+17;806
2013-03-29 00:02:00;Epsilon;635001121200000000;937
10-31-2012 12:01 AM;Nu;6.348723846E+17;746
2011-10-08T00:01:00.0000000;Eta;634,536,288,600,000,000.00000000;852
02-16-2013 12:02 AM;Mu;6.349656972E+17;84
2016-07-14 00:02:00;Phi;6.36041E+017;292
2015-03-26T00:01:00.0000000;Upsilon;635,629,248,600,000,000.00000000;701
2014-06-08T00:02:00.0000000;Alpha;635,377,825,200,000,000.00000000;838
2012-08-23 00:01:00;Zeta;634812768600000000;167
06-15-2016 12:01 AM;Nu;6.360154566E+17;779
2019-04-16 00:02:00;Omega;636909697200000000;347
2019-08-11 00:02:00;Iota;6.37011E+017;803
