TM;Category;unknown;Quantity
2013-02-27 00:01:00;Epsilon;634975200600000000;593
12-05-2019 12:01 AM;Phi;6.371110086E+17;763
2016-11-12 00:01:00;Tau;636145056600000000;198
2019-03-16T00:01:00.0000000;Epsilon;636,882,912,600,000,000.00000000;248
05-01-2019 12:01 AM;Eta;6.369226566E+17;615
2016-10-14 00:01:00;Chi;6.36120E+017;226
2016-03-05T00:01:00.0000000;Theta;635,927,328,600,000,000.00000000;902
2012-10-18 00:01:00;Nu;634861152600000000;242
2016-06-19 00:01:00;Beta;636018912600000000;138
01-14-2013 12:01 AM;Delta;6.349371846E+17;962
2014-12-11 00:01:00;Kappa;635538528600000000;321
2011-06-05 00:01:00;Xi;634428288600000000;914
2011-09-20 00:01:00;Gamma;634520736600000000;850
2013-06-14T00:01:00.0000000;Lambda;635,067,648,600,000,000.00000000;679
2011-07-11 00:02:00;Psi;634459393200000000;403
2011-09-17T00:01:00.0000000;Delta;634,518,144,600,000,000.00000000;558
2011-09-23 00:01:00;Xi;6.34523E+017;745
2019-11-07 00:01:00;Tau;637086816600000000;765
2010-08-03 00:01:00;Pi;6.34164E+017;68
08-24-2017 12:01 AM;Chi;6.363912966E+17;36
2010-07-14 00:01:00;Alpha;634146624600000000;564
2018-08-12 00:01:00;Epsilon;636696288600000000;922
2012-08-27T00:01:00.0000000;Upsilon;634,816,224,600,000,000.00000000;281
09-08-2017 12:01 AM;Alpha;6.364042566E+17;115
2016-07-12 00:01:00;Pi;636038784600000000;707
2013-12-09 00:01:00;Sigma;635221440600000000;554
2012-07-08 00:01:00;Lambda;634773024600000000;339
11-12-2014 12:01 AM;Iota;6.355134726E+17;801
2011-12-01T00:01:00.0000000;Eta;634,582,944,600,000,000.00000000;799
10-13-2018 12:01 AM;Kappa;6.367498566E+17;224
02-18-2019 12:02 AM;Beta;6.368604492E+17;146
08-26-2011 12:01 AM;Theta;6.344991366E+17;224
2018-07-11 00:01:00;Alpha;6.36669E+017;817
2015-03-07 00:01:00;Phi;635612832600000000;99
2017-11-26 00:01:00;Rho;636472512600000000;603
2010-05-20 00:01:00;Lambda;634099104600000000;368
11-25-2010 12:02 AM;Lambda;6.342624012E+17;649
03-18-2016 12:01 AM;Kappa;6.359385606E+17;399
2013-12-07 00:01:00;Omicron;635219712600000000;262
2016-09-22 00:01:00;Chi;636100992600000000;558
2010-06-22T00:02:00.0000000;Kappa;634,127,617,200,000,000.00000000;522
10-20-2010 12:01 AM;Lambda;6.342312966E+17;77
2012-07-06 00:01:00;Upsilon;634771296600000000;972
2010-09-19 00:01:00;Rho;634204512600000000;399
2014-11-18 00:01:00;Nu;635518656600000000;891
2016-12-27 00:01:00;Nu;6.36184E+017;288
08-26-2011 12:01 AM;Xi;6.344991366E+17;176
01-17-2012 12:01 AM;Psi;6.346235526E+17;241
07-16-2012 12:02 AM;Omicron;6.347799372E+17;670
2013-12-27 00:01:00;Mu;635236992600000000;624
2018-01-10 00:01:00;Epsilon;6.36511E+017;661
2013-09-15 00:01:00;Omega;635148000600000000;95
2010-04-09T00:02:00.0000000;Omega;634,063,681,200,000,000.00000000;591
2017-01-21 00:01:00;Phi;636205536600000000;874
06-17-2010 12:02 AM;Beta;6.341232972E+17;331
2018-03-17T00:01:00.0000000;Theta;636,568,416,600,000,000.00000000;141
2012-08-15 00:01:00;Lambda;6.34806E+017;961
