TM;Category;unknown;Quantity
2015-09-20 00:01:00;Upsilon;635783040600000000;695
2013-01-20T00:01:00.0000000;Epsilon;634,942,368,600,000,000.00000000;834
09-23-2018 12:01 AM;Xi;6.367325766E+17;777
2012-05-26 00:01:00;Upsilon;634735872600000000;3
2015-12-08 00:01:00;Chi;635851296600000000;437
2011-02-11 00:01:00;Rho;634329792600000000;841
2010-03-12 00:01:00;Mu;6.34039E+017;159
2013-10-04 00:01:00;Chi;635164416600000000;590
11-01-2018 12:01 AM;Mu;6.367662726E+17;720
2016-12-09 00:01:00;Omicron;6.36168E+017;550
2016-03-07 00:01:00;Theta;635929056600000000;242
2011-01-05 00:01:00;Beta;634297824600000000;263
07-15-2018 12:01 AM;Tau;6.366720966E+17;528
2018-01-25 00:01:00;Eta;636524352600000000;339
10-15-2011 12:02 AM;Pi;6.345423372E+17;260
2019-06-10 00:01:00;Pi;636957216600000000;366
2011-05-18 00:01:00;Sigma;634412736600000000;268
2010-09-23 00:01:00;Kappa;634207968600000000;244
2013-11-11 00:02:00;Phi;6.35197E+017;558
2012-09-29 00:01:00;Xi;634844736600000000;153
2013-02-10 00:01:00;Nu;634960512600000000;450
2015-05-07 00:01:00;Chi;6.35666E+017;589
12-09-2012 12:01 AM;Lambda;6.349060806E+17;582
2010-01-08 00:01:00;Omicron;633985056600000000;482
09-03-2019 12:01 AM;Sigma;6.370306566E+17;883
2013-02-04 00:01:00;Zeta;634955328600000000;161
2011-05-31T00:02:00.0000000;Iota;634,423,969,200,000,000.00000000;26
11-02-2018 12:01 AM;Omega;6.367671366E+17;607
2015-06-27T00:01:00.0000000;Upsilon;635,709,600,600,000,000.00000000;350
2019-11-26 00:01:00;Gamma;637103232600000000;490
2011-10-05T00:02:00.0000000;Omega;634,533,697,200,000,000.00000000;258
01-24-2010 12:01 AM;Gamma;6.339988806E+17;86
2011-11-11T00:01:00.0000000;Upsilon;634,565,664,600,000,000.00000000;188
2013-11-10 00:01:00;Mu;6.35196E+017;259
2018-09-03 00:01:00;Sigma;6.36715E+017;235
2014-11-05 00:01:00;Phi;635507424600000000;650
2018-03-03 00:01:00;Gamma;636556320600000000;120
2014-04-01 00:01:00;Gamma;635319072600000000;321
2018-05-07 00:01:00;Gamma;636612480600000000;770
2013-08-26T00:01:00.0000000;Theta;635,130,720,600,000,000.00000000;152
02-14-2015 12:01 AM;Xi;6.355946886E+17;119
2013-11-20 00:01:00;Gamma;635205024600000000;169
2014-10-18 00:02:00;Psi;635491873200000000;915
2017-03-01T00:02:00.0000000;Mu;636,239,233,200,000,000.00000000;333
01-14-2018 12:01 AM;Chi;6.365148486E+17;458
2011-01-24T00:02:00.0000000;Pi;634,314,241,200,000,000.00000000;550
2019-05-25T00:01:00.0000000;Zeta;636,943,392,600,000,000.00000000;603
11-18-2018 12:02 AM;Lambda;6.367809612E+17;789
