TM;Category;unknown;Quantity
2018-12-30 00:01:00;Alpha;636817248600000000;879
2016-02-15T00:01:00.0000000;Pi;635,910,912,600,000,000.00000000;545
2019-11-06T00:01:00.0000000;Theta;637,085,952,600,000,000.00000000;224
2016-01-07 00:01:00;Gamma;635877216600000000;814
2015-08-24 00:01:00;Upsilon;6.35760E+017;728
2018-01-18 00:01:00;Psi;636518304600000000;426
12-16-2014 12:01 AM;Sigma;6.355428486E+17;464
2015-06-23 00:01:00;Chi;635706144600000000;607
2018-01-19 00:01:00;Chi;636519168600000000;682
2019-04-01T00:01:00.0000000;Delta;636,896,736,600,000,000.00000000;348
2012-11-09T00:01:00.0000000;Xi;634,880,160,600,000,000.00000000;356
2017-01-10 00:01:00;Iota;636196032600000000;46
2014-05-05T00:01:00.0000000;Theta;635,348,448,600,000,000.00000000;337
10-31-2012 12:01 AM;Delta;6.348723846E+17;822
2011-02-02 00:01:00;Zeta;6.34322E+017;96
2015-11-01 00:01:00;Lambda;635819328600000000;74
09-25-2019 12:01 AM;Nu;6.370496646E+17;605
2011-05-20 00:01:00;Tau;6.34414E+017;358
11-12-2015 12:01 AM;Omega;6.358288326E+17;398
2015-08-22 00:01:00;Chi;635757984600000000;739
2014-10-29 00:01:00;Iota;635501376600000000;184
2018-05-25 00:01:00;Lambda;636628032600000000;718
2014-01-02 00:01:00;Delta;635242176600000000;57
2012-07-09 00:01:00;Xi;6.34774E+017;547
07-11-2019 12:01 AM;Alpha;6.369840006E+17;630
2012-04-08 00:02:00;Rho;634694401200000000;179
08-22-2017 12:01 AM;Kappa;6.363895686E+17;423
11-10-2014 12:01 AM;Epsilon;6.355117446E+17;509
2016-05-19 00:01:00;Lambda;635992128600000000;156
12-28-2016 12:01 AM;Mu;6.361848006E+17;413
2012-07-19 00:01:00;Theta;634782528600000000;61
2010-10-27T00:02:00.0000000;Omega;634,237,345,200,000,000.00000000;262
2018-02-11 00:02:00;Beta;636539041200000000;261
2010-03-11 00:02:00;Mu;6.34039E+017;891
2018-03-13 00:02:00;Iota;636564961200000000;880
08-20-2018 12:01 AM;Phi;6.367032006E+17;178
2015-12-09 00:01:00;Xi;635852160600000000;847
2013-08-05T00:01:00.0000000;Eta;635,112,576,600,000,000.00000000;359
2018-09-15T00:01:00.0000000;Tau;636,725,664,600,000,000.00000000;308
2018-07-22T00:03:00.0000000;Lambda;636,678,145,800,000,000.00000000;448
2015-02-21 00:01:00;Gamma;635600736600000000;177
2019-07-18T00:02:00.0000000;Rho;636,990,049,200,000,000.00000000;906
2017-03-26 00:02:00;Zeta;6.36261E+017;138
09-03-2014 12:01 AM;Pi;6.354529926E+17;425
2015-05-03T00:01:00.0000000;Gamma;635,662,080,600,000,000.00000000;915
04-17-2017 12:01 AM;Sigma;6.362798406E+17;86
07-27-2013 12:01 AM;Theta;6.351048006E+17;452
12-08-2011 12:01 AM;Kappa;6.345889926E+17;361
11-19-2017 12:02 AM;Omega;6.364664652E+17;685
2015-03-08T00:01:00.0000000;Omicron;635,613,696,600,000,000.00000000;489
2014-06-16 00:01:00;Epsilon;6.35385E+017;275
03-16-2010 12:01 AM;Gamma;6.340429446E+17;812
2013-05-07T00:01:00.0000000;Tau;635,034,816,600,000,000.00000000;761
2015-11-03 00:02:00;Tau;635821057200000000;772
2010-12-02T00:01:00.0000000;Iota;634,268,448,600,000,000.00000000;232
06-22-2019 12:01 AM;Mu;6.369675846E+17;499
11-19-2018 12:01 AM;Upsilon;6.367818246E+17;612
10-23-2014 12:02 AM;Pi;6.354961932E+17;116
2010-04-11T00:01:00.0000000;Kappa;634,065,408,600,000,000.00000000;781
2019-12-07 00:01:00;Lambda;637112736600000000;189
2014-01-05 00:02:00;Psi;6.35245E+017;755
2015-06-12 00:01:00;Omega;635696640600000000;617
2010-09-24 00:01:00;Tau;634208832600000000;677
04-16-2012 12:02 AM;Gamma;6.347013132E+17;377
12-06-2017 12:02 AM;Eta;6.364811532E+17;963
2015-04-17 00:02:00;Chi;635648257200000000;600
04-16-2017 12:01 AM;Sigma;6.362789766E+17;553
2015-12-12 00:01:00;Alpha;6.35855E+017;982
2015-10-12T00:02:00.0000000;Theta;635,802,049,200,000,000.00000000;331
2013-12-15 00:03:00;Rho;6.35227E+017;520
2016-10-13 00:02:00;Sigma;6.36119E+017;268
2019-04-25 00:02:00;Epsilon;6.36917E+017;894
2018-02-05 00:02:00;Sigma;636533857200000000;162
01-21-2015 12:02 AM;Beta;6.355739532E+17;213
03-23-2019 12:01 AM;Phi;6.368889606E+17;416
2010-04-12 00:02:00;Alpha;634066273200000000;204
2019-06-11T00:02:00.0000000;Iota;636,958,081,200,000,000.00000000;39
2014-01-22 00:01:00;Nu;6.35259E+017;303
2017-10-13 00:01:00;Lambda;6.36434E+017;129
2019-04-27 00:01:00;Zeta;6.36919E+017;262
05-19-2012 12:03 AM;Rho;6.347298258E+17;190
2014-08-25 00:01:00;Theta;635445216600000000;129
2014-10-16 00:02:00;Chi;635490145200000000;319
06-21-2014 12:01 AM;Mu;6.353890566E+17;415
2019-11-22T00:01:00.0000000;Tau;637,099,776,600,000,000.00000000;287
2015-02-14 00:02:00;Pi;635594689200000000;114
2013-01-19T00:02:00.0000000;Kappa;634,941,505,200,000,000.00000000;69
06-03-2019 12:02 AM;Nu;6.369511692E+17;291
2014-01-03 00:02:00;Eta;6.35243E+017;590
2010-03-21 00:01:00;Chi;634047264600000000;369
2018-06-03 00:01:00;Zeta;6.36636E+017;963
2011-06-05 00:02:00;Eta;634428289200000000;559
01-20-2016 12:01 AM;Tau;6.358884486E+17;723
05-27-2016 12:02 AM;Alpha;6.359990412E+17;271
04-29-2012 12:03 AM;Lambda;6.347125458E+17;699
2019-07-04 00:01:00;Epsilon;636977952600000000;943
2013-04-22 00:01:00;Mu;635021856600000000;237
2013-07-26 00:01:00;Epsilon;6.35104E+017;150
2014-03-13 00:02:00;Mu;635302657200000000;383
01-13-2019 12:02 AM;Zeta;6.368293452E+17;903
2015-07-30 00:01:00;Chi;635738112600000000;585
06-15-2010 12:02 AM;Nu;6.341215692E+17;359
2018-01-09 00:02:00;Rho;6.36511E+017;314
2013-02-12 00:02:00;Upsilon;6.34962E+017;275
11-12-2014 12:01 AM;Epsilon;6.355134726E+17;510
2012-05-31 00:02:00;Rho;634740193200000000;460
2015-01-08 00:03:00;Sigma;635562721800000000;887
2015-11-15 00:02:00;Sigma;635831425200000000;778
2019-11-28 00:01:00;Lambda;6.37105E+017;583
2016-09-22 00:01:00;Alpha;636100992600000000;40
08-20-2013 12:01 AM;Zeta;6.351255366E+17;910
2019-07-01T00:01:00.0000000;Omega;636,975,360,600,000,000.00000000;703
2018-07-23 00:02:00;Gamma;636679009200000000;767
2012-08-24 00:01:00;Beta;634813632600000000;569
2011-02-13T00:02:00.0000000;Zeta;634,331,521,200,000,000.00000000;740
2016-05-24 00:01:00;Lambda;6.35996E+017;694
2010-07-08 00:02:00;Nu;634141441200000000;738
2014-12-29 00:01:00;Epsilon;635554080600000000;866
2019-12-18 00:01:00;Mu;6.37122E+017;915
2011-09-20 00:02:00;Phi;634520737200000000;149
2014-01-03 00:01:00;Phi;6.35243E+017;328
03-08-2018 12:02 AM;Gamma;6.365606412E+17;185
12-25-2011 12:04 AM;Kappa;6.346036824E+17;726
2014-09-24T00:03:00.0000000;Kappa;635,471,137,800,000,000.00000000;265
2019-08-06T00:01:00.0000000;Lambda;637,006,464,600,000,000.00000000;462
04-21-2015 12:02 AM;Theta;6.356517132E+17;245
2017-06-14 00:02:00;Theta;636329953200000000;213
07-21-2016 12:02 AM;Mu;6.360465612E+17;917
2016-01-15 00:02:00;Phi;6.35884E+017;502
2017-09-03 00:03:00;Delta;6.36400E+017;756
2011-11-07 00:03:00;Rho;634562209800000000;949
2019-04-20 00:04:00;Kappa;636913154400000000;922
2016-10-05 00:02:00;Alpha;636112225200000000;13
2010-08-01 00:02:00;Omega;634162177200000000;232
02-14-2014 12:04 AM;Alpha;6.352793304E+17;292
2016-07-08 00:01:00;Delta;636035328600000000;133
2015-10-08 00:02:00;Gamma;635798593200000000;391
06-09-2018 12:02 AM;Zeta;6.366409932E+17;174
05-05-2011 12:02 AM;Omega;6.344015052E+17;181
2011-10-22 00:02:00;Mu;634548385200000000;519
2016-12-01T00:03:00.0000000;Alpha;636,161,473,800,000,000.00000000;967
08-28-2010 12:02 AM;Xi;6.341855052E+17;17
06-05-2013 12:02 AM;Omicron;6.350598732E+17;170
2014-09-15 00:01:00;Epsilon;6.35463E+017;894
2011-06-06 00:01:00;Beta;634429152600000000;865
2016-03-05T00:02:00.0000000;Phi;635,927,329,200,000,000.00000000;657
2015-04-15 00:02:00;Pi;635646529200000000;63
2015-12-02 00:02:00;Lambda;635846113200000000;676
2019-06-14 00:03:00;Epsilon;636960673800000000;750
2016-10-10 00:05:00;Eta;6.36117E+017;971
2010-02-16 00:03:00;Psi;634018753800000000;497
2017-06-17T00:03:00.0000000;Mu;636,332,545,800,000,000.00000000;272
01-20-2016 12:02 AM;Pi;6.358884492E+17;683
2019-06-08 00:02:00;Lambda;636955489200000000;270
09-02-2013 12:02 AM;Theta;6.351367692E+17;517
2012-06-14T00:02:00.0000000;Iota;634,752,289,200,000,000.00000000;795
06-23-2019 12:03 AM;Nu;6.369684498E+17;794
2012-09-18 00:01:00;Beta;634835232600000000;436
2018-06-29 00:02:00;Mu;636658273200000000;298
2014-11-03 00:03:00;Theta;635505697800000000;952
2017-01-03 00:02:00;Sigma;636189985200000000;194
