TM;Category;unknown;Quantity
02-14-2014 12:01 AM;Delta;6.352793286E+17;101
2017-01-29 00:01:00;Sigma;636212448600000000;818
2011-03-24 00:01:00;Zeta;634365216600000000;230
2018-07-10 00:01:00;Omega;6.36668E+017;765
2014-07-20 00:01:00;Pi;635414112600000000;381
12-27-2016 12:02 AM;Xi;6.361839372E+17;820
09-03-2014 12:01 AM;Xi;6.354529926E+17;809
2013-07-26 00:01:00;Rho;6.35104E+017;207
2013-10-01T00:01:00.0000000;Rho;635,161,824,600,000,000.00000000;644
2012-11-28 00:01:00;Rho;634896576600000000;592
2012-05-30T00:01:00.0000000;Beta;634,739,328,600,000,000.00000000;668
06-28-2018 12:01 AM;Alpha;6.366574086E+17;59
2016-01-29T00:01:00.0000000;Eta;635,896,224,600,000,000.00000000;906
2019-03-17 00:01:00;Theta;636883776600000000;286
2015-06-11 00:02:00;Rho;635695777200000000;421
2016-01-31 00:02:00;Chi;635897953200000000;165
2014-03-15 00:01:00;Omega;635304384600000000;535
01-24-2010 12:01 AM;Omega;6.339988806E+17;35
09-04-2019 12:01 AM;Rho;6.370315206E+17;605
2018-03-23 00:01:00;Eta;6.36574E+017;381
2012-10-27 00:02:00;Epsilon;6.34869E+017;973
05-07-2017 12:01 AM;Beta;6.362971206E+17;390
2015-05-19T00:01:00.0000000;Beta;635,675,904,600,000,000.00000000;418
2014-10-12 00:02:00;Sigma;635486689200000000;327
2013-04-24 00:01:00;Kappa;635023584600000000;792
2015-12-28 00:01:00;Epsilon;635868576600000000;371
2010-10-10T00:01:00.0000000;Sigma;634,222,656,600,000,000.00000000;383
2011-10-31 00:01:00;Omega;6.34556E+017;833
08-04-2011 12:02 AM;Lambda;6.344801292E+17;866
2018-08-16 00:01:00;Phi;6.36700E+017;727
04-22-2011 12:01 AM;Rho;6.343902726E+17;559
2015-03-30 00:02:00;Chi;635632705200000000;423
09-04-2013 12:01 AM;Omicron;6.351384966E+17;533
2014-11-06 00:01:00;Theta;635508288600000000;420
2011-02-28 00:02:00;Epsilon;634344481200000000;325
2015-01-16 00:02:00;Psi;635569633200000000;448
2015-11-01 00:01:00;Eta;635819328600000000;583
2014-03-13T00:01:00.0000000;Chi;635,302,656,600,000,000.00000000;922
09-08-2017 12:02 AM;Alpha;6.364042572E+17;66
2011-02-12T00:03:00.0000000;Zeta;634,330,657,800,000,000.00000000;465
2016-05-01 00:01:00;Rho;635976576600000000;853
2016-08-17 00:01:00;Zeta;636069888600000000;419
08-08-2016 12:01 AM;Chi;6.360621126E+17;22
2015-11-22 00:02:00;Mu;6.35837E+017;636
2014-07-18 00:03:00;Epsilon;635412385800000000;517
02-17-2014 12:01 AM;Omega;6.352819206E+17;491
2017-10-05T00:01:00.0000000;Gamma;636,427,584,600,000,000.00000000;278
2014-08-25 00:02:00;Delta;635445217200000000;513
2016-01-11T00:02:00.0000000;Sigma;635,880,673,200,000,000.00000000;834
08-27-2015 12:01 AM;Beta;6.357623046E+17;766
03-15-2016 12:01 AM;Psi;6.359359686E+17;552
12-26-2017 12:01 AM;Omega;6.364984326E+17;560
2012-05-12T00:01:00.0000000;Epsilon;634,723,776,600,000,000.00000000;8
2015-12-28 00:01:00;Alpha;635868576600000000;750
2012-12-28 00:01:00;Omega;634922496600000000;237
07-15-2018 12:02 AM;Tau;6.366720972E+17;825
2010-12-20T00:02:00.0000000;Upsilon;634,284,001,200,000,000.00000000;244
2011-05-29 00:02:00;Zeta;634422241200000000;385
08-20-2017 12:01 AM;Iota;6.363878406E+17;119
2015-06-06T00:01:00.0000000;Mu;635,691,456,600,000,000.00000000;390
02-06-2017 12:02 AM;Iota;6.362193612E+17;508
08-25-2016 12:02 AM;Alpha;6.360768012E+17;246
2011-03-24 00:01:00;Eta;634365216600000000;276
02-07-2010 12:01 AM;Phi;6.340109766E+17;440
2019-06-18 00:01:00;Iota;6.36964E+017;613
2012-03-19 00:01:00;Sigma;634677120600000000;842
08-10-2015 12:01 AM;Epsilon;6.357476166E+17;969
2011-09-25 00:01:00;Phi;6.34525E+017;98
2016-03-05T00:01:00.0000000;Sigma;635,927,328,600,000,000.00000000;522
11-25-2011 12:01 AM;Pi;6.345777606E+17;175
03-31-2010 12:02 AM;Sigma;6.340559052E+17;39
01-16-2011 12:03 AM;Tau;6.343073298E+17;941
2017-09-20 00:02:00;Phi;636414625200000000;735
2012-07-11 00:01:00;Pi;6.34776E+017;103
2011-03-24 00:02:00;Alpha;634365217200000000;260
2016-05-13 00:02:00;Theta;635986945200000000;482
08-25-2011 12:01 AM;Phi;6.344982726E+17;138
2016-09-15 00:02:00;Upsilon;636094945200000000;177
2013-08-27 00:02:00;Iota;635131585200000000;834
2016-07-12 00:01:00;Beta;636038784600000000;892
10-11-2013 12:01 AM;Alpha;6.351704646E+17;191
2013-12-08 00:02:00;Beta;635220577200000000;460
2017-11-24 00:03:00;Upsilon;636470785800000000;407
08-03-2011 12:01 AM;Mu;6.344792646E+17;956
02-28-2015 12:02 AM;Theta;6.356067852E+17;833
07-04-2016 12:01 AM;Phi;6.360318726E+17;938
11-18-2012 12:01 AM;Mu;6.348879366E+17;835
2011-03-06 00:01:00;Omicron;634349664600000000;266
2010-06-07 00:02:00;Kappa;634114657200000000;525
2017-09-21 00:01:00;Tau;636415488600000000;344
2013-02-03 00:01:00;Phi;634954464600000000;601
2012-11-10 00:01:00;Rho;634881024600000000;908
2013-11-22T00:02:00.0000000;Xi;635,206,753,200,000,000.00000000;450
02-26-2010 12:02 AM;Theta;6.340273932E+17;826
11-23-2017 12:01 AM;Upsilon;6.364699206E+17;100
02-16-2013 12:04 AM;Mu;6.349656984E+17;190
04-18-2017 12:01 AM;Iota;6.362807046E+17;795
2017-09-14 00:02:00;Omicron;636409441200000000;631
2013-07-04 00:02:00;Iota;635084929200000000;367
09-15-2010 12:01 AM;Zeta;6.342010566E+17;898
09-19-2014 12:02 AM;Zeta;6.354668172E+17;686
2012-03-20 00:03:00;Lambda;634677985800000000;136
2018-09-30 00:01:00;Pi;636738624600000000;410
2018-03-06 00:02:00;Epsilon;6.36559E+017;197
2016-04-13 00:01:00;Alpha;635961024600000000;401
2012-04-30 00:01:00;Chi;6.34713E+017;749
03-03-2014 12:04 AM;Nu;6.352940184E+17;196
2011-01-05 00:02:00;Delta;634297825200000000;550
2011-02-12T00:02:00.0000000;Epsilon;634,330,657,200,000,000.00000000;64
2018-11-15 00:01:00;Zeta;6.36778E+017;932
2015-12-20 00:01:00;Omicron;635861664600000000;142
2016-03-01 00:02:00;Upsilon;635923873200000000;869
06-09-2012 12:02 AM;Rho;6.347479692E+17;141
2019-12-30 00:03:00;Delta;637132609800000000;568
2018-02-24 00:02:00;Psi;636550273200000000;484
2019-02-21 00:03:00;Delta;636863041800000000;782
2015-12-11 00:01:00;Pi;6.35854E+017;676
2016-03-22T00:01:00.0000000;Delta;635,942,016,600,000,000.00000000;940
2012-11-20 00:03:00;Sigma;634889665800000000;174
2013-01-02 00:02:00;Nu;634926817200000000;584
2017-05-28 00:02:00;Epsilon;636315265200000000;355
2011-02-17 00:01:00;Delta;634334976600000000;651
05-02-2018 12:01 AM;Psi;6.366081606E+17;115
07-15-2018 12:01 AM;Theta;6.366720966E+17;114
2012-08-31 00:02:00;Theta;634819681200000000;850
2019-12-28T00:02:00.0000000;Psi;637,130,881,200,000,000.00000000;263
2017-05-10 00:03:00;Eta;636299713800000000;312
2016-05-17T00:01:00.0000000;Phi;635,990,400,600,000,000.00000000;215
2011-04-13 00:01:00;Omicron;6.34382E+017;1
2014-04-23 00:02:00;Delta;6.35338E+017;497
2014-03-15 00:03:00;Chi;6.35304E+017;487
07-10-2013 12:01 AM;Zeta;6.350901126E+17;69
2011-04-12 00:04:00;Sigma;6.34382E+017;171
2013-11-11 00:01:00;Theta;6.35197E+017;831
2019-02-26 00:02:00;Kappa;636867361200000000;555
2010-03-02 00:02:00;Chi;634030849200000000;554
2013-04-16 00:02:00;Nu;635016673200000000;724
2017-12-16T00:02:00.0000000;Chi;636,489,793,200,000,000.00000000;485
07-10-2013 12:02 AM;Theta;6.350901132E+17;57
2013-11-28 00:02:00;Omicron;6.35212E+017;81
2019-07-07 00:01:00;Theta;6.36981E+017;206
11-10-2014 12:01 AM;Chi;6.355117446E+17;479
2017-01-19 00:03:00;Kappa;636203809800000000;486
2017-11-23 00:04:00;Iota;636469922400000000;893
03-11-2011 12:02 AM;Alpha;6.343539852E+17;278
06-13-2010 12:02 AM;Mu;6.341198412E+17;906
2016-10-11 00:03:00;Theta;636117409800000000;455
04-24-2014 12:03 AM;Alpha;6.353389458E+17;448
2011-05-15 00:04:00;Rho;634410146400000000;76
2013-07-19 00:04:00;Delta;635097890400000000;97
10-26-2014 12:03 AM;Beta;6.354987858E+17;207
2018-10-05 00:03:00;Iota;636742945800000000;195
11-24-2010 12:01 AM;Kappa;6.342615366E+17;507
2014-03-17 00:02:00;Sigma;6.35306E+017;422
2011-07-06T00:02:00.0000000;Phi;634,455,073,200,000,000.00000000;357
