TM;Category;unknown;Quantity
2011-05-14T00:01:00.0000000;Nu;634,409,280,600,000,000.00000000;635
01-10-2019 12:01 AM;Chi;6.368267526E+17;342
03-07-2019 12:01 AM;Eta;6.368751366E+17;865
06-10-2018 12:01 AM;Mu;6.366418566E+17;512
08-10-2015 12:01 AM;Rho;6.357476166E+17;191
08-10-2015 12:02 AM;Omicron;6.357476172E+17;401
2015-03-23 00:01:00;Phi;635626656600000000;973
2016-01-15 00:01:00;Xi;635884128600000000;140
07-02-2010 12:01 AM;Alpha;6.341362566E+17;370
2016-09-16 00:01:00;Gamma;636095808600000000;38
2010-09-08 00:01:00;Sigma;6.34195E+017;318
2013-03-02 00:01:00;Phi;6.34978E+017;149
2013-05-31 00:01:00;Omega;6.35056E+017;111
2011-07-29 00:01:00;Alpha;634474944600000000;685
2011-10-04 00:01:00;Mu;634532832600000000;403
2015-06-29 00:01:00;Phi;635711328600000000;337
02-07-2010 12:01 AM;Zeta;6.340109766E+17;957
10-19-2010 12:02 AM;Upsilon;6.342304332E+17;208
12-23-2012 12:02 AM;Gamma;6.349181772E+17;780
10-29-2019 12:02 AM;Gamma;6.370790412E+17;426
2018-04-12 00:01:00;Sigma;6.36591E+017;788
2015-02-17 00:01:00;Upsilon;635597280600000000;746
09-08-2017 12:01 AM;Lambda;6.364042566E+17;350
04-23-2010 12:01 AM;Rho;6.340757766E+17;531
2017-06-19T00:01:00.0000000;Upsilon;636,334,272,600,000,000.00000000;851
2015-06-11 00:01:00;Theta;635695776600000000;492
2011-06-24 00:02:00;Phi;6.34445E+017;359
03-29-2018 12:01 AM;Chi;6.365787846E+17;579
2016-05-19 00:01:00;Pi;635992128600000000;2
12-14-2010 12:01 AM;Tau;6.342788166E+17;185
2019-09-09 00:02:00;Iota;637035841200000000;833
2017-02-18 00:01:00;Iota;6.36230E+017;481
02-20-2012 12:01 AM;Eta;6.346529286E+17;543
2016-09-16 00:01:00;Alpha;636095808600000000;841
2011-05-22 00:01:00;Omicron;6.34416E+017;285
2017-07-04 00:02:00;Delta;636347233200000000;549
2011-09-22 00:01:00;Beta;634522464600000000;18
2012-08-14 00:01:00;Upsilon;6.34805E+017;866
03-09-2012 12:01 AM;Pi;6.346684806E+17;807
06-07-2018 12:02 AM;Iota;6.366392652E+17;880
09-05-2012 12:02 AM;Rho;6.348240012E+17;528
05-28-2010 12:01 AM;Zeta;6.341060166E+17;137
06-26-2019 12:01 AM;Kappa;6.369710406E+17;167
01-09-2013 12:01 AM;Zeta;6.349328646E+17;310
2019-08-22T00:03:00.0000000;Mu;637,020,289,800,000,000.00000000;882
