TM;Category;unknown;Quantity
02-28-2016 12:01 AM;Mu;6.359221446E+17;690
01-14-2013 12:01 AM;Zeta;6.349371846E+17;95
2011-12-20 00:01:00;Rho;634599360600000000;862
2015-08-17 00:01:00;Iota;635753664600000000;979
2015-03-23 00:01:00;Mu;635626656600000000;6
10-15-2011 12:01 AM;Alpha;6.345423366E+17;144
2016-02-16T00:01:00.0000000;Theta;635,911,776,600,000,000.00000000;771
2015-05-26 00:01:00;Lambda;6.35682E+017;534
09-02-2013 12:01 AM;Omega;6.351367686E+17;787
2016-02-02 00:01:00;Omicron;635899680600000000;281
2016-10-09T00:02:00.0000000;Alpha;636,115,681,200,000,000.00000000;576
2017-04-05 00:01:00;Delta;636269472600000000;391
2011-12-14 00:01:00;Lambda;634594176600000000;901
10-15-2011 12:01 AM;Sigma;6.345423366E+17;696
12-24-2018 12:02 AM;Eta;6.368120652E+17;300
2017-04-27 00:02:00;Alpha;636288481200000000;896
12-12-2016 12:02 AM;Nu;6.361709772E+17;548
2019-07-15 00:02:00;Omega;636987457200000000;56
2018-05-07 00:02:00;Delta;636612481200000000;975
2012-08-29 00:01:00;Pi;634817952600000000;560
05-19-2018 12:01 AM;Kappa;6.366228486E+17;377
2010-06-27 00:01:00;Rho;634131936600000000;388
2016-11-18 00:02:00;Xi;6.36150E+017;582
2016-03-20 00:01:00;Upsilon;635940288600000000;929
2015-06-05 00:01:00;Phi;635690592600000000;244
03-16-2016 12:01 AM;Chi;6.359368326E+17;657
2010-07-16 00:01:00;Gamma;6.34148E+017;405
2014-04-23 00:02:00;Phi;6.35338E+017;761
02-21-2011 12:02 AM;Tau;6.343384332E+17;716
2019-06-30T00:01:00.0000000;Omega;636,974,496,600,000,000.00000000;485
2017-04-22 00:01:00;Mu;636284160600000000;283
2011-06-05 00:01:00;Omicron;634428288600000000;878
2010-12-24 00:01:00;Omega;634287456600000000;563
2016-08-18 00:01:00;Psi;636070752600000000;965
2019-06-02 00:01:00;Pi;6.36950E+017;139
11-30-2015 12:01 AM;Tau;6.358443846E+17;154
2013-09-28 00:01:00;Gamma;635159232600000000;787
2012-02-10T00:01:00.0000000;Delta;634,644,288,600,000,000.00000000;614
2017-01-23 00:01:00;Sigma;636207264600000000;747
01-03-2010 12:01 AM;Iota;6.339807366E+17;529
2014-05-02 00:02:00;Omicron;635345857200000000;137
2014-11-05 00:02:00;Theta;635507425200000000;353
2012-03-16T00:03:00.0000000;Lambda;634,674,529,800,000,000.00000000;133
2012-04-23T00:01:00.0000000;Mu;634,707,360,600,000,000.00000000;893
2016-09-18 00:01:00;Chi;636097536600000000;397
04-25-2014 12:01 AM;Eta;6.353398086E+17;208
2014-10-15T00:01:00.0000000;Theta;635,489,280,600,000,000.00000000;479
2017-11-08 00:02:00;Lambda;636456961200000000;960
2016-11-09 00:02:00;Alpha;636142465200000000;357
2017-07-29 00:01:00;Mu;636368832600000000;725
2013-11-23T00:01:00.0000000;Kappa;635,207,616,600,000,000.00000000;856
03-25-2013 12:03 AM;Delta;6.349976658E+17;859
08-19-2019 12:01 AM;Psi;6.370176966E+17;424
08-27-2016 12:02 AM;Kappa;6.360785292E+17;293
2012-07-04T00:02:00.0000000;Xi;634,769,569,200,000,000.00000000;355
12-18-2014 12:01 AM;Lambda;6.355445766E+17;526
2010-11-16T00:01:00.0000000;Epsilon;634,254,624,600,000,000.00000000;7
07-20-2016 12:01 AM;Kappa;6.360456966E+17;343
2017-12-01 00:01:00;Lambda;636476832600000000;519
09-26-2012 12:01 AM;Theta;6.348421446E+17;534
2016-04-09T00:02:00.0000000;Rho;635,957,569,200,000,000.00000000;94
02-26-2010 12:01 AM;Theta;6.340273926E+17;389
2013-11-21 00:01:00;Rho;635205888600000000;580
05-21-2012 12:02 AM;Omicron;6.347315532E+17;27
12-29-2011 12:01 AM;Upsilon;6.346071366E+17;420
2015-12-25 00:02:00;Epsilon;635865985200000000;220
04-09-2013 12:02 AM;Phi;6.350106252E+17;607
11-07-2015 12:01 AM;Gamma;6.358245126E+17;806
12-29-2017 12:02 AM;Chi;6.365010252E+17;511
2013-11-28 00:02:00;Epsilon;6.35212E+017;960
2018-07-02T00:02:00.0000000;Rho;636,660,865,200,000,000.00000000;947
2019-08-28 00:01:00;Theta;637025472600000000;611
2013-03-10 00:02:00;Kappa;634984705200000000;170
2011-07-27 00:02:00;Epsilon;634473217200000000;480
2019-01-03 00:02:00;Delta;636820705200000000;412
2019-05-28 00:01:00;Beta;636945984600000000;155
05-12-2010 12:02 AM;Mu;6.340921932E+17;924
01-02-2015 12:03 AM;Sigma;6.355575378E+17;381
2013-07-06 00:02:00;Eta;6.35087E+017;258
2013-06-29T00:02:00.0000000;Pi;635,080,609,200,000,000.00000000;232
2015-05-24 00:03:00;Chi;6.35680E+017;61
2010-05-06 00:01:00;Pi;6.34087E+017;222
2014-03-13T00:01:00.0000000;Mu;635,302,656,600,000,000.00000000;410
11-04-2010 12:02 AM;Delta;6.342442572E+17;847
2014-10-13T00:02:00.0000000;Sigma;635,487,553,200,000,000.00000000;111
2012-01-19 00:02:00;Omicron;634625281200000000;823
07-09-2013 12:01 AM;Gamma;6.350892486E+17;300
2015-02-20 00:02:00;Omega;635599873200000000;63
2014-06-05 00:02:00;Alpha;635375233200000000;646
2017-07-19 00:03:00;Theta;636360193800000000;643
2017-06-07 00:01:00;Mu;6.36324E+017;454
2015-07-01 00:02:00;Delta;6.35713E+017;529
2011-12-22 00:02:00;Eta;6.34601E+017;583
06-24-2013 12:01 AM;Beta;6.350762886E+17;854
2018-12-18 00:02:00;Omicron;6.36807E+017;910
2014-11-03T00:01:00.0000000;Omicron;635,505,696,600,000,000.00000000;475
2019-03-31 00:01:00;Eta;636895872600000000;78
05-16-2014 12:02 AM;Pi;6.353579532E+17;524
2015-06-23T00:03:00.0000000;Rho;635,706,145,800,000,000.00000000;497
2012-06-05 00:01:00;Upsilon;6.34745E+017;909
01-25-2015 12:01 AM;Lambda;6.355774086E+17;390
2010-02-16T00:02:00.0000000;Mu;634,018,753,200,000,000.00000000;847
11-06-2010 12:03 AM;Kappa;6.342459858E+17;734
11-19-2012 12:02 AM;Iota;6.348888012E+17;957
2017-08-19 00:01:00;Eta;6.36387E+017;562
2014-02-22 00:06:00;Lambda;6.35286E+017;23
06-05-2018 12:02 AM;Nu;6.366375372E+17;460
2010-02-21 00:02:00;Alpha;6.34023E+017;477
08-20-2011 12:02 AM;Tau;6.344939532E+17;887
05-14-2015 12:03 AM;Tau;6.356715858E+17;136
2015-07-15T00:01:00.0000000;Psi;635,725,152,600,000,000.00000000;368
2013-06-26 00:03:00;Nu;635078017800000000;51
09-11-2017 12:01 AM;Theta;6.364068486E+17;869
08-22-2012 12:02 AM;Omega;6.348119052E+17;983
2019-08-21 00:02:00;Beta;637019425200000000;733
2019-03-29 00:02:00;Epsilon;636894145200000000;943
10-18-2011 12:01 AM;Omicron;6.345449286E+17;212
2016-09-23 00:02:00;Sigma;636101857200000000;247
05-08-2010 12:02 AM;Pi;6.340887372E+17;218
2015-04-14T00:01:00.0000000;Epsilon;635,645,664,600,000,000.00000000;271
2011-07-25T00:02:00.0000000;Zeta;634,471,489,200,000,000.00000000;659
05-06-2016 12:01 AM;Beta;6.359808966E+17;14
2014-04-04 00:03:00;Kappa;6.35322E+017;129
08-08-2010 12:01 AM;Pi;6.341682246E+17;28
2013-04-08 00:01:00;Omicron;6.35010E+017;259
2019-02-09 00:02:00;Chi;636852673200000000;848
2013-03-13T00:03:00.0000000;Kappa;634,987,297,800,000,000.00000000;589
2012-11-30 00:01:00;Upsilon;634898304600000000;57
2013-02-21 00:01:00;Chi;634970016600000000;985
2017-10-23T00:01:00.0000000;Zeta;636,443,136,600,000,000.00000000;664
03-07-2012 12:01 AM;Nu;6.346667526E+17;614
2014-09-14 00:02:00;Eta;6.35462E+017;980
2012-07-17 00:03:00;Tau;634780801800000000;999
2012-04-23T00:02:00.0000000;Phi;634,707,361,200,000,000.00000000;454
01-24-2016 12:01 AM;Omicron;6.358919046E+17;205
01-15-2017 12:02 AM;Theta;6.362003532E+17;131
2011-03-08 00:02:00;Sigma;6.34351E+017;320
2014-09-12 00:02:00;Delta;635460769200000000;586
2012-04-11 00:02:00;Zeta;6.34697E+017;714
04-08-2014 12:03 AM;Pi;6.353251218E+17;467
2019-10-22 00:01:00;Gamma;637072992600000000;665
04-25-2014 12:03 AM;Pi;6.353398098E+17;260
04-19-2011 12:02 AM;Alpha;6.343876812E+17;827
2011-10-31 00:01:00;Eta;6.34556E+017;989
05-16-2012 12:04 AM;Gamma;6.347272344E+17;373
2013-10-20 00:02:00;Nu;635178241200000000;727
2017-04-09 00:01:00;Kappa;636272928600000000;543
07-09-2015 12:01 AM;Epsilon;6.357199686E+17;330
05-04-2017 12:04 AM;Beta;6.362945304E+17;614
2010-07-11T00:02:00.0000000;Kappa;634,144,033,200,000,000.00000000;519
03-28-2018 12:01 AM;Mu;6.365779206E+17;109
2016-07-05 00:03:00;Pi;636032737800000000;737
06-14-2011 12:02 AM;Omicron;6.344360652E+17;542
2017-07-21 00:01:00;Psi;636361920600000000;244
2011-03-28 00:02:00;Sigma;6.34369E+017;883
07-22-2016 12:01 AM;Upsilon;6.360474246E+17;541
2011-04-12 00:02:00;Kappa;634381633200000000;303
08-07-2010 12:03 AM;Chi;6.341673618E+17;212
2018-04-23T00:01:00.0000000;Xi;636,600,384,600,000,000.00000000;180
2013-10-21 00:02:00;Chi;635179105200000000;504
2011-06-24 00:02:00;Omicron;6.34445E+017;352
12-04-2013 12:03 AM;Rho;6.352171218E+17;41
2012-03-14T00:04:00.0000000;Epsilon;634,672,802,400,000,000.00000000;533
04-16-2011 12:03 AM;Pi;6.343850898E+17;478
2016-06-08 00:01:00;Pi;636009408600000000;696
2014-07-24 00:01:00;Omega;6.35418E+017;746
2015-01-27 00:02:00;Upsilon;635579137200000000;715
2015-02-04 00:02:00;Sigma;635586049200000000;726
10-28-2013 12:02 AM;Pi;6.351851532E+17;253
2014-08-01T00:03:00.0000000;Upsilon;635,424,481,800,000,000.00000000;33
11-03-2017 12:03 AM;Xi;6.364526418E+17;999
2019-02-08 00:02:00;Delta;636851809200000000;11
2017-12-15T00:03:00.0000000;Omega;636,488,929,800,000,000.00000000;940
05-23-2017 12:02 AM;Iota;6.363109452E+17;72
05-01-2013 12:03 AM;Tau;6.350296338E+17;26
2016-03-26 00:01:00;Zeta;635945472600000000;706
2010-08-13T00:03:00.0000000;Mu;634,172,545,800,000,000.00000000;252
2011-12-20 00:02:00;Omicron;634599361200000000;715
2015-09-09 00:03:00;Mu;6.35774E+017;900
12-11-2011 12:01 AM;Omega;6.345915846E+17;594
02-27-2010 12:02 AM;Mu;6.340282572E+17;216
11-21-2016 12:02 AM;Zeta;6.361528332E+17;211
02-24-2011 12:01 AM;Beta;6.343410246E+17;537
2019-07-26 00:02:00;Theta;6.36997E+017;923
08-23-2010 12:03 AM;Epsilon;6.341811858E+17;943
2017-11-12T00:01:00.0000000;Beta;636,460,416,600,000,000.00000000;756
2010-08-29 00:03:00;Gamma;634186369800000000;911
07-07-2014 12:04 AM;Eta;6.354028824E+17;280
2012-11-05T00:03:00.0000000;Beta;634,876,705,800,000,000.00000000;666
2010-04-10 00:05:00;Chi;634064547000000000;953
10-24-2014 12:02 AM;Alpha;6.354970572E+17;534
2015-05-06 00:05:00;Epsilon;6.35665E+017;901
2010-02-14T00:03:00.0000000;Xi;634,017,025,800,000,000.00000000;166
2010-07-14 00:03:00;Theta;6.34147E+017;484
2010-08-20 00:01:00;Mu;634178592600000000;609
10-07-2015 12:01 AM;Alpha;6.357977286E+17;165
2017-05-14T00:02:00.0000000;Beta;636,303,169,200,000,000.00000000;834
10-06-2015 12:02 AM;Omega;6.357968652E+17;33
2015-04-07 00:05:00;Eta;635639619000000000;366
03-02-2014 12:03 AM;Theta;6.352931538E+17;59
2013-05-22 00:03:00;Tau;635047777800000000;904
2019-05-08 00:03:00;Xi;636928705800000000;553
2015-09-22T00:02:00.0000000;Iota;635,784,769,200,000,000.00000000;278
2017-04-11 00:03:00;Rho;6.36275E+017;655
2011-03-19T00:03:00.0000000;Sigma;634,360,897,800,000,000.00000000;18
12-30-2010 12:04 AM;Psi;6.342926424E+17;993
2014-11-05 00:02:00;Upsilon;635507425200000000;552
2011-04-23 00:02:00;Gamma;634391137200000000;63
2013-04-06 00:03:00;Upsilon;6.35008E+017;962
2015-10-29T00:03:00.0000000;Tau;635,816,737,800,000,000.00000000;777
03-27-2012 12:05 AM;Gamma;6.34684035E+17;362
12-26-2016 12:05 AM;Omega;6.36183075E+17;118
2012-05-08T00:03:00.0000000;Chi;634,720,321,800,000,000.00000000;200
2017-11-24 00:03:00;Nu;636470785800000000;751
12-27-2017 12:04 AM;Beta;6.364992984E+17;663
11-22-2011 12:03 AM;Omicron;6.345751698E+17;544
2016-08-12 00:02:00;Gamma;636065569200000000;276
03-14-2010 12:04 AM;Gamma;6.340412184E+17;993
12-06-2012 12:02 AM;Chi;6.349034892E+17;324
05-02-2011 12:04 AM;Rho;6.343989144E+17;116
2015-01-01 00:02:00;Omega;6.35557E+017;941
09-22-2012 12:02 AM;Theta;6.348386892E+17;368
2019-05-10 00:02:00;Delta;636930433200000000;220
2013-09-26T00:04:00.0000000;Psi;635,157,506,400,000,000.00000000;573
2019-06-28 00:02:00;Psi;636972769200000000;403
2018-06-13T00:03:00.0000000;Gamma;636,644,449,800,000,000.00000000;419
