TM;Category;unknown;Quantity
04-16-2012 12:01 AM;Omega;6.347013126E+17;305
11-17-2018 12:01 AM;Gamma;6.367800966E+17;240
10-19-2011 12:01 AM;Alpha;6.345457926E+17;187
12-26-2018 12:01 AM;Psi;6.368137926E+17;272
2017-10-13 00:01:00;Mu;6.36434E+017;303
2010-02-16T00:01:00.0000000;Rho;634,018,752,600,000,000.00000000;303
2015-01-31T00:01:00.0000000;Theta;635,582,592,600,000,000.00000000;799
07-12-2018 12:01 AM;Lambda;6.366695046E+17;672
03-10-2013 12:01 AM;Omicron;6.349847046E+17;870
2015-06-14 00:01:00;Gamma;6.35698E+017;530
2011-01-15 00:01:00;Pi;6.34306E+017;833
2011-05-03 00:01:00;Rho;6.34400E+017;876
2013-09-19 00:01:00;Mu;6.35151E+017;360
2010-07-17 00:01:00;Lambda;6.34149E+017;653
2017-08-18 00:01:00;Chi;6.36386E+017;553
2017-04-24 00:01:00;Delta;636285888600000000;19
2012-08-08T00:01:00.0000000;Lambda;634,799,808,600,000,000.00000000;45
2015-02-16 00:01:00;Tau;635596416600000000;526
09-13-2011 12:01 AM;Rho;6.345146886E+17;823
2012-12-19 00:01:00;Kappa;6.34915E+017;587
2014-09-12 00:01:00;Mu;635460768600000000;303
2016-08-16T00:01:00.0000000;Mu;636,069,024,600,000,000.00000000;777
04-10-2014 12:01 AM;Beta;6.353268486E+17;516
2011-04-25 00:01:00;Epsilon;634392864600000000;18
2014-01-14 00:01:00;Omega;635252544600000000;128
12-29-2010 12:01 AM;Nu;6.342917766E+17;400
2011-09-15 00:01:00;Tau;634516416600000000;730
2016-09-16 00:01:00;Epsilon;636095808600000000;240
2017-10-03 00:02:00;Psi;636425857200000000;309
2012-06-29 00:02:00;Epsilon;634765249200000000;190
2017-10-06T00:01:00.0000000;Eta;636,428,448,600,000,000.00000000;639
2010-10-27T00:02:00.0000000;Tau;634,237,345,200,000,000.00000000;142
2013-02-07T00:01:00.0000000;Pi;634,957,920,600,000,000.00000000;727
2012-12-13T00:01:00.0000000;Lambda;634,909,536,600,000,000.00000000;244
2015-09-03 00:02:00;Omega;635768353200000000;479
2016-12-18 00:01:00;Lambda;636176160600000000;123
2011-05-13 00:01:00;Phi;634408416600000000;755
2012-08-14 00:01:00;Chi;6.34805E+017;426
2016-02-23 00:01:00;Epsilon;6.35918E+017;848
2011-11-26 00:01:00;Alpha;634578624600000000;898
2015-06-21 00:04:00;Iota;635704418400000000;365
08-14-2015 12:01 AM;Omega;6.357510726E+17;720
2010-10-06 00:02:00;Eta;634219201200000000;543
2012-09-12 00:01:00;Psi;634830048600000000;766
04-28-2014 12:01 AM;Lambda;6.353424006E+17;107
2016-01-09 00:01:00;Zeta;635878944600000000;746
03-31-2010 12:02 AM;Alpha;6.340559052E+17;804
2017-03-27 00:02:00;Epsilon;6.36262E+017;163
2019-02-28 00:01:00;Omega;636869088600000000;287
2016-09-25 00:02:00;Delta;6.36104E+017;250
2018-11-14 00:02:00;Theta;6.36778E+017;382
2016-04-12 00:01:00;Nu;635960160600000000;455
2018-09-21 00:02:00;Omega;6.36731E+017;541
2015-11-22 00:02:00;Zeta;6.35837E+017;220
2011-01-23 00:01:00;Iota;634313376600000000;90
2014-05-02 00:02:00;Pi;635345857200000000;980
2017-10-07T00:01:00.0000000;Xi;636,429,312,600,000,000.00000000;959
2016-05-18T00:01:00.0000000;Lambda;635,991,264,600,000,000.00000000;815
2014-12-23 00:02:00;Phi;635548897200000000;805
2019-05-08T00:01:00.0000000;Iota;636,928,704,600,000,000.00000000;863
2018-09-13 00:01:00;Psi;636723936600000000;607
2014-08-04T00:02:00.0000000;Lambda;635,427,073,200,000,000.00000000;125
2019-02-26T00:01:00.0000000;Iota;636,867,360,600,000,000.00000000;928
03-09-2018 12:02 AM;Psi;6.365615052E+17;894
2019-07-17T00:03:00.0000000;Epsilon;636,989,185,800,000,000.00000000;992
12-12-2016 12:02 AM;Chi;6.361709772E+17;148
2013-02-28 00:01:00;Eta;634976064600000000;59
2016-02-13 00:01:00;Eta;635909184600000000;288
09-25-2018 12:04 AM;Phi;6.367343064E+17;463
2011-11-17 00:01:00;Epsilon;6.34571E+017;538
2017-06-02T00:01:00.0000000;Upsilon;636,319,584,600,000,000.00000000;667
2016-10-28 00:02:00;Phi;636132097200000000;152
2016-04-11T00:01:00.0000000;Epsilon;635,959,296,600,000,000.00000000;618
2016-01-14 00:02:00;Phi;635883265200000000;931
2017-07-02 00:02:00;Theta;636345505200000000;8
2013-07-17 00:01:00;Gamma;635096160600000000;766
2013-01-05 00:01:00;Pi;634929408600000000;452
2018-11-10 00:01:00;Zeta;636774048600000000;810
2016-02-20 00:02:00;Iota;6.35915E+017;896
02-12-2015 12:01 AM;Zeta;6.355929606E+17;998
2014-12-29 00:01:00;Zeta;635554080600000000;833
2010-06-26 00:02:00;Nu;634131073200000000;934
2018-10-27 00:01:00;Xi;6.36762E+017;493
2010-12-02T00:02:00.0000000;Kappa;634,268,449,200,000,000.00000000;235
03-24-2013 12:01 AM;Omicron;6.349968006E+17;162
11-17-2018 12:02 AM;Kappa;6.367800972E+17;413
05-05-2011 12:02 AM;Zeta;6.344015052E+17;26
2012-04-25 00:03:00;Upsilon;634709089800000000;910
12-23-2013 12:01 AM;Psi;6.352335366E+17;362
2012-11-14 00:02:00;Theta;6.34884E+017;914
12-30-2016 12:02 AM;Chi;6.361865292E+17;602
2017-11-10T00:01:00.0000000;Kappa;636,458,688,600,000,000.00000000;16
11-20-2011 12:01 AM;Psi;6.345734406E+17;997
2019-11-30 00:01:00;Gamma;6.37107E+017;105
07-26-2014 12:02 AM;Alpha;6.354192972E+17;923
2019-11-02 00:01:00;Mu;637082496600000000;78
2013-08-29 00:02:00;Omega;6.35133E+017;138
11-30-2013 12:02 AM;Epsilon;6.352136652E+17;967
2014-04-13 00:02:00;Tau;635329441200000000;219
2013-11-27 00:01:00;Epsilon;635211072600000000;263
06-07-2012 12:02 AM;Beta;6.347462412E+17;969
