TM;Category;unknown;Quantity
2012-06-15T00:01:00.0000000;Lambda;634,753,152,600,000,000.00000000;822
2017-12-17T00:01:00.0000000;Omega;636,490,656,600,000,000.00000000;536
06-26-2013 12:01 AM;Sigma;6.350780166E+17;709
2019-12-08 00:01:00;Upsilon;637113600600000000;105
2014-01-19 00:01:00;Sigma;635256864600000000;759
05-20-2012 12:01 AM;Beta;6.347306886E+17;954
2018-01-01 00:01:00;Eta;636503616600000000;400
2017-08-11T00:01:00.0000000;Pi;636,380,064,600,000,000.00000000;562
04-04-2016 12:01 AM;Eta;6.359532486E+17;528
2017-12-15T00:02:00.0000000;Omicron;636,488,929,200,000,000.00000000;894
2011-10-09 00:01:00;Omega;634537152600000000;997
05-10-2016 12:01 AM;Rho;6.359843526E+17;933
11-06-2017 12:01 AM;Mu;6.364552326E+17;613
2017-11-30T00:01:00.0000000;Epsilon;636,475,968,600,000,000.00000000;558
2014-08-27 00:01:00;Beta;6.35447E+017;324
2010-10-27T00:01:00.0000000;Epsilon;634,237,344,600,000,000.00000000;995
07-23-2015 12:01 AM;Tau;6.357320646E+17;279
2014-02-18 00:01:00;Alpha;635282784600000000;583
09-12-2017 12:01 AM;Theta;6.364077126E+17;268
12-01-2019 12:01 AM;Sigma;6.371075526E+17;662
2011-12-04 00:01:00;Nu;634585536600000000;319
2010-08-12 00:01:00;Psi;634171680600000000;489
2017-03-26 00:01:00;Upsilon;6.36261E+017;622
2011-09-19T00:01:00.0000000;Phi;634,519,872,600,000,000.00000000;495
2014-07-31 00:01:00;Tau;635423616600000000;273
2016-05-22 00:01:00;Chi;6.35995E+017;855
2015-04-30T00:02:00.0000000;Theta;635,659,489,200,000,000.00000000;73
2010-01-12T00:01:00.0000000;Mu;633,988,512,600,000,000.00000000;835
05-28-2010 12:01 AM;Pi;6.341060166E+17;669
11-06-2017 12:01 AM;Phi;6.364552326E+17;961
2017-11-12 00:02:00;Gamma;636460417200000000;865
05-31-2015 12:01 AM;Delta;6.356862726E+17;245
10-13-2018 12:04 AM;Xi;6.367498584E+17;520
2019-01-23 00:02:00;Alpha;636837985200000000;738
03-07-2013 12:01 AM;Psi;6.349821126E+17;879
2012-04-02 00:01:00;Sigma;634689216600000000;896
01-21-2016 12:01 AM;Nu;6.358893126E+17;886
03-09-2019 12:02 AM;Chi;6.368768652E+17;335
2015-09-11 00:01:00;Rho;6.35775E+017;984
06-04-2013 12:01 AM;Beta;6.350590086E+17;189
2019-09-11T00:01:00.0000000;Epsilon;637,037,568,600,000,000.00000000;603
2017-04-26T00:01:00.0000000;Sigma;636,287,616,600,000,000.00000000;342
09-25-2018 12:03 AM;Phi;6.367343058E+17;437
04-16-2018 12:01 AM;Tau;6.365943366E+17;431
08-05-2016 12:01 AM;Lambda;6.360595206E+17;152
2014-04-17T00:02:00.0000000;Upsilon;635,332,897,200,000,000.00000000;756
2014-06-17 00:02:00;Eta;6.35386E+017;197
10-29-2018 12:01 AM;Eta;6.367636806E+17;792
07-28-2013 12:02 AM;Rho;6.351056652E+17;74
2016-02-15T00:01:00.0000000;Psi;635,910,912,600,000,000.00000000;528
2018-04-08 00:01:00;Theta;636587424600000000;931
07-15-2017 12:01 AM;Nu;6.363567366E+17;335
2014-11-06 00:02:00;Chi;6.35508E+017;973
2019-09-09 00:01:00;Chi;637035840600000000;26
2013-06-19 00:02:00;Omicron;6.35072E+017;337
11-19-2017 12:01 AM;Upsilon;6.364664646E+17;59
2014-06-07 00:01:00;Epsilon;635376960600000000;518
05-31-2010 12:01 AM;Zeta;6.341086086E+17;847
2014-02-19 00:02:00;Iota;635283649200000000;430
2018-10-17 00:01:00;Iota;636753312600000000;696
04-21-2015 12:02 AM;Phi;6.356517132E+17;224
2010-08-12 00:03:00;Rho;634171681800000000;999
06-05-2018 12:02 AM;Mu;6.366375372E+17;846
2018-05-10T00:03:00.0000000;Pi;636,615,073,800,000,000.00000000;426
04-15-2013 12:01 AM;Rho;6.350158086E+17;228
10-21-2015 12:01 AM;Lambda;6.358098246E+17;885
10-21-2016 12:02 AM;Alpha;6.361260492E+17;964
2018-04-09 00:02:00;Rho;6.36588E+017;412
2016-12-05 00:02:00;Beta;636164929200000000;4
12-11-2016 12:01 AM;Pi;6.361701126E+17;102
09-08-2011 12:02 AM;Nu;6.345103692E+17;261
11-17-2012 12:01 AM;Alpha;6.348870726E+17;563
2013-04-07 00:01:00;Mu;6.35009E+017;87
2014-04-19 00:01:00;Mu;635334624600000000;436
2013-04-25 00:01:00;Beta;6.35024E+017;386
2016-04-07 00:02:00;Epsilon;635955841200000000;908
2011-02-19 00:01:00;Omega;6.34337E+017;698
01-26-2015 12:01 AM;Mu;6.355782726E+17;136
2019-07-17 00:01:00;Omega;636989184600000000;272
2010-11-21 00:01:00;Sigma;6.34259E+017;392
2016-06-28 00:01:00;Theta;6.36027E+017;974
2019-01-24 00:02:00;Gamma;6.36839E+017;689
2011-11-30T00:02:00.0000000;Chi;634,582,081,200,000,000.00000000;447
2014-03-09T00:03:00.0000000;Psi;635,299,201,800,000,000.00000000;37
05-24-2017 12:03 AM;Alpha;6.363118098E+17;46
11-30-2015 12:02 AM;Omicron;6.358443852E+17;907
11-18-2017 12:03 AM;Lambda;6.364656018E+17;889
05-20-2012 12:02 AM;Rho;6.347306892E+17;543
2013-12-26 00:01:00;Mu;635236128600000000;943
2011-04-25 00:01:00;Psi;634392864600000000;609
09-11-2016 12:02 AM;Theta;6.360914892E+17;644
08-06-2010 12:01 AM;Delta;6.341664966E+17;803
2014-12-11 00:02:00;Zeta;635538529200000000;753
2018-10-03T00:02:00.0000000;Nu;636,741,217,200,000,000.00000000;232
12-18-2014 12:03 AM;Upsilon;6.355445778E+17;605
2014-07-14 00:01:00;Upsilon;635408928600000000;773
2019-11-21T00:03:00.0000000;Xi;637,098,913,800,000,000.00000000;499
2011-08-09 00:02:00;Upsilon;634484449200000000;30
2019-12-16 00:02:00;Tau;6.37121E+017;736
02-01-2012 12:01 AM;Epsilon;6.346365126E+17;64
2015-05-07 00:02:00;Theta;6.35666E+017;262
2015-05-17 00:02:00;Pi;635674177200000000;575
09-01-2019 12:02 AM;Sigma;6.370289292E+17;178
2012-03-02 00:02:00;Lambda;634662433200000000;422
05-09-2010 12:02 AM;Eta;6.340896012E+17;152
04-14-2018 12:02 AM;Kappa;6.365926092E+17;913
2013-08-04 00:01:00;Rho;635111712600000000;960
11-30-2014 12:02 AM;Zeta;6.355290252E+17;764
2016-08-19 00:02:00;Iota;6.36072E+017;593
2016-09-08 00:02:00;Epsilon;6.36089E+017;253
2015-07-15 00:03:00;Kappa;635725153800000000;234
04-12-2019 12:01 AM;Zeta;6.369062406E+17;63
2013-12-08 00:02:00;Alpha;635220577200000000;21
12-09-2017 12:02 AM;Omicron;6.364837452E+17;923
2010-02-03 00:02:00;Omicron;6.34008E+017;900
02-09-2010 12:02 AM;Epsilon;6.340127052E+17;407
2019-03-17 00:01:00;Nu;636883776600000000;799
11-21-2017 12:02 AM;Gamma;6.364681932E+17;144
2019-06-18 00:02:00;Tau;6.36964E+017;229
2011-02-14 00:02:00;Chi;634332385200000000;194
04-15-2013 12:01 AM;Delta;6.350158086E+17;666
2010-11-19 00:04:00;Rho;6.34257E+017;833
2016-03-20 00:03:00;Gamma;635940289800000000;163
2019-10-15 00:02:00;Sigma;637066945200000000;983
2013-10-03 00:03:00;Sigma;6.35164E+017;109
2011-11-14 00:01:00;Zeta;634568256600000000;158
04-02-2017 12:02 AM;Theta;6.362668812E+17;555
2018-09-02 00:01:00;Mu;6.36714E+017;620
01-14-2018 12:02 AM;Eta;6.365148492E+17;102
07-14-2012 12:01 AM;Nu;6.347782086E+17;501
2010-03-07 00:02:00;Psi;634035169200000000;512
2011-11-25 00:02:00;Pi;634577761200000000;726
2015-03-12 00:01:00;Rho;635617152600000000;148
11-22-2016 12:01 AM;Beta;6.361536966E+17;51
2015-10-17 00:02:00;Psi;6.35806E+017;248
2011-03-04T00:01:00.0000000;Psi;634,347,936,600,000,000.00000000;168
03-12-2017 12:02 AM;Zeta;6.362487372E+17;125
2010-03-27 00:01:00;Epsilon;634052448600000000;378
03-25-2014 12:01 AM;Omega;6.353130246E+17;100
2014-04-22 00:01:00;Gamma;6.35337E+017;661
2018-09-04 00:01:00;Pi;6.36716E+017;31
2013-06-11T00:02:00.0000000;Eta;635,065,057,200,000,000.00000000;717
01-11-2018 12:03 AM;Upsilon;6.365122578E+17;911
01-02-2016 12:02 AM;Chi;6.358728972E+17;480
