TM;Category;unknown;Quantity
2010-08-16T00:01:00.0000000;Omega;634,175,136,600,000,000.00000000;950
07-06-2014 12:01 AM;Psi;6.354020166E+17;812
02-07-2011 12:01 AM;Zeta;6.343263366E+17;558
05-21-2013 12:01 AM;Psi;6.350469126E+17;438
2017-05-13T00:01:00.0000000;Gamma;636,302,304,600,000,000.00000000;728
09-13-2016 12:01 AM;Psi;6.360932166E+17;944
2011-10-26T00:01:00.0000000;Sigma;634,551,840,600,000,000.00000000;806
2017-09-14 00:01:00;Mu;636409440600000000;654
08-20-2019 12:01 AM;Lambda;6.370185606E+17;175
2017-12-21 00:01:00;Beta;636494112600000000;149
2017-09-20 00:01:00;Lambda;636414624600000000;499
2015-05-03T00:01:00.0000000;Omicron;635,662,080,600,000,000.00000000;618
2016-10-06 00:01:00;Upsilon;636113088600000000;851
2015-10-15 00:01:00;Beta;635804640600000000;35
2011-03-26 00:01:00;Pi;6.34367E+017;971
2016-01-15 00:01:00;Beta;635884128600000000;57
02-24-2017 12:01 AM;Beta;6.362349126E+17;909
12-19-2014 12:02 AM;Iota;6.355454412E+17;641
09-06-2012 12:01 AM;Rho;6.348248646E+17;333
2012-05-09 00:01:00;Eta;634721184600000000;151
05-24-2017 12:01 AM;Sigma;6.363118086E+17;619
2016-12-09 00:01:00;Iota;6.36168E+017;953
09-13-2011 12:01 AM;Mu;6.345146886E+17;856
2011-07-31 00:01:00;Phi;6.34477E+017;216
12-20-2013 12:02 AM;Delta;6.352309452E+17;628
2018-07-24 00:02:00;Rho;636679873200000000;529
2015-07-31T00:02:00.0000000;Iota;635,738,977,200,000,000.00000000;649
05-03-2018 12:01 AM;Tau;6.366090246E+17;662
03-12-2016 12:02 AM;Psi;6.359333772E+17;108
2010-11-11 00:01:00;Upsilon;634250304600000000;453
2015-12-23T00:01:00.0000000;Upsilon;635,864,256,600,000,000.00000000;699
2010-04-13 00:02:00;Chi;634067137200000000;786
2013-01-06 00:01:00;Psi;6.34930E+017;817
06-26-2018 12:01 AM;Nu;6.366556806E+17;383
2016-05-13 00:02:00;Psi;635986945200000000;445
07-11-2019 12:02 AM;Gamma;6.369840012E+17;960
2014-01-05 00:02:00;Epsilon;6.35245E+017;963
03-21-2015 12:01 AM;Lambda;6.356249286E+17;923
2012-08-12 00:02:00;Iota;634803265200000000;116
2017-09-13 00:01:00;Gamma;636408576600000000;44
2011-06-06 00:01:00;Upsilon;634429152600000000;357
2015-01-10 00:02:00;Pi;635564449200000000;220
2019-11-24T00:01:00.0000000;Pi;637,101,504,600,000,000.00000000;659
12-18-2014 12:01 AM;Chi;6.355445766E+17;75
2018-02-05 00:02:00;Tau;636533857200000000;477
2010-05-16T00:01:00.0000000;Zeta;634,095,648,600,000,000.00000000;628
2010-02-01 00:02:00;Theta;634005793200000000;548
2011-04-30 00:01:00;Psi;634397184600000000;775
11-02-2012 12:02 AM;Tau;6.348741132E+17;815
2017-05-31T00:01:00.0000000;Lambda;636,317,856,600,000,000.00000000;276
10-18-2011 12:01 AM;Phi;6.345449286E+17;769
2011-04-26T00:02:00.0000000;Iota;634,393,729,200,000,000.00000000;545
04-20-2011 12:01 AM;Epsilon;6.343885446E+17;587
2010-09-10 00:01:00;Xi;6.34197E+017;636
2012-02-24 00:02:00;Alpha;634656385200000000;365
2019-09-10 00:01:00;Omicron;637036704600000000;809
03-13-2011 12:01 AM;Zeta;6.343557126E+17;516
2012-11-30 00:01:00;Lambda;634898304600000000;227
2010-01-07 00:02:00;Nu;633984193200000000;313
2011-07-25T00:03:00.0000000;Phi;634,471,489,800,000,000.00000000;265
07-10-2019 12:01 AM;Upsilon;6.369831366E+17;979
2013-03-10 00:02:00;Theta;634984705200000000;583
2015-04-29 00:01:00;Psi;635658624600000000;254
04-21-2011 12:02 AM;Epsilon;6.343894092E+17;338
2011-01-31 00:02:00;Omicron;6.34320E+017;446
12-04-2019 12:01 AM;Psi;6.371101446E+17;789
2012-03-05 00:01:00;Omicron;6.34665E+017;584
12-15-2016 12:01 AM;Omicron;6.361735686E+17;22
2011-03-06 00:01:00;Iota;634349664600000000;303
05-06-2010 12:03 AM;Alpha;6.340870098E+17;456
2019-07-06 00:01:00;Rho;6.36980E+017;396
2011-11-17 00:01:00;Iota;6.34571E+017;966
2010-11-04 00:01:00;Epsilon;6.34244E+017;143
2010-08-13 00:01:00;Chi;634172544600000000;778
2019-05-28 00:02:00;Gamma;636945985200000000;613
08-23-2011 12:02 AM;Rho;6.344965452E+17;250
2018-06-30 00:03:00;Gamma;636659137800000000;426
2013-09-09 00:01:00;Beta;635142816600000000;709
2011-01-28 00:02:00;Beta;634317697200000000;139
11-22-2011 12:01 AM;Rho;6.345751686E+17;387
2011-08-20 00:01:00;Phi;6.34494E+017;420
06-04-2019 12:03 AM;Alpha;6.369520338E+17;670
10-29-2013 12:01 AM;Omicron;6.351860166E+17;31
2016-01-06 00:02:00;Nu;635876353200000000;151
01-25-2014 12:02 AM;Rho;6.352620492E+17;151
2013-08-14 00:01:00;Kappa;6.35120E+017;746
2013-08-28 00:01:00;Xi;635132448600000000;869
