TM;Category;unknown;Quantity
2019-03-19 00:01:00;Tau;636885504600000000;720
12-19-2019 12:01 AM;Kappa;6.371231046E+17;260
2016-03-21 00:01:00;Tau;635941152600000000;461
10-02-2010 12:01 AM;Kappa;6.342157446E+17;247
2015-05-18 00:01:00;Eta;635675040600000000;728
06-21-2015 12:01 AM;Chi;6.357044166E+17;175
12-21-2013 12:01 AM;Zeta;6.352318086E+17;264
2018-11-11 00:01:00;Omicron;636774912600000000;731
2010-06-07 00:01:00;Xi;634114656600000000;354
2016-01-13 00:01:00;Iota;635882400600000000;212
2014-01-17T00:01:00.0000000;Epsilon;635,255,136,600,000,000.00000000;950
2018-10-06 00:01:00;Nu;636743808600000000;626
08-19-2018 12:01 AM;Upsilon;6.367023366E+17;936
2013-10-04 00:01:00;Lambda;635164416600000000;66
2019-07-20T00:01:00.0000000;Theta;636,991,776,600,000,000.00000000;407
2019-02-03 00:01:00;Eta;636847488600000000;445
2010-12-22 00:02:00;Delta;634285729200000000;36
2015-06-03 00:01:00;Xi;635688864600000000;625
05-12-2014 12:02 AM;Gamma;6.353544972E+17;457
2016-12-20T00:02:00.0000000;Beta;636,177,889,200,000,000.00000000;606
10-23-2015 12:01 AM;Xi;6.358115526E+17;574
2015-11-23 00:01:00;Pi;6.35838E+017;593
2014-02-21T00:01:00.0000000;Chi;635,285,376,600,000,000.00000000;791
2013-10-16T00:02:00.0000000;Upsilon;635,174,785,200,000,000.00000000;609
2010-02-23 00:01:00;Mu;6.34025E+017;827
2010-03-04 00:01:00;Gamma;634032576600000000;521
2019-11-21 00:01:00;Omicron;637098912600000000;833
09-11-2011 12:01 AM;Omicron;6.345129606E+17;549
2015-01-20 00:01:00;Rho;6.35573E+017;354
2012-10-20T00:01:00.0000000;Zeta;634,862,880,600,000,000.00000000;31
2016-12-24 00:01:00;Iota;636181344600000000;773
2010-08-04 00:01:00;Chi;6.34165E+017;763
2015-12-04 00:01:00;Chi;635847840600000000;418
08-29-2010 12:01 AM;Alpha;6.341863686E+17;483
2014-03-13T00:01:00.0000000;Lambda;635,302,656,600,000,000.00000000;671
08-20-2019 12:01 AM;Delta;6.370185606E+17;356
2010-09-07 00:01:00;Iota;634194144600000000;441
2015-09-13 00:01:00;Eta;6.35777E+017;872
2010-01-09 00:01:00;Epsilon;633985920600000000;963
2014-05-01 00:01:00;Eta;635344992600000000;856
2015-11-17T00:01:00.0000000;Psi;635,833,152,600,000,000.00000000;559
2014-05-02 00:02:00;Iota;635345857200000000;522
2013-04-21T00:01:00.0000000;Pi;635,020,992,600,000,000.00000000;775
2018-04-22T00:02:00.0000000;Mu;636,599,521,200,000,000.00000000;866
2013-04-27 00:01:00;Delta;6.35026E+017;61
03-07-2013 12:01 AM;Rho;6.349821126E+17;286
06-16-2010 12:02 AM;Zeta;6.341224332E+17;89
2015-12-09 00:02:00;Pi;635852161200000000;391
2017-08-13T00:01:00.0000000;Eta;636,381,792,600,000,000.00000000;393
12-22-2018 12:01 AM;Delta;6.368103366E+17;345
2010-11-20 00:02:00;Lambda;6.34258E+017;224
07-17-2017 12:02 AM;Delta;6.363584652E+17;990
02-03-2018 12:01 AM;Delta;6.365321286E+17;973
08-23-2016 12:02 AM;Omicron;6.360750732E+17;500
08-21-2018 12:01 AM;Sigma;6.367040646E+17;148
02-14-2019 12:01 AM;Chi;6.368569926E+17;326
2014-02-22T00:01:00.0000000;Psi;635,286,240,600,000,000.00000000;654
02-25-2011 12:02 AM;Theta;6.343418892E+17;171
2014-11-03 00:02:00;Iota;635505697200000000;517
2019-02-22 00:01:00;Zeta;636863904600000000;125
08-18-2018 12:02 AM;Nu;6.367014732E+17;604
2018-11-04 00:01:00;Eta;636768864600000000;92
2017-03-22 00:01:00;Epsilon;636257376600000000;59
2019-09-26 00:01:00;Omicron;637050528600000000;565
2017-03-21T00:01:00.0000000;Nu;636,256,512,600,000,000.00000000;176
2018-05-17 00:01:00;Lambda;6.36621E+017;437
2018-01-03T00:02:00.0000000;Zeta;636,505,345,200,000,000.00000000;448
2014-01-01 00:01:00;Psi;635241312600000000;344
07-11-2014 12:01 AM;Epsilon;6.354063366E+17;325
2016-07-12 00:01:00;Upsilon;636038784600000000;337
10-01-2015 12:02 AM;Epsilon;6.357925452E+17;230
2011-08-01 00:02:00;Rho;6.34478E+017;296
2012-05-17 00:01:00;Alpha;6.34728E+017;621
2014-08-18 00:02:00;Upsilon;635439169200000000;273
2010-07-15 00:02:00;Beta;6.34147E+017;2
02-12-2015 12:01 AM;Upsilon;6.355929606E+17;217
2012-01-02 00:01:00;Zeta;634610592600000000;394
2012-05-27T00:02:00.0000000;Gamma;634,736,737,200,000,000.00000000;225
2015-09-05T00:01:00.0000000;Omega;635,770,080,600,000,000.00000000;460
2019-05-23 00:02:00;Alpha;636941665200000000;445
2019-01-03 00:01:00;Iota;636820704600000000;602
03-10-2011 12:02 AM;Alpha;6.343531212E+17;213
05-13-2014 12:01 AM;Omega;6.353553606E+17;554
2016-02-04 00:01:00;Tau;6.35901E+017;842
2018-08-07 00:01:00;Theta;636691968600000000;271
2012-05-16 00:01:00;Sigma;6.34727E+017;53
2014-02-22 00:03:00;Lambda;635286241800000000;14
2011-09-19T00:01:00.0000000;Rho;634,519,872,600,000,000.00000000;498
01-30-2013 12:02 AM;Upsilon;6.349510092E+17;732
2018-08-11 00:01:00;Gamma;636695424600000000;830
06-25-2013 12:01 AM;Tau;6.350771526E+17;466
2013-10-25 00:01:00;Beta;6.35183E+017;846
03-25-2013 12:01 AM;Rho;6.349976646E+17;815
2011-07-05 00:01:00;Xi;634454208600000000;816
2015-12-03 00:02:00;Gamma;635846977200000000;490
05-30-2015 12:01 AM;Sigma;6.356854086E+17;768
2015-01-17 00:02:00;Phi;635570497200000000;962
2012-05-08 00:02:00;Sigma;634720321200000000;590
2015-11-16T00:02:00.0000000;Beta;635,832,289,200,000,000.00000000;892
2017-10-07 00:02:00;Tau;636429313200000000;573
2017-04-25T00:01:00.0000000;Phi;636,286,752,600,000,000.00000000;820
2014-04-02 00:01:00;Omicron;635319936600000000;298
2015-02-15 00:03:00;Omega;635595553800000000;565
2016-12-23 00:02:00;Iota;636180481200000000;596
07-12-2019 12:02 AM;Mu;6.369848652E+17;299
2014-11-04 00:01:00;Eta;635506560600000000;945
2011-03-21T00:02:00.0000000;Upsilon;634,362,625,200,000,000.00000000;574
07-04-2010 12:01 AM;Omicron;6.341379846E+17;798
05-31-2010 12:01 AM;Mu;6.341086086E+17;241
2017-02-14 00:02:00;Delta;636226273200000000;349
2019-01-25 00:01:00;Omicron;6.36840E+017;291
2011-06-03T00:01:00.0000000;Theta;634,426,560,600,000,000.00000000;198
2012-04-04T00:03:00.0000000;Rho;634,690,945,800,000,000.00000000;731
2014-01-22 00:03:00;Eta;6.35259E+017;209
2012-06-17 00:03:00;Nu;634754881800000000;95
04-30-2012 12:02 AM;Zeta;6.347134092E+17;552
02-03-2012 12:03 AM;Sigma;6.346382418E+17;184
2018-12-14T00:01:00.0000000;Lambda;636,803,424,600,000,000.00000000;899
12-17-2014 12:01 AM;Rho;6.355437126E+17;317
2013-06-11 00:01:00;Rho;635065056600000000;366
2016-01-11T00:01:00.0000000;Alpha;635,880,672,600,000,000.00000000;173
2018-09-14T00:02:00.0000000;Theta;636,724,801,200,000,000.00000000;112
2016-03-08 00:01:00;Kappa;635929920600000000;835
04-16-2017 12:01 AM;Kappa;6.362789766E+17;568
2018-02-14 00:01:00;Chi;6.36542E+017;636
2015-02-04 00:01:00;Omega;635586048600000000;459
06-07-2018 12:02 AM;Beta;6.366392652E+17;597
01-20-2016 12:01 AM;Upsilon;6.358884486E+17;874
2012-04-21T00:02:00.0000000;Chi;634,705,633,200,000,000.00000000;988
2019-11-08 00:02:00;Sigma;637087681200000000;71
12-23-2018 12:02 AM;Alpha;6.368112012E+17;440
2013-12-07 00:03:00;Iota;635219713800000000;221
2013-03-10 00:02:00;Delta;634984705200000000;894
2015-08-07 00:01:00;Omega;6.35745E+017;274
2014-05-07 00:01:00;Epsilon;635350176600000000;675
2013-10-15 00:01:00;Kappa;635173920600000000;686
2015-08-25 00:01:00;Xi;6.35761E+017;331
2017-06-03 00:02:00;Sigma;636320449200000000;320
2012-05-13 00:03:00;Zeta;634724641800000000;974
12-08-2011 12:01 AM;Phi;6.345889926E+17;743
2010-12-22 00:03:00;Alpha;634285729800000000;6
2014-05-27 00:02:00;Chi;6.35367E+017;392
2011-07-10 00:03:00;Xi;634458529800000000;98
2016-02-17 00:02:00;Zeta;635912641200000000;420
2019-11-02 00:02:00;Epsilon;637082497200000000;452
2014-08-19 00:02:00;Iota;635440033200000000;896
02-24-2017 12:02 AM;Zeta;6.362349132E+17;82
2012-02-09T00:02:00.0000000;Beta;634,643,425,200,000,000.00000000;684
2016-05-21 00:02:00;Psi;6.35994E+017;602
2019-01-04 00:03:00;Psi;636821569800000000;588
12-20-2014 12:01 AM;Alpha;6.355463046E+17;217
07-20-2010 12:01 AM;Upsilon;6.341518086E+17;79
09-09-2017 12:03 AM;Gamma;6.364051218E+17;529
2019-11-11 00:02:00;Psi;6.37090E+017;995
10-02-2015 12:01 AM;Sigma;6.357934086E+17;641
2014-08-24 00:02:00;Kappa;635444353200000000;477
01-02-2016 12:02 AM;Phi;6.358728972E+17;6
2018-10-22 00:02:00;Eta;636757633200000000;732
2014-05-28 00:01:00;Mu;6.35368E+017;864
