TM;Category;unknown;Quantity
2016-11-17 00:01:00;Tau;636149376600000000;0
2019-03-18 00:01:00;Kappa;636884640600000000;273
05-31-2010 12:01 AM;Pi;6.341086086E+17;88
06-01-2014 12:01 AM;Theta;6.353717766E+17;653
10-18-2011 12:01 AM;Upsilon;6.345449286E+17;868
2017-10-02 00:01:00;Rho;636424992600000000;953
2015-06-06T00:01:00.0000000;Theta;635,691,456,600,000,000.00000000;746
2016-03-27 00:01:00;Lambda;635946336600000000;454
2011-07-09T00:01:00.0000000;Omega;634,457,664,600,000,000.00000000;733
2014-02-20 00:01:00;Xi;635284512600000000;771
2012-07-29 00:01:00;Zeta;6.34791E+017;2
2011-02-01 00:01:00;Pi;6.34321E+017;193
04-02-2010 12:01 AM;Theta;6.340576326E+17;872
2014-05-20 00:01:00;Delta;635361408600000000;637
2015-10-18 00:02:00;Iota;6.35807E+017;548
2018-01-10 00:02:00;Upsilon;6.36511E+017;136
2018-03-23 00:01:00;Tau;6.36574E+017;803
12-29-2016 12:01 AM;Kappa;6.361856646E+17;663
2015-12-29 00:01:00;Gamma;6.35869E+017;681
2018-10-01 00:01:00;Eta;636739488600000000;628
12-02-2013 12:01 AM;Iota;6.352153926E+17;347
2019-01-22 00:01:00;Pi;636837120600000000;456
2010-04-28T00:01:00.0000000;Nu;634,080,096,600,000,000.00000000;942
2016-09-25 00:01:00;Xi;6.36104E+017;861
06-11-2018 12:01 AM;Theta;6.366427206E+17;714
2017-09-17T00:01:00.0000000;Psi;636,412,032,600,000,000.00000000;309
2018-01-06 00:01:00;Alpha;636507936600000000;485
2010-09-22T00:01:00.0000000;Lambda;634,207,104,600,000,000.00000000;335
2018-03-13 00:01:00;Xi;636564960600000000;162
10-07-2014 12:01 AM;Epsilon;6.354823686E+17;705
2013-05-14 00:02:00;Iota;6.35041E+017;434
2016-07-26T00:02:00.0000000;Epsilon;636,050,881,200,000,000.00000000;41
01-21-2016 12:01 AM;Theta;6.358893126E+17;746
11-27-2016 12:01 AM;Iota;6.361580166E+17;886
2016-05-13 00:01:00;Kappa;635986944600000000;623
2012-08-09T00:01:00.0000000;Mu;634,800,672,600,000,000.00000000;924
07-06-2014 12:02 AM;Phi;6.354020172E+17;695
2014-02-26 00:02:00;Omicron;6.35290E+017;498
2011-08-31T00:01:00.0000000;Pi;634,503,456,600,000,000.00000000;122
2013-11-10 00:02:00;Delta;6.35196E+017;49
05-26-2011 12:01 AM;Sigma;6.344196486E+17;501
2014-12-27T00:01:00.0000000;Delta;635,552,352,600,000,000.00000000;14
08-11-2015 12:01 AM;Omega;6.357484806E+17;93
2012-08-30 00:02:00;Mu;634818817200000000;139
2013-09-28T00:02:00.0000000;Rho;635,159,233,200,000,000.00000000;624
2017-12-20 00:02:00;Pi;636493249200000000;73
2019-02-05T00:02:00.0000000;Xi;636,849,217,200,000,000.00000000;363
04-18-2016 12:02 AM;Iota;6.359653452E+17;844
2013-01-07 00:02:00;Chi;6.34931E+017;334
2015-06-28 00:02:00;Phi;635710465200000000;353
02-14-2014 12:01 AM;Omicron;6.352793286E+17;493
06-30-2017 12:01 AM;Gamma;6.363437766E+17;749
11-12-2014 12:01 AM;Kappa;6.355134726E+17;760
2015-02-18T00:02:00.0000000;Iota;635,598,145,200,000,000.00000000;86
2011-11-01 00:01:00;Phi;6.34557E+017;724
10-16-2018 12:01 AM;Nu;6.367524486E+17;691
2010-09-06 00:02:00;Rho;634193281200000000;645
2010-12-08 00:02:00;Omicron;6.34274E+017;184
2012-02-08 00:01:00;Sigma;634642560600000000;195
2014-08-06 00:01:00;Pi;635428800600000000;515
2012-01-05T00:02:00.0000000;Beta;634,613,185,200,000,000.00000000;177
2018-01-20 00:01:00;Theta;636520032600000000;488
04-26-2015 12:02 AM;Rho;6.356560332E+17;334
2013-02-04 00:02:00;Zeta;634955329200000000;875
2015-08-26 00:01:00;Pi;6.35761E+017;498
2012-10-23 00:02:00;Phi;634865473200000000;743
2014-12-25T00:01:00.0000000;Gamma;635,550,624,600,000,000.00000000;783
2017-07-05 00:01:00;Alpha;636348096600000000;714
2014-09-26T00:01:00.0000000;Chi;635,472,864,600,000,000.00000000;481
2016-09-19T00:02:00.0000000;Chi;636,098,401,200,000,000.00000000;382
2018-03-18T00:01:00.0000000;Delta;636,569,280,600,000,000.00000000;656
2010-10-16 00:02:00;Kappa;6.34228E+017;977
2013-05-15 00:01:00;Pi;6.35042E+017;822
2015-02-14 00:02:00;Delta;635594689200000000;541
2010-02-20 00:02:00;Theta;6.34022E+017;470
12-19-2014 12:01 AM;Phi;6.355454406E+17;491
03-28-2017 12:03 AM;Mu;6.362625618E+17;839
2019-08-29 00:01:00;Upsilon;637026336600000000;795
2018-07-08 00:02:00;Epsilon;6.36666E+017;511
04-23-2016 12:01 AM;Pi;6.359696646E+17;93
2012-07-24 00:02:00;Theta;634786849200000000;793
2015-12-06T00:01:00.0000000;Sigma;635,849,568,600,000,000.00000000;927
2016-04-16 00:01:00;Mu;6.35964E+017;156
2015-10-16 00:02:00;Theta;6.35806E+017;744
2014-10-21 00:02:00;Omicron;6.35494E+017;244
2012-06-01 00:01:00;Iota;634741056600000000;447
2010-06-26 00:01:00;Mu;634131072600000000;137
06-21-2014 12:01 AM;Beta;6.353890566E+17;428
2016-02-02 00:03:00;Zeta;6.35900E+017;381
2016-01-16 00:02:00;Epsilon;6.35885E+017;461
2017-06-03 00:03:00;Epsilon;636320449800000000;301
03-09-2013 12:02 AM;Upsilon;6.349838412E+17;738
11-04-2017 12:02 AM;Tau;6.364535052E+17;646
06-02-2014 12:01 AM;Omicron;6.353726406E+17;133
2018-09-12 00:02:00;Omega;636723073200000000;53
12-27-2017 12:02 AM;Xi;6.364992972E+17;327
10-06-2019 12:04 AM;Pi;6.370591704E+17;869
2015-11-19 00:01:00;Upsilon;635834880600000000;471
2010-04-27 00:02:00;Omicron;634079233200000000;26
2018-09-01 00:02:00;Zeta;6.36714E+017;232
2012-12-19 00:02:00;Upsilon;6.34915E+017;863
2012-05-24 00:03:00;Nu;634734145800000000;185
2014-01-20 00:02:00;Rho;635257729200000000;366
2014-12-23 00:02:00;Rho;635548897200000000;551
