TM;Category;unknown;Quantity
2012-01-21 00:01:00;Beta;634627008600000000;940
2011-11-08 00:01:00;Xi;634563072600000000;937
2013-04-17 00:01:00;Beta;635017536600000000;800
2017-10-11 00:01:00;Iota;6.36433E+017;151
2017-01-22 00:01:00;Eta;636206400600000000;965
2011-09-21 00:01:00;Nu;634521600600000000;698
2015-09-22 00:01:00;Chi;635784768600000000;998
2015-10-14 00:01:00;Zeta;635803776600000000;782
05-03-2019 12:01 AM;Sigma;6.369243846E+17;177
2019-11-04T00:01:00.0000000;Tau;637,084,224,600,000,000.00000000;618
06-16-2010 12:01 AM;Omega;6.341224326E+17;642
2010-08-16T00:01:00.0000000;Gamma;634,175,136,600,000,000.00000000;69
2015-08-01T00:01:00.0000000;Alpha;635,739,840,600,000,000.00000000;45
2015-11-20 00:01:00;Iota;635835744600000000;333
2012-09-30 00:01:00;Pi;634845600600000000;341
2015-04-19 00:01:00;Gamma;6.35650E+017;431
12-13-2011 12:01 AM;Alpha;6.345933126E+17;106
2014-05-08 00:02:00;Gamma;635351041200000000;53
2016-08-04 00:01:00;Lambda;6.36059E+017;222
12-16-2015 12:01 AM;Tau;6.358582086E+17;68
04-10-2013 12:01 AM;Upsilon;6.350114886E+17;650
2018-08-23 00:01:00;Beta;636705792600000000;882
2015-10-16 00:02:00;Phi;6.35806E+017;333
2018-11-25T00:01:00.0000000;Kappa;636,787,008,600,000,000.00000000;764
09-27-2018 12:01 AM;Eta;6.367360326E+17;526
2019-12-31 00:01:00;Epsilon;637133472600000000;871
07-12-2012 12:02 AM;Iota;6.347764812E+17;230
2017-08-09 00:02:00;Mu;636378337200000000;548
01-06-2016 12:01 AM;Mu;6.358763526E+17;21
2016-12-25 00:01:00;Gamma;6.36182E+017;685
09-07-2019 12:01 AM;Sigma;6.370341126E+17;776
02-04-2018 12:01 AM;Tau;6.365329926E+17;785
2014-07-23 00:01:00;Phi;6.35417E+017;887
02-25-2011 12:02 AM;Zeta;6.343418892E+17;696
2015-12-22 00:01:00;Omicron;635863392600000000;65
2016-03-09 00:02:00;Theta;6.35931E+017;593
2012-03-15 00:02:00;Zeta;634673665200000000;718
12-31-2016 12:01 AM;Rho;6.361873926E+17;264
2011-09-18T00:02:00.0000000;Gamma;634,519,009,200,000,000.00000000;628
01-19-2016 12:01 AM;Eta;6.358875846E+17;992
2014-09-10T00:01:00.0000000;Mu;635,459,040,600,000,000.00000000;106
05-29-2015 12:01 AM;Iota;6.356845446E+17;279
2012-03-06 00:01:00;Kappa;6.34666E+017;828
2019-07-01T00:01:00.0000000;Delta;636,975,360,600,000,000.00000000;890
2014-10-12T00:03:00.0000000;Sigma;635,486,689,800,000,000.00000000;955
2018-10-22T00:01:00.0000000;Iota;636,757,632,600,000,000.00000000;541
01-08-2015 12:01 AM;Omicron;6.355627206E+17;654
11-12-2014 12:01 AM;Mu;6.355134726E+17;335
2019-11-29 00:01:00;Gamma;6.37106E+017;363
2012-02-06 00:02:00;Pi;634640833200000000;956
11-06-2017 12:01 AM;Gamma;6.364552326E+17;644
2018-03-18T00:02:00.0000000;Upsilon;636,569,281,200,000,000.00000000;531
08-25-2016 12:01 AM;Beta;6.360768006E+17;541
2015-04-12 00:01:00;Chi;635643936600000000;409
10-09-2013 12:01 AM;Tau;6.351687366E+17;415
09-23-2018 12:01 AM;Omicron;6.367325766E+17;533
2014-06-13 00:01:00;Sigma;635382144600000000;600
08-16-2013 12:02 AM;Beta;6.351220812E+17;182
2011-07-09T00:01:00.0000000;Upsilon;634,457,664,600,000,000.00000000;340
05-12-2010 12:02 AM;Lambda;6.340921932E+17;408
03-28-2018 12:02 AM;Upsilon;6.365779212E+17;208
2014-10-20 00:02:00;Rho;6.35494E+017;398
2014-09-28T00:01:00.0000000;Pi;635,474,592,600,000,000.00000000;133
2013-10-15T00:03:00.0000000;Psi;635,173,921,800,000,000.00000000;572
01-06-2015 12:02 AM;Nu;6.355609932E+17;775
2015-05-17 00:01:00;Lambda;635674176600000000;568
09-13-2016 12:01 AM;Alpha;6.360932166E+17;830
2015-12-26 00:01:00;Psi;635866848600000000;88
10-19-2011 12:01 AM;Gamma;6.345457926E+17;244
2010-11-17 00:02:00;Sigma;634255489200000000;479
2019-12-14 00:02:00;Xi;637118785200000000;553
2019-09-26 00:01:00;Xi;637050528600000000;964
04-05-2010 12:01 AM;Psi;6.340602246E+17;785
2010-09-28 00:01:00;Mu;6.34212E+017;611
2016-02-01 00:01:00;Rho;635898816600000000;28
2017-03-24 00:02:00;Chi;636259105200000000;345
2013-04-26 00:02:00;Psi;6.35025E+017;114
2012-07-04 00:03:00;Sigma;634769569800000000;170
2015-07-12T00:02:00.0000000;Pi;635,722,561,200,000,000.00000000;776
12-10-2017 12:01 AM;Upsilon;6.364846086E+17;803
2017-09-15 00:02:00;Epsilon;636410305200000000;861
2015-02-18T00:01:00.0000000;Mu;635,598,144,600,000,000.00000000;82
02-15-2019 12:02 AM;Gamma;6.368578572E+17;396
10-17-2016 12:02 AM;Xi;6.361225932E+17;516
06-09-2017 12:01 AM;Sigma;6.363256326E+17;833
2018-12-19 00:01:00;Zeta;6.36808E+017;322
