TM;Category;unknown;Quantity
03-07-2013 12:01 AM;Delta;6.349821126E+17;619
2018-04-07 00:01:00;Zeta;636586560600000000;690
2018-01-18 00:01:00;Lambda;636518304600000000;345
08-31-2015 12:01 AM;Omega;6.357657606E+17;279
2015-01-13T00:01:00.0000000;Iota;635,567,040,600,000,000.00000000;495
2019-01-04 00:01:00;Phi;636821568600000000;486
2015-08-21 00:01:00;Omega;635757120600000000;82
06-21-2019 12:01 AM;Alpha;6.369667206E+17;239
2015-09-29 00:01:00;Alpha;6.35791E+017;347
06-23-2018 12:02 AM;Omega;6.366530892E+17;91
2010-04-25 00:01:00;Epsilon;634077504600000000;290
2018-01-04T00:01:00.0000000;Psi;636,506,208,600,000,000.00000000;283
11-19-2018 12:01 AM;Mu;6.367818246E+17;839
2013-01-21 00:01:00;Gamma;634943232600000000;753
2014-10-11 00:01:00;Beta;635485824600000000;865
2015-03-10T00:01:00.0000000;Tau;635,615,424,600,000,000.00000000;524
2018-12-16 00:01:00;Phi;636805152600000000;254
2011-11-26 00:01:00;Eta;634578624600000000;845
09-09-2017 12:01 AM;Phi;6.364051206E+17;160
04-09-2014 12:02 AM;Xi;6.353259852E+17;785
2018-02-11 00:01:00;Lambda;636539040600000000;911
2011-08-14T00:01:00.0000000;Pi;634,488,768,600,000,000.00000000;267
2013-04-16 00:01:00;Omicron;635016672600000000;374
03-10-2017 12:01 AM;Gamma;6.362470086E+17;259
2012-12-21 00:01:00;Kappa;6.34916E+017;115
08-17-2013 12:03 AM;Pi;6.351229458E+17;992
2015-01-12 00:01:00;Nu;635566176600000000;952
2011-07-24 00:01:00;Tau;634470624600000000;584
2015-05-01T00:02:00.0000000;Iota;635,660,353,200,000,000.00000000;563
2016-12-23 00:02:00;Epsilon;636180481200000000;773
11-19-2018 12:02 AM;Omicron;6.367818252E+17;64
01-13-2019 12:01 AM;Psi;6.368293446E+17;702
2016-02-23 00:01:00;Mu;6.35918E+017;869
2012-01-23T00:01:00.0000000;Omicron;634,628,736,600,000,000.00000000;98
2016-02-05 00:01:00;Upsilon;6.35902E+017;282
08-07-2011 12:01 AM;Nu;6.344827206E+17;189
2016-12-06 00:01:00;Psi;636165792600000000;182
2017-07-07 00:03:00;Phi;636349825800000000;960
01-17-2012 12:02 AM;Chi;6.346235532E+17;594
2015-09-26 00:01:00;Sigma;635788224600000000;564
2017-01-14 00:01:00;Rho;6.36199E+017;0
2019-06-14 00:02:00;Chi;636960673200000000;927
2018-02-08T00:01:00.0000000;Omega;636,536,448,600,000,000.00000000;397
2010-10-05 00:02:00;Theta;634218337200000000;153
03-20-2015 12:02 AM;Chi;6.356240652E+17;489
05-31-2010 12:01 AM;Upsilon;6.341086086E+17;724
2014-05-26 00:02:00;Eta;635366593200000000;775
08-17-2012 12:01 AM;Lambda;6.348075846E+17;918
2016-02-14 00:01:00;Kappa;635910048600000000;863
2013-08-26T00:01:00.0000000;Rho;635,130,720,600,000,000.00000000;628
2013-05-31 00:01:00;Phi;6.35056E+017;389
2017-05-13T00:01:00.0000000;Sigma;636,302,304,600,000,000.00000000;457
12-24-2019 12:01 AM;Rho;6.371274246E+17;656
2011-06-01T00:02:00.0000000;Epsilon;634,424,833,200,000,000.00000000;247
01-08-2014 12:02 AM;Beta;6.352473612E+17;360
06-22-2013 12:02 AM;Theta;6.350745612E+17;589
2017-03-22 00:02:00;Theta;636257377200000000;799
2017-01-14 00:01:00;Upsilon;6.36199E+017;756
12-24-2019 12:02 AM;Upsilon;6.371274252E+17;128
2018-12-31T00:02:00.0000000;Psi;636,818,113,200,000,000.00000000;89
11-17-2019 12:01 AM;Sigma;6.370954566E+17;482
2011-05-02 00:01:00;Tau;6.34399E+017;659
01-28-2014 12:02 AM;Rho;6.352646412E+17;735
03-07-2014 12:01 AM;Beta;6.352974726E+17;616
2011-04-24 00:02:00;Mu;634392001200000000;207
2018-07-25 00:02:00;Beta;636680737200000000;351
2018-03-13 00:03:00;Chi;636564961800000000;919
07-17-2016 12:02 AM;Upsilon;6.360431052E+17;481
03-08-2018 12:02 AM;Xi;6.365606412E+17;532
05-04-2018 12:01 AM;Omicron;6.366098886E+17;242
2012-01-01 00:01:00;Sigma;634609728600000000;852
2018-03-04 00:01:00;Xi;6.36557E+017;937
04-07-2014 12:03 AM;Lambda;6.353242578E+17;476
03-26-2012 12:01 AM;Phi;6.346831686E+17;637
11-05-2016 12:01 AM;Beta;6.361390086E+17;9
2012-11-25T00:02:00.0000000;Chi;634,893,985,200,000,000.00000000;299
05-09-2015 12:02 AM;Delta;6.356672652E+17;495
04-16-2017 12:01 AM;Psi;6.362789766E+17;20
2015-07-11 00:01:00;Theta;635721696600000000;390
2012-07-19 00:02:00;Nu;634782529200000000;166
2018-10-20T00:02:00.0000000;Theta;636,755,905,200,000,000.00000000;863
08-04-2011 12:01 AM;Eta;6.344801286E+17;353
06-06-2012 12:01 AM;Iota;6.347453766E+17;946
2012-06-03 00:01:00;Upsilon;6.34743E+017;37
2013-04-17 00:01:00;Lambda;635017536600000000;938
2018-10-10 00:01:00;Eta;6.36747E+017;525
2017-03-03 00:02:00;Omega;636240961200000000;163
2015-01-12T00:02:00.0000000;Zeta;635,566,177,200,000,000.00000000;737
07-09-2013 12:01 AM;Upsilon;6.350892486E+17;981
2015-02-15 00:01:00;Delta;635595552600000000;401
2019-02-25T00:02:00.0000000;Epsilon;636,866,497,200,000,000.00000000;190
07-10-2014 12:02 AM;Eta;6.354054732E+17;521
06-23-2014 12:02 AM;Chi;6.353907852E+17;619
2010-07-08 00:02:00;Alpha;634141441200000000;142
04-09-2013 12:02 AM;Mu;6.350106252E+17;706
01-26-2014 12:01 AM;Iota;6.352629126E+17;25
07-12-2012 12:02 AM;Gamma;6.347764812E+17;939
11-03-2011 12:02 AM;Sigma;6.345587532E+17;52
2012-06-17 00:03:00;Rho;634754881800000000;654
09-25-2018 12:01 AM;Delta;6.367343046E+17;589
2014-10-16T00:01:00.0000000;Psi;635,490,144,600,000,000.00000000;825
2013-07-18T00:02:00.0000000;Iota;635,097,025,200,000,000.00000000;126
02-19-2013 12:02 AM;Delta;6.349682892E+17;835
04-10-2019 12:01 AM;Alpha;6.369045126E+17;905
2015-05-03 00:03:00;Psi;635662081800000000;208
2015-12-27 00:01:00;Iota;635867712600000000;246
2016-12-03 00:02:00;Upsilon;636163201200000000;694
2011-03-02T00:01:00.0000000;Iota;634,346,208,600,000,000.00000000;958
2011-03-10 00:01:00;Omega;6.34353E+017;872
2017-01-13 00:02:00;Pi;6.36199E+017;997
2012-12-29 00:02:00;Xi;634923361200000000;360
08-20-2011 12:02 AM;Psi;6.344939532E+17;276
2017-02-25 00:03:00;Zeta;636235777800000000;154
2014-02-01 00:02:00;Eta;635268097200000000;580
2015-12-23T00:02:00.0000000;Tau;635,864,257,200,000,000.00000000;880
2010-05-20 00:01:00;Sigma;634099104600000000;776
2016-11-10 00:02:00;Rho;636143329200000000;778
2012-07-28 00:03:00;Sigma;6.34790E+017;139
2013-10-21 00:02:00;Delta;635179105200000000;218
2018-04-08 00:02:00;Sigma;636587425200000000;26
2018-06-21 00:02:00;Sigma;6.36651E+017;724
2014-06-26T00:03:00.0000000;Epsilon;635,393,377,800,000,000.00000000;361
03-07-2018 12:01 AM;Chi;6.365597766E+17;175
2015-08-17T00:02:00.0000000;Tau;635,753,665,200,000,000.00000000;59
2015-02-20 00:02:00;Theta;635599873200000000;852
2018-04-03T00:02:00.0000000;Eta;636,583,105,200,000,000.00000000;265
2014-04-20 00:02:00;Omicron;635335489200000000;493
2010-11-03 00:02:00;Sigma;6.34243E+017;818
2013-01-03 00:01:00;Phi;634927680600000000;831
2012-11-25T00:02:00.0000000;Upsilon;634,893,985,200,000,000.00000000;961
2010-11-16 00:03:00;Epsilon;634254625800000000;909
05-18-2018 12:02 AM;Psi;6.366219852E+17;759
06-19-2015 12:03 AM;Iota;6.357026898E+17;950
07-12-2019 12:02 AM;Xi;6.369848652E+17;594
2012-04-03T00:03:00.0000000;Phi;634,690,081,800,000,000.00000000;599
2011-08-01 00:01:00;Sigma;6.34478E+017;662
2012-11-15 00:01:00;Gamma;6.34885E+017;4
2013-06-10 00:02:00;Alpha;635064193200000000;224
12-17-2015 12:01 AM;Iota;6.358590726E+17;162
2017-05-14T00:01:00.0000000;Sigma;636,303,168,600,000,000.00000000;792
11-10-2015 12:03 AM;Psi;6.358271058E+17;23
2010-09-22 00:02:00;Chi;634207105200000000;143
2011-09-16T00:04:00.0000000;Lambda;634,517,282,400,000,000.00000000;988
10-27-2013 12:03 AM;Iota;6.351842898E+17;755
09-15-2015 12:01 AM;Gamma;6.357787206E+17;561
01-08-2014 12:03 AM;Upsilon;6.352473618E+17;130
06-05-2013 12:01 AM;Gamma;6.350598726E+17;104
12-27-2011 12:02 AM;Phi;6.346054092E+17;648
2010-11-01 00:02:00;Iota;6.34242E+017;912
2010-04-18 00:01:00;Sigma;6.34071E+017;281
2015-05-20T00:02:00.0000000;Eta;635,676,769,200,000,000.00000000;331
2018-08-29 00:02:00;Eta;636710977200000000;72
04-25-2014 12:02 AM;Kappa;6.353398092E+17;783
2010-03-07 00:03:00;Psi;634035169800000000;273
2013-09-07 00:02:00;Chi;635141089200000000;435
2019-08-12 00:02:00;Kappa;6.37012E+017;710
07-16-2018 12:02 AM;Iota;6.366729612E+17;968
2011-01-30 00:02:00;Zeta;6.34319E+017;259
2019-02-07T00:01:00.0000000;Delta;636,850,944,600,000,000.00000000;82
