TM;Category;unknown;Quantity
2018-11-05 00:01:00;Phi;636769728600000000;840
2017-06-23 00:01:00;Pi;636337728600000000;386
2013-09-29T00:01:00.0000000;Psi;635,160,096,600,000,000.00000000;607
2017-05-10 00:01:00;Omega;636299712600000000;135
2019-12-14 00:01:00;Kappa;637118784600000000;703
2016-05-15 00:01:00;Delta;635988672600000000;652
2015-03-24 00:01:00;Chi;635627520600000000;470
06-04-2014 12:01 AM;Gamma;6.353743686E+17;134
2016-12-19T00:01:00.0000000;Gamma;636,177,024,600,000,000.00000000;10
2018-02-27T00:01:00.0000000;Gamma;636,552,864,600,000,000.00000000;105
2013-04-23 00:01:00;Mu;635022720600000000;185
2010-02-18 00:01:00;Omega;634020480600000000;961
2019-02-10 00:02:00;Chi;636853537200000000;898
2018-09-17 00:02:00;Tau;636727393200000000;943
06-13-2010 12:02 AM;Sigma;6.341198412E+17;823
2011-02-14T00:01:00.0000000;Gamma;634,332,384,600,000,000.00000000;820
03-18-2010 12:01 AM;Omicron;6.340446726E+17;122
12-19-2015 12:01 AM;Upsilon;6.358608006E+17;673
07-01-2010 12:01 AM;Lambda;6.341353926E+17;950
02-10-2010 12:01 AM;Omicron;6.340135686E+17;890
02-03-2012 12:01 AM;Alpha;6.346382406E+17;954
2011-03-22T00:01:00.0000000;Tau;634,363,488,600,000,000.00000000;50
02-21-2012 12:01 AM;Theta;6.346537926E+17;746
2015-05-07 00:02:00;Eta;6.35666E+017;769
2013-04-21T00:01:00.0000000;Beta;635,020,992,600,000,000.00000000;807
2019-06-10 00:01:00;Epsilon;636957216600000000;642
06-28-2018 12:01 AM;Upsilon;6.366574086E+17;459
2012-07-26 00:03:00;Upsilon;6.34789E+017;96
2011-08-09 00:02:00;Phi;634484449200000000;931
2016-01-10T00:01:00.0000000;Psi;635,879,808,600,000,000.00000000;57
09-01-2014 12:01 AM;Mu;6.354512646E+17;526
11-02-2017 12:01 AM;Omega;6.364517766E+17;845
2015-03-05 00:02:00;Nu;635611105200000000;88
2011-01-11 00:01:00;Alpha;634303008600000000;351
2013-04-01T00:01:00.0000000;Upsilon;635,003,712,600,000,000.00000000;221
2012-01-11 00:01:00;Alpha;6.34618E+017;358
2013-03-03 00:02:00;Eta;6.34979E+017;591
2016-10-29 00:02:00;Kappa;636132961200000000;434
2015-07-20 00:02:00;Tau;6.35729E+017;372
2010-11-03 00:01:00;Xi;6.34243E+017;859
2013-11-01 00:01:00;Chi;635188608600000000;249
02-24-2017 12:01 AM;Phi;6.362349126E+17;29
2015-03-13 00:01:00;Sigma;635618016600000000;625
2011-10-08T00:01:00.0000000;Sigma;634,536,288,600,000,000.00000000;972
2016-02-17T00:01:00.0000000;Tau;635,912,640,600,000,000.00000000;206
2012-06-12 00:01:00;Psi;634750560600000000;222
2015-01-18 00:01:00;Eta;635571360600000000;65
06-22-2013 12:02 AM;Beta;6.350745612E+17;107
04-24-2010 12:01 AM;Theta;6.340766406E+17;874
2019-06-13T00:02:00.0000000;Alpha;636,959,809,200,000,000.00000000;819
2019-01-16 00:02:00;Rho;636831937200000000;520
2014-08-07 00:03:00;Psi;6.35430E+017;420
2016-08-30 00:02:00;Omicron;636081121200000000;355
2012-11-09T00:01:00.0000000;Gamma;634,880,160,600,000,000.00000000;129
2013-12-30T00:02:00.0000000;Lambda;635,239,585,200,000,000.00000000;126
2018-05-15 00:01:00;Alpha;636619392600000000;141
2018-11-27T00:01:00.0000000;Omicron;636,788,736,600,000,000.00000000;617
04-18-2017 12:01 AM;Gamma;6.362807046E+17;76
2014-05-10 00:02:00;Rho;6.35353E+017;115
07-27-2014 12:02 AM;Omega;6.354201612E+17;564
2013-01-01T00:02:00.0000000;Phi;634,925,953,200,000,000.00000000;714
2013-12-30T00:01:00.0000000;Iota;635,239,584,600,000,000.00000000;510
08-21-2016 12:03 AM;Psi;6.360733458E+17;243
10-19-2010 12:03 AM;Delta;6.342304338E+17;128
2015-05-03 00:02:00;Omega;635662081200000000;25
2012-02-27T00:01:00.0000000;Nu;634,658,976,600,000,000.00000000;142
2016-06-05 00:02:00;Alpha;636006817200000000;12
2013-10-14 00:03:00;Psi;635173057800000000;942
2010-09-27 00:02:00;Eta;6.34211E+017;488
2012-09-02 00:01:00;Theta;6.34821E+017;888
2017-08-19 00:01:00;Phi;6.36387E+017;121
2014-06-06 00:02:00;Phi;635376097200000000;443
2015-06-13 00:01:00;Omega;6.35698E+017;767
2016-07-14 00:02:00;Omega;6.36041E+017;440
05-20-2019 12:01 AM;Upsilon;6.369390726E+17;165
07-13-2013 12:02 AM;Lambda;6.350927052E+17;626
06-05-2019 12:02 AM;Tau;6.369528972E+17;909
2013-03-12T00:03:00.0000000;Pi;634,986,433,800,000,000.00000000;88
2016-12-06 00:02:00;Eta;6.36166E+017;689
2016-10-23 00:01:00;Phi;636127776600000000;663
05-14-2015 12:02 AM;Omicron;6.356715852E+17;742
12-29-2016 12:01 AM;Lambda;6.361856646E+17;714
11-04-2017 12:03 AM;Chi;6.364535058E+17;86
11-27-2016 12:01 AM;Psi;6.361580166E+17;531
2018-01-19 00:02:00;Gamma;636519169200000000;241
2019-01-17 00:01:00;Rho;636832800600000000;677
10-06-2015 12:03 AM;Mu;6.357968658E+17;421
01-27-2013 12:02 AM;Psi;6.349484172E+17;941
2016-09-08 00:01:00;Iota;6.36089E+017;292
2018-05-11 00:04:00;Kappa;636615938400000000;168
2017-11-08 00:02:00;Omega;636456961200000000;694
09-07-2017 12:01 AM;Sigma;6.364033926E+17;17
2010-04-13 00:02:00;Iota;634067137200000000;38
2011-09-20 00:02:00;Pi;634520737200000000;159
06-21-2014 12:02 AM;Pi;6.353890572E+17;998
10-18-2017 12:02 AM;Sigma;6.364388172E+17;860
02-06-2010 12:01 AM;Iota;6.340101126E+17;568
