TM;Category;unknown;Quantity
2010-04-16 00:01:00;Tau;6.34070E+017;349
2011-02-15 00:01:00;Rho;634333248600000000;684
2011-11-28 00:01:00;Kappa;634580352600000000;369
2017-04-08T00:01:00.0000000;Upsilon;636,272,064,600,000,000.00000000;16
05-04-2017 12:01 AM;Nu;6.362945286E+17;821
2015-07-18 00:01:00;Alpha;635727744600000000;636
2011-12-23 00:01:00;Theta;6.34602E+017;252
2019-09-17 00:01:00;Gamma;6.37043E+017;346
2012-09-15T00:01:00.0000000;Theta;634,832,640,600,000,000.00000000;414
12-25-2018 12:01 AM;Omicron;6.368129286E+17;244
2019-09-28 00:01:00;Sigma;637052256600000000;79
07-03-2010 12:01 AM;Theta;6.341371206E+17;897
10-29-2012 12:01 AM;Nu;6.348706566E+17;735
02-22-2012 12:02 AM;Pi;6.346546572E+17;991
2012-10-03T00:02:00.0000000;Alpha;634,848,193,200,000,000.00000000;397
2014-03-10 00:01:00;Epsilon;635300064600000000;203
07-16-2017 12:01 AM;Theta;6.363576006E+17;138
2016-12-06 00:01:00;Nu;636165792600000000;431
12-03-2019 12:02 AM;Psi;6.371092812E+17;20
2011-04-11 00:01:00;Gamma;634380768600000000;534
04-04-2015 12:01 AM;Omega;6.356370246E+17;758
05-02-2012 12:01 AM;Kappa;6.347151366E+17;496
03-25-2013 12:01 AM;Nu;6.349976646E+17;394
2016-12-08 00:01:00;Pi;6.36168E+017;478
2012-01-06T00:01:00.0000000;Psi;634,614,048,600,000,000.00000000;968
02-02-2012 12:01 AM;Iota;6.346373766E+17;399
2018-03-19T00:01:00.0000000;Beta;636,570,144,600,000,000.00000000;836
2012-02-29T00:01:00.0000000;Sigma;634,660,704,600,000,000.00000000;238
01-16-2018 12:01 AM;Pi;6.365165766E+17;643
09-21-2013 12:02 AM;Psi;6.351531852E+17;473
2012-04-18 00:02:00;Psi;634703041200000000;140
2019-05-31 00:02:00;Iota;6.36949E+017;594
2013-10-19T00:01:00.0000000;Mu;635,177,376,600,000,000.00000000;870
06-03-2014 12:02 AM;Iota;6.353735052E+17;46
04-20-2010 12:03 AM;Lambda;6.340731858E+17;610
2017-05-03 00:01:00;Mu;6.36294E+017;785
2012-12-11T00:03:00.0000000;Epsilon;634,907,809,800,000,000.00000000;122
2019-05-13 00:01:00;Omicron;6.36933E+017;405
2011-01-21 00:02:00;Upsilon;634311649200000000;3
2013-05-27T00:01:00.0000000;Sigma;635,052,096,600,000,000.00000000;328
2016-12-04 00:01:00;Beta;636164064600000000;332
2011-12-24 00:02:00;Zeta;6.34603E+017;894
2015-09-20 00:01:00;Iota;635783040600000000;867
02-18-2013 12:01 AM;Xi;6.349674246E+17;297
07-16-2011 12:01 AM;Beta;6.344637126E+17;46
2011-08-26 00:02:00;Xi;634499137200000000;938
2015-02-06 00:01:00;Xi;6.35588E+017;475
2018-04-07 00:01:00;Chi;636586560600000000;762
11-28-2010 12:01 AM;Iota;6.342649926E+17;117
2015-04-18 00:02:00;Nu;6.35649E+017;141
12-01-2014 12:02 AM;Nu;6.355298892E+17;581
2014-04-22 00:01:00;Zeta;6.35337E+017;172
2013-05-30 00:02:00;Gamma;6.35055E+017;903
2017-06-15 00:01:00;Psi;636330816600000000;731
07-31-2019 12:01 AM;Psi;6.370012806E+17;102
2019-04-02T00:02:00.0000000;Nu;636,897,601,200,000,000.00000000;175
2012-04-10 00:01:00;Psi;6.34696E+017;678
2012-07-23T00:01:00.0000000;Sigma;634,785,984,600,000,000.00000000;712
2011-07-21 00:02:00;Iota;634468033200000000;925
2017-07-22 00:01:00;Alpha;636362784600000000;839
2018-05-30 00:02:00;Sigma;636632353200000000;32
2019-04-09 00:01:00;Upsilon;6.36904E+017;551
03-02-2014 12:01 AM;Sigma;6.352931526E+17;160
2012-04-23T00:01:00.0000000;Psi;634,707,360,600,000,000.00000000;407
2013-02-21 00:02:00;Omicron;634970017200000000;973
01-27-2014 12:02 AM;Nu;6.352637772E+17;773
2011-11-12T00:01:00.0000000;Nu;634,566,528,600,000,000.00000000;189
2014-09-29 00:01:00;Upsilon;635475456600000000;638
09-06-2012 12:02 AM;Upsilon;6.348248652E+17;387
08-14-2015 12:01 AM;Sigma;6.357510726E+17;719
2019-06-14T00:01:00.0000000;Mu;636,960,672,600,000,000.00000000;808
