TM;Category;unknown;Quantity
2016-09-05 00:01:00;Nu;636086304600000000;959
2013-11-28 00:01:00;Chi;6.35212E+017;422
2017-07-13 00:01:00;Eta;6.36355E+017;209
10-11-2012 12:01 AM;Alpha;6.348551046E+17;806
2015-05-20T00:01:00.0000000;Xi;635,676,768,600,000,000.00000000;118
10-05-2014 12:01 AM;Rho;6.354806406E+17;125
2012-04-02 00:01:00;Theta;634689216600000000;550
2015-05-02T00:01:00.0000000;Pi;635,661,216,600,000,000.00000000;685
03-31-2017 12:01 AM;Kappa;6.362651526E+17;70
2015-10-18 00:01:00;Iota;6.35807E+017;522
2010-12-04T00:01:00.0000000;Eta;634,270,176,600,000,000.00000000;953
2017-06-21 00:01:00;Alpha;636336000600000000;648
2014-01-15T00:01:00.0000000;Rho;635,253,408,600,000,000.00000000;649
2017-05-02 00:01:00;Sigma;6.36293E+017;632
2019-03-03 00:01:00;Chi;6.36872E+017;767
06-21-2015 12:01 AM;Xi;6.357044166E+17;901
03-04-2014 12:01 AM;Sigma;6.352948806E+17;147
2015-06-10 00:01:00;Iota;635694912600000000;280
2012-02-16 00:01:00;Sigma;6.34649E+017;885
2014-02-24 00:01:00;Nu;635287968600000000;946
2012-12-29 00:01:00;Upsilon;634923360600000000;774
2015-02-18T00:01:00.0000000;Upsilon;635,598,144,600,000,000.00000000;233
02-08-2016 12:01 AM;Psi;6.359048646E+17;839
2014-06-06 00:01:00;Beta;635376096600000000;861
01-03-2010 12:02 AM;Gamma;6.339807372E+17;895
07-12-2013 12:01 AM;Upsilon;6.350918406E+17;393
2017-06-25 00:02:00;Lambda;6.36339E+017;955
2010-06-05T00:01:00.0000000;Iota;634,112,928,600,000,000.00000000;638
12-13-2016 12:02 AM;Xi;6.361718412E+17;903
2019-04-07 00:01:00;Sigma;6.36902E+017;131
2010-02-01 00:01:00;Upsilon;634005792600000000;642
2018-09-30 00:01:00;Zeta;636738624600000000;308
2013-01-23 00:01:00;Phi;634944960600000000;728
09-06-2013 12:02 AM;Theta;6.351402252E+17;522
2017-05-18 00:02:00;Omega;6.36307E+017;435
2016-08-20 00:01:00;Theta;6.36072E+017;86
04-16-2018 12:01 AM;Xi;6.365943366E+17;478
2016-03-29 00:02:00;Gamma;6.35948E+017;424
08-04-2011 12:02 AM;Delta;6.344801292E+17;958
2013-05-11 00:01:00;Xi;635038272600000000;381
09-28-2018 12:01 AM;Alpha;6.367368966E+17;730
03-02-2015 12:01 AM;Sigma;6.356085126E+17;702
2012-01-29 00:01:00;Epsilon;6.34634E+017;45
2014-04-21 00:01:00;Psi;635336352600000000;345
2017-10-04T00:02:00.0000000;Beta;636,426,721,200,000,000.00000000;167
2019-03-14T00:01:00.0000000;Pi;636,881,184,600,000,000.00000000;555
2019-11-23T00:02:00.0000000;Eta;637,100,641,200,000,000.00000000;928
10-15-2012 12:02 AM;Chi;6.348585612E+17;476
05-10-2015 12:02 AM;Kappa;6.356681292E+17;570
02-23-2012 12:02 AM;Phi;6.346555212E+17;731
2012-02-28T00:02:00.0000000;Tau;634,659,841,200,000,000.00000000;350
2012-05-30 00:02:00;Omicron;634739329200000000;255
2019-05-27 00:03:00;Chi;636945121800000000;20
2013-11-24 00:03:00;Omicron;635208481800000000;891
11-16-2012 12:01 AM;Eta;6.348862086E+17;536
2012-08-06 00:01:00;Omega;634798080600000000;814
12-20-2019 12:01 AM;Tau;6.371239686E+17;65
2016-04-17 00:01:00;Mu;6.35964E+017;915
08-07-2011 12:02 AM;Epsilon;6.344827212E+17;459
09-04-2012 12:01 AM;Chi;6.348231366E+17;389
05-08-2016 12:01 AM;Omicron;6.359826246E+17;664
01-30-2019 12:02 AM;Mu;6.368440332E+17;60
2019-09-01 00:01:00;Chi;6.37029E+017;448
2013-10-21 00:01:00;Alpha;635179104600000000;702
12-01-2015 12:01 AM;Sigma;6.358452486E+17;872
2013-03-29 00:02:00;Zeta;635001121200000000;789
2010-04-29T00:02:00.0000000;Delta;634,080,961,200,000,000.00000000;4
2015-12-19 00:02:00;Sigma;635860801200000000;522
2017-04-23 00:02:00;Sigma;636285025200000000;290
05-28-2011 12:01 AM;Zeta;6.344213766E+17;762
12-15-2015 12:02 AM;Pi;6.358573452E+17;70
10-02-2015 12:02 AM;Pi;6.357934092E+17;969
2010-12-03T00:01:00.0000000;Theta;634,269,312,600,000,000.00000000;293
2010-09-09 00:02:00;Kappa;6.34196E+017;753
01-23-2016 12:01 AM;Beta;6.358910406E+17;401
07-13-2012 12:01 AM;Sigma;6.347773446E+17;535
2015-01-12 00:01:00;Zeta;635566176600000000;799
10-08-2014 12:01 AM;Tau;6.354832326E+17;584
04-14-2013 12:02 AM;Tau;6.350149452E+17;752
2013-12-31 00:01:00;Lambda;635240448600000000;69
01-26-2015 12:02 AM;Eta;6.355782732E+17;510
2019-09-17 00:01:00;Upsilon;6.37043E+017;871
05-07-2010 12:02 AM;Xi;6.340878732E+17;754
2015-05-22 00:01:00;Iota;635678496600000000;857
2011-08-14T00:01:00.0000000;Chi;634,488,768,600,000,000.00000000;250
10-06-2014 12:01 AM;Psi;6.354815046E+17;192
2010-03-03 00:02:00;Alpha;634031713200000000;318
2010-04-13 00:02:00;Eta;634067137200000000;102
2012-04-05T00:01:00.0000000;Mu;634,691,808,600,000,000.00000000;120
2015-05-02T00:02:00.0000000;Psi;635,661,217,200,000,000.00000000;633
2017-04-27 00:03:00;Pi;636288481800000000;600
2019-02-26 00:02:00;Omega;636867361200000000;576
2012-06-16T00:01:00.0000000;Pi;634,754,016,600,000,000.00000000;484
12-13-2016 12:02 AM;Pi;6.361718412E+17;561
2015-01-27 00:02:00;Nu;635579137200000000;876
03-08-2012 12:01 AM;Iota;6.346676166E+17;403
2016-01-18 00:01:00;Psi;6.35887E+017;360
2010-07-27T00:02:00.0000000;Omicron;634,157,857,200,000,000.00000000;537
2018-09-30 00:02:00;Xi;636738625200000000;562
11-11-2015 12:01 AM;Rho;6.358279686E+17;428
2016-04-26 00:02:00;Nu;635972257200000000;780
2010-06-27 00:02:00;Xi;6.34132E+017;813
2012-12-31T00:02:00.0000000;Alpha;634,925,089,200,000,000.00000000;916
2018-02-28T00:02:00.0000000;Chi;636,553,729,200,000,000.00000000;893
2019-08-02 00:01:00;Alpha;637003008600000000;338
2011-09-14 00:01:00;Theta;634515552600000000;678
11-06-2016 12:01 AM;Epsilon;6.361398726E+17;448
2015-05-27 00:01:00;Alpha;6.35683E+017;248
2018-05-26T00:03:00.0000000;Iota;636,628,897,800,000,000.00000000;691
08-21-2012 12:02 AM;Pi;6.348110412E+17;735
12-02-2014 12:01 AM;Tau;6.355307526E+17;386
2014-11-07 00:02:00;Eta;6.35509E+017;263
07-31-2013 12:01 AM;Eta;6.351082566E+17;407
2016-05-30 00:02:00;Nu;636001633200000000;417
2010-06-11 00:02:00;Iota;6.34118E+017;266
2013-09-16 00:01:00;Delta;635148864600000000;645
2012-03-02 00:01:00;Nu;634662432600000000;688
2014-07-16T00:01:00.0000000;Upsilon;635,410,656,600,000,000.00000000;153
2010-10-21 00:04:00;Upsilon;634232162400000000;650
01-01-2011 12:01 AM;Tau;6.342943686E+17;395
12-16-2010 12:01 AM;Phi;6.342805446E+17;857
05-17-2014 12:01 AM;Upsilon;6.353588166E+17;901
05-14-2015 12:01 AM;Sigma;6.356715846E+17;374
09-27-2017 12:02 AM;Xi;6.364206732E+17;423
2019-01-01T00:01:00.0000000;Chi;636,818,976,600,000,000.00000000;460
02-17-2012 12:02 AM;Tau;6.346503372E+17;534
2015-10-10T00:02:00.0000000;Theta;635,800,321,200,000,000.00000000;116
2010-01-28T00:01:00.0000000;Chi;634,002,336,600,000,000.00000000;338
2011-02-12T00:02:00.0000000;Pi;634,330,657,200,000,000.00000000;181
05-04-2018 12:02 AM;Gamma;6.366098892E+17;124
11-08-2016 12:01 AM;Chi;6.361416006E+17;127
2016-08-12T00:03:00.0000000;Alpha;636,065,569,800,000,000.00000000;231
01-02-2015 12:05 AM;Beta;6.35557539E+17;217
06-30-2010 12:03 AM;Tau;6.341345298E+17;356
06-03-2014 12:02 AM;Lambda;6.353735052E+17;269
2014-08-09 00:01:00;Eta;6.35431E+017;590
2016-11-14T00:02:00.0000000;Sigma;636,146,785,200,000,000.00000000;162
2011-12-22 00:02:00;Chi;6.34601E+017;41
03-08-2019 12:01 AM;Beta;6.368760006E+17;367
2016-05-04 00:02:00;Lambda;6.35979E+017;66
2017-06-15 00:02:00;Delta;636330817200000000;258
11-09-2010 12:02 AM;Lambda;6.342485772E+17;233
2013-03-11 00:02:00;Gamma;634985569200000000;389
2013-02-26 00:02:00;Mu;634974337200000000;731
06-14-2011 12:01 AM;Nu;6.344360646E+17;298
05-10-2016 12:02 AM;Iota;6.359843532E+17;713
2012-05-11T00:02:00.0000000;Zeta;634,722,913,200,000,000.00000000;349
2014-05-01 00:02:00;Delta;635344993200000000;72
02-13-2013 12:04 AM;Psi;6.349631064E+17;399
2017-09-02 00:03:00;Beta;636399073800000000;238
2010-02-20 00:01:00;Lambda;634022208600000000;824
01-11-2018 12:03 AM;Iota;6.365122578E+17;639
2010-07-30 00:03:00;Zeta;634160449800000000;928
03-27-2012 12:03 AM;Xi;6.346840338E+17;458
2010-02-16 00:04:00;Tau;634018754400000000;412
2012-01-02 00:02:00;Alpha;634610593200000000;673
2017-11-13 00:04:00;Xi;6.36461E+017;957
2013-08-12 00:01:00;Delta;6.35119E+017;811
03-12-2017 12:01 AM;Nu;6.362487366E+17;378
10-21-2010 12:02 AM;Omicron;6.342321612E+17;980
08-28-2015 12:03 AM;Beta;6.357631698E+17;573
10-09-2019 12:02 AM;Eta;6.370617612E+17;910
2018-02-06 00:01:00;Tau;636534720600000000;645
2019-05-07T00:02:00.0000000;Rho;636,927,841,200,000,000.00000000;615
2019-08-04 00:02:00;Omicron;637004737200000000;327
2018-08-05 00:01:00;Epsilon;636690240600000000;681
2010-03-01 00:02:00;Theta;634029985200000000;818
05-04-2012 12:02 AM;Beta;6.347168652E+17;623
01-27-2013 12:01 AM;Zeta;6.349484166E+17;453
2010-08-30 00:02:00;Upsilon;634187233200000000;600
10-15-2017 12:02 AM;Beta;6.364362252E+17;499
2010-09-27 00:02:00;Rho;6.34211E+017;819
2016-05-19 00:02:00;Xi;635992129200000000;711
10-04-2014 12:05 AM;Omega;6.35479779E+17;103
2010-05-15T00:04:00.0000000;Omicron;634,094,786,400,000,000.00000000;199
2019-10-19T00:01:00.0000000;Beta;637,070,400,600,000,000.00000000;742
05-23-2018 12:02 AM;Iota;6.366263052E+17;546
2015-06-27 00:02:00;Upsilon;635709601200000000;109
03-30-2018 12:02 AM;Theta;6.365796492E+17;42
2014-04-13 00:02:00;Alpha;635329441200000000;970
2018-05-15 00:02:00;Xi;6.36619E+017;222
2012-12-27 00:02:00;Beta;634921633200000000;729
07-09-2014 12:03 AM;Iota;6.354046098E+17;845
01-29-2019 12:02 AM;Tau;6.368431692E+17;206
04-20-2016 12:02 AM;Delta;6.359670732E+17;643
2017-03-08 00:02:00;Lambda;6.36245E+017;534
2017-10-20 00:01:00;Pi;636440544600000000;521
2014-01-31 00:02:00;Xi;635267233200000000;811
2017-12-15T00:02:00.0000000;Nu;636,488,929,200,000,000.00000000;290
12-14-2015 12:02 AM;Chi;6.358564812E+17;17
03-14-2010 12:01 AM;Sigma;6.340412166E+17;182
2016-08-13T00:03:00.0000000;Delta;636,066,433,800,000,000.00000000;630
2014-05-27 00:02:00;Mu;6.35367E+017;375
01-04-2015 12:02 AM;Nu;6.355592652E+17;896
2016-03-27 00:02:00;Theta;6.35946E+017;96
2015-06-06T00:02:00.0000000;Chi;635,691,457,200,000,000.00000000;899
2019-05-30 00:03:00;Kappa;6.36948E+017;906
2017-12-22 00:01:00;Gamma;6.36495E+017;484
2017-06-23 00:03:00;Tau;6.36338E+017;605
2010-09-17 00:03:00;Iota;634202785800000000;84
2018-04-08 00:03:00;Lambda;6.36587E+017;619
05-09-2011 12:02 AM;Tau;6.344049612E+17;144
05-18-2019 12:03 AM;Beta;6.369373458E+17;800
2013-11-28 00:02:00;Mu;6.35212E+017;806
2017-11-07 00:02:00;Nu;636456097200000000;176
2010-07-15 00:02:00;Phi;6.34147E+017;513
2018-07-17 00:02:00;Chi;636673825200000000;374
03-23-2019 12:03 AM;Eta;6.368889618E+17;575
2011-01-05 00:02:00;Phi;634297825200000000;795
2017-11-26T00:03:00.0000000;Beta;636,472,513,800,000,000.00000000;723
2014-05-07 00:05:00;Tau;6.35350E+017;202
2019-10-01 00:02:00;Rho;637054849200000000;125
