TM;Category;unknown;Quantity
2013-01-02T00:01:00.0000000;Nu;634,926,816,600,000,000.00000000;476
2019-02-28 00:01:00;Psi;636869088600000000;19
2017-12-20 00:01:00;Upsilon;636493248600000000;90
2017-05-03 00:01:00;Tau;6.36294E+017;126
2011-03-04T00:01:00.0000000;Iota;634,347,936,600,000,000.00000000;59
2012-07-09 00:01:00;Phi;6.34774E+017;172
2015-03-28T00:01:00.0000000;Pi;635,630,976,600,000,000.00000000;774
2019-11-21 00:01:00;Psi;637098912600000000;19
2012-02-08 00:01:00;Delta;634642560600000000;347
2019-10-02 00:01:00;Lambda;637055712600000000;151
2017-10-13 00:01:00;Eta;6.36434E+017;276
2011-10-28 00:01:00;Sigma;634553568600000000;15
2010-09-23 00:01:00;Rho;634207968600000000;656
2019-01-07 00:02:00;Mu;6.36824E+017;342
2017-04-09 00:01:00;Gamma;636272928600000000;627
04-18-2018 12:01 AM;Iota;6.365960646E+17;136
2018-08-15 00:01:00;Epsilon;6.36699E+017;995
2017-10-06T00:01:00.0000000;Xi;636,428,448,600,000,000.00000000;665
10-24-2014 12:01 AM;Upsilon;6.354970566E+17;38
2019-04-04 00:01:00;Chi;636899328600000000;417
2013-07-07 00:01:00;Delta;6.35088E+017;549
2010-09-08 00:01:00;Beta;6.34195E+017;265
2016-06-07 00:01:00;Gamma;636008544600000000;739
02-23-2017 12:01 AM;Lambda;6.362340486E+17;828
2014-02-09 00:01:00;Gamma;6.35275E+017;3
2016-05-23 00:01:00;Iota;6.35996E+017;598
2018-06-12 00:02:00;Sigma;636643585200000000;486
10-02-2010 12:02 AM;Kappa;6.342157452E+17;539
08-03-2011 12:01 AM;Eta;6.344792646E+17;934
01-13-2013 12:01 AM;Mu;6.349363206E+17;579
09-19-2015 12:01 AM;Pi;6.357821766E+17;600
12-03-2012 12:02 AM;Omega;6.349008972E+17;123
04-26-2014 12:01 AM;Iota;6.353406726E+17;710
2012-07-04T00:01:00.0000000;Epsilon;634,769,568,600,000,000.00000000;241
09-20-2014 12:01 AM;Omicron;6.354676806E+17;499
02-04-2011 12:01 AM;Tau;6.343237446E+17;721
04-14-2018 12:01 AM;Iota;6.365926086E+17;944
10-18-2010 12:02 AM;Omega;6.342295692E+17;869
2012-06-02 00:01:00;Alpha;634741920600000000;265
2013-02-22 00:01:00;Chi;634970880600000000;33
2015-07-17 00:01:00;Omega;635726880600000000;818
2016-06-06 00:01:00;Beta;636007680600000000;28
06-09-2011 12:02 AM;Alpha;6.344317452E+17;390
12-09-2016 12:02 AM;Beta;6.361683852E+17;791
2014-02-24 00:01:00;Zeta;635287968600000000;20
2010-12-09 00:01:00;Omicron;6.34274E+017;303
2019-12-31 00:02:00;Mu;637133473200000000;454
2010-10-15 00:02:00;Iota;6.34227E+017;35
2016-03-25 00:02:00;Pi;635944609200000000;131
2013-04-05 00:01:00;Iota;635007168600000000;932
2014-09-05 00:02:00;Zeta;635454721200000000;634
2015-06-08T00:02:00.0000000;Upsilon;635,693,185,200,000,000.00000000;382
2017-07-24T00:02:00.0000000;Rho;636,364,513,200,000,000.00000000;247
2018-01-20T00:02:00.0000000;Rho;636,520,033,200,000,000.00000000;735
10-19-2016 12:02 AM;Psi;6.361243212E+17;406
2017-04-29 00:02:00;Gamma;636290209200000000;949
06-15-2015 12:02 AM;Xi;6.356992332E+17;648
06-23-2019 12:01 AM;Iota;6.369684486E+17;561
2017-05-31T00:02:00.0000000;Eta;636,317,857,200,000,000.00000000;166
2018-05-06 00:02:00;Beta;636611617200000000;994
2013-08-09 00:01:00;Psi;635116032600000000;425
2011-01-05 00:02:00;Omicron;634297825200000000;285
03-29-2017 12:01 AM;Upsilon;6.362634246E+17;520
05-22-2017 12:01 AM;Theta;6.363100806E+17;224
03-31-2018 12:01 AM;Xi;6.365805126E+17;469
2010-12-17 00:01:00;Nu;634281408600000000;647
09-09-2016 12:02 AM;Sigma;6.360897612E+17;57
10-02-2015 12:01 AM;Phi;6.357934086E+17;907
2011-04-23 00:01:00;Gamma;634391136600000000;47
2011-08-28 00:01:00;Iota;634500864600000000;877
2017-05-27 00:02:00;Phi;636314401200000000;752
04-18-2017 12:02 AM;Rho;6.362807052E+17;799
2016-06-03T00:01:00.0000000;Epsilon;636,005,088,600,000,000.00000000;312
2019-07-19T00:01:00.0000000;Zeta;636,990,912,600,000,000.00000000;189
2015-12-23T00:02:00.0000000;Psi;635,864,257,200,000,000.00000000;230
2019-10-19 00:03:00;Rho;637070401800000000;12
2010-10-29 00:02:00;Phi;634239073200000000;181
2014-04-11 00:03:00;Kappa;635327713800000000;395
11-17-2013 12:02 AM;Xi;6.352024332E+17;771
2014-07-20 00:02:00;Eta;635414113200000000;586
2010-07-29T00:01:00.0000000;Theta;634,159,584,600,000,000.00000000;263
2016-11-02 00:01:00;Theta;6.36136E+017;422
2014-04-15T00:02:00.0000000;Psi;635,331,169,200,000,000.00000000;158
2012-02-24 00:02:00;Psi;634656385200000000;755
2012-08-14 00:02:00;Phi;6.34805E+017;916
2019-01-02T00:01:00.0000000;Eta;636,819,840,600,000,000.00000000;490
01-03-2010 12:01 AM;Theta;6.339807366E+17;844
2017-03-05 00:02:00;Eta;636242689200000000;256
2012-09-20 00:02:00;Psi;6.34837E+017;467
02-22-2018 12:01 AM;Psi;6.365485446E+17;178
07-18-2017 12:02 AM;Beta;6.363593292E+17;408
2018-08-26T00:01:00.0000000;Beta;636,708,384,600,000,000.00000000;340
2018-05-30 00:02:00;Alpha;636632353200000000;50
2018-02-12 00:06:00;Xi;6.36540E+017;27
06-30-2016 12:02 AM;Theta;6.360284172E+17;830
2017-01-21 00:02:00;Theta;636205537200000000;365
12-28-2010 12:02 AM;Kappa;6.342909132E+17;603
2013-08-12 00:03:00;Zeta;6.35119E+017;866
12-13-2016 12:01 AM;Epsilon;6.361718406E+17;312
2017-05-31T00:03:00.0000000;Alpha;636,317,857,800,000,000.00000000;94
12-27-2017 12:01 AM;Nu;6.364992966E+17;203
2011-01-11 00:02:00;Gamma;634303009200000000;769
2010-08-19 00:02:00;Lambda;634177729200000000;106
2013-01-19T00:02:00.0000000;Phi;634,941,505,200,000,000.00000000;430
2016-05-29 00:03:00;Phi;636000769800000000;372
2017-01-13 00:01:00;Xi;6.36199E+017;778
2014-06-06 00:02:00;Eta;635376097200000000;434
2010-04-25 00:02:00;Nu;634077505200000000;266
01-09-2019 12:02 AM;Omicron;6.368258892E+17;108
11-17-2018 12:02 AM;Theta;6.367800972E+17;644
05-08-2016 12:02 AM;Chi;6.359826252E+17;20
09-04-2012 12:02 AM;Omicron;6.348231372E+17;953
07-27-2014 12:02 AM;Upsilon;6.354201612E+17;575
2013-12-13 00:01:00;Alpha;635224896600000000;765
2014-12-14 00:03:00;Epsilon;6.35541E+017;459
10-03-2010 12:01 AM;Psi;6.342166086E+17;786
2010-05-19 00:02:00;Upsilon;634098241200000000;355
2013-11-02 00:02:00;Alpha;635189473200000000;246
07-14-2011 12:03 AM;Beta;6.344619858E+17;513
2011-04-23 00:03:00;Upsilon;634391137800000000;219
10-18-2011 12:02 AM;Iota;6.345449292E+17;418
2015-03-09T00:02:00.0000000;Sigma;635,614,561,200,000,000.00000000;947
2010-05-01 00:03:00;Zeta;634082689800000000;129
2014-10-02 00:02:00;Nu;6.35478E+017;435
2012-01-28 00:01:00;Chi;6.34633E+017;225
2014-04-20 00:03:00;Nu;6.35335E+017;364
10-07-2013 12:02 AM;Beta;6.351670092E+17;951
2012-12-30 00:01:00;Beta;634924224600000000;740
2014-11-18T00:02:00.0000000;Lambda;635,518,657,200,000,000.00000000;283
08-23-2010 12:02 AM;Delta;6.341811852E+17;387
2015-09-26 00:02:00;Epsilon;635788225200000000;661
06-14-2010 12:01 AM;Sigma;6.341207046E+17;605
01-07-2015 12:02 AM;Delta;6.355618572E+17;987
07-28-2013 12:02 AM;Gamma;6.351056652E+17;165
2011-12-16 00:01:00;Upsilon;634595904600000000;517
2010-06-23T00:02:00.0000000;Theta;634,128,481,200,000,000.00000000;980
07-31-2013 12:03 AM;Alpha;6.351082578E+17;596
2019-12-16 00:03:00;Eta;6.37121E+017;246
2015-05-18T00:05:00.0000000;Lambda;635,675,043,000,000,000.00000000;866
2018-09-19 00:01:00;Chi;636729120600000000;568
2016-07-27T00:03:00.0000000;Nu;636,051,745,800,000,000.00000000;111
2015-12-28 00:01:00;Nu;635868576600000000;524
2014-01-13 00:03:00;Zeta;635251681800000000;756
2014-05-12 00:01:00;Theta;6.35354E+017;52
04-22-2015 12:03 AM;Omicron;6.356525778E+17;867
2018-11-20 00:03:00;Rho;636782689800000000;893
06-23-2012 12:02 AM;Tau;6.347600652E+17;97
2011-10-30 00:01:00;Chi;6.34555E+017;46
08-18-2019 12:03 AM;Alpha;6.370168338E+17;40
2014-05-21T00:03:00.0000000;Theta;635,362,273,800,000,000.00000000;33
05-04-2018 12:02 AM;Delta;6.366098892E+17;259
2012-06-20 00:01:00;Mu;634757472600000000;445
09-26-2017 12:01 AM;Gamma;6.364198086E+17;267
2012-10-19T00:02:00.0000000;Eta;634,862,017,200,000,000.00000000;195
2010-07-28T00:02:00.0000000;Theta;634,158,721,200,000,000.00000000;901
2012-07-25 00:02:00;Gamma;634787713200000000;69
2014-08-08 00:01:00;Mu;635430528600000000;326
07-11-2018 12:03 AM;Mu;6.366686418E+17;693
03-10-2017 12:01 AM;Lambda;6.362470086E+17;1
2014-07-13 00:01:00;Lambda;635408064600000000;469
08-10-2015 12:02 AM;Epsilon;6.357476172E+17;735
2014-04-13 00:01:00;Psi;635329440600000000;47
2010-10-16 00:01:00;Psi;6.34228E+017;543
2012-03-23 00:02:00;Gamma;6.34681E+017;29
2011-07-02 00:03:00;Nu;634451617800000000;187
2014-05-08 00:02:00;Chi;635351041200000000;346
2017-07-07 00:03:00;Tau;636349825800000000;746
2018-12-27 00:02:00;Xi;636814657200000000;394
2017-09-22 00:03:00;Eta;6.36416E+017;462
2017-07-09 00:02:00;Epsilon;636351553200000000;739
06-18-2014 12:02 AM;Mu;6.353864652E+17;736
2016-05-14T00:04:00.0000000;Beta;635,987,810,400,000,000.00000000;847
2010-07-25 00:01:00;Alpha;634156128600000000;968
09-24-2017 12:03 AM;Phi;6.364180818E+17;438
2011-03-19T00:04:00.0000000;Omicron;634,360,898,400,000,000.00000000;661
03-21-2015 12:02 AM;Kappa;6.356249292E+17;8
2012-05-24 00:03:00;Kappa;634734145800000000;423
2017-12-16T00:03:00.0000000;Omicron;636,489,793,800,000,000.00000000;519
07-10-2013 12:03 AM;Theta;6.350901138E+17;901
03-16-2015 12:03 AM;Psi;6.356206098E+17;843
2010-01-07 00:02:00;Omega;633984193200000000;509
07-16-2017 12:03 AM;Omicron;6.363576018E+17;857
01-29-2012 12:04 AM;Theta;6.346339224E+17;292
2011-02-14 00:03:00;Tau;634332385800000000;774
2011-06-06 00:03:00;Eta;6.34429E+017;687
2013-05-12 00:02:00;Zeta;6.35039E+017;738
2017-10-02 00:02:00;Kappa;636424993200000000;242
01-29-2014 12:02 AM;Alpha;6.352655052E+17;291
06-05-2013 12:03 AM;Omicron;6.350598738E+17;294
2019-07-01 00:04:00;Phi;636975362400000000;964
2016-06-01 00:02:00;Kappa;636003361200000000;406
2019-04-09 00:01:00;Beta;6.36904E+017;587
11-22-2016 12:03 AM;Omicron;6.361536978E+17;453
04-07-2014 12:03 AM;Alpha;6.353242578E+17;755
2014-08-24 00:03:00;Tau;635444353800000000;15
