TM;Category;unknown;Quantity
12-25-2017 12:01 AM;Omicron;6.364975686E+17;523
2015-09-26 00:01:00;Gamma;635788224600000000;623
01-28-2014 12:01 AM;Epsilon;6.352646406E+17;625
2017-08-08 00:01:00;Kappa;636377472600000000;641
2015-05-20T00:01:00.0000000;Iota;635,676,768,600,000,000.00000000;124
2015-08-20 00:02:00;Omicron;635756257200000000;122
01-06-2016 12:01 AM;Psi;6.358763526E+17;859
2010-02-13 00:02:00;Eta;634016161200000000;997
2014-11-24 00:01:00;Epsilon;635523840600000000;464
2013-08-31 00:01:00;Omicron;6.35135E+017;254
12-08-2018 12:01 AM;Chi;6.367982406E+17;335
08-23-2016 12:02 AM;Kappa;6.360750732E+17;238
2012-08-27T00:01:00.0000000;Epsilon;634,816,224,600,000,000.00000000;516
2011-04-26T00:01:00.0000000;Rho;634,393,728,600,000,000.00000000;931
2016-04-11T00:01:00.0000000;Theta;635,959,296,600,000,000.00000000;323
2014-11-05 00:01:00;Theta;635507424600000000;869
2019-06-18 00:01:00;Xi;6.36964E+017;45
2017-08-12T00:01:00.0000000;Nu;636,380,928,600,000,000.00000000;388
2018-04-02 00:01:00;Phi;636582240600000000;88
01-30-2013 12:01 AM;Xi;6.349510086E+17;796
2015-11-16T00:02:00.0000000;Alpha;635,832,289,200,000,000.00000000;524
06-20-2014 12:01 AM;Alpha;6.353881926E+17;755
2011-05-22 00:01:00;Zeta;6.34416E+017;753
2010-10-14 00:01:00;Pi;6.34226E+017;320
11-15-2013 12:01 AM;Iota;6.352007046E+17;54
2018-03-15 00:01:00;Zeta;636566688600000000;394
2014-01-19 00:01:00;Theta;635256864600000000;134
2014-07-04 00:01:00;Zeta;6.35400E+017;894
03-13-2016 12:01 AM;Omicron;6.359342406E+17;139
2012-04-01 00:01:00;Zeta;634688352600000000;744
07-29-2019 12:02 AM;Epsilon;6.369995532E+17;222
2011-06-17 00:01:00;Mu;634438656600000000;226
2018-07-08 00:03:00;Nu;6.36666E+017;731
10-11-2012 12:02 AM;Alpha;6.348551052E+17;765
2011-04-11 00:01:00;Sigma;634380768600000000;333
2010-09-09 00:02:00;Eta;6.34196E+017;275
2014-08-22T00:01:00.0000000;Alpha;635,442,624,600,000,000.00000000;366
2016-02-19 00:01:00;Theta;635914368600000000;43
2012-07-04T00:02:00.0000000;Chi;634,769,569,200,000,000.00000000;911
07-28-2013 12:02 AM;Iota;6.351056652E+17;938
2018-11-14 00:02:00;Nu;6.36778E+017;537
2010-11-18 00:02:00;Upsilon;634256353200000000;920
2010-07-13 00:01:00;Iota;634145760600000000;492
2017-08-30T00:01:00.0000000;Sigma;636,396,480,600,000,000.00000000;441
