TM;Category;unknown;Quantity
08-07-2017 12:01 AM;Delta;6.363766086E+17;121
2015-12-31 00:01:00;Lambda;6.35871E+017;803
03-06-2014 12:01 AM;Tau;6.352966086E+17;587
2011-02-17 00:01:00;Rho;634334976600000000;657
2015-03-23 00:02:00;Mu;635626657200000000;694
12-04-2019 12:01 AM;Zeta;6.371101446E+17;255
2013-11-08 00:01:00;Phi;635194656600000000;785
11-21-2017 12:01 AM;Lambda;6.364681926E+17;878
02-09-2016 12:01 AM;Rho;6.359057286E+17;82
10-05-2014 12:01 AM;Xi;6.354806406E+17;198
2017-03-24 00:01:00;Rho;636259104600000000;357
2019-05-05 00:01:00;Eta;636926112600000000;775
2012-06-15T00:01:00.0000000;Epsilon;634,753,152,600,000,000.00000000;834
2016-10-09T00:01:00.0000000;Chi;636,115,680,600,000,000.00000000;354
10-27-2014 12:01 AM;Chi;6.354996486E+17;732
2016-04-28T00:01:00.0000000;Omicron;635,973,984,600,000,000.00000000;314
2011-10-23T00:02:00.0000000;Mu;634,549,249,200,000,000.00000000;63
2019-10-03 00:01:00;Xi;637056576600000000;313
2011-10-06T00:01:00.0000000;Sigma;634,534,560,600,000,000.00000000;614
12-10-2010 12:02 AM;Tau;6.342753612E+17;426
04-05-2016 12:01 AM;Eta;6.359541126E+17;483
2010-07-18 00:01:00;Rho;6.34150E+017;465
2016-05-14 00:01:00;Iota;635987808600000000;421
03-30-2012 12:01 AM;Kappa;6.346866246E+17;125
05-29-2015 12:02 AM;Gamma;6.356845452E+17;321
2019-03-16 00:02:00;Omega;636882913200000000;65
03-01-2010 12:01 AM;Chi;6.340299846E+17;292
2017-10-24T00:01:00.0000000;Phi;636,444,000,600,000,000.00000000;429
09-25-2018 12:01 AM;Tau;6.367343046E+17;435
2018-04-28 00:01:00;Psi;6.36605E+017;320
07-13-2012 12:01 AM;Upsilon;6.347773446E+17;599
2015-11-22 00:01:00;Omega;6.35837E+017;246
2012-02-15 00:01:00;Beta;6.34649E+017;254
2019-11-27 00:03:00;Sigma;6.37104E+017;53
2015-11-23 00:01:00;Delta;6.35838E+017;513
2016-07-08 00:01:00;Kappa;636035328600000000;412
2018-11-07T00:01:00.0000000;Nu;636,771,456,600,000,000.00000000;891
12-26-2011 12:01 AM;Epsilon;6.346045446E+17;422
2015-02-03 00:01:00;Upsilon;635585184600000000;632
2017-10-11 00:01:00;Pi;6.36433E+017;241
2013-09-14 00:02:00;Upsilon;635147137200000000;481
2013-11-01 00:01:00;Delta;635188608600000000;237
08-07-2016 12:01 AM;Gamma;6.360612486E+17;571
02-04-2018 12:01 AM;Pi;6.365329926E+17;303
2014-05-12 00:01:00;Beta;6.35354E+017;878
11-26-2016 12:02 AM;Psi;6.361571532E+17;548
2015-08-21 00:02:00;Psi;635757121200000000;565
2019-04-19T00:02:00.0000000;Lambda;636,912,289,200,000,000.00000000;407
2011-05-29 00:01:00;Mu;634422240600000000;27
09-18-2014 12:01 AM;Chi;6.354659526E+17;645
2014-02-27 00:01:00;Pi;6.35291E+017;61
2018-04-29 00:02:00;Rho;6.36606E+017;243
2012-02-28T00:01:00.0000000;Lambda;634,659,840,600,000,000.00000000;406
2015-05-01T00:01:00.0000000;Rho;635,660,352,600,000,000.00000000;171
2019-02-27 00:01:00;Epsilon;636868224600000000;921
05-30-2015 12:01 AM;Iota;6.356854086E+17;633
2017-03-25 00:02:00;Theta;6.36260E+017;764
2012-05-24 00:02:00;Zeta;634734145200000000;759
09-07-2012 12:01 AM;Omicron;6.348257286E+17;138
2018-09-02 00:01:00;Nu;6.36714E+017;226
2018-10-07 00:01:00;Nu;636744672600000000;720
01-29-2014 12:01 AM;Chi;6.352655046E+17;748
2010-10-31 00:01:00;Chi;634240800600000000;297
2010-12-20T00:02:00.0000000;Epsilon;634,284,001,200,000,000.00000000;496
08-05-2017 12:01 AM;Iota;6.363748806E+17;433
2014-10-04 00:01:00;Rho;6.35480E+017;506
03-29-2011 12:01 AM;Omicron;6.343695366E+17;732
2012-02-25 00:02:00;Omega;634657249200000000;220
2013-02-08 00:02:00;Kappa;634958785200000000;191
03-08-2019 12:02 AM;Xi;6.368760012E+17;325
2019-05-12 00:02:00;Nu;6.36932E+017;506
2010-02-04 00:02:00;Beta;6.34008E+017;62
02-03-2012 12:02 AM;Sigma;6.346382412E+17;550
2013-01-03 00:01:00;Lambda;634927680600000000;99
2014-11-16 00:01:00;Omicron;635516928600000000;466
04-12-2019 12:01 AM;Nu;6.369062406E+17;527
09-07-2017 12:01 AM;Alpha;6.364033926E+17;735
2013-01-21 00:02:00;Tau;634943233200000000;502
03-31-2017 12:02 AM;Psi;6.362651532E+17;343
2018-05-14 00:01:00;Epsilon;636618528600000000;499
10-19-2017 12:01 AM;Omega;6.364396806E+17;638
2016-10-10 00:02:00;Zeta;636116545200000000;64
2019-04-16 00:01:00;Lambda;636909696600000000;312
2011-02-15 00:02:00;Rho;634333249200000000;471
2014-12-11 00:03:00;Rho;635538529800000000;734
2011-04-29 00:02:00;Chi;634396321200000000;815
2016-12-03T00:01:00.0000000;Nu;636,163,200,600,000,000.00000000;223
2019-06-13T00:02:00.0000000;Delta;636,959,809,200,000,000.00000000;735
2017-10-06 00:03:00;Theta;636428449800000000;884
05-20-2019 12:01 AM;Chi;6.369390726E+17;781
12-14-2010 12:02 AM;Epsilon;6.342788172E+17;518
2015-09-24 00:04:00;Chi;635786498400000000;345
2015-01-17 00:01:00;Eta;635570496600000000;503
2019-08-29 00:02:00;Kappa;6.37026E+017;463
05-19-2013 12:02 AM;Eta;6.350451852E+17;1
2013-08-13 00:01:00;Beta;6.35119E+017;688
2016-04-06 00:02:00;Mu;635954977200000000;43
2012-09-01 00:02:00;Rho;6.34821E+017;248
2015-09-02 00:01:00;Beta;635767488600000000;95
2015-03-07T00:02:00.0000000;Xi;635,612,833,200,000,000.00000000;739
2018-08-07 00:02:00;Theta;636691969200000000;187
2011-05-10 00:02:00;Theta;634405825200000000;931
2018-11-22 00:02:00;Iota;636784417200000000;459
2015-12-03 00:02:00;Iota;635846977200000000;902
2015-10-12T00:02:00.0000000;Nu;635,802,049,200,000,000.00000000;371
2010-09-01 00:01:00;Beta;634188960600000000;89
01-07-2015 12:02 AM;Sigma;6.355618572E+17;204
07-04-2015 12:01 AM;Delta;6.357156486E+17;501
05-28-2016 12:02 AM;Iota;6.359999052E+17;572
2010-07-07 00:01:00;Pi;634140576600000000;470
2014-07-04 00:02:00;Iota;6.35400E+017;803
10-26-2019 12:02 AM;Psi;6.370764492E+17;184
09-24-2019 12:02 AM;Upsilon;6.370488012E+17;480
01-12-2012 12:02 AM;Theta;6.346192332E+17;618
2017-11-13 00:01:00;Sigma;636461280600000000;907
2011-04-06T00:03:00.0000000;Iota;634,376,449,800,000,000.00000000;439
10-06-2015 12:02 AM;Alpha;6.357968652E+17;639
2018-06-12 00:02:00;Iota;636643585200000000;131
2010-11-16 00:03:00;Nu;634254625800000000;819
2019-08-25T00:02:00.0000000;Alpha;637,022,881,200,000,000.00000000;120
05-28-2015 12:02 AM;Sigma;6.356836812E+17;738
11-29-2015 12:02 AM;Lambda;6.358435212E+17;623
09-08-2017 12:05 AM;Alpha;6.36404259E+17;189
08-17-2013 12:02 AM;Upsilon;6.351229452E+17;775
2011-12-07 00:01:00;Psi;6.34588E+017;617
2012-01-21T00:03:00.0000000;Eta;634,627,009,800,000,000.00000000;926
2014-08-26 00:02:00;Kappa;6.35446E+017;835
07-02-2010 12:02 AM;Kappa;6.341362572E+17;141
2015-03-07T00:02:00.0000000;Omega;635,612,833,200,000,000.00000000;290
2010-01-06 00:02:00;Tau;633983329200000000;803
11-24-2011 12:01 AM;Omega;6.345768966E+17;225
05-16-2013 12:02 AM;Psi;6.350425932E+17;158
2010-08-19 00:02:00;Delta;634177729200000000;6
10-28-2013 12:02 AM;Kappa;6.351851532E+17;858
2012-02-27T00:03:00.0000000;Phi;634,658,977,800,000,000.00000000;535
2013-05-02 00:04:00;Epsilon;635030498400000000;88
