TM;Category;unknown;Quantity
08-22-2012 12:01 AM;Gamma;6.348119046E+17;799
08-15-2014 12:01 AM;Epsilon;6.354365766E+17;901
2010-01-11T00:01:00.0000000;Eta;633,987,648,600,000,000.00000000;508
2018-10-22T00:01:00.0000000;Lambda;636,757,632,600,000,000.00000000;715
2012-06-22 00:01:00;Theta;6.34759E+017;790
2014-06-11T00:01:00.0000000;Kappa;635,380,416,600,000,000.00000000;264
2015-05-27 00:01:00;Omega;6.35683E+017;386
2011-11-01 00:01:00;Upsilon;6.34557E+017;22
2012-06-04 00:01:00;Epsilon;6.34744E+017;763
2017-03-05 00:01:00;Mu;636242688600000000;419
05-13-2014 12:01 AM;Psi;6.353553606E+17;960
2014-11-04 00:01:00;Delta;635506560600000000;508
04-09-2015 12:01 AM;Epsilon;6.356413446E+17;37
2013-02-07T00:01:00.0000000;Xi;634,957,920,600,000,000.00000000;836
2012-03-03 00:01:00;Xi;634663296600000000;872
2018-10-06 00:01:00;Pi;636743808600000000;207
2012-03-16T00:01:00.0000000;Upsilon;634,674,528,600,000,000.00000000;118
04-06-2010 12:01 AM;Beta;6.340610886E+17;868
2017-11-07 00:01:00;Gamma;636456096600000000;872
2015-01-13T00:01:00.0000000;Tau;635,567,040,600,000,000.00000000;258
12-09-2012 12:01 AM;Psi;6.349060806E+17;66
2014-09-10T00:01:00.0000000;Delta;635,459,040,600,000,000.00000000;76
01-17-2018 12:01 AM;Alpha;6.365174406E+17;988
07-09-2019 12:01 AM;Rho;6.369822726E+17;860
2011-08-14T00:01:00.0000000;Omicron;634,488,768,600,000,000.00000000;420
06-21-2019 12:01 AM;Kappa;6.369667206E+17;994
2019-06-18 00:01:00;Omega;6.36964E+017;941
03-08-2012 12:01 AM;Lambda;6.346676166E+17;127
2016-05-18T00:01:00.0000000;Rho;635,991,264,600,000,000.00000000;577
2011-01-07T00:01:00.0000000;Omicron;634,299,552,600,000,000.00000000;186
09-06-2019 12:01 AM;Chi;6.370332486E+17;753
2014-11-22 00:02:00;Omicron;635522113200000000;857
08-31-2015 12:02 AM;Eta;6.357657612E+17;299
2014-02-28 00:01:00;Kappa;6.35291E+017;678
2019-02-04T00:03:00.0000000;Omega;636,848,353,800,000,000.00000000;903
2013-05-07T00:01:00.0000000;Omega;635,034,816,600,000,000.00000000;858
11-02-2011 12:03 AM;Iota;6.345578898E+17;749
2012-07-06 00:02:00;Xi;634771297200000000;221
06-03-2019 12:01 AM;Xi;6.369511686E+17;325
2019-05-07T00:02:00.0000000;Xi;636,927,841,200,000,000.00000000;152
2019-08-28 00:02:00;Omega;637025473200000000;445
2012-06-15T00:01:00.0000000;Tau;634,753,152,600,000,000.00000000;775
06-15-2010 12:01 AM;Psi;6.341215686E+17;590
2011-01-27T00:01:00.0000000;Eta;634,316,832,600,000,000.00000000;873
10-20-2016 12:02 AM;Lambda;6.361251852E+17;936
2013-06-30T00:03:00.0000000;Theta;635,081,473,800,000,000.00000000;810
2016-10-25T00:01:00.0000000;Upsilon;636,129,504,600,000,000.00000000;926
2012-06-04 00:02:00;Sigma;6.34744E+017;455
04-11-2014 12:01 AM;Epsilon;6.353277126E+17;793
2010-02-14T00:02:00.0000000;Omega;634,017,025,200,000,000.00000000;188
2012-02-11T00:01:00.0000000;Beta;634,645,152,600,000,000.00000000;899
2016-07-29T00:01:00.0000000;Pi;636,053,472,600,000,000.00000000;970
11-26-2010 12:01 AM;Tau;6.342632646E+17;514
09-17-2015 12:01 AM;Omega;6.357804486E+17;814
2011-02-20 00:01:00;Zeta;6.34338E+017;810
2018-04-02 00:02:00;Iota;636582241200000000;142
2016-05-12 00:03:00;Chi;635986081800000000;523
08-31-2013 12:03 AM;Rho;6.351350418E+17;517
2014-04-04 00:01:00;Upsilon;6.35322E+017;560
03-10-2012 12:02 AM;Zeta;6.346693452E+17;660
2019-10-23 00:03:00;Rho;6.37074E+017;127
10-20-2011 12:01 AM;Phi;6.345466566E+17;141
04-23-2016 12:02 AM;Zeta;6.359696652E+17;260
2012-04-24T00:01:00.0000000;Delta;634,708,224,600,000,000.00000000;298
2011-09-02 00:01:00;Chi;634505184600000000;993
2017-02-01 00:01:00;Omega;6.36215E+017;158
2016-09-26 00:02:00;Beta;6.36104E+017;941
2010-09-09 00:01:00;Omega;6.34196E+017;445
2019-05-06 00:01:00;Psi;636926976600000000;805
2011-09-17T00:01:00.0000000;Mu;634,518,144,600,000,000.00000000;623
11-21-2017 12:01 AM;Delta;6.364681926E+17;331
2019-12-30T00:01:00.0000000;Eta;637,132,608,600,000,000.00000000;405
04-11-2019 12:02 AM;Psi;6.369053772E+17;498
2014-04-20 00:02:00;Sigma;635335489200000000;566
2015-10-08 00:01:00;Alpha;635798592600000000;692
2012-09-20 00:01:00;Theta;6.34837E+017;608
01-21-2016 12:02 AM;Xi;6.358893132E+17;197
2019-06-27 00:01:00;Alpha;636971904600000000;466
2012-01-05 00:03:00;Psi;634613185800000000;739
2019-08-04 00:01:00;Tau;637004736600000000;900
05-28-2015 12:02 AM;Mu;6.356836812E+17;520
2010-02-28 00:03:00;Psi;634029121800000000;345
06-06-2019 12:02 AM;Eta;6.369537612E+17;517
2010-05-13 00:01:00;Beta;634093056600000000;118
10-22-2010 12:02 AM;Kappa;6.342330252E+17;807
2013-02-25T00:02:00.0000000;Nu;634,973,473,200,000,000.00000000;556
03-05-2014 12:03 AM;Sigma;6.352957458E+17;159
2018-10-17 00:02:00;Omicron;636753313200000000;582
2010-11-29 00:02:00;Rho;634265857200000000;559
2017-02-09 00:02:00;Delta;636221953200000000;817
10-31-2012 12:02 AM;Nu;6.348723852E+17;740
2013-11-07 00:02:00;Xi;635193793200000000;431
04-02-2017 12:01 AM;Phi;6.362668806E+17;405
2017-05-31T00:02:00.0000000;Epsilon;636,317,857,200,000,000.00000000;990
2012-11-23T00:03:00.0000000;Gamma;634,892,257,800,000,000.00000000;232
2018-08-12 00:02:00;Upsilon;636696289200000000;487
2013-10-30 00:03:00;Zeta;635186881800000000;26
2015-11-15 00:01:00;Epsilon;635831424600000000;34
04-10-2019 12:02 AM;Phi;6.369045132E+17;259
02-16-2014 12:01 AM;Lambda;6.352810566E+17;628
2014-11-16 00:01:00;Nu;635516928600000000;524
11-10-2014 12:03 AM;Mu;6.355117458E+17;912
2014-09-25T00:02:00.0000000;Xi;635,472,001,200,000,000.00000000;847
2013-05-20 00:03:00;Alpha;635046049800000000;737
2013-11-20 00:02:00;Theta;635205025200000000;673
2011-10-21 00:01:00;Tau;634547520600000000;570
04-23-2016 12:02 AM;Alpha;6.359696652E+17;973
10-10-2018 12:02 AM;Xi;6.367472652E+17;512
09-27-2012 12:02 AM;Upsilon;6.348430092E+17;358
2018-07-17 00:02:00;Lambda;636673825200000000;11
09-05-2012 12:03 AM;Mu;6.348240018E+17;510
2018-06-30 00:01:00;Omicron;636659136600000000;451
2012-01-29 00:02:00;Theta;6.34634E+017;826
