TM;Category;unknown;Quantity
2011-10-09 00:01:00;Alpha;634537152600000000;953
2014-05-06T00:01:00.0000000;Sigma;635,349,312,600,000,000.00000000;561
2012-03-17T00:01:00.0000000;Omicron;634,675,392,600,000,000.00000000;839
2019-10-21 00:01:00;Psi;637072128600000000;223
2016-11-16 00:01:00;Psi;636148512600000000;28
09-05-2018 12:01 AM;Gamma;6.367170246E+17;243
03-23-2019 12:01 AM;Gamma;6.368889606E+17;634
07-13-2012 12:01 AM;Omicron;6.347773446E+17;712
2014-10-19 00:01:00;Iota;635492736600000000;822
2012-02-17 00:01:00;Gamma;6.34650E+017;57
03-28-2013 12:01 AM;Lambda;6.350002566E+17;32
2011-06-25 00:01:00;Beta;6.34446E+017;959
07-06-2014 12:01 AM;Sigma;6.354020166E+17;529
2010-08-18 00:01:00;Beta;634176864600000000;677
2017-03-02T00:02:00.0000000;Zeta;636,240,097,200,000,000.00000000;273
12-04-2019 12:01 AM;Tau;6.371101446E+17;274
2014-08-27 00:01:00;Psi;6.35447E+017;932
2014-09-15 00:01:00;Theta;6.35463E+017;326
2017-10-21 00:01:00;Iota;636441408600000000;392
08-23-2011 12:01 AM;Xi;6.344965446E+17;48
2018-08-25 00:01:00;Alpha;636707520600000000;494
12-22-2018 12:01 AM;Upsilon;6.368103366E+17;862
11-18-2019 12:01 AM;Zeta;6.370963206E+17;997
04-19-2017 12:01 AM;Alpha;6.362815686E+17;273
01-01-2010 12:01 AM;Eta;6.339790086E+17;256
2018-08-29 00:01:00;Zeta;636710976600000000;499
2017-08-31T00:01:00.0000000;Epsilon;636,397,344,600,000,000.00000000;506
10-17-2011 12:01 AM;Epsilon;6.345440646E+17;453
07-31-2012 12:01 AM;Pi;6.347928966E+17;766
11-03-2012 12:01 AM;Alpha;6.348749766E+17;127
01-11-2014 12:01 AM;Zeta;6.352499526E+17;303
2017-04-05 00:02:00;Beta;636269473200000000;513
11-25-2010 12:01 AM;Rho;6.342624006E+17;37
2011-06-06 00:01:00;Omicron;634429152600000000;404
2015-10-09 00:01:00;Beta;635799456600000000;305
2016-04-13 00:01:00;Omega;635961024600000000;173
2012-10-22 00:03:00;Alpha;634864609800000000;343
2013-11-18 00:02:00;Sigma;635203297200000000;953
2019-04-20T00:01:00.0000000;Rho;636,913,152,600,000,000.00000000;525
04-29-2013 12:01 AM;Sigma;6.350279046E+17;375
2014-05-25 00:01:00;Omega;635365728600000000;169
08-07-2011 12:01 AM;Eta;6.344827206E+17;276
2015-03-26T00:01:00.0000000;Beta;635,629,248,600,000,000.00000000;627
2018-02-15 00:02:00;Gamma;6.36542E+017;940
2014-11-04 00:01:00;Pi;635506560600000000;638
2011-11-07 00:02:00;Rho;634562209200000000;261
2017-11-14 00:01:00;Zeta;636462144600000000;350
2011-11-15 00:01:00;Omicron;634569120600000000;164
2017-06-21 00:03:00;Epsilon;636336001800000000;600
2016-03-09 00:01:00;Nu;635930784600000000;403
2019-02-26 00:03:00;Epsilon;636867361800000000;540
2015-03-28 00:02:00;Iota;635630977200000000;679
2019-06-27 00:01:00;Omega;636971904600000000;325
2012-05-13 00:01:00;Pi;634724640600000000;865
2015-09-02 00:02:00;Kappa;635767489200000000;173
2016-03-04T00:02:00.0000000;Pi;635,926,465,200,000,000.00000000;845
2018-07-03T00:01:00.0000000;Psi;636,661,728,600,000,000.00000000;312
2015-04-12 00:01:00;Tau;635643936600000000;23
08-24-2017 12:01 AM;Delta;6.363912966E+17;447
2015-11-16T00:01:00.0000000;Zeta;635,832,288,600,000,000.00000000;293
2017-10-27 00:01:00;Beta;636446592600000000;637
2010-09-10 00:01:00;Zeta;6.34197E+017;708
12-26-2017 12:02 AM;Delta;6.364984332E+17;225
2013-12-29T00:01:00.0000000;Omicron;635,238,720,600,000,000.00000000;472
2011-04-05 00:02:00;Epsilon;634375585200000000;110
2010-09-26 00:01:00;Omicron;6.34211E+017;746
2014-07-14 00:01:00;Omega;635408928600000000;462
2017-08-14 00:01:00;Mu;636382656600000000;562
2017-07-29 00:01:00;Iota;636368832600000000;197
06-11-2017 12:01 AM;Kappa;6.363273606E+17;674
2016-07-11T00:01:00.0000000;Epsilon;636,037,920,600,000,000.00000000;570
03-29-2011 12:02 AM;Phi;6.343695372E+17;663
2016-11-18 00:02:00;Mu;6.36150E+017;438
2010-09-25 00:02:00;Psi;6.34210E+017;485
2012-08-07 00:01:00;Delta;634798944600000000;170
2011-11-12 00:03:00;Rho;634566529800000000;197
