TM;Category;unknown;Quantity
2013-02-09 00:01:00;Sigma;634959648600000000;736
2012-12-17 00:01:00;Psi;634912992600000000;462
2013-09-15 00:01:00;Upsilon;635148000600000000;634
11-18-2018 12:01 AM;Upsilon;6.367809606E+17;774
2019-11-06T00:01:00.0000000;Gamma;637,085,952,600,000,000.00000000;898
12-14-2016 12:01 AM;Upsilon;6.361727046E+17;113
2012-11-06 00:01:00;Mu;634877568600000000;530
2014-06-08 00:01:00;Xi;635377824600000000;745
03-30-2011 12:01 AM;Omicron;6.343704006E+17;258
2018-12-11 00:01:00;Delta;636800832600000000;788
03-10-2013 12:01 AM;Upsilon;6.349847046E+17;943
2012-01-10 00:01:00;Rho;6.34618E+017;182
2015-02-24 00:01:00;Zeta;6.35603E+017;434
10-14-2018 12:01 AM;Tau;6.367507206E+17;79
2016-08-10 00:02:00;Eta;636063841200000000;274
10-09-2014 12:01 AM;Lambda;6.354840966E+17;267
2018-06-11 00:03:00;Zeta;636642721800000000;451
2019-11-24T00:01:00.0000000;Iota;637,101,504,600,000,000.00000000;999
2019-07-01T00:01:00.0000000;Kappa;636,975,360,600,000,000.00000000;12
09-11-2017 12:01 AM;Tau;6.364068486E+17;542
2018-07-27 00:01:00;Epsilon;6.36682E+017;99
2017-12-18T00:01:00.0000000;Rho;636,491,520,600,000,000.00000000;923
2012-06-01 00:01:00;Phi;634741056600000000;100
2019-07-23 00:02:00;Kappa;636994369200000000;449
10-31-2019 12:01 AM;Chi;6.370807686E+17;203
01-05-2010 12:01 AM;Lambda;6.339824646E+17;244
2019-09-11T00:01:00.0000000;Rho;637,037,568,600,000,000.00000000;131
04-25-2014 12:02 AM;Omicron;6.353398092E+17;80
2013-11-03 00:01:00;Theta;635190336600000000;496
2011-04-15 00:02:00;Beta;6.34384E+017;47
2012-06-22 00:01:00;Omega;6.34759E+017;284
2014-01-31 00:01:00;Pi;635267232600000000;602
2018-12-31T00:02:00.0000000;Chi;636,818,113,200,000,000.00000000;14
2019-08-09 00:01:00;Omega;637009056600000000;259
2013-11-24T00:01:00.0000000;Lambda;635,208,480,600,000,000.00000000;862
2014-07-16T00:01:00.0000000;Theta;635,410,656,600,000,000.00000000;875
2014-03-31T00:01:00.0000000;Zeta;635,318,208,600,000,000.00000000;157
2016-12-06 00:02:00;Mu;6.36166E+017;352
08-01-2012 12:01 AM;Upsilon;6.347937606E+17;480
2013-06-17 00:01:00;Upsilon;635070240600000000;182
2011-05-16T00:01:00.0000000;Epsilon;634,411,008,600,000,000.00000000;392
2015-04-03 00:01:00;Mu;6.35636E+017;553
2014-04-03 00:01:00;Zeta;635320800600000000;335
2018-07-03T00:01:00.0000000;Sigma;636,661,728,600,000,000.00000000;310
2016-04-13 00:02:00;Tau;635961025200000000;317
02-22-2011 12:01 AM;Lambda;6.343392966E+17;552
2019-07-20T00:01:00.0000000;Alpha;636,991,776,600,000,000.00000000;106
04-21-2010 12:01 AM;Eta;6.340740486E+17;850
2015-05-16 00:02:00;Chi;635673313200000000;580
2011-09-06 00:01:00;Eta;6.34509E+017;980
2015-01-20 00:01:00;Gamma;6.35573E+017;131
2017-02-15 00:02:00;Zeta;636227137200000000;651
09-10-2010 12:03 AM;Alpha;6.341967378E+17;113
01-10-2019 12:01 AM;Rho;6.368267526E+17;861
2018-06-18 00:01:00;Xi;636648768600000000;237
2014-02-07 00:02:00;Alpha;635273281200000000;848
2014-06-15 00:01:00;Theta;6.35384E+017;531
2013-01-23 00:02:00;Xi;6.34945E+017;340
2018-03-21 00:01:00;Iota;636571872600000000;283
02-02-2018 12:02 AM;Upsilon;6.365312652E+17;930
2013-05-12 00:01:00;Alpha;635039136600000000;257
09-26-2017 12:01 AM;Psi;6.364198086E+17;152
2016-01-26T00:03:00.0000000;Psi;635,893,633,800,000,000.00000000;700
2013-08-05T00:02:00.0000000;Alpha;635,112,577,200,000,000.00000000;316
02-28-2010 12:01 AM;Upsilon;6.340291206E+17;121
2015-11-17T00:03:00.0000000;Lambda;635,833,153,800,000,000.00000000;672
2014-12-15 00:01:00;Omicron;6.35542E+017;390
04-27-2015 12:01 AM;Chi;6.356568966E+17;493
2018-05-25 00:01:00;Delta;636628032600000000;513
03-16-2015 12:02 AM;Phi;6.356206092E+17;678
2017-01-22 00:02:00;Sigma;636206401200000000;457
2018-07-28 00:02:00;Phi;6.36683E+017;785
2010-04-13 00:03:00;Phi;634067137800000000;748
01-21-2016 12:02 AM;Theta;6.358893132E+17;22
2010-11-27 00:04:00;Omicron;634264130400000000;166
2018-08-23 00:01:00;Kappa;636705792600000000;256
2019-11-21T00:02:00.0000000;Upsilon;637,098,913,200,000,000.00000000;455
2012-08-11 00:01:00;Omega;634802400600000000;206
2010-12-05 00:02:00;Pi;634271041200000000;977
05-26-2016 12:01 AM;Rho;6.359981766E+17;66
2012-05-08 00:02:00;Epsilon;634720321200000000;806
10-08-2013 12:01 AM;Eta;6.351678726E+17;233
02-01-2012 12:01 AM;Kappa;6.346365126E+17;991
06-06-2019 12:01 AM;Sigma;6.369537606E+17;466
2015-11-22 00:01:00;Chi;6.35837E+017;541
2013-04-02T00:02:00.0000000;Lambda;635,004,577,200,000,000.00000000;158
2018-11-11 00:01:00;Phi;636774912600000000;882
2014-04-03 00:03:00;Tau;6.35321E+017;144
2017-12-17T00:01:00.0000000;Delta;636,490,656,600,000,000.00000000;273
2014-02-22T00:02:00.0000000;Pi;635,286,241,200,000,000.00000000;417
2017-08-08 00:02:00;Xi;636377473200000000;972
2016-06-28 00:02:00;Epsilon;6.36027E+017;35
03-10-2018 12:02 AM;Iota;6.365623692E+17;403
2016-01-08 00:01:00;Nu;635878080600000000;237
2013-10-06 00:02:00;Delta;6.35166E+017;360
09-25-2011 12:03 AM;Phi;6.345250578E+17;337
2012-04-10 00:02:00;Omega;6.34696E+017;208
12-13-2015 12:03 AM;Psi;6.358556178E+17;506
2016-02-02 00:03:00;Omicron;6.35900E+017;131
2018-07-23T00:01:00.0000000;Beta;636,679,008,600,000,000.00000000;929
2014-03-13 00:03:00;Omicron;635302657800000000;645
2012-10-05 00:02:00;Zeta;634849921200000000;962
2018-04-19 00:02:00;Kappa;636596929200000000;458
2015-01-02 00:02:00;Rho;6.35558E+017;225
2011-08-02 00:01:00;Eta;6.34478E+017;431
2015-06-13 00:01:00;Kappa;6.35698E+017;650
2014-06-05 00:02:00;Psi;635375233200000000;589
09-25-2017 12:01 AM;Omega;6.364189446E+17;602
09-30-2015 12:03 AM;Phi;6.357916818E+17;245
2013-05-06 00:01:00;Kappa;635033952600000000;220
12-27-2012 12:01 AM;Pi;6.349216326E+17;140
2012-01-01 00:03:00;Psi;634609729800000000;735
2011-09-18T00:02:00.0000000;Upsilon;634,519,009,200,000,000.00000000;524
2016-01-26T00:03:00.0000000;Alpha;635,893,633,800,000,000.00000000;192
10-16-2016 12:01 AM;Chi;6.361217286E+17;715
2017-01-20 00:02:00;Epsilon;636204673200000000;110
2018-12-03 00:01:00;Upsilon;6.36794E+017;853
05-19-2018 12:03 AM;Gamma;6.366228498E+17;202
07-07-2015 12:03 AM;Epsilon;6.357182418E+17;126
