TM;Category;unknown;Quantity
2018-08-25 00:01:00;Omega;636707520600000000;45
05-02-2019 12:01 AM;Phi;6.369235206E+17;469
07-15-2018 12:01 AM;Iota;6.366720966E+17;210
2013-07-01T00:01:00.0000000;Alpha;635,082,336,600,000,000.00000000;303
08-05-2017 12:01 AM;Epsilon;6.363748806E+17;446
2016-08-14T00:01:00.0000000;Mu;636,067,296,600,000,000.00000000;456
09-30-2011 12:01 AM;Chi;6.345293766E+17;122
01-25-2014 12:01 AM;Zeta;6.352620486E+17;472
07-31-2018 12:01 AM;Theta;6.366859206E+17;272
2014-01-15T00:01:00.0000000;Delta;635,253,408,600,000,000.00000000;512
2016-08-29 00:01:00;Upsilon;636080256600000000;713
06-01-2014 12:01 AM;Lambda;6.353717766E+17;987
2018-04-19 00:01:00;Mu;636596928600000000;359
05-09-2010 12:01 AM;Alpha;6.340896006E+17;277
2017-01-03 00:02:00;Kappa;636189985200000000;428
2012-04-03 00:01:00;Gamma;634690080600000000;311
02-15-2013 12:01 AM;Rho;6.349648326E+17;602
2019-03-12 00:01:00;Chi;636879456600000000;107
2014-12-28T00:01:00.0000000;Beta;635,553,216,600,000,000.00000000;133
2011-04-06 00:01:00;Psi;634376448600000000;543
2014-07-19 00:01:00;Epsilon;635413248600000000;237
2019-08-26T00:01:00.0000000;Omega;637,023,744,600,000,000.00000000;858
2017-08-08 00:01:00;Psi;636377472600000000;369
06-09-2018 12:01 AM;Rho;6.366409926E+17;513
2018-11-08T00:01:00.0000000;Alpha;636,772,320,600,000,000.00000000;527
2011-10-26T00:01:00.0000000;Lambda;634,551,840,600,000,000.00000000;716
06-20-2013 12:02 AM;Iota;6.350728332E+17;790
2012-03-04 00:01:00;Theta;6.34664E+017;16
10-06-2014 12:01 AM;Mu;6.354815046E+17;893
2013-12-30T00:01:00.0000000;Zeta;635,239,584,600,000,000.00000000;611
2017-09-03 00:01:00;Mu;636399936600000000;19
08-08-2010 12:01 AM;Alpha;6.341682246E+17;595
2017-12-18T00:01:00.0000000;Theta;636,491,520,600,000,000.00000000;976
2015-06-22 00:02:00;Alpha;635705281200000000;707
04-14-2018 12:01 AM;Gamma;6.365926086E+17;850
06-20-2019 12:02 AM;Delta;6.369658572E+17;937
2011-06-07 00:01:00;Xi;6.34430E+017;109
02-17-2019 12:01 AM;Epsilon;6.368595846E+17;100
2012-12-02 00:01:00;Kappa;6.34900E+017;762
2018-03-31 00:02:00;Gamma;636580513200000000;463
2017-06-21 00:01:00;Chi;636336000600000000;599
2017-12-05 00:01:00;Omicron;6.36480E+017;670
2012-04-09 00:01:00;Gamma;634695264600000000;368
2017-03-06 00:02:00;Mu;6.36244E+017;620
2019-08-21 00:02:00;Upsilon;637019425200000000;301
2010-06-21 00:01:00;Psi;634126752600000000;224
2014-02-26 00:02:00;Tau;6.35290E+017;631
2018-02-28T00:01:00.0000000;Mu;636,553,728,600,000,000.00000000;742
2017-09-23 00:02:00;Phi;6.36417E+017;740
2015-03-30 00:01:00;Nu;635632704600000000;548
07-11-2014 12:01 AM;Mu;6.354063366E+17;63
2017-01-05T00:02:00.0000000;Psi;636,191,713,200,000,000.00000000;994
2016-07-29T00:01:00.0000000;Gamma;636,053,472,600,000,000.00000000;955
09-14-2016 12:01 AM;Omega;6.360940806E+17;120
2011-04-23 00:03:00;Xi;634391137800000000;156
02-06-2010 12:03 AM;Nu;6.340101138E+17;291
2017-11-25 00:01:00;Phi;636471648600000000;903
